truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15664,1494259199600,4.3469,True,udp,127.0.0.1:55865,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.3058333,0.5354499524,7.666517919,186.6085444,-1.090959665532602,0.27606146298725154,-0.0561778519027071,1.1249919152826868,-1.4732789799184287,-1.359529698071954,-34.23022884192,-3.481353417264,-1.8289586343792001,34.406807315280005,1.8289586343792001,30.484944983760002,3.042801243,185.80724578439234,588.7315251,45.94172115168,123.01074877607999,46.95470068,39.34793753,123.03812127912,46.949405,39.347334,4.444492046736,30.402015780048,0.00018098343927191998,2.2470662418504,4.227145055,0.0003401543693,-0.2261534419,0.1218761279,562.5271516429451,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1442772807,-0.001075450857,1.018736155,-11.279646570267007,-0.14205154043109383,-134.56034663435486,19.057003551232462,-0.14205154043109383,-134.56034663435486,30.33665012149947,0.0,0.0,1.2555110850080924,-0.27431752822220984,-0.22224629810603092,0.08402759192663241,-0.13393982944597002,-0.2230336051832298,-1.1714834930814597,0.14037769874912348,-0.0007873069924602475,0.55,0.55,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,0,0,True,0.005000000000009663,0.0043469,199.99999999961346,230.0490004370931,1.1502450021876887,0.9422824964516323,True,-3.9999979929624563,1.4611138117390232e-05,4.349549609372616e-10,3.999997992989142,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9734187826980802,-0.460355441718362,3.439372864,4.623716676000001,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,588.7315251,45.94172115168,123.01074877607999,588.7315251,45.94172115168,123.01074877607999,584.4436989679255,51.5919226341407,586.7164253235103,-174.95527644577618,119.81075271742655,598.8244986731208,-11.541436769109579,598.8244986731208,False,-0.7625222301685426,-1.5638208457761493,-14.584238012109578,-19.20795468810958,34.40376032753115,33.342193598663606,17.959961059584348,-586.6644674238139,7.808098791071195,-0.0447152655070645,-0.8300624700051927,-4.9972837
15665,1494263280200,4.0806,True,udp,127.0.0.1:55865,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.3108333,0.5299688185,7.667887195,186.6082594,-1.0853946765834384,0.2687714463411308,-0.06297251946841093,1.0962498003249053,-1.4365982453654231,-1.3580834443080205,-34.23052474176,-3.481821056664,-1.8303598264968,34.407148996080004,1.8303598264968,30.48537587952,3.045097809,185.80797063329896,588.5603741088,45.9243146028,123.0199130148,46.95469914,39.3479373,123.04726960728,46.949405,39.347334,4.444492046736,30.402493761312,0.0005421764438136,2.2464452008776004,4.225914796,0.001018994225,-0.2287092569,0.1281051796,562.542559510285,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1442560271,-0.001086428451,1.018433357,-11.28206880486538,-0.14350152220452986,-134.52035138382777,19.054196171813754,-0.14350152220452986,-134.52035138382777,30.336264976679132,0.0,0.0,1.2533591585547685,-0.2710699863000178,-0.22192255237120168,0.08188192260025666,-0.13061858733450812,-0.222790762732359,-1.1714772358460466,0.14045139897906786,-0.0008682103200760581,0.55,0.55,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0040806,200.0000000001819,245.06200068617358,1.2253100034297535,0.9445736420441723,True,-3.999998012505016,1.4639930050182152e-05,1.0565093244707668e-10,3.999998012531807,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.973421072543607,-0.46033567717917734,3.441972399,4.622789385999999,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,588.5603741088,45.9243146028,123.0199130148,588.5603741088,45.9243146028,123.0199130148,584.2725479767255,51.5745160852607,586.5444066979446,-174.95550006775466,119.81991695614656,598.6577933410888,-11.545590057254872,598.6577933410888,False,-0.7634707010536204,-1.5637594677546645,-14.590687866254871,-19.213477252254872,34.4040944131504,33.3416115269015,17.955274683050785,-586.4923347310892,7.81551855732193,-0.04478445811992681,-0.8306627183952597,-4.9932031
15666,1494267003200,3.723,True,udp,127.0.0.1:55865,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.3158333,0.5245105694,7.66922069,186.6079396,-1.0799729299478469,0.2616650208997264,-0.06975979080215151,1.0677318728661602,-1.3998329325015735,-1.356558071948073,-34.23082100736,-3.4822832523360003,-1.8317461702824,34.407490494,1.8317461702824,30.485805738960003,3.047369679,185.8086864294724,588.3892212888001,45.90690573744,123.02908423344002,46.9546976,39.34793707,123.0564248544,46.949405,39.347334,4.444492046736,30.402970977528003,0.0009173412736704,2.2458198521664,4.224676604,0.001724073945,-0.2310242413,0.1343127787,562.5579276370099,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1442347012,-0.001097805835,1.018128677,-11.284501176960816,-0.14500431046260268,-134.48010756667682,19.05137923316679,-0.14500431046260268,-134.48010756667682,30.335880410127608,0.0,0.0,1.2512240419391136,-0.267814586192579,-0.2215879912765986,0.07975305366149861,-0.12728956574303138,-0.2225350667205927,-1.1714709882369405,0.1405250205715712,-0.0009470754369438347,0.55,0.55,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.003723,200.0000000001819,268.6005909213,1.3430029546052786,0.9475184198896647,True,-3.9999980060943576,1.4630503027813699e-05,-1.942371818941524e-10,3.999998006121114,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9734236418742728,-0.4603134992721704,3.4445440860000005,4.621851011,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,588.3892212888001,45.90690573744,123.02908423344002,588.3892212888001,45.90690573744,123.02908423344002,584.1013951567255,51.5571072199007,586.3723860559239,-174.9557240306969,119.82908817478658,598.4910905783963,-11.5497463524486,598.4910905783963,False,-0.7644104601693016,-1.563663630696908,-14.5971160314486,-19.2189670424486,34.40442837778149,33.34103146988028,17.950587135225945,-586.3202011324105,7.822843023302802,-0.04485317874346434,-0.8312620663872622,-4.9894801
15667,1494276213600,9.2104,True,udp,127.0.0.1:55865,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.3208333,0.5190744971,7.670519318,186.6075851,-1.0746933112229153,0.2547425518090408,-0.07653927099849812,1.0394351598284528,-1.3630106154937287,-1.3549538720546712,-34.231117699680006,-3.4827400073280006,-1.8331175806968,34.40783193096,1.8331175806968,30.486234592560002,3.049616706,185.80939311561693,588.2180672496,45.8894945556,123.03826231008001,46.95469606,39.34793684,123.06558702048001,46.949405,39.347334,4.444492046736,30.403447425648,0.001306429821984,2.2451907730080003,4.223431562,0.002455302076,-0.2331032351,0.140498361,562.5732584171328,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144213316,-0.001109581797,1.0178224,-11.286941965091547,-0.14655974506933406,-134.43965285933913,19.04855447009801,-0.14655974506933406,-134.43965285933913,30.335496435189555,0.0,0.0,1.2491055107732574,-0.26455383101098967,-0.22124266471632217,0.07764076068181328,-0.12395527197211349,-0.22226656297457745,-1.1714647501185604,0.14059855905243435,-0.0010238982529675725,0.55,0.55,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,0,0,True,0.005000000000009663,0.0092104,199.99999999961346,108.57291757144097,0.5428645878582541,0.9401991984940645,True,-3.999997990390462,1.46115444617902e-05,2.098273776951487e-10,3.999997990417149,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.973426489846311,-0.4602889149276012,3.447087756,4.620902612,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,588.2180672496,45.8894945556,123.03826231008001,588.2180672496,45.8894945556,123.03826231008001,583.9302411175255,51.5396960380607,586.2003640047208,-174.95594834014398,119.83826625142657,598.3243909597994,-11.553905634086572,598.3243909597994,False,-0.765341455760904,-1.5635334401439422,-14.603522340086572,-19.224424952086572,34.40476228242568,33.34045351009,17.945898389736218,-586.1480672384114,7.830072282037321,-0.04492142701489551,-0.8318605045126344,-4.9802697
15668,1494281206300,4.9927,True,udp,127.0.0.1:55865,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.3258333,0.5136598992,7.671783989,186.607196,-1.0695547203296774,0.24800426785112192,-0.0833105664354455,1.0113567545968885,-1.326158160332902,-1.3532711460036158,-34.23141487968,-3.4831913307840003,-1.8344739842832,34.408173246000004,1.8344739842832,30.486662409840005,3.05183877,185.81009069173248,588.0469116864,45.87208108776,123.04744724472,46.95469452,39.34793661,123.07475601408001,46.949405,39.347334,4.444492046736,30.403923081288,0.0017093925742992001,2.2445585260632,4.222180727,0.003212584532,-0.2349510975,0.1466613664,562.5885513718512,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441918848,-0.001121755076,1.017514804,-11.289389465588696,-0.14816765957227124,-134.3990237372319,19.045723635206723,-0.14816765957227124,-134.3990237372319,30.335113096347197,0.0,0.0,1.2470033456858551,-0.2612901593294117,-0.22088662285563648,0.07554482415427481,-0.12061814897520827,-0.2219852990835233,-1.1714585214909057,0.14067201035420343,-0.0010986761990078413,0.55,0.55,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0049927,200.0000000001819,200.29242694333726,1.0014621347157755,0.9408048853914674,True,-3.9999980047665207,1.460170890983355e-05,-3.976463602839431e-11,3.999998004793172,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.973429615611744,-0.46026193107524077,3.449603262,4.619945219,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,588.0469116864,45.87208108776,123.04744724472,588.0469116864,45.87208108776,123.04744724472,583.7590855543255,51.522282570220696,586.0283402434288,-174.95617299081422,119.84745118606656,598.1576941946535,-11.558067910396938,598.1576941946535,False,-0.7662636825467075,-1.5633689908141832,-14.609906680396938,-19.229851899396937,34.40509618870707,33.339877723967405,17.941208397553577,-585.9759327516807,7.83720640698089,-0.04498920259884996,-0.8324580272026385,-4.975277
15669,1494284959600,3.7533,True,udp,127.0.0.1:55865,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.3308333,0.5082660793,7.673015621,186.6067724,-1.0645560709401531,0.24145026482451298,-0.09007328515256602,0.9834938657210891,-1.2893017391582176,-1.3515102135053563,-34.231712547360004,-3.483637225752,-1.8358153243488,34.40851453056,1.8358153243488,30.48708928224,3.054035771,185.8107792151149,587.8757545992,45.85466539488001,123.05663888496001,46.95469298,39.34793639,123.08393174376,46.949405,39.347334,4.444492046736,30.404397947496,0.002126178621396,2.2439236624104,4.220925132,0.00399582461,-0.2365727325,0.1528012387,562.6038093739804,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441704199,-0.001134324368,1.017206158,-11.291842041506706,-0.14982788173627323,-134.35825614198575,19.042888356542043,-0.14982788173627323,-134.35825614198575,30.334730393600527,0.0,0.0,1.2449173354404708,-0.2580259468120541,-0.22051991735120544,0.07346503300514502,-0.11728057672802587,-0.22169132548385784,-1.1714523023539767,0.14074537000267917,-0.0011714081740048852,0.55,0.55,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0037533,200.0000000001819,266.43220632510054,1.3321610316242911,0.9437207512004967,True,-3.999998002313892,1.4627334909670005e-05,3.480098431651868e-10,3.9999980023406367,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9734330183184308,-0.4602325546443744,3.4520904890000006,4.6189798500000006,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,587.8757545992,45.85466539488001,123.05663888496001,587.8757545992,45.85466539488001,123.05663888496001,583.5879284671255,51.5048668773407,585.8563147774404,-174.95639797707145,119.85664282630657,597.9910002618736,-11.562233169437182,597.9910002618736,False,-0.7671771921863524,-1.563170377071458,-14.616268940437182,-19.235248790437183,34.40543009699314,33.339304127655794,17.936517150213252,-585.803797681058,7.844245473818496,-0.04505650504565665,-0.833054627782857,-4.9715237
15670,1494288160200,3.2006,True,udp,127.0.0.1:55865,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.3358333,0.5028923464,7.674215125,186.6063142,-1.0596962916232662,0.23508050932577448,-0.09682703685100962,0.9558437533168784,-1.2524668159329644,-1.349671405729498,-34.2320107332,-3.484077698328,-1.8371415536496,34.408855784640004,1.8371415536496,30.48751520976,3.056207632,185.8114586284684,587.704595988,45.837247507440004,123.06583720032,46.95469144,39.34793616,123.09311414855999,46.949405,39.347334,4.444492046736,30.40487199684,0.0025567356672143997,2.2432867188024,4.219665786,0.004804923008,-0.2379730495,0.1589174259,562.6190319447181,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441489342,-0.00114728832,1.016896729,-11.294298073692913,-0.15154023278731332,-134.31738494765818,19.04005031108352,-0.15154023278731332,-134.31738494765818,30.334348380328212,0.0,0.0,1.242847272868122,-0.2547635049929371,-0.22014260026643812,0.07140118009255776,-0.1139448708049239,-0.2213846947813176,-1.1714460927077732,0.14081863420157134,-0.0012420945226076267,0.55,0.55,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,0,0,True,0.005000000000009663,0.0032006,199.99999999961346,312.44141723426856,1.562207086174362,0.9476546244186871,True,-3.9999979860275476,1.4601227758124363e-05,-3.509198487350318e-10,3.999997986054197,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9734366987165064,-0.4602007786939003,3.4545493389999997,4.618007493,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,587.704595988,45.837247507440004,123.06583720032,587.704595988,45.837247507440004,123.06583720032,583.4167698559255,51.4874489899007,585.6842876094676,-174.95662329624312,119.86584114166656,597.8243091621557,-11.566401410751125,597.8243091621557,False,-0.7680819247115096,-1.562937496243137,-14.622609042751124,-19.240616535751123,34.40576403825775,33.33873276366861,17.931824625729142,-585.6316620322619,7.851189587574879,-0.04512333411429085,-0.8336503016575426,-4.9683231
15671,1494291309000,3.1488,True,udp,127.0.0.1:55865,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.3408333,0.4975380154,7.67538342,186.6058216,-1.0549743241259686,0.2288948419580479,-0.10357143283620808,0.9284037897998082,-1.2156781630603724,-1.3477550693155071,-34.23230952864,-3.4845127515600005,-1.8384526414008,34.40919709968,1.8384526414008,30.487940222880002,3.058354296,185.8121289317929,587.5334358528,45.81982739496,123.07504212984001,46.9546899,39.34793593,123.10230313704001,46.949405,39.347334,4.444492046736,30.405345238464005,0.0030010100416560004,2.2426482201048,4.218403673,0.005639777849,-0.2391569955,0.1650093803,562.6342209992744,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441274392,-0.001160645537,1.016586773,-11.296756000821528,-0.15330452830212332,-134.27644422762677,19.03721104681227,-0.15330452830212332,-134.27644422762677,30.3339670476338,0.0,0.0,1.2407929592058975,-0.25150508222496426,-0.21975472488498,0.06935306650446184,-0.1106132840194471,-0.22106546188652937,-1.1714398926878773,0.14089179820551717,-0.0013107369790428035,0.55,0.55,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0031488,200.0000000001819,317.5813008130081,1.5879065040635965,0.9516614413257848,False,-3.999998003824419,1.4600168588941448e-05,6.176585909400956e-10,3.9999980038510645,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9734406551421193,-0.4601666170870788,3.456979747,4.617029124,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,587.5334358528,45.81982739496,123.07504212984001,587.5334358528,45.81982739496,123.07504212984001,583.2456097207255,51.4700288774207,585.5122587368631,-174.9568489515958,119.87504607118657,597.6576208848277,-11.570572631122452,597.6576208848277,False,-0.7689778833886862,-1.5626705515958292,-14.628926927122453,-19.24595605112245,34.406098103883224,33.3381637308341,17.927130771514594,-585.4595258068944,7.858038757202962,-0.04518968909138851,-0.8342450467963789,-4.9651743
15672,1494296264500,4.9555,True,udp,127.0.0.1:55865,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.3458333,0.4922024065,7.676521413,186.6052946,-1.0503891228002842,0.22289298094068952,-0.11030608624705815,0.9011713968598001,-1.1789598493514994,-1.3457615635079214,-34.23260887272,-3.484942385448,-1.8397485656568,34.409538414720004,1.8397485656568,30.48836435208,3.06047573,185.81279018238425,587.3622741936,45.802405148880005,123.08425352112002,46.95468836,39.3479357,123.11149864824,46.949405,39.347334,4.444492046736,30.405817641888003,0.003458946709728,2.2420086765528002,4.217139752,0.006500284703,-0.2401295153,0.1710765581,562.6493774952546,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441059471,-0.001174394574,1.016276541,-11.299214288256094,-0.1551205777188893,-134.23546712114256,19.03437216063986,-0.1551205777188893,-134.23546712114256,30.333586448895954,0.0,0.0,1.2387541990804307,-0.24825286327317764,-0.21935634516838537,0.06732049701663087,-0.1072880051227422,-0.22073368387942882,-1.1714337021587071,0.14096485821822632,-0.0013773386459642082,0.55,0.55,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0049555,200.0000000001819,201.79598425991324,1.0089799212986486,0.9522239497597073,False,-3.9999979795334415,1.4592484445150999e-05,2.6909696693167007e-11,3.999997979560059,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9734448875337387,-0.4601300698167842,3.459381661,4.616045682999999,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,587.3622741936,45.802405148880005,123.08425352112002,587.3622741936,45.802405148880005,123.08425352112002,583.0744480615255,51.4526066313407,585.3402281676974,-174.95707493451187,119.88425746246658,597.4909354113576,-11.574746818535097,597.4909354113576,False,-0.769865116896085,-1.562369534511845,-14.635222548535097,-19.251268231535096,34.406432233269925,33.33759697866138,17.922435615074402,-585.2873890160279,7.864793081376625,-0.04525556957760468,-0.8348388585957889,-4.9602188
15673,1494302677000,6.4125,True,udp,127.0.0.1:55865,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.3508333,0.4868848456,7.677630022,186.6047333,-1.0459396551762663,0.2170745255470175,-0.11703061194132991,0.8729220651399189,-0.8940685141310345,-1.3408557223950104,-34.232908887360004,-3.485366612184,-1.8410293200168002,34.40987985168,1.8410293200168002,30.488787658320003,3.062571917,185.81344232294666,587.1911113152,45.78498073872,123.09347140464,46.95468682,39.34793547,123.12070059072,46.949405,39.347334,4.444492046736,30.406289210160004,0.003930489287088001,2.2413685874088003,4.21587496,0.007386336601,-0.2408955832,0.1771184201,562.6645023902639,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1440844689,-0.001188533946,1.015966279,-11.313089212255964,-0.15631233502314018,-134.19412063433543,19.020117358514042,-0.15631233502314018,-134.19412063433543,30.33320657077001,0.0,0.0,1.2366224953297154,-0.22246792810719107,-0.218481695621046,0.06519497418233658,-0.08143011834169142,-0.21992359946744336,-1.1714275211202625,0.14103780976549965,-0.0014419039372371722,0.55,0.55,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0064125,199.99999999961346,155.94541910331384,0.7797270955180762,0.9500396907261636,False,-3.9999979946469226,1.458937429252554e-05,3.244781110467443e-10,3.999997994673529,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.973449395022524,-0.4600911438103774,3.461755062,4.615058104999999,-7.500000000024367,-6.599999998187978,0.9000000001175156,0.9000000001175156,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,587.1911113152,45.78498073872,123.09347140464,587.1911113152,45.78498073872,123.09347140464,582.9032851831255,51.435182221180696,585.1681962029431,-174.9573012508783,119.89347534598656,597.3242530468228,-11.578923972505832,597.3242530468228,False,-0.770743573824916,-1.562034550878252,-14.641495889505832,-19.256553994505833,34.40676654894527,33.33703263120384,17.9177390997818,-585.1152519630338,7.871452702119427,-0.04532097561835123,-0.8354317376232998,-4.9538063
