truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15673,1947957104100,4.8133,True,udp,127.0.0.1:62577,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0008333,-0.3666559456,8.881720967,185.7464636,1.833823304309346,-0.010896583116491415,-1.1477150845383917,15.18585384374576,0.4541929433052186,-1.2380171658333152,-30.182215816296,-6.812695079688001,-2.5245268388712,30.941541114,2.5245268388712,30.417909332208,4.664442658,192.71957993923132,611.3129695992001,27.675862332696003,130.83437544528,46.95490379,39.34769757,130.8637698696,46.949405,39.347334,4.444492046736,30.338450392320002,-0.23746231795224002,2.1843185849736,4.118096058,-0.4472932924,-0.1333900562,1.32850775,559.6341071735085,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1155157728,0.008062448236,0.9859321713,-11.432931117246598,1.0649330782797861,-130.22741371554315,15.267211338108105,1.0649330782797861,-130.22741371554315,26.700142450906483,0.0,0.0,2.244348266274331,-0.09189320142907875,-0.20095064618654032,1.1314021373218561,0.04347308448707611,-0.20445923255114132,-1.1129461294948022,0.13536628592971303,-0.003508586275116987,0.506667,0.506667,-8.400000001860755,-5.5500000002472145,2.849999999894668,2.849999999894668,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0048133,200.0000000001819,207.75767145201834,1.038788357259147,0.9405306755128644,True,-2.392176661479041e-05,-3.9999979892359296,-1.2749670763589904e-10,3.9999979893074613,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.4005302010992682,3.9798944098786895,4.763624909,4.217278309,-8.400000001860755,-5.5500000002472145,2.849999999894668,2.849999999894668,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,611.3129695992001,27.675862332696003,130.83437544528,611.3129695992001,27.675862332696003,130.83437544528,607.0251434671255,33.3260638151567,607.9392661530395,-176.85758014679362,127.63437938662655,621.1929540264487,-11.856812387046373,621.1929540264487,False,-9.577160086024946,-2.60404374679365,-16.521255045046374,-20.738533354046375,30.510291454594793,29.340622205321218,21.17177167135157,-599.4660749204724,101.14631159928115,-0.4851703294652859,-0.8060892343317544,-5.0002353
15674,1947961649100,4.545,True,udp,127.0.0.1:62577,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0058333,-0.3582282857,8.881636194,185.7406424,1.9090582061766908,-0.008642904410593703,-1.1538768302306224,14.853400658000448,0.44578522299500645,-1.2243786939101522,-30.1803691032,-6.812614234536,-2.5241299109376003,30.939721915200003,2.5241299109376003,30.416036512992,4.663985516,192.72018693071948,611.1620643384,27.641799817128,130.84701172176,46.95490244,39.34769713,130.87639151568,46.949405,39.347334,4.444492046736,30.336591209856003,-0.23395755229224,2.1844392174984,4.118574227,-0.4407185832,-0.1417510543,1.341300813,559.5645165686985,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1163719422,0.00795906904,0.9859395325,-11.430749495851837,1.0512781780001363,-130.22838600782381,15.379598041464446,1.0512781780001363,-130.22838600782381,26.810347537316282,0.0,0.0,2.2185683546850066,-0.0930654828440717,-0.1986912325199999,1.1066313230685723,0.0428860303243533,-0.2021896471316071,-1.111937031209689,0.1359515132362159,-0.0034984145872024824,0.506667,0.506667,-8.400000001860755,-5.5500000002472145,2.849999999894668,2.849999999894668,13.950000002680929,13.950000002680929,0,0,True,0.005000000000009663,0.004545,199.99999999961346,220.02200220022002,1.1001100110032263,0.9419681847138349,True,-2.392225814155241e-05,-3.999998011489849,-2.1806839667348754e-10,3.999998011561383,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.4001258453170747,3.979935082848156,4.7630619670000005,4.217650678,-8.400000001860755,-5.5500000002472145,2.849999999894668,2.849999999894668,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,611.1620643384,27.641799817128,130.84701172176,611.1620643384,27.641799817128,130.84701172176,606.8742382063255,33.2920012995887,607.7867211029209,-176.8600065470131,127.64701566310656,621.0462615270598,-11.860844895510828,621.0462615270598,False,-9.580193477732564,-2.6006489470131555,-16.524830411510827,-20.74248108951083,30.5082250507083,29.338066338507282,21.1686160349264,-599.3103016159544,101.15266049903681,-0.4854158282126497,-0.806395122901051,-4.9956903
15675,1947966957800,5.3087,True,udp,127.0.0.1:62577,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0108333,-0.3494327011,8.881563275,185.7347902,1.9826398807250625,-0.006432419783929957,-1.159970008344636,14.564754054831246,0.6855229588530882,-1.267736956492143,-30.178561663584002,-6.812539707888001,-2.5237396072224003,30.937942431840003,2.5237396072224003,30.414203799360003,4.663534548,192.72078933854527,611.0111679168,27.607737685608,130.85964601704,46.95490108,39.34769668,130.88901118056,46.949405,39.347334,4.444492046736,30.334771620912004,-0.23042031202104002,2.1845662928856,4.119059203,-0.4340813186,-0.1499706355,1.353988257,559.4964059426939,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171658253,0.007854843143,0.985951196,-11.434332720740015,1.0242282745747961,-130.23130074951942,15.478064328858459,1.0242282745747961,-130.23130074951942,26.912397049598475,0.0,0.0,2.1961202599499066,-0.07167373525309167,-0.20577756348901927,1.0851127849825923,0.0648239471302188,-0.20926518714557574,-1.111007475238478,0.13649768239686866,-0.0034876236836727946,0.506667,0.506667,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0053087,200.0000000001819,188.37003409497615,0.9418501704740242,0.9419669448733278,True,-2.3924528324696312e-05,-3.999997969747765,-7.121693512690541e-11,3.9999979698193124,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.3997193320304794,3.9799759310047804,4.762504072,4.218028726999999,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,611.0111679168,27.607737685608,130.85964601704,611.0111679168,27.607737685608,130.85964601704,606.7233417847254,33.2579391680687,607.6341859903306,-176.86243417497198,127.65964995838657,620.8995814233002,-11.864878941920002,620.8995814233002,False,-9.583223513517282,-2.5972243749719723,-16.528413489920002,-20.746442216920002,30.506198040453995,29.33554739620481,21.165433630313885,-599.1545449490401,101.158960310199,-0.4856618804955065,-0.8067025289873377,-4.9903816
15676,1947973756000,6.7982,True,udp,127.0.0.1:62577,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0158333,-0.3402770456,8.881504622,185.7289065,2.054785821587577,-0.003025995781005313,-1.1662794459406753,14.240231802452337,0.6752270923399551,-1.2536616913397776,-30.176788739520003,-6.8124659127600005,-2.5233558734712003,30.936196781280003,2.5233558734712003,30.412405948752003,4.663090538,192.72137902670804,610.8602806392,27.573675925944,130.8722783616,46.95489972,39.34769623,130.90162892520001,46.949405,39.347334,4.444492046736,30.332986285392,-0.22685583018888,2.1847001851248002,4.119552411,-0.4273914465,-0.156987536,1.365010436,559.429581859248,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178586573,0.007649330068,0.9859792087,-11.43217163233623,1.0103661289811583,-130.23362668011984,15.574719442753826,1.0103661289811583,-130.23362668011984,27.006891075090056,0.0,0.0,2.171082304818809,-0.07294802325840888,-0.20346105741332898,1.0609310954565274,0.06406266036875713,-0.20692397427057654,-1.1101512092266999,0.1370106836407242,-0.003462916843689403,0.506667,0.506667,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0067982,200.0000000001819,147.09776117207497,0.7354888058597059,0.9391972434721736,True,-2.392331190752099e-05,-3.999997989278786,-2.32384139708941e-10,3.9999979893503266,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.39931062644522103,3.980016957172945,4.761952211,4.218414084,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,610.8602806392,27.573675925944,130.8722783616,610.8602806392,27.573675925944,130.8722783616,606.5724545071255,33.2238774084047,607.4816611197803,-176.86486303420074,127.67228230294656,620.7529140207807,-11.868914524114844,620.7529140207807,False,-9.586242060908774,-2.59376953420076,-16.532005062114845,-20.750419146114844,30.504205366545715,29.333060437586493,21.162228037595654,-598.9988196167167,101.16512588153901,-0.4859079854987663,-0.8070113529482588,-4.9835834
15677,1947977704100,3.9481,True,udp,127.0.0.1:62577,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0208333,-0.3307689495,8.881463655,185.7229909,2.1253181574544837,0.00032765432576492337,-1.1725181278326782,13.920039747365061,0.6643197200041927,-1.2394064842081887,-30.175049547672,-6.81239881104,-2.5229784042744003,30.93448548168,2.5229784042744003,30.410642708184,4.662652844,192.7219671678847,610.7094022008,27.5396145168,130.8849088164,46.95489836,39.34769578,130.9142447496,46.949405,39.347334,4.444492046736,30.331234843632004,-0.22325811948744,2.184842908944,4.120057685,-0.4206377031,-0.1637730596,1.377788327,559.3640356999142,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185415386,0.007543509728,0.9860021087,-11.430018679729779,0.9963887891268167,-130.236651426336,15.664360084812547,0.9963887891268167,-130.236651426336,27.094378764542327,0.0,0.0,2.146434522909429,-0.07424620093867385,-0.2011157712544676,1.037072039216665,0.06324379807953605,-0.2045536048017621,-1.1093624835571818,0.13748999904532624,-0.0034378334808593974,0.506667,0.506667,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,0,0,True,0.005000000000009663,0.0039481,199.99999999961346,253.28639092221573,1.2664319546135263,0.9417609109670152,True,-2.3920564882111764e-05,-3.999998014490192,-2.386847386404156e-10,3.999998014561716,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.3988997007119003,3.980058163462969,4.761405969999999,4.218810810999999,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,610.7094022008,27.5396145168,130.8849088164,610.7094022008,27.5396145168,130.8849088164,606.4215760687255,33.1898159992607,607.3291461865978,-176.8672931259469,127.68491275774657,620.6062590352237,-11.872951654251134,620.6062590352237,False,-9.589260293831614,-2.5902840259469144,-16.535604498251132,-20.754415309251133,30.502246572588305,29.33060507407893,21.15899953198332,-598.8431057444183,101.17127314668551,-0.48615470960385165,-0.8073215610633147,-4.9796353
15678,1947981689000,3.9849,True,udp,127.0.0.1:62577,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0258333,-0.3209163807,8.881440152,185.7170439,2.1942585581625504,0.003625568819619233,-1.1786851659360624,13.604177391096142,0.652845110283926,-1.224975183081929,-30.173341405800002,-6.812337966864,-2.5226070707016004,30.93280588128,2.5226070707016004,30.408911367984,4.662221639,192.7225539912585,610.5585322968,27.505553427696,130.89753738144,46.95489701,39.34769534,130.92685871472,46.949405,39.347334,4.444492046736,30.329514598152002,-0.2196278277996,2.1849939437448,4.120574412,-0.4138213582,-0.1704654617,1.390457237,559.2996664373463,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1191749141,0.007436834337,0.9860299599,-11.42787283538147,0.9822985089256637,-130.24033019457625,15.747502818114352,0.9822985089256637,-130.24033019457625,27.17537565349582,0.0,0.0,2.122171593992136,-0.07556669244024339,-0.19874223947587047,1.0135355839945381,0.0623713448216912,-0.20215471814287678,-1.108636009726434,0.13793803722126005,-0.003412478669717957,0.506667,0.506667,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0039849,200.0000000001819,250.94732615623977,1.2547366307800578,0.9442355425400702,True,-2.3921410526466652e-05,-3.9999979752413024,2.1073143230410096e-10,3.999997975312832,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.3984865894989847,3.980099545710601,4.76086574,4.2192185129999995,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,610.5585322968,27.505553427696,130.89753738144,610.5585322968,27.505553427696,130.89753738144,606.2707061647254,33.1557549101567,607.1766408856134,-176.86972445232567,127.69754132278656,620.4596161693539,-11.876990339004053,620.4596161693539,False,-9.592278443584178,-2.5867683523256346,-16.539211978004055,-20.758430491004052,30.500318955661278,29.328178683299353,21.15574999966393,-598.687402491076,101.17740526236898,-0.4864020267652278,-0.8076330925803438,-4.9756504
15679,1947985732800,4.0438,True,udp,127.0.0.1:62577,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0308333,-0.3107271983,8.881433876,185.7110656,2.2616286454200933,0.006864997831388509,-1.184779684198359,13.292631337892328,0.6408443488367281,-1.210369854619765,-30.171661960848002,-6.8122833832800005,-2.5222417459560003,30.931155663600002,2.5222417459560003,30.407209581192,4.661797037,192.7231404708576,610.4076706224,27.471492625104002,130.9101640872,46.95489565,39.34769489,130.93947082056002,46.949405,39.347334,4.444492046736,30.327823211136,-0.21596519674032003,2.1851528201352,4.121102027,-0.4069429093,-0.177069101,1.403016241,559.2363883658804,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1197624368,0.007329309484,0.9860624588,-11.425733280818525,0.9680960276721317,-130.24462281739943,15.824627263258465,0.9680960276721317,-130.24462281739943,27.25036054407699,0.0,0.0,2.09828765686594,-0.07690803646253282,-0.19634071046338566,0.9903207354332635,0.06144899864290937,-0.19972766029866107,-1.1079669214326766,0.13835703513255856,-0.003386949783754313,0.506667,0.506667,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0040438,200.0000000001819,247.29215094712893,1.23646075473452,0.9465799822754105,True,-2.391927884356701e-05,-3.9999980133711186,2.294895662391383e-10,3.999998013442635,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.3980712996895538,3.9801411025414324,4.760331848999999,4.219636838999999,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,610.4076706224,27.471492625104002,130.9101640872,610.4076706224,27.471492625104002,130.9101640872,606.1198444903255,33.1216941075647,607.0241449114948,-176.87215701574638,127.71016802854656,620.3129851320307,-11.881030587820776,620.3129851320307,False,-9.595297486603954,-2.583222615746422,-16.542827624820777,-20.762464463820777,30.498420165507873,29.325778987300012,21.1524810781895,-598.5317078509519,101.18353226960548,-0.48664995055454324,-0.8079458936445643,-4.9716066
15680,1947992280900,6.5481,True,udp,127.0.0.1:62577,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0358333,-0.3002091527,8.881444576,185.7050566,2.3274499658779555,0.010043393250855197,-1.190800816307382,12.985383791684502,0.6283567737988976,-1.1955925511565193,-30.170009024352,-6.812235075528,-2.5218823151280003,30.929532664560003,2.5218823151280003,30.405535168488,4.661379146,192.7237275807103,610.2568174824,27.437432081592,130.92278899464,46.95489429,39.34769444,130.95208112808,46.949405,39.347334,4.444492046736,30.326158521552,-0.21227047264896,2.1853190772576,4.121639957,-0.400002859,-0.1835879586,1.415464398,559.1741210466816,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1203075,0.007220940953,0.9860993117,-11.423599326566592,0.9537821082362276,-130.2494905507952,15.896178882950329,0.9537821082362276,-130.2494905507952,27.31977820951692,0.0,0.0,2.0747769113416585,-0.07826876931871782,-0.19391143748380596,0.9674261713391777,0.06048030061427529,-0.19727277442663763,-1.1073507401380625,0.13874906989231856,-0.003361337014690023,0.506667,0.506667,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0065481,200.0000000001819,152.71605503886622,0.7635802751936367,0.9442143621458667,True,-2.3920396538349223e-05,-3.9999980099226233,-2.5553212323892183e-11,3.9999980099941466,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.3976538729003924,3.980182829110188,4.759804619,4.22006543,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,610.2568174824,27.437432081592,130.92278899464,610.2568174824,27.437432081592,130.92278899464,605.9689913503255,33.087633564052695,606.871658567938,-176.87459082118875,127.72279293598656,620.166366234391,-11.88507240133236,620.166366234391,False,-9.598318401899064,-2.5796474211887244,-16.54645154733236,-20.76651697733236,30.496548016628434,29.323403868424066,21.149194309675508,-598.3760204928849,101.18966385999366,-0.4868984944628516,-0.8082599132994363,-4.9650585
15681,1947999348600,7.0677,True,udp,127.0.0.1:62577,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0408333,-0.2893698858,8.88147199,185.6990172,2.3917439682111983,0.013158400137829476,-1.1967477074101007,12.682413020183493,0.6154200514158858,-1.1806453118489846,-30.16838057244,-6.8121930740879995,-2.5215286736712,30.927934963920002,2.5215286736712,30.403886115144005,4.660968073,192.72431612295745,610.105972572,27.403371760584,130.93541213424,46.95489294,39.34769399,130.96468966776,46.949405,39.347334,4.444492046736,30.324518529912,-0.20854390637592002,2.1854922637032,4.122187624,-0.3930017146,-0.1900256606,1.42780076,559.1127902653486,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1208132537,0.007111734717,0.9861402344,-11.42147041214975,0.9393575401772882,-130.25489585177323,15.962571215008843,0.9393575401772882,-130.25489585177323,27.384041627158595,0.0,0.0,2.051633619597734,-0.07964742847441934,-0.19145467705788713,0.9448502766619409,0.05946864183985044,-0.1947904009726933,-1.1067833430713745,0.13911607028715342,-0.0033357238063407174,0.506667,0.506667,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,0,0,True,0.005000000000009663,0.0070677,199.99999999961346,141.48874457036942,0.7074437228532144,0.9409141640710758,True,-2.3919516953192776e-05,-3.9999980108155877,5.082640697207097e-10,3.9999980108871056,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.39723432990942953,3.980224722665502,4.759284365999999,4.220503916999999,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,610.105972572,27.403371760584,130.93541213424,610.105972572,27.403371760584,130.93541213424,605.8181464399255,33.053573243044696,606.7191815494548,-176.8770258713586,127.73541607558657,620.0197591851759,-11.889115789003665,620.0197591851759,False,-9.601341994316044,-2.5760430713585833,-16.550083862003664,-20.770587779003662,30.494700488881577,29.32105136749767,21.145891101042395,-598.2203385580292,101.1958091798133,-0.4871476729245381,-0.8085751057732055,-4.9579908
15682,1948003435400,4.0868,True,udp,127.0.0.1:62577,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0458333,-0.2782169321,8.88151584,185.6929478,2.4545319847844493,0.016207848540712996,-1.2026195118208098,12.383693790328005,0.6020702522456858,-1.1655301615300087,-30.166774727544,-6.812157412488,-2.521180726488,30.9263607024,2.521180726488,30.402260558832005,4.660563919,192.72490695703578,609.9551358912,27.369311634648,130.948033506,46.95489158,39.34769355,130.9772964396,46.949405,39.347334,4.444492046736,30.322901379984003,-0.20478575328264,2.1856719365976,4.122744448,-0.3859399887,-0.1963854992,1.440024369,559.0523265955056,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121282621,0.007001696929,0.9861849517,-11.419346097194056,0.9248231361854027,-130.26080237836283,16.024187989719877,0.9248231361854027,-130.26080237836283,27.443534086913935,0.0,0.0,2.02885210889187,-0.08104255572031761,-0.18897069004500253,0.9225911745427672,0.05841727005950642,-0.19228087726433366,-1.1062609338067755,0.13945982572559132,-0.003310187254582393,0.506667,0.506667,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0040868,200.0000000001819,244.69022217872174,1.223451110892496,0.9432047854368203,True,-2.3919171772079917e-05,-3.999998005804923,1.5403441022687758e-10,3.999998005876439,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.3968126984421521,3.9802667797688285,4.758771392000001,4.220951921,-8.400000001860755,-5.5500000002472145,2.699999999779589,2.699999999779589,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,609.9551358912,27.369311634648,130.948033506,609.9551358912,27.369311634648,130.948033506,605.6673097591255,33.0195131171087,606.5667138554071,-176.87946216967404,127.74803744734656,619.8731639851785,-11.89316075175203,619.8731639851785,False,-9.604369126709798,-2.572409969674027,-16.55372467075203,-20.77467659175203,30.492875708289624,29.318719667874245,21.142572766040654,-598.0646605816421,101.20197686168237,-0.48739749968283047,-0.808891428053932,-4.953904
