event_monotonic_ns,event,value_json,session_time_s
7534269947300,ATTACK_STATE_COMMAND,"{""previous"":4,""new"":-1}",-2.6166554
7534270381700,SIM_MISSION_STATE,"{""time"":1788167959.5046818,""from"":""HUNTER"",""to"":""AIM_CAMERA"",""reason"":""hunter_correlator_off_target_reaim_before_reacquire""}",-2.616221
7534271007300,TRACKER_DISABLED,"{""state"":false}",-2.6155954
7534319219800,SIM_MISSION_STATE,"{""time"":1788167959.5535603,""from"":""AIM_CAMERA"",""to"":""WAIT_CAMERA_ON_TARGET"",""reason"":""camera_tracking_started""}",-2.5673829
7534370929700,SIM_MISSION_STATE,"{""time"":1788167959.6053145,""from"":""WAIT_CAMERA_ON_TARGET"",""to"":""WAIT_CAPTURE_DISTANCE"",""reason"":""target_visible_prearm_hunter_before_attack_angle""}",-2.515673
7534421735800,SIM_MISSION_STATE,"{""time"":1788167959.6561513,""from"":""WAIT_CAPTURE_DISTANCE"",""to"":""ENABLE_CAPTURE"",""reason"":""capture_distance_reached_immediate_capture""}",-2.4648669
7534472667600,SIM_MISSION_STATE,"{""time"":1788167959.707049,""from"":""ENABLE_CAPTURE"",""to"":""WAIT_TRACKER_LOCK"",""reason"":""direct_ra_capture_sent_wait_real_tracking""}",-2.4139351
7534777996200,TRACKER_LATENCY_CALIBRATION_BEGIN,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-2.1086065
7534778032900,TRACKER_ENABLED,"{""state"":true}",-2.1085698
7534779546300,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.5,""expected_dt_s"":0.040131199733190424,""gap_limit_s"":0.1404591990661665}",-2.1070564
7534878749800,SIM_MISSION_STATE,"{""time"":1788167960.1131248,""from"":""WAIT_TRACKER_LOCK"",""to"":""ENTER_HUNTER"",""reason"":""real_tracking_reacquired_wind_already_attempted""}",-2.0078529
7534929281000,ATTACK_STATE_COMMAND,"{""previous"":-1,""new"":4}",-1.9573217
7534929923300,TRACKER_LATENCY_CALIBRATION_HUNTER,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.042018549999966126}",-1.9566794
7534929998200,CHANNELS_RESET,"{""reason"":""hunter_enter""}",-1.9566045
7534980522600,SIM_MISSION_STATE,"{""time"":1788167960.2147715,""from"":""ENTER_HUNTER"",""to"":""HUNTER"",""reason"":""hunter_confirmed_by_attack_controller""}",-1.9060801
7535172405600,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9190582459135935,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":117.12344811431248}",-1.7141971
7535987034900,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.9500775539224617,""allowed_low"":0.95,""allowed_high"":1.05}",-0.8995678
7536885882000,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.00645121118612697,""effective_s"":0.0,""confidence"":0.03130777851673557,""candidate_s"":0.4,""fit_score"":0.14714091672120005,""excitation"":0.004052799677385765,""samples"":52,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9997606701153972}",-0.0007207
7536886572700,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":8.27330910389348,""hold_pitch_pwm"":1913,""uav_pitch_deg"":8.27330910389348,""frame_pitch_deg"":-25.020689010620117}",-3e-05
7536886602700,ATTACK_SESSION_OPEN,"{""source"":""hunter_transition"",""attack_angle"":25.0,""prebuffer_s"":5.0,""target"":{""target_enabled"":true,""target_frame"":""wgs84_geodetic"",""target_latitude_deg"":46.94944357,""target_longitude_deg"":39.34725978,""target_altitude_m"":3.2,""target_accuracy_mode"":""horizontal"",""target_north_m"":null,""target_east_m"":null,""target_up_m"":null,""target_hit_radius_m"":2.0,""impact_point_enabled"":false,""impact_point_body_x_m"":0.0,""impact_point_body_y_m"":0.0,""impact_point_body_z_m"":0.0,""optimization_primary_metric_requested"":""target_contact_horizontal_m"",""target_validate_bearing"":true,""target_bearing_warning_deg"":10.0,""target_validation_confirm_s"":1.0,""target_validation_min_distance_m"":10.0},""run_context"":{""experiment_id"":""exp_1788167668787_ec07c8"",""scenario_id"":""attack_25_wind_8_0"",""run_id"":""exp_1788167668787_ec07c8_run_0002"",""sequence_index"":1,""repeat_index"":1,""target"":{""latitude_deg"":46.94944357,""longitude_deg"":39.34725978,""altitude_m"":3.2},""loiter"":{""center"":{""latitude_deg"":46.95708976,""longitude_deg"":39.34692545,""altitude_m"":250.0},""radius_m"":250.0,""clockwise"":false,""arrival_tolerance_m"":75.0,""arrival_hold_s"":0.5},""rally"":{""point"":{""latitude_deg"":46.9494997,""longitude_deg"":39.34766168,""altitude_m"":48.0},""repeat_count"":5},""initial_position"":{""point"":{""latitude_deg"":46.949405,""longitude_deg"":39.3473335,""altitude_m"":48.0},""altitude_offset_m"":0.5,""send_count"":10,""send_interval_s"":0.02,""relay_statustext"":true,""settle_s"":0.5},""truth_navigation"":{""enabled"":true,""require_fresh"":true,""stale_timeout_s"":1.0,""wait_timeout_s"":6.0,""gps_correction_enabled"":false,""gps_correction_interval_s"":6.0,""gps_correction_send_count"":10,""gps_correction_send_interval_s"":0.02,""gps_correction_relay_statustext"":true},""wind"":{""speed_mps"":8.0,""direction_from_deg"":0.0},""camera"":{""zoom"":12.0,""target_fov"":18.0,""fov_control_on"":true,""yaw_speed_deg_s"":30.0,""pitch_speed_deg_s"":30.0,""yaw_mode"":2,""pitch_mode"":2,""alignment_tolerance_deg"":1.0,""alignment_hold_s"":6.0,""target_yaw_offset_deg"":-0.28,""target_pitch_offset_deg"":0.0,""final_alignment_tolerance_deg"":0.35,""final_alignment_hold_s"":0.75,""level_roll_tolerance_deg"":5.0,""level_flight_path_tolerance_deg"":3.5,""level_pitch_fallback_tolerance_deg"":7.0,""level_hold_s"":0.8,""zoom_tolerance"":2.0,""zoom_settle_s"":0.8,""zoom_stable_tolerance_deg"":0.15},""capture"":{""distance_m"":2000.0,""tracker_enabled"":1.0,""target_zone"":1.0,""x"":0.5,""y"":0.5,""detector"":2.0,""param6"":0.0,""param7"":0.0,""lock_timeout_s"":8.0,""retry_interval_s"":1.0,""require_target_offset"":true,""target_offset_stale_s"":0.75,""latency_calibration_hold_s"":2.5,""reacquire_enabled"":true,""reacquire_error_px"":5.0,""reacquire_hold_s"":0.3,""reacquire_interval_s"":1.0,""reacquire_grace_s"":2.0,""reacquire_projection_stable_px"":60.0},""timeouts"":{""prestart_param_s"":5.0,""rally_s"":10.0,""initial_position_s"":3.0,""start_s"":30.0,""loiter_reach_s"":180.0,""azimuth_s"":180.0,""turn_s"":90.0,""camera_s"":60.0,""zoom_s"":10.0,""wind_s"":15.0,""distance_s"":180.0,""hunter_s"":45.0,""attack_s"":120.0},""trigger_relative_azimuth_deg"":120.0,""trigger_tolerance_deg"":2.0,""heading_tolerance_deg"":5.0,""attack_angle_deg"":25.0,""mission_mode"":""HUNTER"",""direct_attack_pitch_tolerance_deg"":1.0,""start_custom_mode"":13.0,""start_settle_s"":3.0,""start_retry_interval_s"":10.0,""start_ready_altitude_m"":20.0,""user_cell_count_g"":1.0,""metadata"":{""generated_by"":""Flight Guidance AI Analyzer"",""queue_index"":1,""attack_angle_deg"":25,""wind_speed_mps"":8,""wind_direction_from_deg"":0}}}",0.0
7536886602700,TARGET_REFERENCE_CONFIGURED,"{""target_enabled"":true,""target_frame"":""wgs84_geodetic"",""target_latitude_deg"":46.94944357,""target_longitude_deg"":39.34725978,""target_altitude_m"":3.2,""target_accuracy_mode"":""horizontal"",""target_north_m"":null,""target_east_m"":null,""target_up_m"":null,""target_hit_radius_m"":2.0,""impact_point_enabled"":false,""impact_point_body_x_m"":0.0,""impact_point_body_y_m"":0.0,""impact_point_body_z_m"":0.0,""optimization_primary_metric_requested"":""target_contact_horizontal_m"",""target_validate_bearing"":true,""target_bearing_warning_deg"":10.0,""target_validation_confirm_s"":1.0,""target_validation_min_distance_m"":10.0}",0.0
7536908502100,CHANNELS_RESET,"{""reason"":""hunter_to_attack""}",0.0218994
7536947067300,SIM_MISSION_STATE,"{""time"":1788167962.1814582,""from"":""HUNTER"",""to"":""ATTACK"",""reason"":""attack_controller_transition""}",0.0604646
7537110171700,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.16137190000063129,""expected_dt_s"":0.041506395828875,""gap_limit_s"":0.1452723854010625}",0.223569
7537110680900,PITCH_SLEW_LIMIT_ENTER,"{""active"":true}",0.2240782
7537852090500,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9193416711259206,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":122.60912211868563}",0.9654878
7539907776600,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.9516081774439753,""allowed_low"":0.95,""allowed_high"":1.05}",3.0211739
7542209466300,ROLL_WIND_BIAS_LEARNING_ENTER,"{""active"":true}",5.3228636
7543693060400,ROLL_WIND_BIAS_LEARNING_EXIT,"{""active"":false}",6.8064577
7554054519600,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9252608790625829,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":302.8926245645918}",17.1679169
7554678494500,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.9526428707653206,""allowed_low"":0.95,""allowed_high"":1.05}",17.7918918
7556444895000,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9353084297202258,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":316.02566128369625}",19.5582923
7556686338900,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.9514627862380005,""allowed_low"":0.95,""allowed_high"":1.05}",19.7997362
7558165055100,ROLL_WIND_BIAS_LEARNING_ENTER,"{""active"":true}",21.2784524
