truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15575,7692357207100,4.3322,True,udp,127.0.0.1:57631,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5725,0.961515694,7.60552516,185.5750254,2.6954949025373263,0.3202056925141227,0.16607540203018478,-3.411256699672472,0.3907438129629284,1.6703402682724713,-38.59679757384,-3.4190896962240003,-1.8870830485848,38.74794131016,1.8870830485848,30.84502753512,2.788187696,185.0623211241803,580.73931858,46.28946192432,110.75635929456001,46.9546288,39.3479421,110.78300070432,46.949405,39.347334,4.444492046736,30.763181602800003,0.46741697220000006,2.1963383543808,4.083704898,0.8682775481,0.1047979515,0.1599865545,576.5742974539877,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1378414863,-0.01246019692,1.008604865,-11.835575895305324,-1.6458122239198254,-133.22214942630796,18.20689967918483,-1.6458122239198254,-133.22214942630796,30.042475574490155,0.0,0.0,0.9130350371963665,-0.10151587449731393,0.2745953419633309,-0.2542563192590073,0.03503189120444801,0.27434768662990716,-1.1672913564553737,0.13654776576955283,-0.0002476554037907031,0.55,0.55,-8.25000000059976,-5.5500000002472145,2.699999999779589,2.699999999779589,13.800000001419933,13.800000001419933,0,0,True,0.005000000000009663,0.0043322,199.99999999961346,230.8296015881077,1.154148007942769,0.9362718927611681,True,-7.9999960029358075,2.924251434440698e-05,2.376541186066561e-10,7.999996002989253,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.9621518942063085,-0.7772213553790841,3.5218202620000003,4.8173374639999995,-8.25000000059976,-5.5500000002472145,2.699999999779589,2.699999999779589,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.73931858,46.28946192432,110.75635929456001,580.73931858,46.28946192432,110.75635929456001,576.4514924479255,51.939663406780696,578.7867066374714,-174.85141550435748,107.55636323590657,588.6955266118341,-10.5272341814928,588.6955266118341,False,0.0862633714622234,-0.4264409043574915,-13.315421877492799,-18.1327593414928,38.74789741357558,37.750924100284045,15.59420174849189,-578.7860506491887,-0.8714092982581079,0.005775058127919586,-0.8695819501761781,-5.0044406
15576,7692360284300,3.0772,True,udp,127.0.0.1:57631,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5775,0.9750746059,7.607117453,185.5759078,2.6785606570554337,0.32216731705922663,0.17442976083287987,-3.352824766624041,0.39446249532190664,1.671601472138438,-38.596926016560005,-3.419349547368,-1.8879610213272002,38.74809221664,1.8879610213272002,30.84523748136,2.789472018,185.06268712961983,580.5463350696001,46.2723673992,110.76581464776,46.95462706,39.34794187,110.79243831816001,46.949405,39.347334,4.444492046736,30.763394901839998,0.4677088965336,2.1962373881616,4.083489589,0.868813956,0.1077361285,0.1518978508,576.5816231336117,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1378365587,-0.01246753858,1.008563073,-11.836072112219393,-1.6467819509110835,-133.2166293612123,18.206248641917444,-1.6467819509110835,-133.2166293612123,30.04232075413684,0.0,0.0,0.9173884190817388,-0.1011190261364174,0.27477432267719937,-0.2498998406854409,0.03533489597525816,0.2745485543129155,-1.1672882597671799,0.1364539221523501,-0.00022576828198568832,0.55,0.55,-8.25000000059976,-5.5500000002472145,2.699999999779589,2.699999999779589,13.800000001419933,13.800000001419933,0,0,True,0.0049999999999954525,0.0030772,200.0000000001819,324.9707526322631,1.6248537631598376,0.9404837793892855,True,-7.99999597504885,2.925208742795768e-05,1.6595653740125726e-09,7.999995975102331,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.9621399234428205,-0.7773439786789141,3.523627864,4.817645434999999,-8.25000000059976,-5.5500000002472145,2.699999999779589,2.699999999779589,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.5463350696001,46.2723673992,110.76581464776,580.5463350696001,46.2723673992,110.76581464776,576.2585089375256,51.922568881660695,578.5929677088817,-174.85138653257323,107.56581858910656,588.5067778801834,-10.531585384241403,588.5067778801834,False,0.08592633780693859,-0.4272943325732399,-13.321057402241403,-18.138702837241404,38.74804862743996,37.75023366014361,15.589487026182944,-578.5923170539611,-0.8677144112768005,0.005754445292025698,-0.8702266891090858,-5.0013634
15577,7692363442500,3.1582,True,udp,127.0.0.1:57631,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5825,0.9885551313,7.608718669,185.5768329,2.6619170129024425,0.3241467265580661,0.18279027148342122,-3.2951379388321196,0.39779470716294146,1.6727886573057251,-38.59705202088001,-3.419620505424,-1.8888369784272,38.7482416296,1.8888369784272,30.84544614744,2.790753458,185.0630697508354,580.3533509496,46.25527153296,110.77527432912001,46.95462533,39.34794165,110.80188032112001,46.949405,39.347334,4.444492046736,30.76360655496,0.46798625264640004,2.1961439108784,4.083288374,0.8693233303,0.1106333646,0.1438155353,576.5888999753715,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1378318362,-0.01247446156,1.008524986,-11.836542760755618,-1.6476963767215762,-133.21159851152987,18.205624703216134,-1.6476963767215762,-133.21159851152987,30.042167463971754,0.0,0.0,0.9216863934329258,-0.10075681745981736,0.27494106604942975,-0.2455987878140205,0.035603199073775224,0.27473738314603346,-1.1672851812469462,0.13636001657426713,-0.00020368296915345877,0.55,0.55,-8.25000000059976,-5.5500000002472145,2.699999999779589,2.699999999779589,13.800000001419933,13.800000001419933,0,0,True,0.0049999999999954525,0.0031582,200.0000000001819,316.63605851434363,1.5831802925702783,0.9445178269868963,True,-7.999995988252598,2.925472646230637e-05,3.757805178139506e-10,7.999995988306089,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.962127371377296,-0.7774725356145192,3.5254302949999996,4.817965211,-8.25000000059976,-5.5500000002472145,2.699999999779589,2.699999999779589,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.3533509496,46.25527153296,110.77527432912001,580.3533509496,46.25527153296,110.77527432912001,576.0655248175254,51.9054730154207,578.3992280529475,-174.85135766827557,107.57527827046657,588.3180326211444,-10.53593980629935,588.3180326211444,False,0.08557258088899289,-0.4281905682755678,-13.326693264299351,-18.14465847529935,38.748198409824326,37.749541325762166,15.584773005431112,-578.3985829610058,-0.8638523867442771,0.00573269398971039,-0.8708718194906826,-4.9982052
15578,7692368223400,4.7809,True,udp,127.0.0.1:57631,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5875,1.001958723,7.610328872,185.5778007,2.6455602733546586,0.32614200589921094,0.19115656385107327,-3.238183105876439,0.40074877837564166,1.6739018472656022,-38.59717555632,-3.4199025185760004,-1.8897110969736,38.74838957952,1.8897110969736,30.845653472400002,2.792032281,185.06346898782706,580.1603659152,46.23817429512,110.78473843008,46.95462359,39.34794142,110.81132668272001,46.949405,39.347334,4.444492046736,30.76381659264,0.4682490368808,2.1960577783608,4.083100986,0.8698056636,0.1134885438,0.1357401273,576.5961275004646,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1378273152,-0.01248096569,1.008490528,-11.836988303529045,-1.6485554786653738,-133.20704709117314,18.205027387121195,-1.6485554786653738,-133.20704709117314,30.042015690650242,0.0,0.0,0.92592993643885,-0.10042850551995267,0.27509559472218187,-0.24135218459140503,0.03583754751501421,0.27491417394275175,-1.167282121030255,0.13626605296717598,-0.00018142081142737476,0.55,0.55,-8.25000000059976,-5.5500000002472145,2.699999999779589,2.699999999779589,13.800000001419933,13.800000001419933,0,0,True,0.005000000000009663,0.0047809,199.99999999961346,209.16563826894517,1.045828191346747,0.9454773615512351,True,-7.999995996749581,2.9241642858355253e-05,-8.31158031289192e-10,7.9999959968030225,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.962114237722315,-0.7776070261578094,3.5272278860000004,4.818296591,-8.25000000059976,-5.5500000002472145,2.699999999779589,2.699999999779589,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.1603659152,46.23817429512,110.78473843008,580.1603659152,46.23817429512,110.78473843008,575.8725397831255,51.88837577758069,578.205487363362,-174.85132891187013,107.58474237142656,588.1292905545762,-10.540297464930534,588.1292905545762,False,0.0852021003028085,-0.4291296118701666,-13.332329745930533,-18.150626336930536,38.74834672573777,37.748847027531646,15.58005970687347,-578.2048480595629,-0.8598241219163398,0.005709807894845052,-0.8715173595094505,-4.9934243
15579,7692374069200,5.8458,True,udp,127.0.0.1:57631,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5925,1.015286831,7.611948297,185.5788112,2.6295402060991244,0.3285732493423328,0.1994297311537473,-3.1500485411092294,0.6563179661895231,1.6158370483835576,-38.59729586088,-3.4201933374,-1.8905838789720002,38.74853506056,1.8905838789720002,30.84585854184,2.793309295,185.06388163203113,579.967380576,46.22107562472,110.79420685920002,46.95462185,39.3479412,110.82077743344,46.949405,39.347334,4.444492046736,30.76402410048,0.46849513514400004,2.1959785242648002,4.08292668,0.870257058,0.1165140386,0.1259128025,576.6032693198941,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377788316,-0.01259143126,1.008480269,-11.84324409558344,-1.6631463857475048,-133.2056920294225,18.19862321573838,-1.6631463857475048,-133.2056920294225,30.04186731132182,0.0,0.0,0.93248511433774,-0.0771671492982271,0.26554419229880216,-0.23479396518611173,0.05900599347817086,0.26538989316602873,-1.1672790795238517,0.13617314283063067,-0.0001542991693805293,0.55,0.55,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0058458,200.0000000001819,171.06298539122105,0.8553149269553273,0.9444354006213217,True,-7.999996003806812,2.921129787776186e-05,-1.084658363126323e-09,7.999996003860144,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.962100522177194,-0.7777474502793718,3.5290216169999997,4.818639001999999,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,579.967380576,46.22107562472,110.79420685920002,579.967380576,46.22107562472,110.79420685920002,575.6795544439254,51.8712771071807,578.0117462417926,-174.85130027490638,107.59421080054658,587.9405522595621,-10.544658343715648,587.9405522595621,False,0.08481809306249488,-0.4301114749063686,-13.337967638715648,-18.156606640715648,38.74849261441666,37.74814973145101,15.575347571796392,-578.0111128999771,-0.8556620924970844,0.005686000383185259,-0.8721633385580306,-4.9875785
15580,7692378310200,4.241,True,udp,127.0.0.1:57631,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5975,1.028541298,7.613581399,185.5798636,2.6139047092615977,0.3318578271911538,0.20751111962751695,-3.0951073666056623,0.6576528335203363,1.6168808531544445,-38.597412599280005,-3.420492038352,-1.8914556984120001,38.74867770696,1.8914556984120001,30.84606089856,2.794585081,185.06430636564465,579.7743946272001,46.20397546080001,110.80367964696,46.95462012,39.34794098,110.83023251232001,46.949405,39.347334,4.444492046736,30.764228560320003,0.46872426945840007,2.1959081179032003,4.082769177,0.8706770083,0.1208254618,0.1182420713,576.6103105907798,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377749413,-0.01259699844,1.008455396,-11.84361405417518,-1.6638817301591668,-133.20240675086632,18.198109174800297,-1.6638817301591668,-133.20240675086632,30.041723228975478,0.0,0.0,0.9365791065565093,-0.07698714208103177,0.2656741479914769,-0.23069695179820804,0.05909524759738577,0.26555648238175844,-1.1672760583547173,0.13608238966485936,-0.00011766560082433868,0.55,0.55,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.004241,200.0000000001819,235.7934449422306,1.1789672247100809,0.9464079682347455,True,-7.999995986526359,2.9234531313383424e-05,7.787639422218717e-10,7.9999959865797745,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.962086235289424,-0.777893696776818,3.530812222,4.818996318,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,579.7743946272001,46.20397546080001,110.80367964696,579.7743946272001,46.20397546080001,110.80367964696,575.4865684951255,51.85417694326071,577.8180043791971,-174.85127176081238,107.60368358830657,587.7518174421328,-10.549022454134619,587.7518174421328,False,0.08442187354296493,-0.4311353608123909,-13.34360753513462,-18.16260385313462,38.74863565906908,37.74744895728205,15.570636789449757,-577.8173771507758,-0.8513796779430294,0.00566135852504863,-0.872809786561497,-4.9833375
15581,7692381753900,3.4437,True,udp,127.0.0.1:57631,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6025,1.041723681,7.615229963,185.5809574,2.598542459434316,0.33514802312033926,0.21559757980909755,-3.040864120013754,0.6584832945914173,1.6178539641007368,-38.59752680784,-3.4208016724800006,-1.8923263538208002,38.748818829360005,1.8923263538208002,30.846261944640002,2.795859251,185.06474748585111,579.581407764,46.18687380336,110.81315679336001,46.95461838,39.34794075,110.83969198032,46.949405,39.347334,4.444492046736,30.764431130400002,0.46893965485440003,2.1958478312064003,4.082630675,0.8710714505,0.1250566338,0.1105791208,576.6173011085909,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377713179,-0.01260217089,1.008435515,-11.84395054879571,-1.664564936520454,-133.19978069875353,18.197630386018517,-1.664564936520454,-133.19978069875353,30.041580934814228,0.0,0.0,0.9406212392810823,-0.07685255041292995,0.26579252188049163,-0.2266518187840972,0.05913903745296831,0.2657115524326173,-1.1672730580651796,0.1359915878252237,-8.096944030888708e-05,0.55,0.55,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,0,0,True,0.005000000000009663,0.0034437,199.99999999961346,290.38534134796873,1.4519267067426498,0.9498658620961637,True,-7.999995995666974,2.9227410249759236e-05,-5.424634075268386e-10,7.999995995720364,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.962071383527894,-0.7780456961365586,3.532599288,4.819370712,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,579.581407764,46.18687380336,110.81315679336001,579.581407764,46.18687380336,110.81315679336001,575.2935816319255,51.8370752858207,577.6242614720029,-174.8512433669984,107.61316073470657,587.5630858081458,-10.553389804671179,587.5630858081458,False,0.08400914715048202,-0.4322007669983918,-13.349249055671178,-18.168619767671178,38.74877716564817,37.74674602416457,15.565926806829967,-577.62364057007,-0.8469330878292922,0.005635589463153475,-0.8734567088795478,-4.9798938
15582,7692387171400,5.4175,True,udp,127.0.0.1:57631,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6075,1.054835345,7.616893993,185.5820927,2.5834499919414915,0.33844134281542376,0.22368875829812107,-2.987306711351068,0.658822638585866,1.618756386952013,-38.59763845608,-3.42112220016,-1.8931960838568,38.748958305840006,1.8931960838568,30.84646158864,2.797132158,185.0652050499463,579.3884205960001,46.16977056096,110.82263826792,46.95461665,39.34794053,110.84915577648,46.949405,39.347334,4.444492046736,30.7646318412,0.46914129133200005,2.1957974233824,4.082510727,0.871440385,0.1292066056,0.102924431,576.6242403945249,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377679555,-0.01260694855,1.008420501,-11.844254335642704,-1.66519599726939,-133.19779759259302,18.1971860798507,-1.66519599726939,-133.19779759259302,30.04144041104518,0.0,0.0,0.9446124116899222,-0.07676217984542548,0.26589933999755094,-0.22265766696531594,0.059138561357495754,0.2658551014204602,-1.167270078655238,0.13590074124359577,-4.4238493911289626e-05,0.55,0.55,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0054175,200.0000000001819,184.58698661744347,0.922934933086378,0.9495771932077487,True,-7.999996002911461,2.9228582534100017e-05,-5.06292563429156e-10,7.999996002964855,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.962055965204899,-0.7782034622227635,3.534383266,4.8197618349999996,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,579.3884205960001,46.16977056096,110.82263826792,579.3884205960001,46.16977056096,110.82263826792,575.1005944639255,51.819972043420705,577.4305181191426,-174.8512151080503,107.62264220926656,587.3743579451228,-10.557760384775392,587.3743579451228,False,0.08357984200341662,-0.43330780805030145,-13.354892542775392,-18.17465437777539,38.748917100270155,37.74604085640251,15.561217669945165,-577.4299037523818,-0.8423228932816116,0.0056086947222453954,-0.8741041266432087,-4.9744763
15583,7692398895800,11.7244,True,udp,127.0.0.1:57631,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6125,1.06787764,7.618573484,185.5832695,2.5686239028408635,0.34173535836775043,0.23178430163692365,-2.9344232849749083,0.6586841340603022,1.6195881348863015,-38.59774748304,-3.42145357872,-1.8940651210824002,38.749096197360004,1.8940651210824002,30.846659861040003,2.798404149,185.0656788860429,579.1954328184,46.15266567264,110.83212410112,46.95461491,39.3479403,110.85862393128001,46.949405,39.347334,4.444492046736,30.764830692720004,0.4693291795008,2.1957566545536,4.082408888,0.8717838147,0.1332745153,0.0952784829,576.6311274909766,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377648483,-0.01261133142,1.008410231,-11.844526179810277,-1.6657749101818637,-133.19644106292924,18.19677546896162,-1.6657749101818637,-133.19644106292924,30.041301648771892,0.0,0.0,0.9485535056070223,-0.07671483773326013,0.26599462918785016,-0.21871361492461605,0.05909501583386568,0.2659871293452872,-1.1672671205316383,0.13580985358068398,-7.499827800844153e-06,0.55,0.55,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0117244,200.0000000001819,85.29221111528096,0.42646105557601693,0.9375917908230872,True,-7.99999597330546,2.9224887908489358e-05,1.775505076295758e-09,7.999995973358842,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.96203997997763,-0.7783669950018637,3.536164596,4.820169334999999,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,579.1954328184,46.15266567264,110.83212410112,579.1954328184,46.15266567264,110.83212410112,574.9076066863255,51.8028671551007,577.236774011573,-174.85118698741508,107.63212804246656,587.1856335591307,-10.562134205953813,587.1856335591307,False,0.08313412654206331,-0.4344564874151047,-13.360538354953812,-18.180707689953813,38.7490553984092,37.74533334577647,15.556509414821052,-577.2361663839615,-0.8375497808424015,0.005580676615519506,-0.8747520626039118,-4.9627519
15584,7692404628400,5.7326,True,udp,127.0.0.1:57631,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6175,1.080851896,7.620268415,185.5844879,2.5540608466318666,0.34502770804528776,0.23988385653972888,-2.8822022184364005,0.6580810197775403,1.620349227957126,-38.59785388872,-3.421795771584,-1.8949336925736,38.749232412480005,1.8949336925736,30.84685670088,2.799675561,185.06616899414084,579.002444736,46.135559138400005,110.84161426248,46.95461317,39.34794008,110.86809644472,46.949405,39.347334,4.444492046736,30.76502765448,0.469503322104,2.195725283928,4.082324712,0.8721017451,0.1372595869,0.08764175806,576.637961440341,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377619904,-0.0126153195,1.008404581,-11.844766846392549,-1.6663016779268083,-133.19569482927105,18.19639778380893,-1.6663016779268083,-133.19569482927105,30.04116463020148,0.0,0.0,0.9524453852307432,-0.07670933398011338,0.2660784167033301,-0.21481879832805542,0.05900959488315429,0.2661076368850072,-1.1672641836943805,0.13571892890394222,2.9220230323801828e-05,0.55,0.55,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,0,0,True,0.005000000000009663,0.0057326,199.99999999961346,174.44091686145902,0.8722045843089808,0.9368506111956264,True,-7.9999959688197375,2.9250751680618553e-05,9.842833215145674e-10,7.999995968873213,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.962023426131945,-0.7785363083354074,3.537943703,4.820592854,-8.25000000059976,-5.5500000002472145,2.5500000002374676,2.5500000002374676,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,579.002444736,46.135559138400005,110.84161426248,579.002444736,46.135559138400005,110.84161426248,574.7146186039255,51.7857606208607,577.043029452862,-174.85115900794796,107.64161820382655,586.9969129473126,-10.566511262922017,586.9969129473126,False,0.08267199791123403,-0.43564690794795524,-13.366186823922018,-18.18677967792202,38.749192056799714,37.74462344785376,15.551802066810405,-577.0424287635553,-0.8326144328695548,0.005551537433405027,-0.8754005381492482,-4.9570193
