recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
7692370603600,gimbal,2628,"{""imu_roll"":0.0,""imu_pitch"":18.011884689331055,""imu_yaw"":-0.504751980304718,""frame_roll"":0.0,""frame_pitch"":18.011884689331055,""frame_yaw"":-0.504751980304718,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9910441
7692370969300,fov,2628,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9906784
7692394116400,gimbal,2629,"{""imu_roll"":0.0,""imu_pitch"":18.040040969848633,""imu_yaw"":-0.48238641023635864,""frame_roll"":0.0,""frame_pitch"":18.040040969848633,""frame_yaw"":-0.48238641023635864,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9675313
7692394537500,fov,2629,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9671102
7692397227700,vfr,494,"{""message_type"":""VFR_HUD"",""airspeed"":30.009511947631836,""alt"":160.8199920654297}",-4.96442
7692397366800,position,494,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544676,""lon"":393492322}",-4.9642809
7692397464300,attitude,988,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111610,""roll"":-0.009854815900325775,""pitch"":0.1751127988100052,""yaw"":-3.0604639053344727,""rollspeed"":0.04459695518016815,""pitchspeed"":0.008172046393156052,""yawspeed"":0.0021030523348599672}",-4.9641834
7692419287100,gimbal,2630,"{""imu_roll"":0.0,""imu_pitch"":18.068994522094727,""imu_yaw"":-0.4593871235847473,""frame_roll"":0.0,""frame_pitch"":18.068994522094727,""frame_yaw"":-0.4593871235847473,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9423606
7692420195400,fov,2630,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9414523
7692422581500,range,1007,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94761657714844,""y"":39.34844970703125}",-4.9390662
7692430702000,target_offset,238,"{""x_angle_offset"":0.08356969803571701,""y_angle_offset"":0.12927249360967566}",-4.9309457
7692437009200,gimbal,2631,"{""imu_roll"":0.0,""imu_pitch"":18.095134735107422,""imu_yaw"":-0.44134214520454407,""frame_roll"":0.0,""frame_pitch"":18.095134735107422,""frame_yaw"":-0.44134214520454407,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9246385
7692437285000,fov,2631,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9243627
7692442637200,range,1008,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94761657714844,""y"":39.34844970703125}",-4.9190105
7692460654300,gimbal,2632,"{""imu_roll"":0.0,""imu_pitch"":18.116107940673828,""imu_yaw"":-0.42804643511772156,""frame_roll"":0.0,""frame_pitch"":18.116107940673828,""frame_yaw"":-0.42804643511772156,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9009934
7692460925800,fov,2632,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9007219
7692466746300,attitude,989,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111670,""roll"":-0.006960404571145773,""pitch"":0.17486955225467682,""yaw"":-3.0603110790252686,""rollspeed"":0.041294921189546585,""pitchspeed"":0.008872437290847301,""yawspeed"":0.0037658747751265764}",-4.8949014
7692469925200,target_offset,239,"{""x_angle_offset"":0.08356969803571701,""y_angle_offset"":0.13687675793965656}",-4.8917225
7692480129300,gimbal,2633,"{""imu_roll"":0.0,""imu_pitch"":18.1424503326416,""imu_yaw"":-0.4066467881202698,""frame_roll"":0.0,""frame_pitch"":18.1424503326416,""frame_yaw"":-0.4066467881202698,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8815184
7692481717600,fov,2633,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8799301
7692505887500,gimbal,2634,"{""imu_roll"":0.0,""imu_pitch"":18.168899536132812,""imu_yaw"":-0.39417630434036255,""frame_roll"":0.0,""frame_pitch"":18.168899536132812,""frame_yaw"":-0.39417630434036255,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8557602
7692506194700,fov,2634,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.855453
7692507294600,position,495,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544676,""lon"":393492322}",-4.8543531
7692507420500,attitude,990,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111710,""roll"":-0.005180056206882,""pitch"":0.17472775280475616,""yaw"":-3.0601556301116943,""rollspeed"":0.0377078652381897,""pitchspeed"":0.009265591390430927,""yawspeed"":0.00487595796585083}",-4.8542272
7692507663800,vfr,495,"{""message_type"":""VFR_HUD"",""airspeed"":30.01673126220703,""alt"":161.01998901367188}",-4.8539839
7692511687500,target_offset,240,"{""x_angle_offset"":0.06077796220779419,""y_angle_offset"":0.12927249360967566}",-4.8499602
7692523526100,gimbal,2635,"{""imu_roll"":0.0,""imu_pitch"":18.19208335876465,""imu_yaw"":-0.38084909319877625,""frame_roll"":0.0,""frame_pitch"":18.19208335876465,""frame_yaw"":-0.38084909319877625,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8381216
7692523871600,fov,2635,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8377761
7692550423100,gimbal,2636,"{""imu_roll"":0.0,""imu_pitch"":18.214679718017578,""imu_yaw"":-0.36992040276527405,""frame_roll"":0.0,""frame_pitch"":18.214679718017578,""frame_yaw"":-0.36992040276527405,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8112246
7692553488500,fov,2636,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8081592
7692557536500,target_offset,241,"{""x_angle_offset"":0.053180716931819916,""y_angle_offset"":0.12927249360967566}",-4.8041112
7692568047700,attitude,991,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111770,""roll"":-0.0027248470578342676,""pitch"":0.17454567551612854,""yaw"":-3.059845209121704,""rollspeed"":0.033340297639369965,""pitchspeed"":0.009896663017570972,""yawspeed"":0.0063549308106303215}",-4.7936
7692570437800,gimbal,2637,"{""imu_roll"":0.0,""imu_pitch"":18.238744735717773,""imu_yaw"":-0.3563538193702698,""frame_roll"":0.0,""frame_pitch"":18.238744735717773,""frame_yaw"":-0.3563538193702698,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7912099
7692570706200,fov,2637,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7909415
7692576441500,range,1009,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94761657714844,""y"":39.34844970703125}",-4.7852062
7692588907600,range,1010,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94761657714844,""y"":39.34844970703125}",-4.7727401
7692596992100,gimbal,2638,"{""imu_roll"":0.0,""imu_pitch"":18.25992202758789,""imu_yaw"":-0.34672871232032776,""frame_roll"":0.0,""frame_pitch"":18.25992202758789,""frame_yaw"":-0.34672871232032776,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7646556
7692597290500,fov,2638,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7643572
7692601984900,target_offset,242,"{""x_angle_offset"":0.03798622637987137,""y_angle_offset"":0.12927249360967566}",-4.7596628
7692611877300,vfr,496,"{""message_type"":""VFR_HUD"",""airspeed"":30.021785736083984,""alt"":161.22999572753906}",-4.7497704
7692611991600,position,496,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544093,""lon"":393492250}",-4.7496561
7692612061800,attitude,992,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111810,""roll"":-0.0011377802584320307,""pitch"":0.1745760291814804,""yaw"":-3.0595693588256836,""rollspeed"":0.030024532228708267,""pitchspeed"":0.010400983504951,""yawspeed"":0.007346377708017826}",-4.7495859
