recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
7988597834300,range,1021,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9481086730957,""y"":39.34823989868164}",-5.0012144
7988608200300,gimbal,2719,"{""imu_roll"":0.0,""imu_pitch"":21.593830108642578,""imu_yaw"":1.2775957584381104,""frame_roll"":0.0,""frame_pitch"":21.593830108642578,""frame_yaw"":1.2775957584381104,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9908484
7988608503400,fov,2719,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9905453
7988630661400,gimbal,2720,"{""imu_roll"":0.0,""imu_pitch"":21.609495162963867,""imu_yaw"":1.3056033849716187,""frame_roll"":0.0,""frame_pitch"":21.609495162963867,""frame_yaw"":1.3056033849716187,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9683873
7988630940700,fov,2720,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.968108
7988640715400,target_offset,228,"{""x_angle_offset"":0.15194490551948547,""y_angle_offset"":0.09125117195977105}",-4.9583333
7988641584600,attitude,1005,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112570,""roll"":0.02798597142100334,""pitch"":0.1696268618106842,""yaw"":-3.079310417175293,""rollspeed"":0.026969345286488533,""pitchspeed"":0.004948860500007868,""yawspeed"":0.009963199496269226}",-4.9574641
7988652673700,gimbal,2721,"{""imu_roll"":0.0,""imu_pitch"":21.62732696533203,""imu_yaw"":1.3348753452301025,""frame_roll"":0.0,""frame_pitch"":21.62732696533203,""frame_yaw"":1.3348753452301025,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.946375
7988653087900,fov,2721,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9459608
7988681063700,gimbal,2722,"{""imu_roll"":0.0,""imu_pitch"":21.642335891723633,""imu_yaw"":1.3542401790618896,""frame_roll"":0.0,""frame_pitch"":21.642335891723633,""frame_yaw"":1.3542401790618896,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.917985
7988681357800,fov,2722,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9176909
7988684590900,target_offset,229,"{""x_angle_offset"":0.06837520748376846,""y_angle_offset"":0.09125117195977105}",-4.9144578
7988685837300,vfr,503,"{""message_type"":""VFR_HUD"",""airspeed"":28.89568519592285,""alt"":187.64999389648438}",-4.9132114
7988686615400,position,503,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541044,""lon"":393488750}",-4.9124333
7988686791500,attitude,1006,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112610,""roll"":0.02907157503068447,""pitch"":0.1698782593011856,""yaw"":-3.0784683227539062,""rollspeed"":0.026617884635925293,""pitchspeed"":0.004203138407319784,""yawspeed"":0.01493077538907528}",-4.9122572
7988705202000,gimbal,2723,"{""imu_roll"":0.0,""imu_pitch"":21.666269302368164,""imu_yaw"":1.3616390228271484,""frame_roll"":0.0,""frame_pitch"":21.666269302368164,""frame_yaw"":1.3616390228271484,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8938467
7988705500600,fov,2723,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8935481
7988710880500,target_offset,230,"{""x_angle_offset"":0.02279173582792282,""y_angle_offset"":0.09125117195977105}",-4.8881682
7988727213000,gimbal,2724,"{""imu_roll"":0.0,""imu_pitch"":21.686025619506836,""imu_yaw"":1.3595818281173706,""frame_roll"":0.0,""frame_pitch"":21.686025619506836,""frame_yaw"":1.3595818281173706,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8718357
7988727504400,fov,2724,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8715443
7988742434000,range,1022,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948062896728516,""y"":39.348209381103516}",-4.8566147
7988745597700,range,1023,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948062896728516,""y"":39.348209381103516}",-4.853451
7988745740000,attitude,1007,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112670,""roll"":0.03127776086330414,""pitch"":0.1701771318912506,""yaw"":-3.076780319213867,""rollspeed"":0.032158151268959045,""pitchspeed"":0.002388184890151024,""yawspeed"":0.022583773359656334}",-4.8533087
7988751893400,gimbal,2725,"{""imu_roll"":0.0,""imu_pitch"":21.702302932739258,""imu_yaw"":1.3509188890457153,""frame_roll"":0.0,""frame_pitch"":21.702302932739258,""frame_yaw"":1.3509188890457153,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8471553
7988752406400,fov,2725,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8466423
7988759264400,target_offset,231,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":0.09125117195977105}",-4.8397843
7988779950400,gimbal,2726,"{""imu_roll"":0.0,""imu_pitch"":21.722787857055664,""imu_yaw"":1.3391748666763306,""frame_roll"":0.0,""frame_pitch"":21.722787857055664,""frame_yaw"":1.3391748666763306,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8190983
7988780234000,fov,2726,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8188147
7988786223200,attitude,1008,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112710,""roll"":0.03353740647435188,""pitch"":0.17033468186855316,""yaw"":-3.075314998626709,""rollspeed"":0.039957333356142044,""pitchspeed"":0.00133277487475425,""yawspeed"":0.02778507210314274}",-4.8128255
7988786443300,vfr,504,"{""message_type"":""VFR_HUD"",""airspeed"":28.881423950195312,""alt"":187.9199981689453}",-4.8126054
7988786515800,position,504,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540487,""lon"":393488689}",-4.8125329
7988803820600,gimbal,2727,"{""imu_roll"":0.0,""imu_pitch"":21.734376907348633,""imu_yaw"":1.3243874311447144,""frame_roll"":0.0,""frame_pitch"":21.734376907348633,""frame_yaw"":1.3243874311447144,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7952281
7988804561100,fov,2727,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7944876
7988811503800,target_offset,232,"{""x_angle_offset"":0.007597245275974274,""y_angle_offset"":0.09125117195977105}",-4.7875449
7988831324700,gimbal,2728,"{""imu_roll"":0.0,""imu_pitch"":21.75712776184082,""imu_yaw"":1.3106647729873657,""frame_roll"":0.0,""frame_pitch"":21.75712776184082,""frame_yaw"":1.3106647729873657,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.767724
7988831589800,fov,2728,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7674589
7988838907400,target_offset,233,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":0.08364690762979013}",-4.7601413
7988847804800,attitude,1009,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112770,""roll"":0.03771306201815605,""pitch"":0.17052121460437775,""yaw"":-3.0727479457855225,""rollspeed"":0.05521906167268753,""pitchspeed"":0.0009881918085739017,""yawspeed"":0.0359044224023819}",-4.7512439
7988857686700,gimbal,2729,"{""imu_roll"":0.0,""imu_pitch"":21.775291442871094,""imu_yaw"":1.2917972803115845,""frame_roll"":0.0,""frame_pitch"":21.775291442871094,""frame_yaw"":1.2917972803115845,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.741362
7988857965700,fov,2729,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.741083
7988882384800,gimbal,2730,"{""imu_roll"":0.0,""imu_pitch"":21.785446166992188,""imu_yaw"":1.2656066417694092,""frame_roll"":0.0,""frame_pitch"":21.785446166992188,""frame_yaw"":1.2656066417694092,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7166639
7988882737000,fov,2730,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7163117
7988887561900,target_offset,234,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":0.08364690762979013}",-4.7114868
7988888623500,vfr,505,"{""message_type"":""VFR_HUD"",""airspeed"":28.871435165405273,""alt"":188.17999267578125}",-4.7104252
7988888788300,position,505,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540487,""lon"":393488689}",-4.7102604
7988888955400,attitude,1010,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112810,""roll"":0.04106711968779564,""pitch"":0.17062009871006012,""yaw"":-3.070794105529785,""rollspeed"":0.06562745571136475,""pitchspeed"":0.0007746644550934434,""yawspeed"":0.041241277009248734}",-4.7100933
7988896909600,range,1024,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947998046875,""y"":39.348209381103516}",-4.7021391
7988903316400,range,1025,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947998046875,""y"":39.348209381103516}",-4.6957323
7988912288300,fov,2731,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6867604
7988914309400,gimbal,2731,"{""imu_roll"":0.0,""imu_pitch"":21.8085880279541,""imu_yaw"":1.2464690208435059,""frame_roll"":0.0,""frame_pitch"":21.8085880279541,""frame_yaw"":1.2464690208435059,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6847393
7988916617800,target_offset,235,"{""x_angle_offset"":0.053180716931819916,""y_angle_offset"":0.08364690762979013}",-4.6824309
7988937409400,gimbal,2732,"{""imu_roll"":0.0,""imu_pitch"":21.826862335205078,""imu_yaw"":1.2414228916168213,""frame_roll"":0.0,""frame_pitch"":21.826862335205078,""frame_yaw"":1.2414228916168213,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6616393
7988937757800,fov,2732,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6612909
7988944477700,attitude,1011,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112870,""roll"":0.046810444444417953,""pitch"":0.17074204981327057,""yaw"":-3.0675175189971924,""rollspeed"":0.07791826128959656,""pitchspeed"":0.0007648144382983446,""yawspeed"":0.048824798315763474}",-4.654571
7988964341600,gimbal,2733,"{""imu_roll"":0.0,""imu_pitch"":21.842126846313477,""imu_yaw"":1.215286374092102,""frame_roll"":0.0,""frame_pitch"":21.842126846313477,""frame_yaw"":1.215286374092102,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6347071
7988964703500,fov,2733,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6343452
7988966829100,target_offset,236,"{""x_angle_offset"":0.06077796220779419,""y_angle_offset"":0.08364690762979013}",-4.6322196
7988985300500,position,506,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469539930,""lon"":393488604}",-4.6137482
7988985450400,attitude,1012,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112910,""roll"":0.051616691052913666,""pitch"":0.17059214413166046,""yaw"":-3.065019369125366,""rollspeed"":0.08291103690862656,""pitchspeed"":0.0004357215075287968,""yawspeed"":0.053580012172460556}",-4.6135983
7988985671500,vfr,506,"{""message_type"":""VFR_HUD"",""airspeed"":28.86444091796875,""alt"":188.44000244140625}",-4.6133772
