truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15981,8144847920200,8.3438,True,udp,127.0.0.1:64683,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.495,-1.753324972,8.986358114,185.1937291,4.6234472520181065,0.07972145997152637,1.0111464097581822,44.89203899520419,1.2079334467069653,7.086667072053511,-28.264079673912,4.42052051124,-2.1504294780504,28.607677315392003,2.1504294780504,28.570874803272,4.298819836,171.1109150085856,568.5546404856001,82.51921421448,138.51497291616,46.95451917,39.34841804,138.54088012368,46.949405,39.347334,4.444492046736,28.458474743592003,0.9346586118576,2.3529801486912003,4.726531505,1.874690589,1.478696968,-1.524532699,493.36856945233,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09318509227,-0.01644992862,0.9799462394,-9.961917208990624,-2.1727982124062977,-129.43675847047507,12.308902972657421,-2.1727982124062977,-129.43675847047507,22.270820181648048,0.0,0.0,4.236206651956928,0.006868184329908842,1.1590566438878274,3.343613698745991,0.09937643922186462,1.157024759521922,-0.8925929526686094,0.09250825490009067,-0.0020318843401447772,0.376667,0.376667,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,0,0,True,0.005000000000009663,0.0083438,199.99999999961346,119.84946906685204,0.5992473453354183,0.9465932560647533,True,-5.38573383138119e-06,7.999995993083523,-7.510814192812632e-11,7.999995993085336,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,0.7241829313400665,-7.967150990335304,4.259826609,4.687538278,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,568.5546404856001,82.51921421448,138.51497291616,568.5546404856001,82.51921421448,138.51497291616,564.2668143535255,88.1694156969407,571.1137221648733,-171.11907065229065,135.31497685750657,586.9250604693615,-13.329394923212963,586.9250604693615,False,17.770014339123748,3.68720024770937,-17.628214759212963,-22.315753037212964,27.24278350151177,26.01310320676126,22.562669890027166,-543.8654566723741,-174.30217635923555,0.875916788562327,-0.8174032255684992,-4.9984051
15982,8144851978000,4.0578,True,udp,127.0.0.1:64683,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.5,-1.728932463,8.986926166,185.1989075,4.8465374234313705,0.08571404056229388,1.046522972621291,44.2365838604823,1.185395585180235,7.0594260687037576,-28.261317079488002,4.4230286372880006,-2.1495226523304,28.605335610144003,2.1495226523304,28.567759482096,4.297364282,171.10509656488026,568.4133281952,82.54132519896,138.52573509936002,46.9545179,39.34841833,138.55162999296002,46.949405,39.347334,4.444492046736,28.455457830144002,0.930819710112,2.3531630043072003,4.727396036,1.867191651,1.540866785,-1.53243898,493.26047210684044,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09329852248,-0.01634056306,0.9799451459,-9.958444184344742,-2.1583526002557183,-129.43661403671922,12.323830546061439,-2.1583526002557183,-129.43661403671922,22.282274734854404,0.0,0.0,4.1873436144009535,0.00455196880871648,1.1546104505694563,3.2948008115401075,0.0967592127794671,1.15263697294262,-0.8925428031320093,0.09220724396803899,-0.0019734775631128853,0.376667,0.376667,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,0,0,True,0.0049999999999954525,0.0040578,200.0000000001819,246.43895707033366,1.2321947853505477,0.948892424702826,True,-5.38191356276585e-06,7.999995967154305,3.271586890285505e-10,7.999995967156115,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,0.7249030005234338,-7.967085506047819,4.25953013,4.689561884,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,568.4133281952,82.54132519896,138.52573509936002,568.4133281952,82.54132519896,138.52573509936002,564.1255020631255,88.1915266814207,570.9775192215304,-171.114689318213,135.3257390407066,586.7950094396565,-13.333483551622482,586.7950094396565,False,17.780214116906734,3.686403181787,-17.630847833622482,-22.320409717622482,27.238998935646386,26.00903220260159,22.561201234583482,-543.7047217374233,-174.3574002352765,0.8765406186945418,-0.8175942579778389,-4.9943473
15983,8144855567200,3.5892,True,udp,127.0.0.1:64683,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.505,-1.703403436,8.987526993,185.2042641,5.066373298273654,0.09159460601335259,1.0817634356627022,43.59212144818117,1.1631786905996324,7.032235800766764,-28.258557008808,4.425510416424,-2.1486177090552,28.602992618640002,2.1486177090552,28.56465027216,4.295912427,171.09933014574273,568.2720299256,82.56344864976,138.53649277152,46.95451663,39.34841862,138.56237535120002,46.949405,39.347334,4.444492046736,28.452447140712003,0.926965450104,2.3533448266512003,4.728257652,1.859659889,1.602225534,-1.539955811,493.15259836216035,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09340696118,-0.01623082017,0.9799436306,-9.954980861270203,-2.143857148006051,-129.43641391122875,12.338102625080008,-2.143857148006051,-129.43641391122875,22.29308348635021,0.0,0.0,4.139305528343095,0.002247782624995806,1.1501729373331724,3.2468071976667727,0.09415242913162941,1.1482568304649106,-0.8924983301339954,0.09190464651205688,-0.0019161068153847602,0.376667,0.376667,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,0,0,True,0.0049999999999954525,0.0035892,200.0000000001819,278.6136186336788,1.393068093167127,0.9520581703328992,False,-5.3857732091461274e-06,7.9999960049204555,1.5414003406988286e-11,7.999996004922268,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,0.725647842621927,-7.967017699826156,4.2592693409999995,4.691614565999999,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,568.2720299256,82.56344864976,138.53649277152,568.2720299256,82.56344864976,138.53649277152,563.9842037935255,88.2136501322207,570.8413353973823,-171.1103048746322,135.33649671286656,586.6649789622511,-13.337573133300769,586.6649789622511,False,17.79036497962511,3.6854310253678477,-17.63348556030077,-22.325100126300768,27.23521998737672,26.004966208999683,22.559728562893525,-543.5441513216518,-174.41211472341018,0.8771622389760341,-0.8177856415610928,-4.9907581
15984,8144858804500,3.2373,True,udp,127.0.0.1:64683,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.51,-1.67675414,8.988159759,185.209798,5.283009441607615,0.09736473304725893,1.1168680555675081,42.95846067114653,1.1412693242400729,7.00509743707643,-28.255799120496004,4.427964919008,-2.1477146207928,28.600647844056,2.1477146207928,28.561546938768,4.29446429,171.0936174127506,568.130745372,82.58558444496,138.54724593264,46.95451536,39.34841891,138.57311616792,46.949405,39.347334,4.444492046736,28.449442397928003,0.9230965020888,2.3535257858016,4.729116737,1.852096658,1.662784206,-1.547083692,493.044939599843,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0935107518,-0.01612071838,0.9799417661,-9.951526594774872,-2.12931429105863,-129.4361676131979,12.351764301335642,-2.12931429105863,-129.4361676131979,22.303290900558736,0.0,0.0,4.09207774552624,-4.5212238104512886e-05,1.1457442767746,3.1996186074793496,0.09155545446057704,1.1438845139039808,-0.8924591372333993,0.09160066670476918,-0.0018597628557052647,0.376667,0.376667,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,0,0,True,0.005000000000009663,0.0032373,199.99999999961346,308.8993914681988,1.544496957343979,0.9558692989698085,False,-5.3853775869167064e-06,7.999995970974984,-1.2003037452856802e-10,7.999995970976797,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,0.7264173318518403,-7.966947576131674,4.259043022,4.693695469000001,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,568.130745372,82.58558444496,138.54724593264,568.130745372,82.58558444496,138.54724593264,563.8429192399254,88.23578592742071,570.7051703771665,-171.10591732709904,135.34724987398658,586.5349687304944,-13.341663675579278,586.5349687304944,False,17.80046526015036,3.684284672900958,-17.636127965579277,-22.32982343457928,27.231446469284442,26.00090504823524,22.55825201631988,-543.3837506082866,-174.46630353768037,0.8777815505596036,-0.8179773705393943,-4.9875208
15985,8144865961200,7.1567,True,udp,127.0.0.1:64683,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.515,-1.649000552,8.988823626,185.2155088,5.496499468531894,0.10302593209535241,1.1518370930315052,42.33541352473709,1.1196545217855256,6.978012152196237,-28.253043079272004,4.43039123064,-2.1468133646832004,28.598300817000002,2.1468133646832004,28.558449268560004,4.293019897,171.08796014207303,567.9894745344001,82.60773243215999,138.55799455224002,46.95451409,39.3484192,138.58385250408,46.949405,39.347334,4.444492046736,28.446443345760002,0.9192135320544,2.3537060436072004,4.729973657,1.844503304,1.722553586,-1.553823214,492.9374886378497,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0936102143,-0.01601027599,0.9799396213,-9.948080771004168,-2.1147264447977925,-129.43588430596324,12.364857597177947,-2.1147264447977925,-129.43588430596324,22.312938372630335,0.0,0.0,4.0456458766545005,-0.0023278109996322204,1.141324643116346,3.153221020464434,0.08896768327157248,1.1395202064308354,-0.8924248560544848,0.09129549426578143,-0.0018044365946708746,0.376667,0.376667,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,0,0,True,0.0049999999999954525,0.0071567,200.0000000001819,139.72920480109548,0.698646024004842,0.9522395139113803,False,-5.384103722611e-06,7.999995978255764,-1.9205614876227628e-10,7.999995978257576,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,0.727211411935707,-7.966875132898442,4.258849969,4.6958037290000005,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,567.9894745344001,82.60773243215999,138.55799455224002,567.9894745344001,82.60773243215999,138.55799455224002,563.7016484023255,88.2579339146207,570.5690241420197,-171.10152668891908,135.3579984935866,586.4049787191155,-13.345755176221854,586.4049787191155,False,17.81051316900789,3.682964511080911,-17.638775073221854,-22.334578802221856,27.227678199107665,25.996848547967584,22.556771742433384,-543.2235250060788,-174.5199506943165,0.8783984552802777,-0.8181694388582056,-4.9803641
15986,8144871247200,5.286,True,udp,127.0.0.1:64683,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.52,-1.620158382,8.989517757,185.2213958,5.70689606022392,0.1085796497041784,1.1866708167718998,41.72279502952867,1.0983217933290148,6.950981120689666,-28.250288580336,4.432788449112,-2.1459139203048,28.595951080272002,2.1459139203048,28.555357057320002,4.291579277,171.08235999528765,567.8482174128001,82.62989248944,138.56873869128,46.95451281,39.34841949,138.59458429872,46.949405,39.347334,4.444492046736,28.44344973732,0.9153172023312001,2.3538857536872,4.730828759,1.836881163,1.781544254,-1.560175054,492.830237815339,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09370564674,-0.01589951114,0.9799372619,-9.944642811689278,-2.1000960050357,-129.43557266355685,12.377421652508907,-2.1000960050357,-129.43557266355685,22.32206446864641,0.0,0.0,3.999995784614131,-0.004600766838869285,1.1369142123435798,3.107600641174402,0.08638853871831137,1.1351640931146243,-0.8923951434397289,0.09098930555989229,-0.0017501191232018505,0.376667,0.376667,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,0,0,True,0.0049999999999954525,0.005286,200.0000000001819,189.17896329928112,0.9458948164955453,0.9521731394807804,False,-5.387314616640826e-06,7.999995990176321,3.3866615067879025e-10,7.999995990178135,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,0.728029984861802,-7.96680037166661,4.258688997999999,4.6979384799999995,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,567.8482174128001,82.62989248944,138.56873869128,567.8482174128001,82.62989248944,138.56873869128,563.5603912807255,88.2800939719007,570.4328966777531,-171.0971329703858,135.36874263262658,586.275008928498,-13.34984764158021,586.275008928498,False,17.820507034326567,3.6814712296142034,-17.64142691858021,-22.33936539858021,27.223915022655554,25.992796561368404,22.555287867710422,-543.063479879917,-174.5730403953803,0.8790128566948832,-0.8183618416631055,-4.9750781
15987,8144876927300,5.6801,True,udp,127.0.0.1:64683,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.525,-1.590243081,8.990241313,185.2274583,5.914250980555694,0.11402727111379818,1.2213695006625178,41.12042320266639,1.0772591182159987,6.924005534308929,-28.247535321936002,4.4351556844080005,-2.1450162715032,28.59359819496,2.1450162715032,28.552270116072002,4.290142462,171.07681863397204,567.7069740072001,82.6520644644,138.57947831928,46.95451154,39.34841978,138.60531164328,46.949405,39.347334,4.444492046736,28.440461347056,0.9114081700680001,2.3540650623456,4.73168237,1.829231563,1.83976659,-1.566139972,492.7231809078771,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09379732676,-0.0157884418,0.9799347501,-9.941212174147168,-2.0854253489019836,-129.43524091518879,12.389492933849333,-2.0854253489019836,-129.43524091518879,22.33070510354828,0.0,0.0,3.9551135776944317,-0.006864791649031098,1.1325131617972892,3.062743897871591,0.08381747271138816,1.1308163601091517,-0.8923696805007502,0.09068226436991,-0.001696801719321331,0.376667,0.376667,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,0,0,True,0.005000000000009663,0.0056801,199.99999999961346,176.0532384993222,0.8802661924983122,0.9513654378339188,False,-5.381326315702373e-06,7.999995968593167,2.8111468708402754e-10,7.999995968594977,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,0.728872952599851,-7.96672329378983,4.258558943000001,4.700098851,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,567.7069740072001,82.6520644644,138.57947831928,567.7069740072001,82.6520644644,138.57947831928,563.4191478751255,88.3022659468607,570.2967879654266,-171.09273618482788,135.3794822606266,586.1450593333002,-13.353941069422172,586.1450593333002,False,17.830445181200048,3.67980551517212,-17.644083531422172,-22.344182382422172,27.220156787624163,25.98874894372962,22.553800515846724,-542.9036205341624,-174.62555704873446,0.8796246593842714,-0.8185545741948722,-4.969398
15988,8144881912500,4.9852,True,udp,127.0.0.1:64683,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.53,-1.559269839,8.990993456,185.2336958,6.118615085261114,0.11937012220584547,1.2559334237338053,40.52811899483927,1.056454946763243,6.897086567617507,-28.244783026704003,4.4374920556560005,-2.144120403648,28.591241737392004,2.144120403648,28.549188264984,4.288709489,171.0713377769996,567.5657446224,82.67424817416,138.59021346672,46.95451027,39.34842007,138.6160344768,46.949405,39.347334,4.444492046736,28.437477955512005,0.9074870890608,2.3542441070472,4.732534803,1.821555824,1.897230783,-1.571718808,492.61631169103043,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09388551295,-0.01567708584,0.9799321447,-9.937788342384128,-2.070716833509278,-129.43489675628243,12.401105394474808,-2.070716833509278,-129.43489675628243,22.338893732410714,0.0,0.0,3.910985608231936,-0.009120556799981862,1.128121670581025,3.0186374371050277,0.08125396606743589,1.1264771947884582,-0.8923481703134182,0.09037452287284102,-0.001644475853578603,0.376667,0.376667,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,0,0,True,0.0049999999999954525,0.0049852,200.0000000001819,200.5937575222659,1.0029687876104172,0.9518748646830736,False,-5.3826857803820904e-06,7.999995969689118,-6.123967999371871e-11,7.999995969690929,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,0.7297402449100419,-7.966643897890989,4.258458653,4.702283967,-13.349999997636951,-3.5999999998971046,9.750000001750552,9.750000001750552,16.949999999252928,16.949999999252928,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,567.5657446224,82.67424817416,138.59021346672,567.5657446224,82.67424817416,138.59021346672,563.2779184903254,88.3244496566207,570.1606982824567,-171.0883363533576,135.39021740806658,586.0151302105963,-13.358035456618692,586.0151302105963,False,17.84032586964281,3.6779678466424457,-17.646744945618693,-22.349028912618692,27.21640336586968,25.984705573642792,22.552309802001847,-542.7439525521442,-174.67748519490004,0.8802337682927611,-0.8187476319145213,-4.9644128
15989,8144889824700,7.9122,True,udp,127.0.0.1:64683,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.535,-1.527253483,8.991773313,185.2401073,6.3201404075452,0.12459467080581911,1.290141757165321,39.97000947545378,1.0324166256544554,6.817162702340736,-28.242032880312,4.439800854696,-2.1432282583152,28.588883377872005,2.1432282583152,28.546112412360003,4.287283977,171.0659112937219,567.4245286488,82.69644352728001,138.6009441336,46.954509,39.34842036,138.62675286024,46.949405,39.347334,4.444492046736,28.434500720928003,0.9035505793824,2.354421127572,4.733382341,1.813847095,1.953095892,-1.578555244,492.50966128696723,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09400075676,-0.01565926809,0.9799707039,-9.930364643055318,-2.0683633648584987,-129.43998988106748,12.416294265312946,-2.0683633648584987,-129.43998988106748,22.346658908368266,0.0,0.0,3.869414527028752,-0.011686882993448776,1.1150406366512686,2.977084190331136,0.07838153561248913,1.1134473560021036,-0.8923303364264531,0.09006841860729371,-0.0015932806871278835,0.376667,0.376667,-13.349999997636951,-3.5999999998971046,9.600000000489556,9.600000000489556,16.949999999252928,16.949999999252928,0,0,True,0.0049999999999954525,0.0079122,200.0000000001819,126.38709840499483,0.6319354920243994,0.9468908845692863,True,-5.386827037073827e-06,7.999995994588163,-4.629102656750206e-11,7.999995994589977,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,0.7306317220118438,-7.9665621887759785,4.258390971999999,4.704489335999999,-13.349999997636951,-3.5999999998971046,9.600000000489556,9.600000000489556,16.949999999252928,16.949999999252928,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,567.4245286488,82.69644352728001,138.6009441336,567.4245286488,82.69644352728001,138.6009441336,563.1367025167254,88.34664500974071,570.0246270170159,-171.0839334737914,135.40094807494657,585.8852209652351,-13.362130817227381,585.8852209652351,False,17.850155232486713,3.6759592262085903,-17.649414794227383,-22.35390413022738,27.212655424624348,25.980666648955097,22.550815530701502,-542.5844568001183,-174.7288832586318,0.8808405278983027,-0.818941216358083,-4.9565006
15990,8144898834600,9.0099,True,udp,127.0.0.1:64683,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.54,-1.494208428,8.99257996,185.2466912,6.5187926272360235,0.12971461283955812,1.3241717339918329,39.39692601348975,1.0122335656617643,6.790373413187087,-28.239283306944,4.442077439424,-2.142338000304,28.586520839544004,2.142338000304,28.543041430440002,4.28586261,171.0605478930975,567.283326696,82.7186503104,138.61167031992,46.95450773,39.34842066,138.63746676312,46.949405,39.347334,4.444492046736,28.431528201600003,0.8996036007384,2.3545979697888,4.734228916,1.806115405,2.009103748,-1.583099484,492.4031909126778,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09408259379,-0.01554728961,0.979966968,-9.926959258067319,-2.0535726236444125,-129.43949643984368,12.427072893451976,-2.0535726236444125,-129.43949643984368,22.354032151519295,0.0,0.0,3.8267259616911025,-0.013915651420097036,1.1106710917889704,2.934410040049913,0.07584667596461805,1.1091280079944519,-0.8923159212344446,0.08976232737115691,-0.0015430837836719793,0.376667,0.376667,-13.349999997636951,-3.5999999998971046,9.600000000489556,9.600000000489556,16.949999999252928,16.949999999252928,0,0,True,0.005000000000009663,0.0090099,199.99999999961346,110.98902318560695,0.5549451159291072,0.9399531173846576,True,-5.387045040834704e-06,7.999996012422066,-1.7567158838716068e-10,7.99999601242388,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,0.731547160683613,-7.96647817875257,4.258351044,4.706717350000001,-13.349999997636951,-3.5999999998971046,9.600000000489556,9.600000000489556,16.949999999252928,16.949999999252928,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,567.283326696,82.7186503104,138.61167031992,567.283326696,82.7186503104,138.61167031992,562.9955005639255,88.3688517928607,569.8885747428295,-171.07952757504194,135.41167426126657,585.755332155545,-13.366227138526602,585.755332155545,False,17.859924531860543,3.673781224958077,-17.652089748526603,-22.358807098526604,27.208912137008365,25.976631790297283,22.549318051862855,-542.4251606376444,-174.77966909694993,0.8814444486428805,-0.8191351332409461,-4.9474907
