recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
8299145574200,gimbal,2588,"{""imu_roll"":0.0,""imu_pitch"":19.936710357666016,""imu_yaw"":2.0076558589935303,""frame_roll"":0.0,""frame_pitch"":19.936710357666016,""frame_yaw"":2.0076558589935303,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9917005
8299145884700,fov,2588,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.99139
8299151087800,target_offset,191,"{""x_angle_offset"":0.25070909410715103,""y_angle_offset"":0.24333645855938946}",-4.9861869
8299174270500,target_offset,192,"{""x_angle_offset"":0.2583063393831253,""y_angle_offset"":0.25094072288937036}",-4.9630042
8299176449700,gimbal,2589,"{""imu_roll"":0.0,""imu_pitch"":20.0105037689209,""imu_yaw"":2.0973381996154785,""frame_roll"":0.0,""frame_pitch"":20.0105037689209,""frame_yaw"":2.0973381996154785,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.960825
8299176602900,fov,2589,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9606718
8299184153800,attitude,974,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111270,""roll"":-0.21573017537593842,""pitch"":0.16117416322231293,""yaw"":-3.1232364177703857,""rollspeed"":0.10093206912279129,""pitchspeed"":0.02986561879515648,""yawspeed"":-0.03028455749154091}",-4.9531209
8299197591600,gimbal,2590,"{""imu_roll"":0.0,""imu_pitch"":20.048954010009766,""imu_yaw"":2.1473512649536133,""frame_roll"":0.0,""frame_pitch"":20.048954010009766,""frame_yaw"":2.1473512649536133,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9396831
8299197860100,fov,2590,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9394146
8299221222300,attitude,975,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111310,""roll"":-0.21123464405536652,""pitch"":0.16220414638519287,""yaw"":-3.1239523887634277,""rollspeed"":0.11624429374933243,""pitchspeed"":0.02875460498034954,""yawspeed"":-0.02130352146923542}",-4.9160524
8299221616300,vfr,488,"{""message_type"":""VFR_HUD"",""airspeed"":29.692346572875977,""alt"":180.39999389648438}",-4.9156584
8299221738200,position,488,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544375,""lon"":393495311}",-4.9155365
8299226223800,gimbal,2591,"{""imu_roll"":0.0,""imu_pitch"":20.08167266845703,""imu_yaw"":2.1999354362487793,""frame_roll"":0.0,""frame_pitch"":20.08167266845703,""frame_yaw"":2.1999354362487793,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9110509
8299226459500,fov,2591,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9108152
8299228005200,target_offset,193,"{""x_angle_offset"":0.2886953204870224,""y_angle_offset"":0.2813577802092941}",-4.9092695
8299248214800,range,997,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9476318359375,""y"":39.34825134277344}",-4.8890599
8299251834900,gimbal,2592,"{""imu_roll"":0.0,""imu_pitch"":20.14997100830078,""imu_yaw"":2.267983913421631,""frame_roll"":0.0,""frame_pitch"":20.14997100830078,""frame_yaw"":2.267983913421631,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8854398
8299252157800,fov,2592,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8851169
8299256920200,target_offset,194,"{""x_angle_offset"":0.2810980752110481,""y_angle_offset"":0.24333645855938946}",-4.8803545
8299265131500,range,998,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9476318359375,""y"":39.34825134277344}",-4.8721432
8299275953200,gimbal,2593,"{""imu_roll"":0.0,""imu_pitch"":20.21030616760254,""imu_yaw"":2.3425536155700684,""frame_roll"":0.0,""frame_pitch"":20.21030616760254,""frame_yaw"":2.3425536155700684,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8613215
