event_monotonic_ns,event,value_json,session_time_s
14296772707300,ATTACK_STATE_COMMAND,"{""previous"":4,""new"":-1}",-1.6700011
14296773868300,SIM_MISSION_STATE,"{""time"":1788174722.0081983,""from"":""HUNTER"",""to"":""AIM_CAMERA"",""reason"":""hunter_correlator_off_target_reaim_before_reacquire""}",-1.6688401
14296774073000,TRACKER_DISABLED,"{""state"":false}",-1.6686354
14296824163000,SIM_MISSION_STATE,"{""time"":1788174722.0585616,""from"":""AIM_CAMERA"",""to"":""WAIT_CAMERA_ON_TARGET"",""reason"":""camera_tracking_started""}",-1.6185454
14296874319400,SIM_MISSION_STATE,"{""time"":1788174722.1085463,""from"":""WAIT_CAMERA_ON_TARGET"",""to"":""WAIT_CAPTURE_DISTANCE"",""reason"":""target_visible_prearm_hunter_before_attack_angle""}",-1.568389
14296924863500,SIM_MISSION_STATE,"{""time"":1788174722.1592526,""from"":""WAIT_CAPTURE_DISTANCE"",""to"":""ENABLE_CAPTURE"",""reason"":""capture_distance_reached_immediate_capture""}",-1.5178449
14296977009900,SIM_MISSION_STATE,"{""time"":1788174722.2106955,""from"":""ENABLE_CAPTURE"",""to"":""WAIT_TRACKER_LOCK"",""reason"":""direct_ra_capture_sent_wait_real_tracking""}",-1.4656985
14297129959400,TRACKER_LATENCY_CALIBRATION_BEGIN,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-1.312749
14297129987100,TRACKER_ENABLED,"{""state"":true}",-1.3127213
14297131455700,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.35887559999900986,""expected_dt_s"":0.040345335099095964,""gap_limit_s"":0.14120867284683586}",-1.3112527
14297181816500,SIM_MISSION_STATE,"{""time"":1788174722.416181,""from"":""WAIT_TRACKER_LOCK"",""to"":""ENTER_HUNTER"",""reason"":""real_tracking_reacquired_wind_already_attempted""}",-1.2608919
14297231558500,ATTACK_STATE_COMMAND,"{""previous"":-1,""new"":4}",-1.2111499
14297232748100,TRACKER_LATENCY_CALIBRATION_HUNTER,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-1.2099603
14297232934400,CHANNELS_RESET,"{""reason"":""hunter_enter""}",-1.209774
14297282711600,SIM_MISSION_STATE,"{""time"":1788174722.5164406,""from"":""ENTER_HUNTER"",""to"":""HUNTER"",""reason"":""hunter_confirmed_by_attack_controller""}",-1.1599968
14298442000700,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.0022686575723276864,""effective_s"":0.0,""confidence"":0.02139404292354144,""candidate_s"":0.3,""fit_score"":0.15098567510653826,""excitation"":0.013923779689412202,""samples"":32,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9874057381211852}",-0.0007077
14298442681500,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":9.804490666743183,""hold_pitch_pwm"":1990,""uav_pitch_deg"":9.804490666743183,""frame_pitch_deg"":-25.006214141845703}",-2.69e-05
