recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
14445428164600,fov,2556,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-5.0002612
14445428525800,gimbal,2556,"{""imu_roll"":0.0,""imu_pitch"":20.679027557373047,""imu_yaw"":-2.509377956390381,""frame_roll"":0.0,""frame_pitch"":20.679027557373047,""frame_yaw"":-2.509377956390381,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9999
14445436817600,attitude,991,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111770,""roll"":-0.050018418580293655,""pitch"":0.1708650439977646,""yaw"":-3.0402402877807617,""rollspeed"":-0.016148123890161514,""pitchspeed"":0.0037774397060275078,""yawspeed"":-0.012637327425181866}",-4.9916082
14445451589300,fov,2557,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9768365
14445452627300,gimbal,2557,"{""imu_roll"":0.0,""imu_pitch"":20.6915283203125,""imu_yaw"":-2.5120790004730225,""frame_roll"":0.0,""frame_pitch"":20.6915283203125,""frame_yaw"":-2.5120790004730225,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9757985
14445458935000,target_offset,283,"{""x_angle_offset"":-0.053180716931819916,""y_angle_offset"":0.09885543628975196}",-4.9694908
14445472928100,fov,2558,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9554977
14445473829100,gimbal,2558,"{""imu_roll"":0.0,""imu_pitch"":20.71662139892578,""imu_yaw"":-2.5175118446350098,""frame_roll"":0.0,""frame_pitch"":20.71662139892578,""frame_yaw"":-2.5175118446350098,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9545967
14445479883700,position,496,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542379,""lon"":393492048}",-4.9485421
14445480105200,attitude,992,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111810,""roll"":-0.050542332231998444,""pitch"":0.17092949151992798,""yaw"":-3.040802001953125,""rollspeed"":-0.010913061909377575,""pitchspeed"":0.00339325238019228,""yawspeed"":-0.012738148681819439}",-4.9483206
14445480186100,vfr,496,"{""message_type"":""VFR_HUD"",""airspeed"":29.80497169494629,""alt"":181.2899932861328}",-4.9482397
14445498186300,fov,2559,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9302395
14445498561500,gimbal,2559,"{""imu_roll"":0.0,""imu_pitch"":20.73097801208496,""imu_yaw"":-2.517916440963745,""frame_roll"":0.0,""frame_pitch"":20.73097801208496,""frame_yaw"":-2.517916440963745,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9298643
14445506681900,target_offset,284,"{""x_angle_offset"":-0.04558347165584564,""y_angle_offset"":0.09885543628975196}",-4.9217439
14445507870700,range,1039,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94819259643555,""y"":39.348514556884766}",-4.9205551
14445525957200,range,1040,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94819259643555,""y"":39.348514556884766}",-4.9024686
14445528593700,fov,2560,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8998321
14445528851900,gimbal,2560,"{""imu_roll"":0.0,""imu_pitch"":20.75466537475586,""imu_yaw"":-2.5223677158355713,""frame_roll"":0.0,""frame_pitch"":20.75466537475586,""frame_yaw"":-2.5223677158355713,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8995739
14445530611800,target_offset,285,"{""x_angle_offset"":-0.007597245275974274,""y_angle_offset"":0.09885543628975196}",-4.897814
14445543143300,attitude,993,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111870,""roll"":-0.050971247255802155,""pitch"":0.1710086464881897,""yaw"":-3.0416572093963623,""rollspeed"":-0.004034148529171944,""pitchspeed"":0.0030482099391520023,""yawspeed"":-0.01292379666119814}",-4.8852825
14445547424300,gimbal,2561,"{""imu_roll"":0.0,""imu_pitch"":20.776649475097656,""imu_yaw"":-2.5200257301330566,""frame_roll"":0.0,""frame_pitch"":20.776649475097656,""frame_yaw"":-2.5200257301330566,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8810015
14445547703800,fov,2561,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.880722
14445572776900,fov,2562,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8556489
14445573081200,gimbal,2562,"{""imu_roll"":0.0,""imu_pitch"":20.793380737304688,""imu_yaw"":-2.5152945518493652,""frame_roll"":0.0,""frame_pitch"":20.793380737304688,""frame_yaw"":-2.5152945518493652,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8553446
14445578552100,target_offset,286,"{""x_angle_offset"":-0.007597245275974274,""y_angle_offset"":0.09885543628975196}",-4.8498737
14445588454100,attitude,994,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111910,""roll"":-0.051050689071416855,""pitch"":0.17105260491371155,""yaw"":-3.042243719100952,""rollspeed"":-4.224048461765051e-05,""pitchspeed"":0.0029773693531751633,""yawspeed"":-0.013044479303061962}",-4.8399717
14445588583800,vfr,497,"{""message_type"":""VFR_HUD"",""airspeed"":29.756717681884766,""alt"":181.58999633789062}",-4.839842
14445588697400,position,497,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542379,""lon"":393492048}",-4.8397284
14445595759400,fov,2563,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8326664
14445595975700,gimbal,2563,"{""imu_roll"":0.0,""imu_pitch"":20.813199996948242,""imu_yaw"":-2.509037971496582,""frame_roll"":0.0,""frame_pitch"":20.813199996948242,""frame_yaw"":-2.509037971496582,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8324501
14445621334400,fov,2564,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8070914
14445621755600,gimbal,2564,"{""imu_roll"":0.0,""imu_pitch"":20.827489852905273,""imu_yaw"":-2.500572681427002,""frame_roll"":0.0,""frame_pitch"":20.827489852905273,""frame_yaw"":-2.500572681427002,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8066702
14445626471200,target_offset,287,"{""x_angle_offset"":0.0,""y_angle_offset"":0.1064597006197329}",-4.8019546
14445647491200,fov,2565,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7809346
14445647822100,gimbal,2565,"{""imu_roll"":0.0,""imu_pitch"":20.852813720703125,""imu_yaw"":-2.491827964782715,""frame_roll"":0.0,""frame_pitch"":20.852813720703125,""frame_yaw"":-2.491827964782715,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7806037
14445648556800,range,1041,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94819259643555,""y"":39.348514556884766}",-4.779869
14445654452800,target_offset,288,"{""x_angle_offset"":0.007597245275974274,""y_angle_offset"":0.1064597006197329}",-4.773973
14445659636200,range,1042,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94819259643555,""y"":39.348514556884766}",-4.7687896
14445659823300,attitude,995,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111970,""roll"":-0.05095798894762993,""pitch"":0.1711215227842331,""yaw"":-3.043137550354004,""rollspeed"":0.0035944711416959763,""pitchspeed"":0.0030767680145800114,""yawspeed"":-0.01329099666327238}",-4.7686025
14445672926600,fov,2566,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7554992
14445673119400,gimbal,2566,"{""imu_roll"":0.0,""imu_pitch"":20.875452041625977,""imu_yaw"":-2.485062599182129,""frame_roll"":0.0,""frame_pitch"":20.875452041625977,""frame_yaw"":-2.485062599182129,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7553064
14445698304100,fov,2567,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7301217
14445698727100,vfr,498,"{""message_type"":""VFR_HUD"",""airspeed"":29.722890853881836,""alt"":181.8699951171875}",-4.7296987
14445698846700,position,498,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541808,""lon"":393491974}",-4.7295791
14445699136100,attitude,996,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112010,""roll"":-0.05081811174750328,""pitch"":0.17111438512802124,""yaw"":-3.0437498092651367,""rollspeed"":0.004781149327754974,""pitchspeed"":0.002753577660769224,""yawspeed"":-0.013468681834638119}",-4.7292897
14445699958900,gimbal,2567,"{""imu_roll"":0.0,""imu_pitch"":20.89088249206543,""imu_yaw"":-2.4763033390045166,""frame_roll"":0.0,""frame_pitch"":20.89088249206543,""frame_yaw"":-2.4763033390045166,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7284669
14445703440200,target_offset,289,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":0.1064597006197329}",-4.7249856
14445721320600,fov,2568,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7071052
14445721630000,gimbal,2568,"{""imu_roll"":0.0,""imu_pitch"":20.913312911987305,""imu_yaw"":-2.468365430831909,""frame_roll"":0.0,""frame_pitch"":20.913312911987305,""frame_yaw"":-2.468365430831909,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7067958
14445747956600,fov,2569,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6804692
14445748294200,gimbal,2569,"{""imu_roll"":0.0,""imu_pitch"":20.93021011352539,""imu_yaw"":-2.457691192626953,""frame_roll"":0.0,""frame_pitch"":20.93021011352539,""frame_yaw"":-2.457691192626953,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6801316
14445753305200,target_offset,290,"{""x_angle_offset"":0.02279173582792282,""y_angle_offset"":0.1064597006197329}",-4.6751206
14445758725900,attitude,997,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112070,""roll"":-0.0506136417388916,""pitch"":0.17100456357002258,""yaw"":-3.044687509536743,""rollspeed"":0.0037890574894845486,""pitchspeed"":0.002119696931913495,""yawspeed"":-0.013961665332317352}",-4.6696999
14445772472100,fov,2570,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6559537
14445774051100,gimbal,2570,"{""imu_roll"":0.0,""imu_pitch"":20.958145141601562,""imu_yaw"":-2.441901683807373,""frame_roll"":0.0,""frame_pitch"":20.958145141601562,""frame_yaw"":-2.441901683807373,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6543747
14445780008900,target_offset,291,"{""x_angle_offset"":0.06077796220779419,""y_angle_offset"":0.11406396494971381}",-4.6484169
14445797809800,fov,2571,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.630616
14445798224200,gimbal,2571,"{""imu_roll"":0.0,""imu_pitch"":20.98687744140625,""imu_yaw"":-2.4193711280822754,""frame_roll"":0.0,""frame_pitch"":20.98687744140625,""frame_yaw"":-2.4193711280822754,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6302016
14445800298000,range,1043,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9481315612793,""y"":39.34852981567383}",-4.6281278
14445800836300,vfr,499,"{""message_type"":""VFR_HUD"",""airspeed"":29.66980743408203,""alt"":182.1599884033203}",-4.6275895
14445800903300,position,499,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541808,""lon"":393491974}",-4.6275225
14445801055600,attitude,998,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112110,""roll"":-0.050533443689346313,""pitch"":0.17091040313243866,""yaw"":-3.04533314704895,""rollspeed"":0.002642630133777857,""pitchspeed"":0.0017557269893586636,""yawspeed"":-0.014284351840615273}",-4.6273702
14445817468800,range,1044,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9481315612793,""y"":39.34852981567383}",-4.610957
14445826876200,fov,2572,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6015496
14445827296900,gimbal,2572,"{""imu_roll"":0.0,""imu_pitch"":21.009008407592773,""imu_yaw"":-2.397132635116577,""frame_roll"":0.0,""frame_pitch"":21.009008407592773,""frame_yaw"":-2.397132635116577,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6011289
14445829499000,target_offset,292,"{""x_angle_offset"":0.06077796220779419,""y_angle_offset"":0.12166822927969473}",-4.5989268
14445854727400,gimbal,2573,"{""imu_roll"":0.0,""imu_pitch"":21.03986358642578,""imu_yaw"":-2.371933698654175,""frame_roll"":0.0,""frame_pitch"":21.03986358642578,""frame_yaw"":-2.371933698654175,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5736984
14445855320500,fov,2573,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5731053
14445857511000,target_offset,293,"{""x_angle_offset"":0.06077796220779419,""y_angle_offset"":0.12166822927969473}",-4.5709148
14445865285400,attitude,999,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112170,""roll"":-0.05056649446487427,""pitch"":0.17075006663799286,""yaw"":-3.046325445175171,""rollspeed"":-0.0006988650420680642,""pitchspeed"":0.0013113049790263176,""yawspeed"":-0.01487854402512312}",-4.5631404
14445877346000,fov,2574,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5510798
14445877610800,gimbal,2574,"{""imu_roll"":0.0,""imu_pitch"":21.068082809448242,""imu_yaw"":-2.3530004024505615,""frame_roll"":0.0,""frame_pitch"":21.068082809448242,""frame_yaw"":-2.3530004024505615,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.550815
14445904378900,fov,2575,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5240469
