truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15745,15058046268500,8.5232,True,udp,127.0.0.1:50276,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.815,1.000273475,8.249838603,185.7475745,0.03476102515939331,0.35304586014123707,0.21409847487115516,-0.31474872008951166,-1.4690520811876762,0.2312999760582203,-34.75971228384,-3.336187421592,-2.2716776220408,34.91944650336,2.2716776220408,31.02339094776,3.722120584,185.48237372982035,589.9907002296001,48.888360003120006,119.16301615152001,46.95471201,39.34797624,119.19052703376002,46.949405,39.347334,4.444492046736,30.944982336480003,0.2771869042992,2.1867830164176003,4.042189958,0.5119315003,-0.01342099833,-0.0652581876,582.7899369542645,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359551374,-0.008247336862,1.012956093,-11.943140170403023,-1.0893541979394474,-133.7968837683608,17.957666129009073,-1.0893541979394474,-133.7968837683608,29.9008062994121,0.0,0.0,1.141462364663065,-0.26872294923785794,0.03779209347620896,-0.023274085942209734,-0.13336781074840884,0.03793722421550312,-1.164736450537484,0.1353551384894491,0.00014513073942974298,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0085232,200.0000000001819,117.32682560540643,0.5866341280264986,0.8652872519065447,True,-3.999998028493152,1.4619850564706995e-05,-9.965974712144998e-10,3.9999980285198693,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.979887575381348,-0.40059810626458964,4.207648645000001,4.527718019000001,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.9907002296001,48.888360003120006,119.16301615152001,589.9907002296001,48.888360003120006,119.16301615152001,585.7028740975255,54.5385614855807,588.2366117601133,-174.68016160883997,115.96302009286657,599.5579483620219,-11.152100358242981,599.5579483620219,False,-0.16253533866029102,-0.42773610884000846,-14.874220942242982,-19.401938961242983,34.91930600648289,33.82055680845558,17.72761908556528,-588.234244903167,1.66869356661757,-0.009648559346219193,-0.858414387732223,-5.0002119
15746,15058049581400,3.3129,True,udp,127.0.0.1:50276,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.82,1.000604011,8.251571128,185.7486892,0.03320358236348879,0.34572705500151696,0.21525283603120438,-0.30694054888947714,-1.4562309238189846,0.23027162607901205,-34.75913700432,-3.336614498208,-2.2727463154584,34.91891465784,2.2727463154584,31.022944751040004,3.723923259,185.48316143219708,589.8169038792,48.87167951832001,119.17439342112002,46.95471044,39.34797602,119.20188811848,46.949405,39.347334,4.444492046736,30.944549916720003,0.27707673193128,2.186586282648,4.041883801,0.5117353795,-0.0194945274,-0.06652367313,582.7725363105459,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359557879,-0.008243758331,1.012832328,-11.943417361332978,-1.0888815254623883,-133.78053624254918,17.957752015272025,-1.0888815254623883,-133.78053624254918,29.901169376605,0.0,0.0,1.1420468016497278,-0.26754773030769813,0.03770445226514174,-0.022694665658212286,-0.13220380460893805,0.03776775821169249,-1.1647414673350565,0.13534392565808553,6.330593870056021e-05,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0033129,200.0000000001819,301.85034260013884,1.5092517129993215,0.8695259468876474,True,-3.9999980232340073,1.4634819644009913e-05,-1.8358060627221562e-09,3.9999980232607797,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.97987978091781,-0.40067553563851255,4.209687327,4.527647869,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.8169038792,48.87167951832001,119.17439342112002,589.8169038792,48.87167951832001,119.17439342112002,585.5290777471255,54.52188100078071,588.0620174737207,-174.68020984205367,115.97439736246658,599.3888531152794,-11.156395370358883,599.3888531152794,False,-0.1633712742507214,-0.428899042053672,-14.880318629358882,-19.40796649835888,34.91877271764094,33.81915336328509,17.72335477108634,-588.0596269170192,1.6767783034109698,-0.00970091626446468,-0.8589892641231963,-4.996899
15747,15058053021600,3.4402,True,udp,127.0.0.1:50276,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.825,1.000927619,8.253267095,185.749809,0.03168500738001707,0.33847365247844896,0.21640203673228017,-0.2992152263552944,-1.442792493234498,0.22923437840902,-34.7585611152,-3.3370418552400003,-2.2738088217408,34.9183822332,2.2738088217408,31.022497578960003,3.725715933,185.4839497648274,589.6431105768,48.85499686944,119.18577602472,46.95470888,39.3479758,119.21325450672,46.949405,39.347334,4.444492046736,30.94411749696,0.27696361278744003,2.1863759023728,4.041552494,0.5115338267,-0.02537107914,-0.06778057162,582.7550987990278,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359561199,-0.00824009031,1.012701819,-11.94373626768524,-1.0883970327260308,-133.76329791587693,17.957795843599598,-1.0883970327260308,-133.76329791587693,29.90153210683662,0.0,0.0,1.1426250224822607,-0.2663165247735071,0.03761464258596432,-0.022121464416236584,-0.13098375584303842,0.03759685510864752,-1.1647464868442647,0.1353327689847014,-1.7787473330695755e-05,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,0,0,True,0.005000000000009663,0.0034402,199.99999999961346,290.68077437358295,1.4534038718707236,0.8735158087173678,True,-3.99999801895298,1.4601972450598282e-05,-1.6069670039087214e-09,3.999998018979632,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9798719492761143,-0.40075331911631445,4.211714601,4.527551162,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.6431105768,48.85499686944,119.18577602472,589.6431105768,48.85499686944,119.18577602472,585.3552844447255,54.5051983519007,587.887426021977,-174.68025834146178,115.98577996606656,599.2197650520903,-11.160693254404057,599.2197650520903,False,-0.16420810628915206,-0.43006734146177905,-14.886409187404057,-19.413960349404057,34.91823884652761,33.81774976207738,17.71909039684375,-587.885011630037,1.6848666109910653,-0.009753352677691136,-0.859564010263557,-4.9934588
15748,15058056258100,3.2365,True,udp,127.0.0.1:50276,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.83,1.001244489,8.254926835,185.7509341,0.03020488822940514,0.33128868334688205,0.21754603320040702,-0.29157167309177334,-1.4287634199395758,0.22818852256381822,-34.75798467744,-3.3374694926879998,-2.2748648174952,34.91784932088,2.2748648174952,31.022049462000002,3.727498072,185.4847386704155,589.4693200176,48.838312117440005,119.19716393184,46.95470732,39.34797558,119.22462619848001,46.949405,39.347334,4.444492046736,30.9436850772,0.27684756698448004,2.1861523836936003,4.041196971,0.5113268781,-0.03105194374,-0.06902881976,582.7376253773155,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359561462,-0.008236333547,1.012564827,-11.944095239169593,-1.087900818480895,-133.74520317309708,17.957799295419573,-1.087900818480895,-133.74520317309708,29.901894534589164,0.0,0.0,1.1431971102723046,-0.2650317516856683,0.03752267748164536,-0.021554398765687897,-0.129710082565579,0.03742456183122741,-1.164751509065109,0.13532166913364746,-9.811565128567344e-05,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0032365,200.0000000001819,308.9757454039858,1.544878727018524,0.8778335918771379,True,-3.999998028155774,1.4638699655397398e-05,-1.2493708290151062e-09,3.9999980281825605,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9798640790363295,-0.40083147058821855,4.213729863999999,4.527428763,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.4693200176,48.838312117440005,119.19716393184,589.4693200176,48.838312117440005,119.19716393184,585.1814938855255,54.4885135999007,587.7128371070534,-174.68030709862862,115.99716787318656,599.0506838782693,-11.164994015335688,599.0506838782693,False,-0.16504576904412716,-0.43124119862864063,-14.892492087335688,-19.419920850335686,34.91770445384719,33.81634612711471,17.714825890013493,-587.7103987446764,1.6929582969803292,-0.00980586760790494,-0.860138597493954,-4.9902223
15749,15058063454700,7.1966,True,udp,127.0.0.1:50276,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.835,1.001554809,8.256550697,185.7520642,0.02876281827204664,0.32417504579923134,0.21868478292211654,-0.2840088279237816,-1.4141700238964532,0.22713434015216288,-34.75740772152,-3.337897410552,-2.27591399274,34.91731592088,2.27591399274,31.021600461120002,3.729269163,185.48552809166563,589.2955325064,48.82162520136,119.20855708152,46.95470575,39.34797536,119.23600313280001,46.949405,39.347334,4.444492046736,30.943252657440002,0.27672861476112004,2.1859162307496,4.040818159,0.5111145705,-0.03653851848,-0.07026835633,582.7201174818167,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359558792,-0.008232488798,1.012421607,-11.944492652185144,-1.087392982811967,-133.72628595414056,17.95776401657394,-1.087392982811967,-133.72628595414056,29.902256668759083,0.0,0.0,1.143763147046845,-0.26369580121564273,0.037428570144293495,-0.020993386652463995,-0.12838517458195,0.037250923921357044,-1.1647565337264254,0.1353106266608091,-0.000177646228902054,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0071966,200.0000000001819,138.95450629463915,0.6947725314725638,0.8752361430233649,True,-3.999998005002076,1.4594103878788102e-05,-1.466951782269632e-09,3.9999980050286994,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9798561722759285,-0.4009099692135349,4.215732538,4.527281534,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.2955325064,48.82162520136,119.20855708152,589.2955325064,48.82162520136,119.20855708152,585.0077063743255,54.471826683820694,587.5382510267916,-174.68035612245808,116.00856102286656,598.8816098781272,-11.16929764422486,598.8816098781272,False,-0.16588421412370735,-0.4324203224580856,-14.89856680722486,-19.42584834122486,34.917169569925015,33.81494255055052,17.710561210708818,-587.5357885584157,1.701053397702708,-0.009858461372178117,-0.860712996207597,-4.9830257
15750,15058068400200,4.9455,True,udp,127.0.0.1:50276,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.84,1.001858766,8.258139043,185.7531995,0.0273583961223582,0.3171355072789431,0.21981824481633477,-0.2765256592981048,-1.39903829905438,0.22607210447492226,-34.75683033888,-3.338325608832,-2.2769560484664,34.91678212464,2.2769560484664,31.02115054584,3.731028711,185.4863180858736,589.1217477384,48.80493615168,119.21995547376001,46.95470419,39.34797514,119.24738530968,46.949405,39.347334,4.444492046736,30.94282023768,0.27660677653896004,2.1856679418888003,4.040416976,0.5108969405,-0.04183229692,-0.07149912203,582.7025765489393,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359553315,-0.00822855682,1.012272415,-11.944926900923889,-1.0868736253594113,-133.70657988756278,17.95769163956004,-1.0868736253594113,-133.70657988756278,29.90261854048393,0.0,0.0,1.1443232121212321,-0.262311034249224,0.03733233392871552,-0.020438348246004084,-0.12701139211359413,0.03707598561937607,-1.164761560421469,0.13529964214918802,-0.0002563483047296716,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,0,0,True,0.005000000000009663,0.0049455,199.99999999961346,202.2040238600748,1.011020119302328,0.8765660284361226,True,-3.999997995065339,1.4585881380073645e-05,-1.1865469717875499e-09,3.9999979950919324,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9798482275746503,-0.40098882888245,4.2177220669999995,4.5271103319999995,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.1217477384,48.80493615168,119.21995547376001,589.1217477384,48.80493615168,119.21995547376001,584.8339216063255,54.4551376341407,587.3636674805371,-174.68040540747035,116.01995941510657,598.7125427606055,-11.173604148946362,598.7125427606055,False,-0.16672349334396586,-0.43360490747033964,-14.904632859946362,-19.43174319194636,34.91663428580898,33.813539179437484,17.706296273319165,-587.3611807709511,1.7091517021802218,-0.009911132891550505,-0.8612871806988501,-4.9780802
15751,15058073946700,5.5465,True,udp,127.0.0.1:50276,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.845,1.002156543,8.259692252,185.75434,0.02599122556856532,0.31017270574100186,0.22094637923438235,-0.2691211402451909,-1.3833939081929996,0.22500208115533027,-34.75625259048,-3.33875408448,-2.27799070182,34.91624799312,2.27799070182,31.020699777120004,3.732776245,185.4871085957435,588.9479660184,48.7882449684,119.2313590476,46.95470263,39.34797492,119.25877266816,46.949405,39.347334,4.444492046736,30.942387848400003,0.27648207307488004,2.1854080114968,4.039994331,0.5106740256,-0.04693487856,-0.07272105953,582.6850044938935,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359545147,-0.008224538382,1.012117504,-11.945396401818938,-1.0863428475426808,-133.68611829054367,17.957583743496542,-1.0863428475426808,-133.68611829054367,29.902980145315478,0.0,0.0,1.1448773850819791,-0.2608797814374651,0.03723398236597457,-0.019889204136050928,-0.12559106539126094,0.036899789945388,-1.1647665891502392,0.1352887160055296,-0.00033419241692585823,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0055465,200.0000000001819,180.29387902280718,0.901469395113216,0.8768392506288873,True,-3.999997973035539,1.4630855451284314e-05,1.998041954109908e-09,3.9999979730622965,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.979840244911025,-0.40106804959277514,4.219697921000001,4.5269160070000005,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,588.9479660184,48.7882449684,119.2313590476,588.9479660184,48.7882449684,119.2313590476,584.6601398863255,54.438446450860695,587.1890867717834,-174.68045495665507,116.03136298894655,598.5434828155376,-11.177913520456247,598.5434828155376,False,-0.16756355239857612,-0.4347949566550824,-14.910689765456247,-19.437605772456248,34.91609866190087,33.81213613037335,17.702031025418346,-587.1865756858881,1.717253086121687,-0.009963881558907872,-0.861861124394521,-4.9725337
15752,15058077348800,3.4021,True,udp,127.0.0.1:50276,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.85,1.002448322,8.261210712,185.7554855,0.024660915412274224,0.3032891516572827,0.22206914773079114,-0.26179428487656176,-1.3672621663065745,0.22392452773791574,-34.75567453728,-3.339182837496,-2.2790176784808,34.91571358728,2.2790176784808,31.0202482464,3.734511312,185.48789967857124,588.7741870416,48.771551621040004,119.24276774208002,46.95470106,39.34797471,119.27016520824,46.949405,39.347334,4.444492046736,30.94195542864,0.27635452500384,2.1851369275584,4.039551122,0.5104458631,-0.05184794447,-0.07393411333,582.6674022742845,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359534411,-0.008220434246,1.011957121,-11.945899580199834,-1.0858007503364058,-133.66493399095873,17.957441925295004,-1.0858007503364058,-133.66493399095873,29.903341505494836,0.0,0.0,1.1454257417193099,-0.25940434184086114,0.03713352906848282,-0.019345877990054036,-0.12412649300090917,0.036722378523003835,-1.1647716197771547,0.13527784878571927,-0.0004111505349036047,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0034021,200.0000000001819,293.9360982922313,1.4696804914598196,0.8808457996389747,True,-3.9999979932220975,1.4626264410425418e-05,1.9437118581322466e-11,3.9999979932488383,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9798322256637575,-0.4011476174500653,4.221659590000001,4.5266994,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,588.7741870416,48.771551621040004,119.24276774208002,588.7741870416,48.771551621040004,119.24276774208002,584.4863609095255,54.421753103500706,587.0145085942241,-174.68050477045125,116.04277168342658,598.3744297345019,-11.182225761015422,598.3744297345019,False,-0.1684044490224892,-0.4359902704512706,-14.916737073015423,-19.443436473015424,34.91556275888947,33.810733516889314,17.69776539854123,-587.0119729969686,1.7253574484144565,-0.010016706921227844,-0.8624348030017401,-4.9691316
15753,15058081495700,4.1469,True,udp,127.0.0.1:50276,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.855,1.002734284,8.262694825,185.7566361,0.02336707936533943,0.2964872296208333,0.2231865132351919,-0.2545441230027831,-1.3506680388851118,0.22283969391768585,-34.75509624024,-3.339611870928,-2.2800367178448,34.91517896808,2.2800367178448,31.0197959232,3.736233479,185.48869121976523,588.6004111128,48.75485614008001,119.25418158768001,46.9546995,39.34797449,119.28156283848001,46.949405,39.347334,4.444492046736,30.941523039360003,0.27622415323512,2.1848551731816,4.039088238,0.5102124909,-0.05657326754,-0.07513822978,582.6497708477177,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359521226,-0.008216245182,1.011791512,-11.946434888085458,-1.0852474356048611,-133.64305954979017,17.957267750729436,-1.0852474356048611,-133.64305954979017,29.90370263881489,0.0,0.0,1.14596835728112,-0.25788698279376704,0.03703098781135064,-0.018808294709257257,-0.12261994177524115,0.0365437917827148,-1.1647766520310516,0.1352670409642932,-0.0004871960325677144,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,0,0,True,0.005000000000009663,0.0041469,199.99999999961346,241.1439870746823,1.2057199353757417,0.8835180774085827,True,-3.9999980086276037,1.4639700710770325e-05,9.894139951782677e-10,3.999998008654394,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9798241691117453,-0.4012275393982961,4.223606587000001,4.5264613460000005,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,588.6004111128,48.75485614008001,119.25418158768001,588.6004111128,48.75485614008001,119.25418158768001,584.3125849807254,54.40505762254071,586.8399332541792,-174.6805548488903,116.05418552902657,598.2053838278081,-11.186540870104196,598.2053838278081,False,-0.16924606865552505,-0.4371909488903043,-14.922774349104195,-19.449235695104196,34.91502663774691,33.80933145064977,17.693499343546215,-586.8373730104248,1.733464736604816,-0.010069608786613397,-0.8630081924488915,-4.9649847
15754,15058093382100,11.8864,True,udp,127.0.0.1:50276,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.86,1.003014606,8.264145003,185.7577917,0.022109335941001788,0.28976920017933855,0.22429843976583502,-0.2473697119363944,-1.33363612988225,0.22174782171201324,-34.75451769936,-3.340041181728,-2.2810475696712,34.91464413552001,2.2810475696712,31.01934286848,3.737942333,185.489483333917,588.4266379272,48.73815852552001,119.26560049296,46.95469794,39.34797427,119.29296555888,46.949405,39.347334,4.444492046736,30.94109065008,0.27609097879992,2.184563224464,4.038606557,0.5099739469,-0.06111270178,-0.07633335697,582.632112129403,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135950571,-0.008211971958,1.011620921,-11.947000781942908,-1.0846830043226783,-133.6205269052692,17.957062790022068,-1.0846830043226783,-133.6205269052692,29.904063571964976,0.0,0.0,1.1465053044392517,-0.25632993881974353,0.036926372505270186,-0.018276381255747702,-0.12107364573616489,0.036364068826310526,-1.1647816857763484,0.13525629308357867,-0.0005623036719094063,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0118864,200.0000000001819,84.12976174451474,0.4206488087221911,0.8727698932893837,True,-3.99999799108722,1.4628670031772723e-05,1.864975951448855e-09,3.9999979911139696,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.979816075934063,-0.4013078084891947,4.225538446,4.52620267,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,588.4266379272,48.73815852552001,119.26560049296,588.4266379272,48.73815852552001,119.26560049296,584.1388117951254,54.38836000798071,586.6653604481678,-174.68060518944802,116.06560443430656,598.0363447838932,-11.190858847073166,598.0363447838932,False,-0.17008852336505242,-0.438396889448029,-14.928801180073165,-19.455003850073165,34.9144902981873,33.80792998131065,17.68923282539018,-586.6627754227839,1.7415748663037718,-0.010122586780428721,-0.8635812693648355,-4.9530983
