recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
15677070631300,target_offset,284,"{""x_angle_offset"":0.07597245275974274,""y_angle_offset"":0.09125117195977105}",-4.9970655
15677075057600,vfr,494,"{""message_type"":""VFR_HUD"",""airspeed"":29.76106834411621,""alt"":181.0800018310547}",-4.9926392
15677075138200,position,494,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542661,""lon"":393492041}",-4.9925586
15677075292000,attitude,988,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111610,""roll"":-0.004388100933283567,""pitch"":0.17029085755348206,""yaw"":-3.014049768447876,""rollspeed"":0.03981509059667587,""pitchspeed"":0.0017140749841928482,""yawspeed"":-0.007126035634428263}",-4.9924048
15677081309900,fov,2540,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9863869
15677081755900,gimbal,2540,"{""imu_roll"":0.0,""imu_pitch"":20.614402770996094,""imu_yaw"":-2.0704333782196045,""frame_roll"":0.0,""frame_pitch"":20.614402770996094,""frame_yaw"":-2.0704333782196045,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9859409
15677104396900,fov,2541,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9632999
15677104737000,gimbal,2541,"{""imu_roll"":0.0,""imu_pitch"":20.626924514770508,""imu_yaw"":-2.054194688796997,""frame_roll"":0.0,""frame_pitch"":20.626924514770508,""frame_yaw"":-2.054194688796997,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9629598
15677111640800,range,1043,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94822311401367,""y"":39.34836196899414}",-4.956056
15677115655100,target_offset,285,"{""x_angle_offset"":0.07597245275974274,""y_angle_offset"":0.09125117195977105}",-4.9520417
15677121542700,range,1044,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94822311401367,""y"":39.34836196899414}",-4.9461541
15677135253000,fov,2542,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9324438
15677135579500,gimbal,2542,"{""imu_roll"":0.0,""imu_pitch"":20.649017333984375,""imu_yaw"":-2.0304484367370605,""frame_roll"":0.0,""frame_pitch"":20.649017333984375,""frame_yaw"":-2.0304484367370605,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9321173
15677137688500,target_offset,286,"{""x_angle_offset"":0.07597245275974274,""y_angle_offset"":0.11406396494971381}",-4.9300083
15677145687000,attitude,989,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111670,""roll"":-0.0029956474900245667,""pitch"":0.1702735275030136,""yaw"":-3.0151925086975098,""rollspeed"":0.02764987200498581,""pitchspeed"":0.0010826622601598501,""yawspeed"":-0.008963944390416145}",-4.9220098
15677154307100,fov,2543,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9133897
15677154595300,gimbal,2543,"{""imu_roll"":0.0,""imu_pitch"":20.6683349609375,""imu_yaw"":-2.0103676319122314,""frame_roll"":0.0,""frame_pitch"":20.6683349609375,""frame_yaw"":-2.0103676319122314,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9131015
15677180981600,fov,2544,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8867152
15677181258200,gimbal,2544,"{""imu_roll"":0.0,""imu_pitch"":20.687009811401367,""imu_yaw"":-1.9883081912994385,""frame_roll"":0.0,""frame_pitch"":20.687009811401367,""frame_yaw"":-1.9883081912994385,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8864386
15677186009400,target_offset,287,"{""x_angle_offset"":0.07597245275974274,""y_angle_offset"":0.11406396494971381}",-4.8816874
15677189613300,vfr,495,"{""message_type"":""VFR_HUD"",""airspeed"":29.696582794189453,""alt"":181.36000061035156}",-4.8780835
15677189696700,position,495,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542661,""lon"":393492041}",-4.8780001
15677189847400,attitude,990,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111710,""roll"":-0.002380467252805829,""pitch"":0.17026282846927643,""yaw"":-3.015991449356079,""rollspeed"":0.022458011284470558,""pitchspeed"":0.0012764425482600927,""yawspeed"":-0.009878134354948997}",-4.8778494
15677200829900,fov,2545,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8668669
15677201095500,gimbal,2545,"{""imu_roll"":0.0,""imu_pitch"":20.70871353149414,""imu_yaw"":-1.9715163707733154,""frame_roll"":0.0,""frame_pitch"":20.70871353149414,""frame_yaw"":-1.9715163707733154,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8666013
15677228621400,fov,2546,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8390754
15677229004400,gimbal,2546,"{""imu_roll"":0.0,""imu_pitch"":20.72844123840332,""imu_yaw"":-1.953264832496643,""frame_roll"":0.0,""frame_pitch"":20.72844123840332,""frame_yaw"":-1.953264832496643,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8386924
15677237283400,target_offset,288,"{""x_angle_offset"":0.06837520748376846,""y_angle_offset"":0.11406396494971381}",-4.8304134
15677251563900,attitude,991,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111770,""roll"":-0.0022951667197048664,""pitch"":0.17027226090431213,""yaw"":-3.0172536373138428,""rollspeed"":0.0034687991719692945,""pitchspeed"":0.001911236671730876,""yawspeed"":-0.01193615235388279}",-4.8161329
15677257701200,fov,2547,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8099956
15677258018400,gimbal,2547,"{""imu_roll"":0.0,""imu_pitch"":20.757169723510742,""imu_yaw"":-1.9290717840194702,""frame_roll"":0.0,""frame_pitch"":20.757169723510742,""frame_yaw"":-1.9290717840194702,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8096784
15677261551300,target_offset,289,"{""x_angle_offset"":0.04558347165584564,""y_angle_offset"":0.11406396494971381}",-4.8061455
15677279272200,fov,2548,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7884246
