recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
16806825315800,gimbal,2667,"{""imu_roll"":0.0,""imu_pitch"":21.644123077392578,""imu_yaw"":-0.18246963620185852,""frame_roll"":0.0,""frame_pitch"":21.644123077392578,""frame_yaw"":-0.18246963620185852,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9800778
16806825628200,attitude,1001,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111570,""roll"":0.08881328999996185,""pitch"":0.1718623787164688,""yaw"":-3.0659847259521484,""rollspeed"":-0.15923170745372772,""pitchspeed"":-0.008219401352107525,""yawspeed"":-0.04565759748220444}",-4.9797654
16806827324200,fov,2667,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9780694
16806830703800,target_offset,256,"{""x_angle_offset"":-0.053180716931819916,""y_angle_offset"":0.030417057319923682}",-4.9746898
16806852610700,gimbal,2668,"{""imu_roll"":0.0,""imu_pitch"":21.648855209350586,""imu_yaw"":-0.17879918217658997,""frame_roll"":0.0,""frame_pitch"":21.648855209350586,""frame_yaw"":-0.17879918217658997,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9527829
16806852910900,fov,2668,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9524827
16806854743100,range,1087,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948280334472656,""y"":39.34881591796875}",-4.9506505
16806860153800,target_offset,257,"{""x_angle_offset"":-0.053180716931819916,""y_angle_offset"":0.02281279298994276}",-4.9452398
16806883124100,gimbal,2669,"{""imu_roll"":0.0,""imu_pitch"":21.65412712097168,""imu_yaw"":-0.17406292259693146,""frame_roll"":0.0,""frame_pitch"":21.65412712097168,""frame_yaw"":-0.17406292259693146,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9222695
16806883914200,range,1088,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948280334472656,""y"":39.34881591796875}",-4.9214794
16806884033000,fov,2669,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9213606
16806884236100,attitude,1002,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111610,""roll"":0.07937567681074142,""pitch"":0.1718883067369461,""yaw"":-3.0687339305877686,""rollspeed"":-0.16253453493118286,""pitchspeed"":-0.008141065947711468,""yawspeed"":-0.04922965541481972}",-4.9211575
16806884356100,vfr,501,"{""message_type"":""VFR_HUD"",""airspeed"":29.312702178955078,""alt"":185.62998962402344}",-4.9210375
16806884420000,position,501,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542942,""lon"":393491710}",-4.9209736
16806885303700,target_offset,258,"{""x_angle_offset"":-0.06077796220779419,""y_angle_offset"":0.02281279298994276}",-4.9200899
16806904871200,gimbal,2670,"{""imu_roll"":0.0,""imu_pitch"":21.65671730041504,""imu_yaw"":-0.17128705978393555,""frame_roll"":0.0,""frame_pitch"":21.65671730041504,""frame_yaw"":-0.17128705978393555,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9005224
16806905174500,fov,2670,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9002191
16806931538700,gimbal,2671,"{""imu_roll"":0.0,""imu_pitch"":21.658668518066406,""imu_yaw"":-0.15534009039402008,""frame_roll"":0.0,""frame_pitch"":21.658668518066406,""frame_yaw"":-0.15534009039402008,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8738549
16806932065300,fov,2671,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8733283
16806937702200,target_offset,259,"{""x_angle_offset"":-0.06077796220779419,""y_angle_offset"":0.015208528659961841}",-4.8676914
16806951679900,attitude,1003,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111670,""roll"":0.06516996771097183,""pitch"":0.1719132512807846,""yaw"":-3.0730350017547607,""rollspeed"":-0.16153185069561005,""pitchspeed"":-0.007636785041540861,""yawspeed"":-0.0538325197994709}",-4.8537137
16806961478500,gimbal,2672,"{""imu_roll"":0.0,""imu_pitch"":21.660640716552734,""imu_yaw"":-0.14488443732261658,""frame_roll"":0.0,""frame_pitch"":21.660640716552734,""frame_yaw"":-0.14488443732261658,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8439151
16806962219200,fov,2672,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8431744
16806964490700,target_offset,260,"{""x_angle_offset"":-0.08356969803571701,""y_angle_offset"":0.015208528659961841}",-4.8409029
16806986048100,gimbal,2673,"{""imu_roll"":0.0,""imu_pitch"":21.67420196533203,""imu_yaw"":-0.14610370993614197,""frame_roll"":0.0,""frame_pitch"":21.67420196533203,""frame_yaw"":-0.14610370993614197,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8193455
16806986275500,fov,2673,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8191181
16806998580600,position,502,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542942,""lon"":393491710}",-4.806813
16806998830500,attitude,1004,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111710,""roll"":0.05580274760723114,""pitch"":0.17193345725536346,""yaw"":-3.075972080230713,""rollspeed"":-0.1585250198841095,""pitchspeed"":-0.006800458766520023,""yawspeed"":-0.05629987642168999}",-4.8065631
16806998949400,vfr,502,"{""message_type"":""VFR_HUD"",""airspeed"":29.26365852355957,""alt"":185.9499969482422}",-4.8064442
16807010899700,range,1089,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94821548461914,""y"":39.348793029785156}",-4.7944939
16807014583000,gimbal,2674,"{""imu_roll"":0.0,""imu_pitch"":21.68263053894043,""imu_yaw"":-0.12739180028438568,""frame_roll"":0.0,""frame_pitch"":21.68263053894043,""frame_yaw"":-0.12739180028438568,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7908106
16807014780400,fov,2674,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7906132
16807020742400,target_offset,261,"{""x_angle_offset"":-0.08356969803571701,""y_angle_offset"":0.015208528659961841}",-4.7846512
16807024283200,range,1090,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94821548461914,""y"":39.348793029785156}",-4.7811104
16807040332900,gimbal,2675,"{""imu_roll"":0.0,""imu_pitch"":21.69537925720215,""imu_yaw"":-0.12864477932453156,""frame_roll"":0.0,""frame_pitch"":21.69537925720215,""frame_yaw"":-0.12864477932453156,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7650607
16807040772000,fov,2675,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7646216
16807045229400,target_offset,262,"{""x_angle_offset"":-0.10636143386363983,""y_angle_offset"":0.015208528659961841}",-4.7601642
16807060603600,gimbal,2676,"{""imu_roll"":0.0,""imu_pitch"":21.698463439941406,""imu_yaw"":-0.13417232036590576,""frame_roll"":0.0,""frame_pitch"":21.698463439941406,""frame_yaw"":-0.13417232036590576,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.74479
16807060871900,fov,2676,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7445217
16807069524200,attitude,1005,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111770,""roll"":0.04213584214448929,""pitch"":0.17198149859905243,""yaw"":-3.080477476119995,""rollspeed"":-0.14945511519908905,""pitchspeed"":-0.005590192973613739,""yawspeed"":-0.05935874208807945}",-4.7358694
16807085163200,gimbal,2677,"{""imu_roll"":0.0,""imu_pitch"":21.70071029663086,""imu_yaw"":-0.12375392764806747,""frame_roll"":0.0,""frame_pitch"":21.70071029663086,""frame_yaw"":-0.12375392764806747,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7202304
16807085793300,fov,2677,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7196003
16807091386100,target_offset,263,"{""x_angle_offset"":-0.10636143386363983,""y_angle_offset"":0.015208528659961841}",-4.7140075
16807106299300,gimbal,2678,"{""imu_roll"":0.0,""imu_pitch"":21.702682495117188,""imu_yaw"":-0.1323520988225937,""frame_roll"":0.0,""frame_pitch"":21.702682495117188,""frame_yaw"":-0.1323520988225937,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6990943
16807106645800,fov,2678,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6987478
16807117040700,target_offset,264,"{""x_angle_offset"":-0.10636143386363983,""y_angle_offset"":0.015208528659961841}",-4.6883529
16807119820300,vfr,503,"{""message_type"":""VFR_HUD"",""airspeed"":29.19942283630371,""alt"":186.26998901367188}",-4.6855733
16807119955500,position,503,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542380,""lon"":393491703}",-4.6854381
16807120188000,attitude,1006,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111810,""roll"":0.03330021724104881,""pitch"":0.17175431549549103,""yaw"":-3.083505153656006,""rollspeed"":-0.1424165666103363,""pitchspeed"":-0.005041169933974743,""yawspeed"":-0.06086689978837967}",-4.6852056
16807129869800,gimbal,2679,"{""imu_roll"":0.0,""imu_pitch"":21.704288482666016,""imu_yaw"":-0.1347767412662506,""frame_roll"":0.0,""frame_pitch"":21.704288482666016,""frame_yaw"":-0.1347767412662506,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6755238
16807130057400,fov,2679,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6753362
16807153104100,gimbal,2680,"{""imu_roll"":0.0,""imu_pitch"":21.71446990966797,""imu_yaw"":-0.1195322796702385,""frame_roll"":0.0,""frame_pitch"":21.71446990966797,""frame_yaw"":-0.1195322796702385,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6522895
16807153427600,fov,2680,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.651966
16807162593300,target_offset,265,"{""x_angle_offset"":-0.08356969803571701,""y_angle_offset"":0.015208528659961841}",-4.6428003
16807176075500,gimbal,2681,"{""imu_roll"":0.0,""imu_pitch"":21.713146209716797,""imu_yaw"":-0.12141743302345276,""frame_roll"":0.0,""frame_pitch"":21.713146209716797,""frame_yaw"":-0.12141743302345276,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6293181
16807176413600,fov,2681,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.62898
16807179565800,range,1091,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948158264160156,""y"":39.34878921508789}",-4.6258278
16807185905600,range,1092,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948158264160156,""y"":39.34878921508789}",-4.619488
16807186079700,attitude,1007,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111870,""roll"":0.020663484930992126,""pitch"":0.1714111566543579,""yaw"":-3.088070869445801,""rollspeed"":-0.1292535811662674,""pitchspeed"":-0.004143605474382639,""yawspeed"":-0.06245600804686546}",-4.6193139
