truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15500,23540202691000,3.2739,True,udp,127.0.0.1:51676,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.3416667,2.896692526,9.646304867,188.7461898,-5.302973502234105,-0.6860629257383754,-2.245523941984978,8.040478662673324,-0.4088075622892947,-1.7293054892371713,-29.636012683152,3.5651496855360003,-2.9464485638856,29.849682411768,2.9464485638856,30.110502310752,5.637378243,173.14040182086043,631.1147447784,84.60225185688,133.3071926688,46.9550819,39.34844541,133.33901842176002,46.949405,39.347334,4.444492046736,30.035776795992003,-0.015993583487496,2.119954198488,4.037296295,-0.03043339718,-1.357852786,2.643445857,548.2491248290864,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09506229005,-0.001869460224,0.9502953858,-11.202308872930434,-0.2469287209156026,-125.52030853810076,12.55559057429524,-0.2469287209156026,-125.52030853810076,23.75789944277745,0.0,0.0,1.5532931131601841,-0.18911928294677682,-0.273057221275994,0.6011636310709297,-0.05623125653972384,-0.2832347261918247,-0.952129482360418,0.13288802640705297,-0.010177504976842474,0.42,0.42,-6.599999998187978,-6.749999999448973,0.0,0.0,13.349999997636951,13.349999997636951,0,0,True,0.005000000000009663,0.0032739,199.99999999961346,305.446104034943,1.5272305201776668,0.9434719886439804,True,-5.388553009466612e-06,7.99999599996664,-1.2146247896360762e-10,7.999995999968456,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.2164553413281596,-7.9069698509226205,5.609008572,4.008926624,-6.599999998187978,-6.749999999448973,0.0,0.0,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,631.1147447784,84.60225185688,133.3071926688,631.1147447784,84.60225185688,133.3071926688,626.8269186463255,90.2524533393407,633.2910004677288,-171.80668794361017,130.1071966101466,646.517883653011,-11.609655533179463,646.517883653011,False,15.052910235529396,-0.5528777436101677,-17.247033776179464,-21.25596040017946,28.82543252946828,27.64275095055308,23.388333701283642,-611.5605102313764,-164.47259224246295,0.7013733365371322,-0.7698677773797896,-4.9981147
15501,23540215239800,12.5488,True,udp,127.0.0.1:51676,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.3466667,2.868323051,9.643441439,188.7346225,-5.263390702071294,-0.688112125335479,-2.2541058149942597,7.744146678659983,-0.4113472775865287,-1.698271910364813,-29.63250864444,3.5633985760080003,-2.9440741475016003,29.845994334816,2.9440741475016003,30.107079208632,5.633556127,173.1429359558925,630.9665750976001,84.62007552456001,133.3219334064,46.95508057,39.34844565,133.35374474232,46.949405,39.347334,4.444492046736,30.03235637916,-0.008725607145144,2.1198378794928003,4.037533773,-0.01660541252,-1.344886141,2.6427535,548.1236996178719,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09506900119,-0.002076705722,0.9501333492,-11.199516737567201,-0.27430286090820294,-125.49890587531672,12.556505239864876,-0.27430286090820294,-125.49890587531672,23.756021977432077,0.0,0.0,1.5313054162374349,-0.1893411453351333,-0.2679243904986695,0.5790982864542796,-0.05637412957097043,-0.27812244459807045,-0.952207129918737,0.13296701573704653,-0.010198054043812426,0.42,0.42,-6.599999998187978,-6.749999999448973,0.0,0.0,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0125488,200.0000000001819,79.68889455565473,0.39844447277791123,0.9301280079516051,True,-5.3912323247432e-06,7.99999601307601,8.079670266170069e-11,7.999996013077826,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.2148589984054838,-7.907215276874553,5.605907666,4.009885312,-6.599999998187978,-6.749999999448973,0.0,0.0,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,630.9665750976001,84.62007552456001,133.3219334064,630.9665750976001,84.62007552456001,133.3219334064,626.6787489655255,90.27027700702071,633.1468844714632,-171.80318059896982,130.12193734774658,646.379684005501,-11.613506233470737,646.379684005501,False,15.053883445137672,-0.5378030989697891,-17.247062360470736,-21.256947672470737,28.821739342046147,27.639027462912573,23.386484378759185,-611.4185462649999,-164.44554904014484,0.7014906058421965,-0.7699249908062195,-4.9855659
15502,23540220638700,5.3989,True,udp,127.0.0.1:51676,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.3516667,2.84014193,9.640564243,188.723013,-5.222794049652252,-0.6901661286107371,-2.2624854722900327,10.019963602865701,-0.40412467200331526,-1.6110955441713617,-29.62901365524,3.5616771905760003,-2.9416935256944003,29.842318855248,2.9416935256944003,30.103660337136002,5.629718855,173.1454161755961,630.8184230952,84.63789050544,133.33666228728,46.95507924,39.34844588,133.3684591452,46.949405,39.347334,4.444492046736,30.028937888664004,-0.0014605704674232002,2.1197294273856,4.037785983,-0.002779878678,-1.331444684,2.645207866,547.9984439027742,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509074536,-0.002111363264,0.9499577931,-11.1950616345531,-0.27888062207646547,-125.47571742948301,12.564050900533935,-0.27888062207646547,-125.47571742948301,23.759112535087038,0.0,0.0,1.7311139301971175,-0.1888679534822949,-0.25384984517367937,0.7486429247231167,-0.05580012682365639,-0.2640694512196052,-0.9824710057451643,0.1330678267264294,-0.010219606029656027,0.433333,0.433333,-6.749999999448973,-6.599999998187978,0.0,0.0,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0053989,200.0000000001819,185.2229157791402,0.9261145788948587,0.9300851346843019,True,-5.383792938594423e-06,7.999995988247667,2.5062760200533774e-10,7.999995988249478,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.2132567818931395,-7.907461274140734,5.60277826,4.010845388,-6.749999999448973,-6.599999998187978,0.0,0.0,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,630.8184230952,84.63789050544,133.33666228728,630.8184230952,84.63789050544,133.33666228728,626.5305969631255,90.2880919879007,633.0027871074392,-171.7996726637818,130.13666622862658,646.2415031417333,-11.617357218360057,646.2415031417333,False,15.054911160622112,-0.5226856637817718,-17.247076073360056,-21.257921461360056,28.818050957390163,27.63531017384244,23.384629992444165,-611.2764448430383,-164.41908789992073,0.7016106762613056,-0.7699817244451532,-4.980167
15503,23540224324300,3.6856,True,udp,127.0.0.1:51676,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.3566667,2.812181214,9.637673282,188.711363,-5.173372921288399,-0.6921889503768686,-2.2704763038102533,9.69542870530825,-0.40533031718321216,-1.5799417186465394,-29.625538871232003,3.5599794240960003,-2.9393083565760003,29.838666305784,2.9393083565760003,30.100257723672,5.625867643,173.14785657473288,630.6702884664,84.65569692144,133.35137922,46.95507791,39.34844612,133.38316166088,46.949405,39.347334,4.444492046736,30.025533373248003,0.00580621313736,2.1196289491512,4.038051517,0.011052115,-1.316691959,2.644762729,547.8737948305577,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09550863028,-0.002320270597,0.9498087897,-11.192444505572876,-0.30647426645941434,-125.45603622846407,12.61893416198198,-0.30647426645941434,-125.45603622846407,23.811378667554855,0.0,0.0,1.706544796575284,-0.18917998427214158,-0.2486862579373605,0.7244759267047581,-0.055778349553746685,-0.2589365609218727,-0.9820688694637804,0.1334016347048367,-0.010250303041456571,0.433333,0.433333,-6.749999999448973,-6.599999998187978,0.0,0.0,13.349999997636951,13.349999997636951,0,0,True,0.005000000000009663,0.0036856,199.99999999961346,271.32624267419146,1.3566312133735792,0.9332062845198683,True,-5.3834368949692846e-06,7.999995965961116,-2.2495569296232532e-10,7.999995965962927,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.2116489259397691,-7.907707803220482,5.599621764999999,4.011805638999999,-6.749999999448973,-6.599999998187978,0.0,0.0,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,630.6702884664,84.65569692144,133.35137922,630.6702884664,84.65569692144,133.35137922,626.3824623343255,90.3058984039007,632.8587080909516,-171.79616412307658,130.1513831613466,646.103340763194,-11.621208484854828,646.103340763194,False,15.055979302190508,-0.5075271230765566,-17.24707612785483,-21.258881766854827,28.814379280581015,27.631610411914657,23.382760944132173,-611.134246385078,-164.39305734090863,0.7017331478111224,-0.7700383350084095,-4.9764814
15504,23540227901200,3.5769,True,udp,127.0.0.1:51676,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.3616667,2.784458269,9.634768559,188.699674,-5.125562275300171,-0.694218976514316,-2.278310827287343,9.376576082306544,-0.40703007589441814,-1.5486523376099248,-29.622092016048,3.558310314912,-2.9369211580992003,29.835044958696002,2.9369211580992003,30.096878473128,5.622005736,173.15024930378112,630.5221709064,84.67349492496001,133.36608423504,46.95507657,39.34844635,133.3978522284,46.949405,39.347334,4.444492046736,30.022150038384,0.013068453085800001,2.1195353526912,4.038327339,0.02487856775,-1.302451556,2.64409277,547.7500109546211,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09589829556,-0.002529313159,0.9496650053,-11.189879647644851,-0.3340857725428127,-125.43704436834885,12.670112655334432,-0.3340857725428127,-125.43704436834885,23.85999229853106,0.0,0.0,1.6824315987689331,-0.18952129734012735,-0.24350139507021462,0.7007321840016376,-0.05580502566506731,-0.25378178460407286,-0.9816994144961319,0.13371627166150185,-0.010280389546060618,0.433333,0.433333,-6.749999999448973,-6.599999998187978,0.0,0.0,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0035769,200.0000000001819,279.5716961614806,1.3978584808061316,0.9365067028688758,True,-5.3890085034008495e-06,7.9999960079530466,-2.5094534783498545e-10,7.999996007954862,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.2100356371188414,-7.9079548290153685,5.596441219999999,4.012762822999999,-6.749999999448973,-6.599999998187978,0.0,0.0,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,630.5221709064,84.67349492496001,133.36608423504,630.5221709064,84.67349492496001,133.36608423504,626.2343447743255,90.32369640742071,632.7146471416863,-171.79265495913307,130.16608817638658,645.9651966002282,-11.625060040480692,645.9651966002282,False,15.057095737085774,-0.4923289591330331,-17.247065776480692,-21.25982859948069,28.810731229721323,27.62793444508083,23.380871917308415,-610.9919280822036,-164.3675409745491,0.7018585749295134,-0.7700951657672681,-4.9729045
15505,23540236224500,8.3233,True,udp,127.0.0.1:51676,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.3666667,2.756965238,9.631850005,188.6879466,-5.0793345054350825,-0.6962583424367816,-2.2859889006277667,9.063177839897564,-0.4091286638805043,-1.5173620375490071,-29.618671617504003,3.5566698752160004,-2.9345318501016,29.831453350944003,2.9345318501016,30.093521119416003,5.618133263,173.15259401896614,630.37407072,84.6912846684,133.38077727144002,46.95507524,39.34844658,133.41253087824,46.949405,39.347334,4.444492046736,30.018786436272002,0.020325646609992,2.119448338692,4.03861308,0.03869849096,-1.288695391,2.643206025,547.6270391278766,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626214478,-0.002738105873,0.9495250949,-11.187315132229893,-0.36166427744797625,-125.41856423164826,12.717902262152851,-0.36166427744797625,-125.41856423164826,23.905217394382742,0.0,0.0,1.6587549201092269,-0.18988448449698253,-0.23831722760209442,0.6773947312637676,-0.055871484647605975,-0.24862716461208248,-0.9813601893877865,0.134012999808702,-0.010309937009988038,0.433333,0.433333,-6.749999999448973,-6.599999998187978,0.0,0.0,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0083233,200.0000000001819,120.14465416361298,0.6007232708175185,0.9310085755156873,True,-5.389210039695447e-06,7.999996013923526,2.621991790352496e-10,7.999996013925341,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.2084169978075714,-7.908202335566209,5.593236925,4.013716742000001,-6.749999999448973,-6.599999998187978,0.0,0.0,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,630.37407072,84.6912846684,133.38077727144002,630.37407072,84.6912846684,133.38077727144002,626.0862445879254,90.3414861508607,632.5706045827278,-171.78914516209346,130.1807812127866,645.8270709557855,-11.628911874039865,645.8270709557855,False,15.058260818940425,-0.47709176209343696,-17.247045137039866,-21.260761879039865,28.80710533874942,27.62428085473117,23.378964120442458,-610.84948917757,-164.34254273820733,0.7019869421473545,-0.7701521832541844,-4.9645812
15506,23540244510200,8.2857,True,udp,127.0.0.1:51676,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.3716667,2.729694404,9.628917539,188.6761816,-5.034692262195895,-0.6981118849682574,-2.2934593254688687,8.314877289438307,-0.17527372376899455,-1.4248744293710374,-29.615274944592002,3.5550569833440004,-2.9321400189696,29.827888629600004,2.9321400189696,30.090183099168,5.614249976,173.15489220997821,630.2259876024001,84.70906627368001,133.39545839016,46.95507391,39.34844682,133.42719754944,46.949405,39.347334,4.444492046736,30.015440006592,0.027578616240168,2.1193676937936003,4.038908678,0.05251342378,-1.274977675,2.644072245,547.5047855050169,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09649204933,-0.002838566615,0.9493829082,-11.199282525354493,-0.3749336918176568,-125.39978343964867,12.752672244575363,-0.3749336918176568,-125.39978343964867,23.951954769929856,0.0,0.0,1.6328295739960388,-0.16880276844737707,-0.22305953587940058,0.6216354801412701,-0.03448786012802524,-0.2333973859269817,-1.0111940943970958,0.13431490831935186,-0.01033785001775311,0.446667,0.446667,-6.749999999448973,-6.599999998187978,0.15000000000048733,0.15000000000048733,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0082857,199.99999999961346,120.68986325838493,0.603449316293091,0.9256689451579168,True,-5.387894600968751e-06,7.999995991365267,-1.4097836786852724e-10,7.999995991367082,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.2067931179989293,-7.908450302758153,5.590008860999999,4.014667563,-6.749999999448973,-6.599999998187978,0.15000000000048733,0.15000000000048733,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,630.2259876024001,84.70906627368001,133.39545839016,630.2259876024001,84.70906627368001,133.39545839016,625.9381614703256,90.35926775614071,632.4265801294861,-171.7856347169406,130.19546233150658,645.688963562172,-11.632763995786988,645.688963562172,False,15.059473073081222,-0.4618163169405989,-17.247013971786988,-21.261681534786987,28.80349905704492,27.620647224059464,23.377039586521093,-610.7069336889516,-164.31804647851607,0.7021181168935247,-0.7702093071507976,-4.9562955
15507,23540248965500,4.4553,True,udp,127.0.0.1:51676,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.3766667,2.702633661,9.625974479,188.664381,-4.993720026201862,-0.6989896030253229,-2.300518379218138,8.026730717996076,-0.176058720066074,-1.39352357397371,-29.611909239360003,3.553467661656,-2.9297469143832005,29.824357515504005,2.9297469143832005,30.0868722366,5.610357004,173.157153044142,630.0779215535999,84.72683986272001,133.41012749976,46.95507258,39.34844705,133.44185227248,46.949405,39.347334,4.444492046736,30.012118494312002,0.0348288626256,2.1192950358744,4.039216172,0.06632617922,-1.262172567,2.64228623,547.3835344947803,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09721719881,-0.003046872851,0.9492527718,-11.19669765487742,-0.40244793993747713,-125.38259431030748,12.84777874570115,-0.40244793993747713,-125.38259431030748,24.04447640057857,0.0,0.0,1.6105865629954395,-0.16928196304859994,-0.21787175827482938,0.6001752250081805,-0.034448525937640834,-0.22823618899770573,-1.0104113374449315,0.1348334371109591,-0.010364430642883088,0.446667,0.446667,-6.749999999448973,-6.599999998187978,0.15000000000048733,0.15000000000048733,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0044553,200.0000000001819,224.4517765358113,1.1222588826780358,0.9274052083087517,True,-5.388342113152311e-06,7.999996009731976,1.4827192251765098e-10,7.999996009733791,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.2051642733388588,-7.908698685315601,5.586758307,4.015617475,-6.749999999448973,-6.599999998187978,0.15000000000048733,0.15000000000048733,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,630.0779215535999,84.72683986272001,133.41012749976,630.0779215535999,84.72683986272001,133.41012749976,625.7900954215254,90.37704134518071,632.2825737990811,-171.78212361258528,130.21013144110657,645.5508744164945,-11.636616397342312,645.5508744164945,False,15.060723343272684,-0.4465046125852723,-17.246973401342313,-21.262590876342312,28.799920113760475,27.617040872324864,23.37509211797573,-610.5642881047336,-164.29395369626414,0.702251838938938,-0.7702667845208794,-4.9518402
15508,23540252362800,3.3973,True,udp,127.0.0.1:51676,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.3816667,2.675769679,9.623023191,188.6525462,-4.954179025602037,-0.6998727080315781,-2.307420701508465,7.743144048355128,-0.17752395592176015,-1.362184594272602,-29.608584983880004,3.551904129096,-2.9273549128680005,29.820870673608,2.9273549128680005,30.083598751655998,5.606456888,173.1593747452884,629.9298719640001,84.74460558792,133.42478466120002,46.95507125,39.34844728,133.45649501688,46.949405,39.347334,4.444492046736,30.008832091944004,0.0420713467944,2.1192310632312,4.039535524,0.08012709568,-1.249787171,2.640286447,547.2636571691739,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09788264049,-0.003254861363,0.9491279767,-11.194121391709174,-0.429920221265986,-125.36611066891446,12.93516539824765,-0.429920221265986,-125.36611066891446,24.129286789956822,0.0,0.0,1.5887441568798513,-0.16978776476356805,-0.21268748356150952,0.5790546078300016,-0.03447427073761276,-0.2230771518864215,-1.0096895490498496,0.13531349406662985,-0.010389668244918713,0.446667,0.446667,-6.749999999448973,-6.599999998187978,0.15000000000048733,0.15000000000048733,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0033973,200.0000000001819,294.35139669737737,1.4717569834855482,0.9310788996174022,True,-5.385607509244411e-06,7.9999959902226605,3.2824704065959054e-10,7.999995990224473,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.20353065668552,-7.908947450784032,5.583487667,4.016566302999999,-6.749999999448973,-6.599999998187978,0.15000000000048733,0.15000000000048733,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,629.9298719640001,84.74460558792,133.42478466120002,629.9298719640001,84.74460558792,133.42478466120002,625.6420458319255,90.39480707038071,632.1385850096865,-171.77861182729353,130.2247886025466,645.4128029599557,-11.64046909429807,645.4128029599557,False,15.062013427418037,-0.43115802729352026,-17.24692598229807,-21.26349228529807,28.79637855794242,27.613471159223188,23.37311376894321,-610.421546529905,-164.27028395326906,0.7023884470072241,-0.7703250040343538,-4.9484429
15509,23540255499300,3.1365,True,udp,127.0.0.1:51676,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.3866667,2.649095488,9.620063612,188.6406781,-4.916046466416456,-0.7007643587033479,-2.3141663616677426,7.464110427940232,-0.17956835344499125,-1.3308616316066573,-29.605299550776003,3.5503666081680003,-2.9249637974064,29.817425519208,2.9249637974064,30.080359995624004,5.602549711,173.1615561675018,629.7818388336,84.76236354072,133.43942987448,46.95506991,39.34844752,133.47112581312,46.949405,39.347334,4.444492046736,30.005578178208,0.04930557188904,2.1191754350976,4.03986644,0.09391518057,-1.237832134,2.63807398,547.1450577676795,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09850286026,-0.003462518976,0.9490082748,-11.191552272384843,-0.4573487957478521,-125.35029977655853,13.016614613512537,-0.4573487957478521,-125.35029977655853,24.20816688589738,0.0,0.0,1.5672967561211482,-0.17031929325968753,-0.2075070946224295,0.5582731201750026,-0.03455591134248789,-0.21792095060395794,-1.009023636217309,0.13576338197143237,-0.010413855958479505,0.446667,0.446667,-6.749999999448973,-6.599999998187978,0.15000000000048733,0.15000000000048733,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0031365,199.99999999961346,318.8267176789415,1.5941335883977885,0.9352123127793566,True,-5.387300926595201e-06,7.999995991636807,7.420036807204156e-11,7.99999599163862,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.2018923919005167,-7.909196577348217,5.580197171999999,4.017513900999999,-6.749999999448973,-6.599999998187978,0.15000000000048733,0.15000000000048733,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,629.7818388336,84.76236354072,133.43942987448,629.7818388336,84.76236354072,133.43942987448,625.4940127015254,90.4125650231807,631.9946137741421,-171.7750993526745,130.23943381582657,645.2747492039294,-11.644322086314354,645.2747492039294,False,15.06334447982374,-0.4157774526744902,-17.246871797314355,-21.264385698314353,28.792871750536044,27.60993554218864,23.371106687950583,-610.2787059941613,-164.24704822193604,0.7025279299285827,-0.7703839006156611,-4.9453064
