recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
23540212094600,fov,2657,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9887111
23540212451700,gimbal,2657,"{""imu_roll"":0.0,""imu_pitch"":21.208765029907227,""imu_yaw"":0.10770749300718307,""frame_roll"":0.0,""frame_pitch"":21.208765029907227,""frame_yaw"":0.10770749300718307,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.988354
23540217890300,target_offset,249,"{""x_angle_offset"":0.04558347165584564,""y_angle_offset"":0.030417057319923682}",-4.9829154
23540239074100,gimbal,2658,"{""imu_roll"":0.0,""imu_pitch"":21.212997436523438,""imu_yaw"":0.11377835273742676,""frame_roll"":0.0,""frame_pitch"":21.212997436523438,""frame_yaw"":0.11377835273742676,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9617316
23540239677800,range,1008,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94831466674805,""y"":39.34874725341797}",-4.9611279
23540239946400,fov,2658,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9608593
23540243573900,range,1009,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94831466674805,""y"":39.34874725341797}",-4.9572318
23540244297200,attitude,986,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111370,""roll"":0.06415391713380814,""pitch"":0.17107270658016205,""yaw"":-3.0719692707061768,""rollspeed"":-0.09001073986291885,""pitchspeed"":-0.011248232796788216,""yawspeed"":-0.041496481746435165}",-4.9565085
23540246206500,target_offset,250,"{""x_angle_offset"":0.053180716931819916,""y_angle_offset"":0.02281279298994276}",-4.9545992
23540262636700,gimbal,2659,"{""imu_roll"":0.0,""imu_pitch"":21.21647834777832,""imu_yaw"":0.12484607100486755,""frame_roll"":0.0,""frame_pitch"":21.21647834777832,""frame_yaw"":0.12484607100486755,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.938169
