recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
23996242460300,fov,2629,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9945629
23996242843900,gimbal,2629,"{""imu_roll"":0.0,""imu_pitch"":21.069250106811523,""imu_yaw"":-2.531961679458618,""frame_roll"":0.0,""frame_pitch"":21.069250106811523,""frame_yaw"":-2.531961679458618,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9941793
23996252749900,position,498,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541412,""lon"":393492172}",-4.9842733
23996253035400,attitude,993,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112010,""roll"":-0.0031016599386930466,""pitch"":0.17019861936569214,""yaw"":-3.002718687057495,""rollspeed"":-0.05439231917262077,""pitchspeed"":0.0008327937102876604,""yawspeed"":0.01154409721493721}",-4.9839878
23996253121800,vfr,498,"{""message_type"":""VFR_HUD"",""airspeed"":29.32621192932129,""alt"":182.97999572753906}",-4.9839014
23996265219000,fov,2630,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9718042
23996265654300,gimbal,2630,"{""imu_roll"":0.0,""imu_pitch"":21.07964515686035,""imu_yaw"":-2.5750553607940674,""frame_roll"":0.0,""frame_pitch"":21.07964515686035,""frame_yaw"":-2.5750553607940674,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9713689
23996285974000,fov,2631,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9510492
23996286276500,gimbal,2631,"{""imu_roll"":0.0,""imu_pitch"":21.09628677368164,""imu_yaw"":-2.629006862640381,""frame_roll"":0.0,""frame_pitch"":21.09628677368164,""frame_yaw"":-2.629006862640381,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9507467
23996309231000,fov,2632,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9277922
23996310759100,gimbal,2632,"{""imu_roll"":0.0,""imu_pitch"":21.111268997192383,""imu_yaw"":-2.6775734424591064,""frame_roll"":0.0,""frame_pitch"":21.111268997192383,""frame_yaw"":-2.6775734424591064,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9262641
23996317006000,attitude,994,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112070,""roll"":-0.006001094356179237,""pitch"":0.17002800107002258,""yaw"":-3.00260853767395,""rollspeed"":-0.0515168271958828,""pitchspeed"":0.0008931540069170296,""yawspeed"":0.0089500080794096}",-4.9200172
