recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
26158440641900,range,1007,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948280334472656,""y"":39.34877014160156}",-5.0011335
26158450770700,gimbal,2653,"{""imu_roll"":0.0,""imu_pitch"":21.488754272460938,""imu_yaw"":4.860329627990723,""frame_roll"":0.0,""frame_pitch"":21.488754272460938,""frame_yaw"":4.860329627990723,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9910047
26158451115000,fov,2653,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9906604
26158460967700,target_offset,215,"{""x_angle_offset"":0.04558347165584564,""y_angle_offset"":-0.0760426432998092}",-4.9808077
26158463011500,attitude,982,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111570,""roll"":0.03134741261601448,""pitch"":0.165827214717865,""yaw"":3.124019145965576,""rollspeed"":0.14521914720535278,""pitchspeed"":-0.008952880278229713,""yawspeed"":0.10028363764286041}",-4.9787639
26158473049100,gimbal,2654,"{""imu_roll"":0.0,""imu_pitch"":21.468181610107422,""imu_yaw"":4.838001251220703,""frame_roll"":0.0,""frame_pitch"":21.468181610107422,""frame_yaw"":4.838001251220703,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9687263
26158473371900,fov,2654,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9684035
26158494682600,gimbal,2655,"{""imu_roll"":0.0,""imu_pitch"":21.455108642578125,""imu_yaw"":4.802902698516846,""frame_roll"":0.0,""frame_pitch"":21.455108642578125,""frame_yaw"":4.802902698516846,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9470928
26158494990000,fov,2655,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9467854
26158503557300,target_offset,216,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":-0.06843837896982828}",-4.9382181
26158505799700,vfr,492,"{""message_type"":""VFR_HUD"",""airspeed"":29.160903930664062,""alt"":185.11000061035156}",-4.9359757
26158505871500,position,492,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542917,""lon"":393492256}",-4.9359039
26158505932500,attitude,983,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111610,""roll"":0.040536198765039444,""pitch"":0.1656237542629242,""yaw"":3.1281943321228027,""rollspeed"":0.14130041003227234,""pitchspeed"":-0.00773621816188097,""yawspeed"":0.10488955676555634}",-4.9358429
26158514420400,gimbal,2656,"{""imu_roll"":0.0,""imu_pitch"":21.43853187561035,""imu_yaw"":4.777634620666504,""frame_roll"":0.0,""frame_pitch"":21.43853187561035,""frame_yaw"":4.777634620666504,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.927355
26158514838400,fov,2656,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.926937
26158533845200,gimbal,2657,"{""imu_roll"":0.0,""imu_pitch"":21.42693328857422,""imu_yaw"":4.741326332092285,""frame_roll"":0.0,""frame_pitch"":21.42693328857422,""frame_yaw"":4.741326332092285,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9079302
26158534228700,fov,2657,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9075467
26158547546000,target_offset,217,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":-0.0380213216499046}",-4.8942294
26158558323100,gimbal,2658,"{""imu_roll"":0.0,""imu_pitch"":21.415903091430664,""imu_yaw"":4.708810806274414,""frame_roll"":0.0,""frame_pitch"":21.415903091430664,""frame_yaw"":4.708810806274414,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8834523
26158558603600,fov,2658,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8831718
26158570277300,attitude,984,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111670,""roll"":0.05414780601859093,""pitch"":0.16532114148139954,""yaw"":3.134737014770508,""rollspeed"":0.1373249590396881,""pitchspeed"":-0.006174672394990921,""yawspeed"":0.11098265647888184}",-4.8714981
26158582293500,gimbal,2659,"{""imu_roll"":0.0,""imu_pitch"":21.407245635986328,""imu_yaw"":4.648263931274414,""frame_roll"":0.0,""frame_pitch"":21.407245635986328,""frame_yaw"":4.648263931274414,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8594819
26158582698000,fov,2659,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8590774
26158587634500,target_offset,218,"{""x_angle_offset"":-0.02279173582792282,""y_angle_offset"":-0.030417057319923682}",-4.8541409
26158592025700,range,1008,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94821548461914,""y"":39.34878921508789}",-4.8497497
26158593511800,range,1009,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94821548461914,""y"":39.34878921508789}",-4.8482636
26158603051200,gimbal,2660,"{""imu_roll"":0.0,""imu_pitch"":21.396507263183594,""imu_yaw"":4.6121721267700195,""frame_roll"":0.0,""frame_pitch"":21.396507263183594,""frame_yaw"":4.6121721267700195,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8387242
