event_monotonic_ns,event,value_json,session_time_s
26456019641200,TRACKER_LATENCY_CALIBRATION_HUNTER,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-4.9992348
26456019738400,CHANNELS_RESET,"{""reason"":""hunter_enter""}",-4.9991376
26456069358500,SIM_MISSION_STATE,"{""time"":1788186881.303562,""from"":""ENTER_HUNTER"",""to"":""HUNTER"",""reason"":""hunter_confirmed_by_attack_controller""}",-4.9495175
26456461020000,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9057867224305096,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":199.99999999961346,""receive_rate_hz"":120.95701187797857}",-4.557856
26457459758200,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.950782000056826,""allowed_low"":0.95,""allowed_high"":1.05}",-3.5591178
26458778090100,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9188580824077087,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":138.5195035460993}",-2.2407859
26460402417000,ATTACK_STATE_COMMAND,"{""previous"":4,""new"":-1}",-0.616459
26460402650500,SIM_MISSION_STATE,"{""time"":1788186885.6370718,""from"":""HUNTER"",""to"":""AIM_CAMERA"",""reason"":""hunter_correlator_off_target_reaim_before_reacquire""}",-0.6162255
26460402976100,TRACKER_DISABLED,"{""state"":false}",-0.6158999
26460453373700,SIM_MISSION_STATE,"{""time"":1788186885.6877382,""from"":""AIM_CAMERA"",""to"":""WAIT_CAMERA_ON_TARGET"",""reason"":""camera_tracking_started""}",-0.5655023
