event_monotonic_ns,event,value_json,session_time_s
27985286755000,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9265730080333259,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":97.90675360786386}",-4.581282
27986806123800,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.9515303847874262,""allowed_low"":0.95,""allowed_high"":1.05}",-3.0619132
27987277469800,ATTACK_STATE_COMMAND,"{""previous"":4,""new"":-1}",-2.5905672
27987277724000,SIM_MISSION_STATE,"{""time"":1788188412.5121448,""from"":""HUNTER"",""to"":""AIM_CAMERA"",""reason"":""hunter_correlator_off_target_reaim_before_reacquire""}",-2.590313
27987278011300,TRACKER_DISABLED,"{""state"":false}",-2.5900257
27987327518500,SIM_MISSION_STATE,"{""time"":1788188412.5616224,""from"":""AIM_CAMERA"",""to"":""WAIT_CAMERA_ON_TARGET"",""reason"":""camera_tracking_started""}",-2.5405185
27987378424000,SIM_MISSION_STATE,"{""time"":1788188412.6126852,""from"":""WAIT_CAMERA_ON_TARGET"",""to"":""WAIT_CAPTURE_DISTANCE"",""reason"":""target_visible_prearm_hunter_before_attack_angle""}",-2.489613
27987428377300,SIM_MISSION_STATE,"{""time"":1788188412.6627934,""from"":""WAIT_CAPTURE_DISTANCE"",""to"":""ENABLE_CAPTURE"",""reason"":""capture_distance_reached_immediate_capture""}",-2.4396597
27987480070900,SIM_MISSION_STATE,"{""time"":1788188412.7144926,""from"":""ENABLE_CAPTURE"",""to"":""WAIT_TRACKER_LOCK"",""reason"":""direct_ra_capture_sent_wait_real_tracking""}",-2.3879661
27987687713200,TRACKER_LATENCY_CALIBRATION_BEGIN,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-2.1803238
27987687750300,TRACKER_ENABLED,"{""state"":true}",-2.1802867
27987735142500,SIM_MISSION_STATE,"{""time"":1788188412.969553,""from"":""WAIT_TRACKER_LOCK"",""to"":""ENTER_HUNTER"",""reason"":""real_tracking_reacquired_wind_already_attempted""}",-2.1328945
27987785140000,ATTACK_STATE_COMMAND,"{""previous"":-1,""new"":4}",-2.082897
27987785864400,TRACKER_LATENCY_CALIBRATION_HUNTER,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-2.0821726
27987785949100,CHANNELS_RESET,"{""reason"":""hunter_enter""}",-2.0820879
27987837283800,SIM_MISSION_STATE,"{""time"":1788188413.0716012,""from"":""ENTER_HUNTER"",""to"":""HUNTER"",""reason"":""hunter_confirmed_by_attack_controller""}",-2.0307532
27988330798800,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9094056234776595,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":199.99999999961346,""receive_rate_hz"":119.53143676786995}",-1.5372382
27989154283100,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.9501097095609006,""allowed_low"":0.95,""allowed_high"":1.05}",-0.7137539
27989867159500,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.030358733696644446,""effective_s"":0.0,""confidence"":0.1565555741711085,""candidate_s"":0.225,""fit_score"":0.9265334015750858,""excitation"":0.1086210155792679,""samples"":53,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9995648845645302}",-0.0008775
27989868005800,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":9.760485465468085,""hold_pitch_pwm"":1988,""uav_pitch_deg"":9.760485465468085,""frame_pitch_deg"":-25.00396156311035}",-3.12e-05
