truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
16686,28142638311400,3.5241,True,udp,127.0.0.1:61254,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.2283333,-0.62752632,7.115613645,184.597354,3.94655670907324,-0.7875381509989531,-0.42028492810844337,-0.8015046298006727,-0.02538478473295189,0.8594340393286856,-22.956799764744,-2.7808203508704,-1.816933479156,23.124610641720004,1.816933479156,31.13450517816,4.492580953,186.90674543341686,532.163994852,30.48077592936,158.2202765484,46.95419182,39.34773442,158.24257928256,46.949405,39.347334,4.444492046736,31.06578052008,0.2681599314972,2.0500690424496,3.775544634,0.4934917768,-0.002447766462,0.1411063261,584.768778741255,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318673721,-0.006309264496,0.9529979697,-12.362795348258452,-0.8340072446176695,-125.87433582412692,17.417398373975285,-0.8340072446176695,-125.87433582412692,29.780193722233737,0.0,0.0,1.1030392099122828,-0.14153059332327325,0.15264233761225396,-0.05936931045459457,0.0003649800522759794,0.1400435468403772,-1.1624085203397612,0.14189557341378328,-0.012598790781367483,0.55,0.55,-7.650000001285362,-4.650000000129699,3.000000000009747,3.000000000009747,12.300000000269145,12.300000000269145,0,0,True,0.005000000000009663,0.0035241,199.99999999961346,283.7603927243835,1.4188019636246598,0.8922607127684119,True,7.99999598601538,-1.7001882839096094e-08,-4.721806279306406e-10,7.99999598601538,7.9999959888,0.0,0.0,jsbsim_total_wind,7.9999959888,7.974256650448801,0.6412228111890197,3.3400690109999998,2.6230326919999998,-7.650000001285362,-4.650000000129699,3.000000000009747,3.000000000009747,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,532.163994852,30.48077592936,158.2202765484,532.163994852,30.48077592936,158.2202765484,527.8761687199254,36.130977411820695,529.1112331364367,-176.0844438283407,155.02028048974657,551.3528674036985,-16.329655972152935,551.3528674036985,False,-2.9911892617575404,-0.6817978283406774,-20.822236925152936,-23.445269617152935,23.093104999372468,21.650671341946353,25.46585547837026,-528.3903566319334,27.61028883476083,-0.1306694453797432,-0.8559328201228458,-4.9979458
16687,28142651060400,12.749,True,udp,127.0.0.1:61254,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.2333333,-0.6080577021,7.111654437,184.595288,3.9426278114213127,-0.7876262054447399,-0.41613578129747614,-0.771016453464204,-0.0071433233905601815,0.8009462921696002,-22.957493023199998,-2.7800693727432,-1.8150546407496,23.125208573976,1.8150546407496,31.13501782128,4.487838725,186.904691723496,532.0492099152,30.466874324448003,158.22936617208,46.95419079,39.34773423,158.25165924408,46.949405,39.347334,4.444492046736,31.066304898000002,0.26917529884415997,2.0497756767168003,3.77494238,0.4953522361,-0.0002371855695,0.1413912498,584.787524820251,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131890365,-0.006449268791,0.9528798152,-12.359268148721517,-0.852499114837246,-125.85879983186682,17.420436442615184,-0.852499114837246,-125.85879983186682,29.779704591336703,0.0,0.0,1.1053048616972037,-0.1398561435142501,0.14305504695894555,-0.05709746175460103,0.0019907561856838617,0.1304552716598656,-1.1624023234382463,0.14184689968501998,-0.012599775277386852,0.55,0.55,-7.650000001285362,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,0,0,True,0.0049999999999954525,0.012749,200.0000000001819,78.43752451172641,0.3921876225582754,0.8798268868085581,True,7.9999959986956215,1.2612197036743211e-08,1.317297826375352e-09,7.9999959986956215,7.9999959888,0.0,0.0,jsbsim_total_wind,7.9999959888,7.9742797667989125,0.6409352710200821,3.336712057,2.6238157120000007,-7.650000001285362,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,532.0492099152,30.466874324448003,158.22936617208,532.0492099152,30.466874324448003,158.22936617208,527.7613837831254,36.1170758069087,528.9957668805313,-176.08509704143634,155.02937011342658,551.2446162778256,-16.333936992409793,551.2446162778256,False,-2.989788764932314,-0.6803850414363524,-20.821775717409793,-23.445591429409795,23.09373160855234,21.651185575855486,25.46025086462475,-528.2757222660097,27.591350852165824,-0.13064020738308538,-0.8560999575418332,-4.9851968
16688,28142655290200,4.2298,True,udp,127.0.0.1:61254,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.2383333,-0.5886059816,7.107695882,184.593241,3.938762211281803,-0.7876281340206783,-0.4121220196579487,-0.776072947526809,0.00899522218633565,0.8052846793199604,-22.958189299176002,-2.7793308871488,-1.8131699517072002,23.12581103556,1.8131699517072002,31.13553439632,4.4830814,186.90266797926782,531.9344213208001,30.452976459432,158.23844637744003,46.95418976,39.34773405,158.26072981776002,46.949405,39.347334,4.444492046736,31.06683272016,0.27019172665128,2.049488563956,3.774351209,0.4972145238,0.002275962343,0.1438181878,584.8064183704446,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318758424,-0.006478554115,0.9527506827,-12.360691624120616,-0.8563695053475295,-125.84181967997709,17.418520553531497,-0.8563695053475295,-125.84181967997709,29.77921217320389,0.0,0.0,1.1049163771467412,-0.13837052769045316,0.14376761118219777,-0.05747971065427175,0.0034291982370277543,0.13116781558652313,-1.1623960877603383,0.14179972589765294,-0.012599795542797727,0.55,0.55,-7.650000001285362,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,0,0,True,0.0049999999999954525,0.0042298,200.0000000001819,236.41779753179821,1.182088987657916,0.8823624533977852,True,7.99999599627152,-6.7618984196660126e-09,4.500448902433618e-10,7.99999599627152,7.9999959888,0.0,0.0,jsbsim_total_wind,7.9999959888,7.974302660333469,0.6406503743967242,3.3333446729999996,2.624614482,-7.650000001285362,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,531.9344213208001,30.452976459432,158.23844637744003,531.9344213208001,30.452976459432,158.23844637744003,527.6465951887255,36.103177941892696,528.880297299643,-176.08575010849148,155.0384503187866,551.1363623904792,-16.338218852004914,551.1363623904792,False,-2.988418087759328,-0.6789911084914593,-20.821300252004914,-23.445914734004916,23.094362099230402,21.65170518191062,25.454640073842214,-528.1610696344408,27.572692910962054,-0.13061228052391707,-0.8562667404970971,-4.980967
16689,28142658834100,3.5439,True,udp,127.0.0.1:61254,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.2433333,-0.5691711597,7.103738378,184.591213,3.934871425063534,-0.787550148735183,-0.40808652630220976,-0.7810831420159049,0.024759792171374435,0.8096421115874307,-22.958887672176004,-2.77860706914,-1.8112792154328001,23.126417371152,1.8112792154328001,31.136054141280002,4.478308624,186.9006797584229,531.8196293736,30.439082248968003,158.24751716448,46.95418873,39.34773387,158.26979094264001,46.949405,39.347334,4.444492046736,31.06736322456,0.27121154502312,2.0492080437144002,3.773771838,0.4990829386,0.004783665528,0.1462217703,584.8254325788909,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318614424,-0.006507939392,0.9526250259,-12.362097248806373,-0.8602530470250187,-125.8252989404158,17.41662088711204,-0.8602530470250187,-125.8252989404158,29.778718131470193,0.0,0.0,1.1045312628885349,-0.13691871959394322,0.14448249060017856,-0.057858550702224044,0.0048335815707102065,0.1318835693172661,-1.1623898135772006,0.1417523011483836,-0.012598921307317188,0.55,0.55,-7.650000001285362,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,0,0,True,0.005000000000009663,0.0035439,199.99999999961346,282.1750049380626,1.4108750246930397,0.8860820808253307,True,7.99999598561598,1.0740259168140476e-08,-5.516437306951616e-10,7.99999598561598,7.9999959888,0.0,0.0,jsbsim_total_wind,7.9999959888,7.9743253313358675,0.6403681213420891,3.32996654,2.625429754,-7.650000001285362,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,531.8196293736,30.439082248968003,158.24751716448,531.8196293736,30.439082248968003,158.24751716448,527.5318032415255,36.0892837314287,528.7648246919448,-176.08640304090315,155.04752110582658,551.0281060277823,-16.34250154279742,551.0281060277823,False,-2.9870827993260605,-0.6776160409031604,-20.820810166797422,-23.44623992079742,23.094995700845868,21.65222947817125,25.449023925379265,-528.0463963548548,27.554366771072694,-0.13058590804059833,-0.8564331259861994,-4.9774231
16690,28142662276800,3.4427,True,udp,127.0.0.1:61254,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.2483333,-0.5497533511,7.099782307,184.589204,3.9309556859603307,-0.7873941208684131,-0.40402920686411037,-0.7860461878080396,0.040149677368856516,0.8140181053956321,-22.95958812696,-2.7778978931136002,-1.8093825971280002,23.127027559416,1.8093825971280002,31.13657705616,4.47352081,186.89872706096133,531.7048337688001,30.425191619904002,158.25657847224,46.95418769,39.34773369,158.27884261872,46.949405,39.347334,4.444492046736,31.0678964112,0.27223467373632004,2.0489341534824,3.773204335,0.5009573322,0.007284243164,0.1486019351,584.8445664879846,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318471657,-0.006537422297,0.9525028609,-12.363484929366136,-0.8641494324975996,-125.8092397483293,17.414737510080137,-0.8641494324975996,-125.8092397483293,29.778222434998053,0.0,0.0,1.1041495850865002,-0.1355007818906259,0.14519962447224385,-0.058233916439567386,0.006203842179921694,0.13260245098780676,-1.1623835014311605,0.14170462408139414,-0.012597173495283635,0.55,0.55,-7.650000001285362,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,0,0,True,0.0049999999999954525,0.0034427,200.0000000001819,290.4696894879019,1.452348447438189,0.8899543888761537,True,7.9999959815651085,7.822744493846123e-09,-1.0257891203124814e-09,7.9999959815651085,7.9999959888,0.0,0.0,jsbsim_total_wind,7.9999959888,7.974347780086878,0.6400885118790841,3.326577972,2.626261497,-7.650000001285362,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,531.7048337688001,30.425191619904002,158.25657847224,531.7048337688001,30.425191619904002,158.25657847224,527.4170076367255,36.0753931023647,528.649348748268,-176.08705584424996,155.05658241358657,550.9198468758857,-16.346785068325048,550.9198468758857,False,-2.9857829052112947,-0.6762598442499552,-20.820305878325048,-23.446567375325046,23.095632395830584,21.65275840186489,25.443402482541742,-527.9317021789375,27.53637170031095,-0.13056108862659316,-0.8565991304899269,-4.9739804
16691,28142668101800,5.825,True,udp,127.0.0.1:61254,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.2533333,-0.5303560008,7.095826615,184.5872141,3.9230335560904503,-0.7888728000328463,-0.40002884166538244,-2.3738723420040753,-0.6270812568742506,0.7868505323169027,-22.96028703336,-2.7772000187664,-1.8075217147944003,23.127637592232,1.8075217147944003,31.13710164744,4.468821208,186.8968027249106,531.5900348112,30.411304508232,158.26563033120001,46.95418666,39.3477335,158.28788481552002,46.949405,39.347334,4.444492046736,31.0684336212,0.27325832012184,2.0486245284984,3.772570751,0.502832589,-0.01713950624,0.1492563145,584.8637645566254,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318773425,-0.006658673689,0.9538332234,-12.359042561610522,-0.88015561824086,-125.98411691050057,17.41867992886375,-0.88015561824086,-125.98411691050057,29.777722490474268,0.0,0.0,0.9859006767260826,-0.19595482420243954,0.14092212134509519,-0.17647647486729853,-0.05429725958584305,0.12830839669949565,-1.1623771514577994,0.14165756458948012,-0.012613724661869344,0.55,0.55,-7.500000000024367,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,0,0,True,0.0049999999999954525,0.005825,200.0000000001819,171.67381974248926,0.8583690987116657,0.8895906577137791,True,7.999995999661768,1.0809297606301227e-08,1.2856095077395935e-09,7.999995999661768,7.9999959888,0.0,0.0,jsbsim_total_wind,7.9999959888,7.974370005747954,0.6398115599482904,3.323255864,2.6270054070000004,-7.500000000024367,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,531.5900348112,30.411304508232,158.26563033120001,531.5900348112,30.411304508232,158.26563033120001,527.3022086791254,36.061505990692694,528.5338697682494,-176.08770852763683,155.0656342725466,550.8115852308736,-16.351069423436737,550.8115852308736,False,-2.9845112525474633,-0.6749226276368745,-20.819890631436735,-23.446896038436737,23.09626833388007,21.653276543822777,25.437793865335752,-527.8169908629753,27.51864183702574,-0.13053748922226963,-0.856768794521337,-4.9681554
16692,28142673377100,5.2753,True,udp,127.0.0.1:61254,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.2583333,-0.5110089601,7.091858868,184.5852429,3.911214521386007,-0.7919646745280648,-0.39608548863205895,-2.3498245298494114,-0.606203568633844,0.7912210583888653,-22.960985543520003,-2.7765144217632,-1.8056831639376,23.12824873452,1.8056831639376,31.137628372320002,4.464176569,186.89490875562302,531.475232196,30.397420856040004,158.2746729852,46.95418563,39.34773332,158.29691783784003,46.949405,39.347334,4.444492046736,31.068974793600002,0.27428240096928,2.04828603042,3.771883688,0.504708548,-0.01617435651,0.1514274529,584.8830430641012,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318611616,-0.006687814431,0.9536747881,-12.360676962782172,-0.8840061412141211,-125.96319309877342,17.41654146856332,-0.8840061412141211,-125.96319309877342,29.777218426897274,0.0,0.0,0.9876815239418558,-0.19404602668431914,0.1416700688916722,-0.17468923849502574,-0.05243490261518506,0.12902173464737646,-1.1623707624368815,0.14161112402845952,-0.012648334305307546,0.55,0.55,-7.500000000024367,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,0,0,True,0.005000000000009663,0.0052753,199.99999999961346,189.5626788997782,0.9478133945007229,0.8901985291125436,True,7.999995985054289,-1.881147251858728e-09,-5.016236315213973e-10,7.999995985054289,7.9999959888,0.0,0.0,jsbsim_total_wind,7.9999959888,7.974392013060856,0.6395372099005016,3.31997518,2.627682299,-7.500000000024367,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,531.475232196,30.397420856040004,158.2746729852,531.475232196,30.397420856040004,158.2746729852,527.1874060639254,36.0476223385007,528.4183874437654,-176.08836109500658,155.07467692654657,550.7033208657291,-16.355354642073856,550.7033208657291,False,-2.983269850629597,-0.6736039950066015,-20.819531211073855,-23.447213510073855,23.09690473053716,21.65378883248258,25.432192265569057,-527.7022611375601,27.50119595537116,-0.13051520789380863,-0.8569408191101899,-4.9628801
16693,28142677562900,4.1858,True,udp,127.0.0.1:61254,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.2633333,-0.4917183193,7.087876713,184.5832904,3.899514748419579,-0.7949522798718942,-0.39212026001282163,-2.3262437883056752,-0.5853856931765442,0.7956025233710524,-22.961686284816,-2.7758434298616,-1.8038370049680001,23.12886386664,1.8038370049680001,31.13815832808,4.459512616,186.8930501951272,531.360426228,30.383540593224,158.28370643424003,46.9541846,39.34773314,158.30594162472002,46.949405,39.347334,4.444492046736,31.069519135920004,0.27530853744888,2.0479474857072,3.771196179,0.5065881745,-0.01514131824,0.153567799,584.9024436662374,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318449453,-0.006717020017,0.9535165532,-12.362313307826671,-0.8878651714112215,-125.94229864530892,17.414398471076847,-0.8878651714112215,-125.94229864530892,29.776711778903515,0.0,0.0,0.9894274336272455,-0.19214228297760114,0.14241879644031488,-0.17293690060557945,-0.050577856613919746,0.12973701937357474,-1.1623643343684067,0.1415644264043559,-0.012681777027421431,0.55,0.55,-7.500000000024367,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,0,0,True,0.0049999999999954525,0.0041858,200.0000000001819,238.90295761861532,1.1945147880919902,0.8927249925647792,True,7.999995976904006,-2.2650076640651218e-08,-1.456000653377032e-09,7.999995976904006,7.9999959888,0.0,0.0,jsbsim_total_wind,7.9999959888,7.974413802294181,0.6392654617576043,3.316680534,2.6283640970000004,-7.500000000024367,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,531.360426228,30.383540593224,158.28370643424003,531.360426228,30.383540593224,158.28370643424003,527.0726000959255,36.0337420756847,528.3029020740435,-176.08901355613554,155.0837103755866,550.5950540676107,-16.359640716062767,550.5950540676107,False,-2.9820637512627286,-0.672303956135579,-20.81915333206277,-23.447517429062767,23.097544365199827,21.654306363986613,25.426584662314934,-527.5875109542991,27.48407948074017,-0.13049447828800684,-0.8571122967969866,-4.9586943
16694,28142681540500,3.9776,True,udp,127.0.0.1:61254,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.2683333,-0.4724834767,7.083880655,184.5813568,3.887931924160546,-0.7978359420773199,-0.3881331018923419,-2.303119377278998,-0.5646405182712206,0.7999945691648422,-22.962389266392,-2.775186990636,-1.8019832458104001,23.129482994688,1.8019832458104001,31.138691484240002,4.454829373,186.89122681423996,531.2456169072001,30.369663652728,158.29273064784002,46.95418356,39.34773296,158.31495620664,46.949405,39.347334,4.444492046736,31.07006664816,0.276336641382,2.0476091555736002,3.770508706,0.5084713053,-0.01404288912,0.1556774872,584.9219654054289,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318286997,-0.006746287841,0.953358649,-12.363950822753454,-0.8917323654294523,-125.92145072024252,17.412251737084212,-0.8917323654294523,-125.92145072024252,29.776202559837667,0.0,0.0,0.9911392081553136,-0.1902447661359744,0.14316824623317864,-0.1712186588258978,-0.048727295150946814,0.13045418982560827,-1.1623578669812114,0.14151747103926032,-0.012714056461803102,0.55,0.55,-7.500000000024367,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,0,0,True,0.0049999999999954525,0.0039776,200.0000000001819,251.40788415124695,1.2570394207550915,0.8956003129551493,True,7.999995981716043,2.523733475673362e-09,-8.267232454173268e-10,7.999995981716043,7.9999959888,0.0,0.0,jsbsim_total_wind,7.9999959888,7.9744353714834615,0.6389963433772684,3.3133719489999995,2.629051282,-7.500000000024367,-4.650000000129699,2.849999999894668,2.849999999894668,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,531.2456169072001,30.369663652728,158.29273064784002,531.2456169072001,30.369663652728,158.29273064784002,526.9577907751255,36.019865135188695,528.1874136544321,-176.08966591822244,155.0927345891866,550.4867848234961,-16.36392764308145,550.4867848234961,False,-2.9808927324623937,-0.6710227182224457,-20.81875701608145,-23.447808298081448,23.098187242769125,21.65482914255526,25.420971054521047,-527.4727404008333,27.467291038492164,-0.13047529600853644,-0.8572832282522556,-4.9547167
16695,28142685296500,3.756,True,udp,127.0.0.1:61254,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.2733333,-0.4533037852,7.079871203,184.5794419,3.8765515230257432,-0.800611829775566,-0.38428103100524846,-2.2455622774451345,-0.542277076040822,0.7415677405974086,-22.963095771456,-2.7745419710472,-1.8001224241320002,23.130107014776,1.8001224241320002,31.139228877120004,4.450127993,186.8894305915522,531.130803624,30.355789958352002,158.30174553456,46.95418253,39.34773277,158.32396146168,46.949405,39.347334,4.444492046736,31.07061839712,0.27736353038232,2.0472708778656004,3.769820842,0.5103520671,-0.01318823943,0.155832627,584.941647543488,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318500027,-0.006886351037,0.9532158048,-12.360624967519712,-0.9102316045729567,-125.90258950439613,17.41506348910477,-0.9102316045729567,-125.90258950439613,29.775688461072704,0.0,0.0,0.9954223773812501,-0.18820332366027873,0.13361714080172055,-0.1669289830296272,-0.04673131870144684,0.12087201137878129,-1.1623513602752955,0.14147200504018098,-0.012745129412092725,0.55,0.55,-7.500000000024367,-4.650000000129699,2.699999999779589,2.699999999779589,12.300000000269145,12.300000000269145,0,0,True,0.005000000000009663,0.003756,199.99999999961346,266.2406815761448,1.331203407883297,0.8988481655356647,True,7.999996004894643,-1.6812507858121606e-08,1.780516400984311e-09,7.999996004894643,7.9999959888,0.0,0.0,jsbsim_total_wind,7.9999959888,7.974456723124582,0.6387298269450407,3.3100503609999996,2.62974321,-7.500000000024367,-4.650000000129699,2.699999999779589,2.699999999779589,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,531.130803624,30.355789958352002,158.30174553456,531.130803624,30.355789958352002,158.30174553456,526.8429774919255,36.0059914408127,528.0719215714781,-176.0903181849523,155.1017494759066,550.3785125190483,-16.36821543257807,550.3785125190483,False,-2.9797487765044934,-0.6697600849523155,-20.818343425578067,-23.44808663557807,23.098834429273403,21.655358039548542,25.415350395680747,-527.3579527688055,27.450755976614573,-0.1304573137580153,-0.8574536995898634,-4.9509607
