truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15499,804417314300,3.4418,True,udp,127.0.0.1:65186,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,115.3475,4.164287581,9.577870376,183.6566489,7.776322149240007,-0.2748838672999899,3.876127148083793,-15.209554254400501,0.5263484530785739,3.555573818469503,-29.917825618128003,1.3869983295792,-2.8573960808784005,29.949959167272002,2.8573960808784005,30.167343405096,5.449847206,177.3456530029015,635.8291290504001,65.79500259312,131.41612556448,46.95512431,39.34819835,131.44819884552,46.949405,39.347334,4.444492046736,30.080483854152003,0.8559149662464001,2.121440261556,4.034132248,1.625827517,1.234034054,-2.2415921,550.4211945832309,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1049992537,-0.02156778685,0.9515996884,-11.412512392187407,-2.848793439307018,-125.69258811677759,13.868370995442017,-2.848793439307018,-125.69258811677759,25.280883387629423,0.0,0.0,-0.13182142868268376,-0.07350627411279921,0.5897484404890241,-1.1347788396139145,0.0019197314740018268,0.5836229701074066,-1.002957410876998,0.07542600558408939,-0.006125470488727071,0.448889,0.448889,-8.699999998653167,-4.800000000244778,3.9000000001272626,3.9000000001272626,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0034418,200.0000000001819,290.5456447207856,1.452728223602607,0.919377870551293,True,-2.6933010142393687e-06,3.9999979833374066,-3.794298208958935e-10,3.9999979833383135,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.25510617478284064,-3.9918548063273724,5.543738128,4.12802317,-8.699999998653167,-4.800000000244778,3.9000000001272626,3.9000000001272626,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,635.8291290504001,65.79500259312,131.41612556448,635.8291290504001,65.79500259312,131.41612556448,631.5413029183255,71.4452040755807,635.5696928560845,-173.54566583008062,128.2161295058266,648.373511444316,-11.405440030645817,648.373511444316,False,9.108681167017835,2.797685269919384,-16.855287236645818,-20.983310406645817,29.572285154418857,28.423252340520566,22.811376533430206,-627.5550523483283,-100.6155591807965,0.4274227683139319,-0.764290203582019,-4.9998422
15500,804423526100,6.2118,True,udp,127.0.0.1:65186,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,115.3525,4.206260223,9.57508921,183.6761871,7.696269357000177,-0.2723415646399447,3.8935568731429697,-17.66738484716589,0.4798211922152101,3.353615305714831,-29.915004654504003,1.384809332484,-2.8551828360288005,29.947039926984,2.8551828360288005,30.164525907048002,5.446178971,177.34958664464398,635.6795484504001,65.80193392800001,131.4304218732,46.95512297,39.34819844,131.46248028,46.949405,39.347334,4.444492046736,30.077817372312,0.8496403933752001,2.1217060340496,4.034992473,1.614056462,1.226384628,-2.254585073,550.3176286254513,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1050679995,-0.02176601342,0.9517491591,-11.401289048644172,-2.8749763082749547,-125.71233101463032,13.87670986743773,-2.8749763082749547,-125.71233101463032,25.277998916081902,0.0,0.0,-0.31978232658918,-0.0770959231242003,0.5568825233269878,-1.3178491067531803,-0.0018647036284978639,0.5507845359175102,-0.9980667801640003,0.07523121949027917,-0.006097987408121779,0.446667,0.446667,-8.549999997392172,-4.9499999997868995,3.5999999998971046,3.5999999998971046,13.65000000015894,13.65000000015894,0,0,True,0.005000000000009663,0.0062118,199.99999999961346,160.98393380340642,0.8049196690185878,0.9179733370017376,True,-2.693061629720217e-06,3.999998005321304,5.950692716361061e-11,3.999998005322211,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.2564674060443346,-3.9917675815167604,5.540096737,4.128910239,-8.549999997392172,-4.9499999997868995,3.5999999998971046,3.5999999998971046,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,635.6795484504001,65.80193392800001,131.4304218732,635.6795484504001,65.80193392800001,131.4304218732,631.3917223183256,71.45213541046071,635.4218399353427,-173.54352863304607,128.23042581454658,648.2314068073193,-11.409262978971716,648.2314068073193,False,9.106884722309928,2.780284266953913,-16.855441949971716,-20.984352188971716,29.56955135495119,28.420433233743953,22.80863917435522,-627.4122175035574,-100.57248129625367,0.42739695481887846,-0.7643858176755565,-4.9936304
15501,804428303400,4.7773,True,udp,127.0.0.1:65186,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,115.3575,4.247822312,9.572299923,183.6958101,7.608853449757653,-0.2700069401011398,3.910268700419497,-17.226763623908873,0.4488028358574402,3.3265931258332357,-29.912182925832003,1.3825887008064002,-2.8529734642728,29.944118601864,2.8529734642728,30.161711079048,5.442517696,177.35358142098318,635.5299818712,65.80885422912,131.44470711768,46.95512162,39.34819853,131.47675068072002,46.949405,39.347334,4.444492046736,30.075152344368004,0.843339843924,2.1219812730216,4.035870599,1.602233768,1.219690879,-2.260380909,550.214170877057,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1050276433,-0.02157942808,0.9518009883,-11.397408967238277,-2.8503310778690514,-125.71917691666064,13.871450574886032,-2.8503310778690514,-125.71917691666064,25.268859542124307,0.0,0.0,-0.28681773259011883,-0.0793985657173217,0.5523959875099823,-1.2850139558120275,-0.004381015088920047,0.5463242347710595,-0.9981962232219088,0.07501755063518076,-0.0060717526968924115,0.446667,0.446667,-8.549999997392172,-4.9499999997868995,3.5999999998971046,3.5999999998971046,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0047773,200.0000000001819,209.32325790718608,1.0466162895349784,0.9191908362378107,True,-2.696720018319221e-06,3.999998013119076,-4.4782486052774573e-10,3.9999980131199853,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.25783451532496265,-3.991679510922491,5.536429323999999,4.129782226999999,-8.549999997392172,-4.9499999997868995,3.5999999998971046,3.5999999998971046,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,635.5299818712,65.80885422912,131.44470711768,635.5299818712,65.80885422912,131.44470711768,631.2421557391255,71.4590557115807,635.2740005897999,-173.54139157226624,128.24471105902657,648.0893161748482,-11.41308640747087,648.0893161748482,False,9.10502700675056,2.762798327733776,-16.85560410347087,-20.985386330470867,29.56682050977943,28.417616419115017,22.805899925474154,-627.2695015359168,-100.52874349285176,0.4273682532378338,-0.7644818357022471,-4.9888531
15502,804432594000,4.2906,True,udp,127.0.0.1:65186,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,115.3625,4.288964729,9.569501792,183.7155159,7.523624992244537,-0.26782810060959134,3.9268451767301653,-16.793637301677006,0.4174600579045169,3.2994562375092245,-29.909358130872,1.3803261243816,-2.8507641793847998,29.941192430424003,2.8507641793847998,30.15889719288,5.438856703,177.35765692707574,635.3804296176,65.81576334408,131.45898129792002,46.95512028,39.34819862,131.4910100172,46.949405,39.347334,4.444492046736,30.072486548327998,0.8370246430416001,2.1222682138752003,4.036771165,1.590381042,1.21292755,-2.266022896,550.1107576573035,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1049937918,-0.02139254686,0.9518583039,-11.393495831097558,-2.8256467644983916,-125.7267474784743,13.867045256368248,-2.8256467644983916,-125.7267474784743,25.260541087465807,0.0,0.0,-0.25441929427083215,-0.08174227880196669,0.547892516306566,-1.2527377409556564,-0.006933439417967742,0.5418452183203954,-0.998318446820406,0.07480883938264313,-0.006047298026845048,0.446667,0.446667,-8.549999997392172,-4.9499999997868995,3.5999999998971046,3.5999999998971046,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0042906,200.0000000001819,233.06763622803336,1.165338181139107,0.9212851044990742,True,-2.6922455064332107e-06,3.9999979862888035,-1.0098055724938604e-10,3.9999979862897095,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.2592073627405241,-3.991590597532815,5.532730627,4.130645089000001,-8.549999997392172,-4.9499999997868995,3.5999999998971046,3.5999999998971046,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,635.3804296176,65.81576334408,131.45898129792002,635.3804296176,65.81576334408,131.45898129792002,631.0926034855255,71.4659648265407,635.1261751043859,-173.5392546647252,128.2589852392666,647.9472398253838,-11.416910311240962,647.9472398253838,False,9.103088408199028,2.74522943527478,-16.85576701424096,-20.986412103240962,29.564091497335465,28.414801546644615,22.803159077558195,-627.1269388583343,-100.48413238368603,0.4273357130547581,-0.7645779096019638,-4.9845625
15503,804435857000,3.263,True,udp,127.0.0.1:65186,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,115.3675,4.3296982,9.566694108,183.7353039,7.44054674793372,-0.2658065797441337,3.9432857348467567,-16.367889816409733,0.38583511949422583,3.2722077524765822,-29.906530531752004,1.3780218921600003,-2.848555266048,29.938261686984,2.848555266048,30.15608451372,5.435196478,177.36181258996382,635.2308913848,65.82266102904,131.47324444440002,46.95511893,39.34819871,131.50525831992,46.949405,39.347334,4.444492046736,30.069820292040003,0.830695225068,2.1225659455632,4.037692411,1.578499085,1.206099119,-2.271509125,550.0073990210452,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1049659594,-0.0212053817,0.9519206682,-11.389552736184264,-2.8009249472816498,-125.73498491767252,13.863430146627532,-2.8009249472816498,-125.73498491767252,25.252982882811796,0.0,0.0,-0.22257786311413177,-0.08412296860786386,0.5433726307575765,-1.2210118383684243,-0.009518138492978643,0.5373480015051748,-0.9984339753898743,0.0746048301203085,-0.0060246293256157575,0.446667,0.446667,-8.549999997392172,-4.9499999997868995,3.5999999998971046,3.5999999998971046,13.65000000015894,13.65000000015894,0,0,True,0.005000000000009663,0.003263,199.99999999961346,306.4664419246093,1.532332209626008,0.9252469429494057,True,-2.692937995013578e-06,3.999997992335808,-2.781103125570894e-10,3.9999979923367146,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.26058590594424214,-3.9915008381352615,5.529001697,4.13149763,-8.549999997392172,-4.9499999997868995,3.5999999998971046,3.5999999998971046,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,635.2308913848,65.82266102904,131.47324444440002,635.2308913848,65.82266102904,131.47324444440002,630.9430652527254,71.47286251150071,634.9783631479838,-173.53711792943378,128.2732483857466,647.8051774395789,-11.420734698800239,647.8051774395789,False,9.101069480602405,2.7275781705662325,-16.85593117680024,-20.98742880680024,29.561364551829676,28.411988788212522,22.800416481521992,-626.9845281061707,-100.43865382199849,0.4272993595176995,-0.764674068965787,-4.9812995
15504,804443221700,7.3647,True,udp,127.0.0.1:65186,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,115.3725,4.370032254,9.563876603,183.7551732,7.357179486522305,-0.26288905951453717,3.959352896368262,-17.38441415872091,0.9852551763714935,3.10278202970129,-29.903705435040003,1.3756841456544,-2.8463217407208,29.93533206216,2.8463217407208,30.153275251368,5.431488607,177.3660333981532,635.0813674776001,65.82954710112,131.48749652664,46.95511759,39.3481988,131.51949555840002,46.949405,39.347334,4.444492046736,30.067154136336004,0.8243458454376,2.1229000209936,4.038682718,1.566576858,1.223656193,-2.282488436,549.9041754071172,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1049583142,-0.02132114808,0.9507147593,-11.383651035915108,-2.816216016456221,-125.57570175257122,13.862476990596257,-2.816216016456221,-125.57570175257122,25.246128026511364,0.0,0.0,-0.29821108989327544,-0.02910752049984806,0.5156911412451246,-1.2967543846131602,0.04530026998096374,0.5096985511910783,-0.9985432947198848,0.07440779048081181,-0.005992590064892907,0.446667,0.446667,-8.549999997392172,-5.099999999901978,3.300000000239905,3.300000000239905,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0073647,200.0000000001819,135.78285605659428,0.678914280282354,0.9216712780268282,True,-2.6898087648052904e-06,3.9999979796569725,7.070393714947443e-10,3.999997979657877,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.2619700816884421,-3.991410230922327,5.525193885000001,4.132387996,-8.549999997392172,-5.099999999901978,3.300000000239905,3.300000000239905,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,635.0813674776001,65.82954710112,131.48749652664,635.0813674776001,65.82954710112,131.48749652664,630.7935413455256,71.4797485835807,634.8305650020336,-173.53498138614395,128.28750046798658,647.6631292864562,-11.424559562662068,647.6631292864562,False,9.09898521570284,2.709845413856044,-16.856048169662067,-20.98843616566207,29.55864403567339,28.409187369500206,22.797664743546317,-626.8422429889349,-100.39247315113906,0.4272599729337009,-0.7647682232835997,-4.9739348
15505,804452646200,9.4245,True,udp,127.0.0.1:65186,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,115.3775,4.409952082,9.561059672,183.7751215,7.271171084480987,-0.2580412610316252,3.97481038839687,-16.947321261132508,0.9474922448646226,3.0756807449746684,-29.900884922520003,1.3733162245584,-2.8440550939968,29.932405793184003,2.8440550939968,30.150470387280002,5.427716525,177.37031310640393,634.9318572863999,65.83642140792,131.50173730080002,46.95511624,39.34819889,131.5337214888,46.949405,39.347334,4.444492046736,30.064488078168,0.8179748804808,2.1232848127056,4.039769357,1.554611216,1.218390751,-2.287500328,549.8011227257139,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1049430778,-0.02113276856,0.9508233036,-11.379407908453862,-2.7913337994817877,-125.59003886014158,13.860517010739919,-2.7913337994817877,-125.59003886014158,25.239924919193783,0.0,0.0,-0.26552124263955434,-0.03202471215903008,0.5111703787530861,-1.2641680977171321,0.04219528542848354,0.5052301480833138,-0.9986468550775778,0.07421999758751362,-0.0059402306670606805,0.446667,0.446667,-8.549999997392172,-5.099999999901978,3.300000000239905,3.300000000239905,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0094245,200.0000000001819,106.10642474401824,0.5305321237196087,0.9144350909966238,True,-2.6908797809907514e-06,3.9999979898293407,-1.4842338469378547e-10,3.999997989830246,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.26335972919914913,-3.991318780584611,5.521290315000001,4.133343147000001,-8.549999997392172,-5.099999999901978,3.300000000239905,3.300000000239905,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,634.9318572863999,65.83642140792,131.50173730080002,634.9318572863999,65.83642140792,131.50173730080002,630.6440311543254,71.4866228903807,634.6827800427936,-173.53284504259832,128.3017412421466,647.5210947055052,-11.428384892692254,647.5210947055052,False,9.096841850997748,2.692033457401635,-16.856101417692255,-20.989444564692256,29.555931645570322,28.40640064580831,22.79490114848656,-626.7000719158664,-100.34565831911819,0.4272178720510029,-0.7648596634828223,-4.9645103
15506,804455084000,2.4378,True,udp,127.0.0.1:65186,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,115.3825,4.44945832,9.558246934,183.7951474,7.187332490798565,-0.2533832494325471,3.990132154172264,-16.517721683205746,0.9092725794784056,3.048474504120261,-29.898062020368002,1.3709073910728,-2.8417914364464,29.929475433792,2.8417914364464,30.147667367232003,5.423950067,177.37467165364728,634.7823614207999,65.84328376656,131.5159667364,46.9551149,39.34819898,131.54793611112,46.949405,39.347334,4.444492046736,30.061821806640005,0.8115916006896,2.1236846155128,4.040884683,1.542619909,1.212994633,-2.2923553,549.69814761033,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1049327658,-0.02094416105,0.9509389017,-11.375123212361624,-2.7664214689366635,-125.6053077366937,13.859203642170462,-2.7664214689366635,-125.6053077366937,25.234326854532085,0.0,0.0,-0.233395641124864,-0.03499464650577832,0.5066344458784419,-1.2321407158576545,0.03904158823526493,0.5007444649402161,-0.9987450745972086,0.07403623474104325,-0.0058899809544956895,0.446667,0.446667,-8.549999997392172,-5.099999999901978,3.300000000239905,3.300000000239905,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0024378,200.0000000001819,410.2059233735335,2.051029616865802,0.9199497838305704,True,-2.69314847784613e-06,3.9999980142378195,-6.342870673137213e-11,3.9999980142387264,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.26475475040557267,-3.991226487854198,5.517362251,4.134296867,-8.549999997392172,-5.099999999901978,3.300000000239905,3.300000000239905,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,634.7823614207999,65.84328376656,131.5159667364,634.7823614207999,65.84328376656,131.5159667364,630.4945352887254,71.49348524902071,634.5350088545136,-173.53070892167662,128.31597067774658,647.3790742624989,-11.43221067608093,647.3790742624989,False,9.094619424676125,2.6741436783233894,-16.856160743080927,-20.99045761008093,29.553221667117764,28.403615866855667,22.792135948364553,-626.5580502633136,-100.29799156629565,0.4271720192479704,-0.7649514190811957,-4.9620725
15507,804458097700,3.0137,True,udp,127.0.0.1:65186,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,115.3875,4.488561613,9.555437524,183.8152501,7.105626474677508,-0.2489172026444736,4.005317675167637,-16.095498025888396,0.8706466847236094,3.0211663335011427,-29.895236890128,1.3684579277472,-2.8395311161512002,29.926541160768,2.8395311161512002,30.144866358864004,5.420189861,177.37910863881277,634.6328798808,65.85013399416,131.53018486392,46.95511355,39.34819907,131.56213939488,46.949405,39.347334,4.444492046736,30.059155556448005,0.8051964379656,2.124098358348,4.042026641,1.530603743,1.207473014,-2.297051698,549.5952562853995,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1049270114,-0.02075533742,0.9510610347,-11.370800452837019,-2.7414805928189683,-125.62143974616804,13.858488697303128,-2.7414805928189683,-125.62143974616804,25.22928914569193,0.0,0.0,-0.20182518048935405,-0.038012532743814165,0.5020838637976113,-1.2006635216676467,0.03584378242010594,0.4962420080242069,-0.9988383411782926,0.0738563151639201,-0.005841855879158267,0.446667,0.446667,-8.549999997392172,-5.099999999901978,3.300000000239905,3.300000000239905,13.65000000015894,13.65000000015894,0,0,True,0.005000000000009663,0.0030137,199.99999999961346,331.8180309918041,1.659090154962227,0.924378186747786,True,-2.6927433029871883e-06,3.9999980146596674,2.2725665793643657e-10,3.999998014660574,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.26615508903555557,-3.9911333507904434,5.513410883000001,4.135247663,-8.549999997392172,-5.099999999901978,3.300000000239905,3.300000000239905,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,634.6328798808,65.85013399416,131.53018486392,634.6328798808,65.85013399416,131.53018486392,630.3450537487255,71.5003354766207,634.3872514156892,-173.52857304008248,128.33018880526657,647.2370679415296,-11.436036915914979,647.2370679415296,False,9.092318321104756,2.6561768599175366,-16.85622677691498,-20.99147443991498,29.55051423493254,28.40083309447528,22.789369093100106,-626.4161769657255,-100.24947877369614,0.4271224381692107,-0.7650435230271417,-4.9590588
15508,804463647400,5.5497,True,udp,127.0.0.1:65186,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,115.3925,4.527270348,9.552630565,183.8354288,7.021086569194689,-0.24466687188795674,4.0201741694195805,-18.62510674868676,0.818385386234643,2.878491582753993,-29.892410223696,1.3659736638816,-2.8372761112632,29.923603943376,2.8372761112632,30.142067743176003,5.416439488,177.38361283192762,634.4834120568,65.85697187736,131.54439168336,46.95511221,39.34819916,131.57633143152,46.949405,39.347334,4.444492046736,30.056489982912,0.7987841079912,2.1245238585384,4.043191008,1.518552646,1.200212001,-2.306980314,549.4924626361972,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1049472169,-0.0208443505,0.9512456042,-11.363570122150046,-2.7532379360258514,-125.64581866955263,13.86119939017681,-2.7532379360258514,-125.64581866955263,25.22476951232685,0.0,0.0,-0.3901491402208943,-0.04204740917140219,0.47892606344582145,-1.389076154469062,0.031634686911283995,0.4731299643588644,-0.9989270141125859,0.07368209608268618,-0.00579609911271754,0.446667,0.446667,-8.400000001860755,-5.250000000017057,3.150000000124826,3.150000000124826,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0055497,200.0000000001819,180.18992017586535,0.9009496008785074,0.9241209981410106,True,-2.6954811192247963e-06,3.999998000454446,-9.036843495735525e-11,3.999998000455354,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.26756068881676487,-3.9910393675095683,5.509439556999999,4.136191076999999,-8.400000001860755,-5.250000000017057,3.150000000124826,3.150000000124826,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,634.4834120568,65.85697187736,131.54439168336,634.4834120568,65.85697187736,131.54439168336,630.1955859247255,71.5071733598207,634.2395070956393,-173.52643741106175,128.34439562470658,647.0950751235792,-11.439863623337223,647.0950751235792,False,9.08994975701063,2.638133788938262,-16.856303111337223,-20.992494188337222,29.54780938490212,28.398051969111837,22.786600849502477,-626.2744318747077,-100.20024122192343,0.4270696563429918,-0.765136149096282,-4.9535091
