event_monotonic_ns,event,value_json,session_time_s
1582886604500,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9165888762522797,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":141.6591115140526}",-2.9249357
1583460472500,ATTACK_STATE_COMMAND,"{""previous"":4,""new"":-1}",-2.3510677
1583461623000,SIM_MISSION_STATE,"{""time"":1788197473.679727,""from"":""HUNTER"",""to"":""AIM_CAMERA"",""reason"":""hunter_correlator_off_target_reaim_before_reacquire""}",-2.3499172
1583461700500,TRACKER_DISABLED,"{""state"":false}",-2.3498397
1583512794100,SIM_MISSION_STATE,"{""time"":1788197473.730898,""from"":""AIM_CAMERA"",""to"":""WAIT_CAMERA_ON_TARGET"",""reason"":""camera_tracking_started""}",-2.2987461
1583562318300,SIM_MISSION_STATE,"{""time"":1788197473.780516,""from"":""WAIT_CAMERA_ON_TARGET"",""to"":""WAIT_CAPTURE_DISTANCE"",""reason"":""target_visible_prearm_hunter_before_attack_angle""}",-2.2492219
1583612274100,SIM_MISSION_STATE,"{""time"":1788197473.8305078,""from"":""WAIT_CAPTURE_DISTANCE"",""to"":""ENABLE_CAPTURE"",""reason"":""capture_distance_reached_immediate_capture""}",-2.1992661
1583663390500,SIM_MISSION_STATE,"{""time"":1788197473.8815897,""from"":""ENABLE_CAPTURE"",""to"":""WAIT_TRACKER_LOCK"",""reason"":""direct_ra_capture_sent_wait_real_tracking""}",-2.1481497
1583698691500,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.9508433512537449,""allowed_low"":0.95,""allowed_high"":1.05}",-2.1128487
1584124679600,TRACKER_LATENCY_CALIBRATION_BEGIN,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-1.6868606
1584124720600,TRACKER_ENABLED,"{""state"":true}",-1.6868196
1584129244000,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.5,""expected_dt_s"":0.040295964515021564,""gap_limit_s"":0.14103587580257548}",-1.6822962
1584481297400,TRACKER_DISABLED,"{""state"":false}",-1.3302428
1585599027800,TRACKER_LATENCY_CALIBRATION_BEGIN,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-0.2125124
1585599058700,TRACKER_ENABLED,"{""state"":true}",-0.2124815
1585601108200,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.5,""expected_dt_s"":0.03843828282416751,""gap_limit_s"":0.13453398988458629}",-0.210432
1585700202400,SIM_MISSION_STATE,"{""time"":1788197475.9180105,""from"":""WAIT_TRACKER_LOCK"",""to"":""ENTER_HUNTER"",""reason"":""real_tracking_reacquired_wind_already_attempted""}",-0.1113378
1585751509100,ATTACK_STATE_COMMAND,"{""previous"":-1,""new"":4}",-0.0600311
1585752871800,TRACKER_LATENCY_CALIBRATION_HUNTER,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-0.0586684
1585753180600,CHANNELS_RESET,"{""reason"":""hunter_enter""}",-0.0583596
1585801878900,SIM_MISSION_STATE,"{""time"":1788197476.0196772,""from"":""ENTER_HUNTER"",""to"":""HUNTER"",""reason"":""hunter_confirmed_by_attack_controller""}",-0.0096613
1585810611700,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0627546875000462}",-0.0009285
1585811500800,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":9.802625171326124,""hold_pitch_pwm"":1990,""uav_pitch_deg"":9.802625171326124,""frame_pitch_deg"":-25.040124893188477}",-3.94e-05
1585811540200,ATTACK_SESSION_OPEN,"{""source"":""hunter_transition"",""attack_angle"":25.0,""prebuffer_s"":5.0,""target"":{""target_enabled"":true,""target_frame"":""wgs84_geodetic"",""target_latitude_deg"":46.94944357,""target_longitude_deg"":39.34725978,""target_altitude_m"":3.2,""target_accuracy_mode"":""horizontal"",""target_north_m"":null,""target_east_m"":null,""target_up_m"":null,""target_hit_radius_m"":2.0,""impact_point_enabled"":false,""impact_point_body_x_m"":0.0,""impact_point_body_y_m"":0.0,""impact_point_body_z_m"":0.0,""optimization_primary_metric_requested"":""target_contact_horizontal_m"",""target_validate_bearing"":true,""target_bearing_warning_deg"":10.0,""target_validation_confirm_s"":1.0,""target_validation_min_distance_m"":10.0},""run_context"":{""experiment_id"":""exp_1788196236327_13bfb5"",""scenario_id"":""attack_25_wind_4_270"",""run_id"":""exp_1788196236327_13bfb5_run_0007"",""sequence_index"":6,""repeat_index"":0,""target"":{""latitude_deg"":46.94944357,""longitude_deg"":39.34725978,""altitude_m"":3.2},""loiter"":{""center"":{""latitude_deg"":46.95708976,""longitude_deg"":39.34692545,""altitude_m"":250.0},""radius_m"":250.0,""clockwise"":false,""arrival_tolerance_m"":75.0,""arrival_hold_s"":0.5},""rally"":{""point"":{""latitude_deg"":46.9494997,""longitude_deg"":39.34766168,""altitude_m"":48.0},""repeat_count"":5},""initial_position"":{""point"":{""latitude_deg"":46.949405,""longitude_deg"":39.3473335,""altitude_m"":48.0},""altitude_offset_m"":0.5,""send_count"":10,""send_interval_s"":0.02,""relay_statustext"":true,""settle_s"":0.5},""truth_navigation"":{""enabled"":true,""require_fresh"":true,""stale_timeout_s"":1.0,""wait_timeout_s"":6.0,""gps_correction_enabled"":false,""gps_correction_interval_s"":6.0,""gps_correction_send_count"":10,""gps_correction_send_interval_s"":0.02,""gps_correction_relay_statustext"":true},""wind"":{""speed_mps"":4.0,""direction_from_deg"":270.0,""ramp_s"":3.0},""camera"":{""zoom"":12.0,""target_fov"":18.0,""fov_control_on"":true,""yaw_speed_deg_s"":30.0,""pitch_speed_deg_s"":30.0,""yaw_mode"":2,""pitch_mode"":2,""alignment_tolerance_deg"":1.0,""alignment_hold_s"":6.0,""target_yaw_offset_deg"":-0.28,""target_pitch_offset_deg"":0.0,""final_alignment_tolerance_deg"":0.35,""final_alignment_hold_s"":0.75,""level_roll_tolerance_deg"":5.0,""level_flight_path_tolerance_deg"":3.5,""level_pitch_fallback_tolerance_deg"":7.0,""level_hold_s"":0.8,""zoom_tolerance"":2.0,""zoom_settle_s"":0.8,""zoom_stable_tolerance_deg"":0.15},""capture"":{""distance_m"":2000.0,""tracker_enabled"":1.0,""target_zone"":1.0,""x"":0.5,""y"":0.5,""detector"":2.0,""param6"":0.0,""param7"":0.0,""lock_timeout_s"":8.0,""retry_interval_s"":1.0,""require_target_offset"":true,""target_offset_stale_s"":0.75,""latency_calibration_hold_s"":2.5,""reacquire_enabled"":true,""reacquire_error_px"":5.0,""reacquire_hold_s"":0.3,""reacquire_interval_s"":1.0,""reacquire_grace_s"":2.0,""reacquire_projection_stable_px"":60.0},""timeouts"":{""prestart_param_s"":5.0,""rally_s"":10.0,""initial_position_s"":3.0,""start_s"":30.0,""loiter_reach_s"":180.0,""azimuth_s"":180.0,""turn_s"":90.0,""camera_s"":60.0,""zoom_s"":10.0,""wind_s"":15.0,""distance_s"":180.0,""hunter_s"":45.0,""attack_s"":120.0},""trigger_relative_azimuth_deg"":120.0,""trigger_tolerance_deg"":2.0,""heading_tolerance_deg"":5.0,""attack_angle_deg"":25.0,""mission_mode"":""HUNTER"",""direct_attack_pitch_tolerance_deg"":1.0,""start_custom_mode"":13.0,""start_settle_s"":3.0,""start_retry_interval_s"":10.0,""start_ready_altitude_m"":20.0,""user_cell_count_g"":1.0,""metadata"":{""generated_by"":""Flight Guidance AI Analyzer"",""queue_index"":6,""attack_angle_deg"":25,""wind_speed_mps"":4,""wind_direction_from_deg"":270}}}",0.0
1585811540200,TARGET_REFERENCE_CONFIGURED,"{""target_enabled"":true,""target_frame"":""wgs84_geodetic"",""target_latitude_deg"":46.94944357,""target_longitude_deg"":39.34725978,""target_altitude_m"":3.2,""target_accuracy_mode"":""horizontal"",""target_north_m"":null,""target_east_m"":null,""target_up_m"":null,""target_hit_radius_m"":2.0,""impact_point_enabled"":false,""impact_point_body_x_m"":0.0,""impact_point_body_y_m"":0.0,""impact_point_body_z_m"":0.0,""optimization_primary_metric_requested"":""target_contact_horizontal_m"",""target_validate_bearing"":true,""target_bearing_warning_deg"":10.0,""target_validation_confirm_s"":1.0,""target_validation_min_distance_m"":10.0}",0.0
1585837397200,CHANNELS_RESET,"{""reason"":""hunter_to_attack""}",0.025857
1585858487700,SIM_MISSION_STATE,"{""time"":1788197476.076332,""from"":""HUNTER"",""to"":""ATTACK"",""reason"":""attack_controller_transition""}",0.0469475
1585947669500,PITCH_SLEW_LIMIT_ENTER,"{""active"":true}",0.1361293
1592140207100,ROLL_WIND_BIAS_LEARNING_ENTER,"{""active"":true}",6.3286669
1599077669900,PITCH_RATE_LIMIT_ENTER,"{""active"":true}",13.2661297
1599591118700,PHYSICAL_CONTACT_ANALYTICS,"{""detected"":true,""trigger"":""nx"",""trigger_value"":22.37929233,""trigger_threshold"":8.0,""confidence"":""hard"",""source"":""truth:hard"",""contact_sim_time_s"":129.6208333,""truth_nx"":22.37929233,""truth_ny"":4.698193751,""truth_nz"":21.37702932,""truth_p_deg_s"":11.815146389391401,""truth_q_deg_s"":16.568471563148908,""truth_r_deg_s"":0.2988948221683131,""truth_pdot_deg_s2"":781.5972455863199,""truth_qdot_deg_s2"":19016.46671083688,""truth_rdot_deg_s2"":2792.565768568139,""truth_total_pitch_moment_nm"":1726.6260412737997,""truth_total_roll_moment_nm"":59.816504471157394,""truth_total_yaw_moment_nm"":457.7954443986376,""truth_ground_speed_mps"":43.79605521696,""truth_v_down_mps"":16.229416336632,""contact_seq"":2,""session_contact_seq"":1,""bounce_index"":0,""is_primary"":true,""geometry_plausible"":true,""truth_seq"":19183,""truth_sim_time_s"":129.6208333,""truth_recv_monotonic_ns"":1599591118700}",13.7795785
1599604523500,SIM_PHYSICAL_CONTACT_COMPLETE,"{""detected"":true,""trigger"":""nx"",""trigger_value"":22.37929233,""trigger_threshold"":8.0,""confidence"":""hard"",""source"":""truth:hard"",""contact_sim_time_s"":129.6208333,""truth_nx"":22.37929233,""truth_ny"":4.698193751,""truth_nz"":21.37702932,""truth_p_deg_s"":11.815146389391401,""truth_q_deg_s"":16.568471563148908,""truth_r_deg_s"":0.2988948221683131,""truth_pdot_deg_s2"":781.5972455863199,""truth_qdot_deg_s2"":19016.46671083688,""truth_rdot_deg_s2"":2792.565768568139,""truth_total_pitch_moment_nm"":1726.6260412737997,""truth_total_roll_moment_nm"":59.816504471157394,""truth_total_yaw_moment_nm"":457.7954443986376,""truth_ground_speed_mps"":43.79605521696,""truth_v_down_mps"":16.229416336632,""contact_seq"":2,""session_contact_seq"":1,""bounce_index"":0,""is_primary"":true,""geometry_plausible"":true,""truth_seq"":19183,""truth_sim_time_s"":129.6208333,""truth_recv_monotonic_ns"":1599591118700,""baseline_contact_seq"":1,""target_hit_metric_only"":false}",13.7929833
1599605688900,SIM_MISSION_STATE,"{""time"":1788197489.8208714,""from"":""ATTACK"",""to"":""FINALIZING"",""reason"":""physical_contact_analytics""}",13.7941487
1599605820900,TRACKER_DISABLED,"{""state"":false}",13.7942807
1599605947900,TARGET_STREAM_LOST_CONTROL_HOLD,"{""reason"":""tracker_status_disabled""}",13.7944077
1599606428700,ATTACK_STATE_COMMAND,"{""previous"":6,""new"":-1}",13.7948885
1599606465000,ATTACK_MODE_EXIT,"{""reason"":""attack_disabled""}",13.7949248
