truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
16732,2487523807300,4.5092,True,udp,127.0.0.1:56088,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.7708333,-0.710695971,7.96460166,185.524004,-2.1395604759004705,-1.0119761139520156,-0.18112344185991278,0.3695039704761078,-0.6871086613770319,-0.6297387273742725,-25.324400394024,-3.0271400695584005,-1.9534282272480001,25.504682556192,1.9534282272480001,29.544877723944005,4.379788148,186.81648057375213,506.52702606,34.93816478952,154.32502112328,46.95396122,39.34779297,154.34525642952002,46.949405,39.347334,4.444492046736,29.465920573248003,0.16354989782208001,2.1523419453456,4.177757833,0.3171706051,0.06837045915,-0.2989122232,526.7780826188061,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1552243914,-0.005733829834,0.9415290302,-10.640057664160961,-0.733196587410193,-124.5349741161434,20.50596376388523,-0.733196587410193,-124.5349741161434,31.146021428046193,0.0,0.0,1.2097605537029466,-0.2084858061801028,-0.08753485908036966,0.027868002079744967,-0.0630107183585004,-0.10263237346734234,-1.18189255163676,0.1454750879029515,-0.015097514386972674,0.55,0.55,-7.349999998763373,-6.450000002656562,0.9000000001175156,0.9000000001175156,13.950000002680929,13.950000002680929,0,0,True,0.005000000000009663,0.0045092,199.99999999961346,221.76882817351193,1.1088441408697027,0.9271182632769669,True,3.9999979942946933,-4.9057117014472684e-09,2.2236723573598738e-10,3.9999979942946933,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9814218299024495,0.3850508636274629,3.7868438269999993,3.5848135119999993,-7.349999998763373,-6.450000002656562,0.9000000001175156,0.9000000001175156,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,506.52702606,34.93816478952,154.32502112328,506.52702606,34.93816478952,154.32502112328,502.2391999279255,40.5883662719807,503.8766013825917,-175.37969337996458,151.12502506462658,526.0517109768347,-16.695284609987468,526.0517109768347,False,-2.196173953716709,-0.9036973799645693,-21.075072757987467,-24.659886269987467,25.485948796217603,23.850433542638132,22.056274576157968,-503.5064927353902,19.309096151233746,-0.111136346896365,-1.001241188116273,-4.9973338
16733,2487537004200,13.1969,True,udp,127.0.0.1:56088,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.7758333,-0.7215086436,7.959524803,185.5231468,-2.13769282428329,-1.0153760357680395,-0.1842794425364074,0.3791438490725244,-0.6702283157538005,-0.6332478056716778,-25.325610657288,-3.0264189947496,-1.9512246341952002,25.505798694168,1.9512246341952002,29.545859475600004,4.374675955,186.81454953409522,506.40040177680004,34.92303168288,154.33479291984,46.95396008,39.34779277,154.35501807624001,46.949405,39.347334,4.444492046736,29.466927321552003,0.16275399482664002,2.1520960921416,4.177140101,0.3156166153,0.04237294211,-0.2957348418,526.8125966246895,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155227184,-0.005529080737,0.9427417582,-10.641706477570647,-0.7303117858046254,-124.5225833279408,20.503375472725736,-0.7303117858046254,-124.5225833279408,31.145081950296383,0.0,0.0,1.2104710305088857,-0.20699433837487724,-0.08807190736896221,0.02859021157832345,-0.06148881412154907,-0.10320683770796964,-1.1818808189305623,0.1455055242533282,-0.015134930325449235,0.55,0.55,-7.349999998763373,-6.450000002656562,0.9000000001175156,0.9000000001175156,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0131969,200.0000000001819,75.77537148875872,0.37887685744344907,0.9130201909607772,True,3.9999979938581207,-6.226179068841153e-09,-2.7940305624696293e-10,3.9999979938581207,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.98142759018834,0.38499129768228474,3.782384702,3.584848848,-7.349999998763373,-6.450000002656562,0.9000000001175156,0.9000000001175156,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,506.40040177680004,34.92303168288,154.33479291984,506.40040177680004,34.92303168288,154.33479291984,502.1125756447255,40.573233165340696,503.7491695973992,-175.38024888732133,151.13479686118657,525.9324602003012,-16.700292500722085,525.9324602003012,False,-2.1947984214165217,-0.9033956873213356,-21.074968455722086,-24.659817303722086,25.48708757316166,23.8513539494012,22.050423691503056,-503.37961785498607,19.292127882571044,-0.11109973056634825,-1.0015010231845956,-4.9841369
16734,2487542939100,5.9349,True,udp,127.0.0.1:56088,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.7808333,-0.7323138478,7.954430763,185.5222748,-2.1357772900102123,-1.0186922816817467,-0.18745298614926495,0.38862152801539346,-0.6534520387467301,-0.63675252433322,-25.326826187496,-3.0256901012112003,-1.9490108483256001,25.5069191664,1.9490108483256001,29.546845186608,4.369540636,186.81259981601417,506.27377139760006,34.90790220336,154.34455365216002,46.95395894,39.34779257,154.36476865872,46.949405,39.347334,4.444492046736,29.467937907288004,0.16195779611424,2.1518516980152,4.17652469,0.3140621135,0.04124172471,-0.2960232046,526.8472533137447,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1552075704,-0.005507234935,0.9426488695,-10.643353538381014,-0.7274262702594886,-124.51031406515271,20.500785170970072,-0.7274262702594886,-124.51031406515271,31.14413870935109,0.0,0.0,1.2111694193843245,-0.2055125113843369,-0.08860921449675929,0.02930037501406003,-0.05997637415822789,-0.1037806402009727,-1.1818690443295898,0.14553613726678355,-0.0151714257177716,0.55,0.55,-7.349999998763373,-6.450000002656562,0.9000000001175156,0.9000000001175156,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0059349,200.0000000001819,168.49483563328783,0.8424741781656729,0.9121926466831682,True,3.9999979980842237,-2.022134331161607e-08,1.8729506834347376e-10,3.9999979980842237,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9814334490141605,0.38493070321192907,3.7779060730000005,3.5848901270000004,-7.349999998763373,-6.450000002656562,0.9000000001175156,0.9000000001175156,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,506.27377139760006,34.90790220336,154.34455365216002,506.27377139760006,34.90790220336,154.34455365216002,501.9859452655255,40.5581036858207,503.62173207548636,-175.3808042086392,151.1445575935066,525.8132047684328,-16.705301687870648,525.8132047684328,False,-2.1934040246533755,-0.9030790086392244,-21.074842323870648,-24.65973245087065,25.488230986878694,23.852281648689708,22.044566323378024,-503.25274306221627,19.274999846119456,-0.11106215519469274,-1.0017601504123643,-4.978202
16735,2487551812500,8.8734,True,udp,127.0.0.1:56088,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.7858333,-0.7431113553,7.94931995,185.521388,-2.1338147244965215,-1.0219243721274631,-0.1906440372323978,0.39792828327743884,-0.6365467975343426,-0.6402494095157872,-25.328046289704,-3.0249540134784003,-1.9467921332304001,25.508043354144004,1.9467921332304001,29.547834573504,4.364394058,186.81063302379079,506.14713492239997,34.89277638144,154.35430332024,46.9539578,39.34779237,154.37450817696,46.949405,39.347334,4.444492046736,29.468952412752003,0.16116211041072,2.1516036816456,4.175901762,0.3125086715,0.04021046477,-0.2962911955,526.8820426311172,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1551878279,-0.005485403799,0.9425544848,-10.645013712548705,-0.7245426923596873,-124.49784721236048,20.49817785031851,-0.7245426923596873,-124.49784721236048,31.14319155841899,0.0,0.0,1.211855052995669,-0.20401916495776215,-0.08914621466737285,0.029997825229616876,-0.058452239261797066,-0.10435320987583172,-1.1818572276982613,0.14556692572308144,-0.01520699522201705,0.55,0.55,-7.349999998763373,-6.450000002656562,0.9000000001175156,0.9000000001175156,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0088734,200.0000000001819,112.696373430703,0.5634818671530025,0.9061120572259811,True,3.999997994798704,-2.249245014199208e-09,-1.6952328429908903e-11,3.999997994798704,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.981439406332952,0.38486908021187327,3.773418188,3.5849258919999993,-7.349999998763373,-6.450000002656562,0.9000000001175156,0.9000000001175156,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,506.14713492239997,34.89277638144,154.35430332024,506.14713492239997,34.89277638144,154.35430332024,501.85930879032543,40.5429778639007,503.4942888192238,-175.38135934033872,151.15430726158658,525.6939446838875,-16.710312172412518,525.6939446838875,False,-2.1919923641295327,-0.9027473403386921,-21.074706230412517,-24.659632122412518,25.489378395264897,23.853214514060152,22.038704442708127,-503.12586781239463,19.257726023619263,-0.11102369709114891,-1.0020190989184719,-4.9693286
16736,2487556764800,4.9523,True,udp,127.0.0.1:56088,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.7908333,-0.753900942,7.94419278,185.5204862,-2.131805978584543,-1.0250716906026007,-0.19385255585064773,1.8173317460734941,0.0030251938664104592,-0.5581580950911404,-25.329270979152003,-3.0242107403903997,-1.9445684169768,25.50917127264,1.9445684169768,29.548827651528,4.359236059,186.8086491001294,506.02049235120006,34.8776542476,154.36404186312,46.95395666,39.34779217,154.38423660048,46.949405,39.347334,4.444492046736,29.469970837944,0.16036699824936002,2.1513523292400003,4.17527187,0.3109564071,0.03927710532,-0.2965388722,526.9169655344122,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1551679633,-0.005463589138,0.9424587409,-10.657189576027527,-0.6978987113978475,-124.30810320390668,20.485050974851234,-0.6978987113978475,-124.30810320390668,31.142240555326982,0.0,0.0,1.3175368693366782,-0.14608821331949182,-0.07579699902548025,0.13569150084242929,-0.0004903239075573144,-0.09103863105745971,-1.1818453686298307,0.14559788948664004,-0.015241632031979481,0.55,0.55,-7.500000000024367,-6.450000002656562,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,0,0,True,0.005000000000009663,0.0049523,199.99999999961346,201.9263776427115,1.0096318882155086,0.9071273239333699,True,3.999997997896532,-8.530813621482336e-09,2.2203938687681557e-10,3.999997997896532,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.981445463440189,0.3848064147796477,3.7689209099999994,3.584956721,-7.500000000024367,-6.450000002656562,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,506.02049235120006,34.8776542476,154.36404186312,506.02049235120006,34.8776542476,154.36404186312,501.7326662191255,40.52785573006069,503.3668398309816,-175.38191427883675,151.16404580446658,525.5746799317903,-16.715323948963192,525.5746799317903,False,-2.1905633789661465,-0.9024004788367392,-21.074560007963193,-24.65951672896319,25.490529814496455,23.854152583442147,22.03283801817411,-502.99899208737367,19.24030666375343,-0.1109843562770339,-1.0022778615284869,-4.9643763
16737,2487563543300,6.7785,True,udp,127.0.0.1:56088,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.7958333,-0.7646676419,7.939056154,185.5195702,-2.1227512589768,-1.0250326263401288,-0.19665051485719046,1.8020672840990226,0.014736438950192741,-0.5616000506952968,-25.330504788216,-3.0234712559664,-1.9422696205584002,25.51030872528,1.9422696205584002,29.549825435664,4.353909167,186.80667142170793,505.89384368400005,34.86253583232,154.37376909792002,46.95395553,39.34779198,154.39395368544,46.949405,39.347334,4.444492046736,29.47098875412,0.15958215300168002,2.1511714520808,4.174778381,0.3094241053,0.06578227683,-0.293344957,526.9520579338241,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1550705203,-0.005262297647,0.9410602546,-10.658610507043862,-0.6950735889127589,-124.30048095375787,20.48268392933844,-0.6950735889127589,-124.30048095375787,31.141294440830524,0.0,0.0,1.316391034777749,-0.14505697073099222,-0.07636259825045238,0.13455756602646896,0.000567385612873531,-0.0916037869706373,-1.1818334687512801,0.14562435627322765,-0.015241188733743095,0.55,0.55,-7.500000000024367,-6.450000002656562,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0067785,200.0000000001819,147.52526370140887,0.7376263185063735,0.9048601350820534,True,3.9999979951047977,-2.0666846012318274e-09,2.009536981262272e-10,3.9999979951047977,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9814516149146284,0.38474276250206474,3.764277773,3.585146987,-7.500000000024367,-6.450000002656562,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,505.89384368400005,34.86253583232,154.37376909792002,505.89384368400005,34.86253583232,154.37376909792002,501.6060175519255,40.51273731478069,503.23938511312787,-175.38246902054652,151.1737730392666,525.4554104621692,-16.72033699940187,525.4554104621692,False,-2.189140442254484,-0.9020392205464987,-21.07424616640187,-24.65939315340187,25.49169064596354,23.855121195429895,22.02694365530344,-502.87210806792723,19.222946089451973,-0.11094533574757426,-1.00252928864807,-4.9575978
16738,2487571272900,7.7296,True,udp,127.0.0.1:56088,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.8008333,-0.775390965,7.933919488,185.518641,-2.1137722826707006,-1.024934302198822,-0.19946567371296833,1.7870602486241567,0.026531080515088075,-0.5650339571591642,-25.331742675504,-3.0227237357952,-1.9399730577144,25.511449308216,1.9399730577144,29.550826807296,4.348587131,186.8046749502708,505.767188616,34.8474211356,154.38348484176,46.95395439,39.34779178,154.40365927944,46.949405,39.347334,4.444492046736,29.47201041324,0.15879746527464,2.1509882675856002,4.174279935,0.3078921753,0.066819013,-0.2935444733,526.9872800887377,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1550524968,-0.00524091195,0.9410016391,-10.660040868290022,-0.6922488471954406,-124.29273873507206,20.48030364591812,-0.6922488471954406,-124.29273873507206,31.140344518656363,0.0,0.0,1.3152643389449785,-0.14401834693400012,-0.07692757103329965,0.1334428093909696,0.0016326488380402544,-0.09216766392718602,-1.1818215295540089,0.14565099565544004,-0.015240092893886356,0.55,0.55,-7.500000000024367,-6.450000002656562,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0077296,200.0000000001819,129.37280066238876,0.6468640033113554,0.900932440300944,True,3.999997994790974,-5.924486111766325e-09,-2.1187673837630427e-10,3.999997994790974,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9814578539950443,0.38467819286411237,3.7596395529999995,3.5853323569999995,-7.500000000024367,-6.450000002656562,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,505.767188616,34.8474211356,154.38348484176,505.767188616,34.8474211356,154.38348484176,501.47936248392546,40.4976226180607,503.11192436176583,-175.3830235625434,151.18348878310658,525.3361359316822,-16.725351315206108,525.3361359316822,False,-2.1876985128142223,-0.9016645625433739,-21.073938446206107,-24.65927080320611,25.49285491279081,23.856092395800438,22.021047169659727,-502.74522384583634,19.205424629493216,-0.11090533968028447,-1.0027812643441834,-4.9498682
16739,2487576087400,4.8145,True,udp,127.0.0.1:56088,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.8058333,-0.7860712981,7.928783073,185.5176985,-2.104867855049241,-1.0247773639021154,-0.20229797833076546,1.7722856953583275,0.038152984936172,-0.56845641924944,-25.33298498544,-3.0219690577008,-1.9376733161111999,25.512593463408002,1.9376733161111999,29.551831845672,4.343257792,186.80266146198713,505.6405274520001,34.8323102184,154.39318909464,46.95395325,39.34779158,154.41335338248,46.949405,39.347334,4.444492046736,29.473035480024002,0.1580137352292,2.1508083566424,4.173787372,0.3063621681,0.06787445041,-0.2937194478,527.0226348719689,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1550345029,-0.005219554289,0.9409447622,-10.66146425472469,-0.6894278081777948,-124.28522608910384,20.477927259139932,-0.6894278081777948,-124.28522608910384,31.139391518312845,0.0,0.0,1.3141549399596837,-0.1429955978670379,-0.07749135165898315,0.13234538913859747,0.0026822125443103713,-0.09272970335722754,-1.1818095507668536,0.14567781034491317,-0.01523835169824439,0.55,0.55,-7.500000000024367,-6.450000002656562,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,0,0,True,0.005000000000009663,0.0048145,199.99999999961346,207.7058884619379,1.0385294423116966,0.9022447258358895,True,3.999997996297508,-2.284685811371201e-08,-5.414757531241321e-11,3.999997996297508,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9814641813080827,0.3846126989125315,3.7549957010000004,3.585525281,-7.500000000024367,-6.450000002656562,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,505.6405274520001,34.8323102184,154.39318909464,505.6405274520001,34.8323102184,154.39318909464,501.35270131992553,40.4825117008607,502.9844578855263,-175.38357790056853,151.19319303598658,525.216856636203,-16.730366887729268,525.216856636203,False,-2.186239362555625,-0.9012764005685199,-21.073624679729267,-24.659149960729266,25.494023029244108,23.857068139839082,22.015146771498706,-502.6183390877382,19.187758782104922,-0.11086446357038882,-1.0030332356979161,-4.9450537
16740,2487580112000,4.0246,True,udp,127.0.0.1:56088,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.8108333,-0.7967090223,7.923647193,185.5167427,-2.096036824467253,-1.0245626806269845,-0.20514737107102773,3.1508643585249825,-0.5678711405125868,-0.4895853819120979,-25.334231702784,-3.0212072527728,-1.9353704801784,25.51374118476,1.9353704801784,29.552840541648003,4.337921343,186.80063107144855,505.513860192,34.81720305024,154.40288185656001,46.95395211,39.34779138,154.42303599456002,46.949405,39.347334,4.444492046736,29.474063945328002,0.15723102730008,2.1506317832592003,4.173300817,0.3048342091,0.06894725945,-0.2938700298,527.0581218047147,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15501654,-0.005198226496,0.9408896531,-10.659941312642049,-0.6624357752260247,-124.45063654603351,20.478494149399026,-0.6624357752260247,-124.45063654603351,31.138435466489298,0.0,0.0,1.4168795592670096,-0.19814613065923606,-0.06471163358473497,0.23508202647044987,-0.05244133069721808,-0.07994760830362689,-1.181797532525396,0.14570479993490162,-0.015235974718891914,0.55,0.55,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0040246,200.0000000001819,248.47189782835562,1.2423594891406482,0.9049605176373142,True,3.9999979953452014,-4.465931385116972e-09,2.63856159143927e-10,3.9999979953452014,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.981470596808133,0.3845462806429336,3.7503463759999995,3.58572585,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,505.513860192,34.81720305024,154.40288185656001,505.513860192,34.81720305024,154.40288185656001,501.22603405992544,40.4674045327007,502.85698568186837,-175.38413203794732,151.2028857979066,525.0975725735833,-16.73538371808259,525.0975725735833,False,-2.184763109395874,-0.9008747379473334,-21.073305061082593,-24.659030911082592,25.495194982788945,23.858048391511343,22.009242497823596,-502.4914537487388,19.16994936179548,-0.11082271059831839,-1.0032852113380333,-4.9410291
16741,2487583709500,3.5975,True,udp,127.0.0.1:56088,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,117.8158333,-0.807289925,7.918505723,185.5157744,-2.080362328111485,-1.027367487796982,-0.20760320878480137,3.1126808479215535,-0.5515166544078111,-0.49338207877741896,-25.335473677440003,-3.0204462680616,-1.9331327577552,25.514884324968,1.9331327577552,29.55384909132,4.332731456,186.79860400406514,505.38718653120003,34.802099692080006,154.41256324944,46.95395097,39.34779118,154.43270726808,46.949405,39.347334,4.444492046736,29.475097174656003,0.1564592320644,2.1503867767896003,4.172681303,0.3033275128,0.04315629661,-0.2904847069,527.0936049070399,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1550189045,-0.004994247223,0.9421053192,-10.661606375405297,-0.6596679956554228,-124.4385189231203,20.47586765246408,-0.6596679956554228,-124.4385189231203,31.137474027869374,0.0,0.0,1.4140261942969357,-0.1966843833325105,-0.06530191009285922,0.23224072055195402,-0.050956951135342765,-0.08056875326130798,-1.181785474151727,0.14572743219716774,-0.015266843168448754,0.55,0.55,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0035975,200.0000000001819,277.9708130646282,1.389854065321877,0.9084244040501642,True,3.999997994372836,1.8230807313432407e-08,3.327826902932429e-10,3.999997994372836,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.981477095080601,0.3844789936427758,3.74582442,3.5857742669999997,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,505.38718653120003,34.802099692080006,154.41256324944,505.38718653120003,34.802099692080006,154.41256324944,501.0993603991255,40.45230117454071,502.72950745179895,-175.384685964826,151.2125671907866,524.9782834929046,-16.740401829440113,524.9782834929046,False,-2.183289968891131,-0.9004603648260172,-21.073133285440115,-24.658907552440112,25.496362292838285,23.859005380057273,22.003359952787957,-502.3645607802515,19.1521731089017,-0.11078106636844023,-1.0035440550238222,-4.9374316
