recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
4859751650800,target_offset,160,"{""x_angle_offset"":-0.07597245275974274,""y_angle_offset"":-0.030417057319923682}",-4.996858
4859762881400,attitude,958,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110170,""roll"":-0.008941448293626308,""pitch"":0.17143966257572174,""yaw"":-3.0486488342285156,""rollspeed"":-0.02162681706249714,""pitchspeed"":-0.016596946865320206,""yawspeed"":0.0048287734389305115}",-4.9856274
4859766132100,fov,2512,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9823767
4859766391200,gimbal,2512,"{""imu_roll"":0.0,""imu_pitch"":22.988067626953125,""imu_yaw"":0.15349498391151428,""frame_roll"":0.0,""frame_pitch"":22.988067626953125,""frame_yaw"":0.15349498391151428,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9821176
4859786164700,fov,2513,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9623441
4859786480600,gimbal,2513,"{""imu_roll"":0.0,""imu_pitch"":22.9829044342041,""imu_yaw"":0.13831216096878052,""frame_roll"":0.0,""frame_pitch"":22.9829044342041,""frame_yaw"":0.13831216096878052,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9620282
4859797799200,target_offset,161,"{""x_angle_offset"":-0.08356969803571701,""y_angle_offset"":-0.030417057319923682}",-4.9507096
4859814277300,fov,2514,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9342315
4859814832700,gimbal,2514,"{""imu_roll"":0.0,""imu_pitch"":22.97081184387207,""imu_yaw"":0.11034691333770752,""frame_roll"":0.0,""frame_pitch"":22.97081184387207,""frame_yaw"":0.11034691333770752,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9336761
4859816691900,target_offset,162,"{""x_angle_offset"":-0.08356969803571701,""y_angle_offset"":-0.030417057319923682}",-4.9318169
4859818494000,attitude,959,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110210,""roll"":-0.009463543072342873,""pitch"":0.17095670104026794,""yaw"":-3.048497200012207,""rollspeed"":-0.021212032064795494,""pitchspeed"":-0.015599899925291538,""yawspeed"":0.004413725808262825}",-4.9300148
4859818692500,vfr,480,"{""message_type"":""VFR_HUD"",""airspeed"":30.66295623779297,""alt"":184.6199951171875}",-4.9298163
4859818762800,position,480,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469546386,""lon"":393492897}",-4.929746
4859829293700,fov,2515,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9192151
4859829728700,gimbal,2515,"{""imu_roll"":0.0,""imu_pitch"":22.965652465820312,""imu_yaw"":0.09496428072452545,""frame_roll"":0.0,""frame_pitch"":22.965652465820312,""frame_yaw"":0.09496428072452545,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9187801
4859850914200,fov,2516,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8975946
4859851187700,gimbal,2516,"{""imu_roll"":0.0,""imu_pitch"":22.960660934448242,""imu_yaw"":0.07896754145622253,""frame_roll"":0.0,""frame_pitch"":22.960660934448242,""frame_yaw"":0.07896754145622253,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8973211
4859852225700,range,975,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94940185546875,""y"":39.348533630371094}",-4.8962831
4859858617700,target_offset,163,"{""x_angle_offset"":-0.08356969803571701,""y_angle_offset"":-0.02281279298994276}",-4.8898911
4859863153000,range,976,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94940185546875,""y"":39.348533630371094}",-4.8853558
4859869224200,fov,2517,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8792846
