recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
5011331529000,fov,2579,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9914015
5011331815400,gimbal,2579,"{""imu_roll"":0.0,""imu_pitch"":20.621469497680664,""imu_yaw"":-2.701899766921997,""frame_roll"":0.0,""frame_pitch"":20.621469497680664,""frame_yaw"":-2.701899766921997,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9911151
5011352561400,gimbal,2580,"{""imu_roll"":0.0,""imu_pitch"":20.627838134765625,""imu_yaw"":-2.760439157485962,""frame_roll"":0.0,""frame_pitch"":20.627838134765625,""frame_yaw"":-2.760439157485962,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9703691
5011352890300,fov,2580,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9700402
5011362304400,target_offset,242,"{""x_angle_offset"":-0.3190843015909195,""y_angle_offset"":0.05322985030986645}",-4.9606261
5011371666400,gimbal,2581,"{""imu_roll"":0.0,""imu_pitch"":20.637134552001953,""imu_yaw"":-2.821042060852051,""frame_roll"":0.0,""frame_pitch"":20.637134552001953,""frame_yaw"":-2.821042060852051,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9512641
5011371884300,fov,2581,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9510462
5011382312500,attitude,992,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112170,""roll"":-0.08605843782424927,""pitch"":0.17275330424308777,""yaw"":-2.963686943054199,""rollspeed"":0.05416783690452576,""pitchspeed"":-0.01103996206074953,""yawspeed"":0.07885119318962097}",-4.940618
5011394315500,gimbal,2582,"{""imu_roll"":0.0,""imu_pitch"":20.646175384521484,""imu_yaw"":-2.898503541946411,""frame_roll"":0.0,""frame_pitch"":20.646175384521484,""frame_yaw"":-2.898503541946411,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.928615
5011394510600,fov,2582,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9284199
5011400669400,target_offset,243,"{""x_angle_offset"":-0.39505675435066223,""y_angle_offset"":0.05322985030986645}",-4.9222611
5011416762600,gimbal,2583,"{""imu_roll"":0.0,""imu_pitch"":20.657798767089844,""imu_yaw"":-2.982309103012085,""frame_roll"":0.0,""frame_pitch"":20.657798767089844,""frame_yaw"":-2.982309103012085,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9061679
5011417118600,fov,2583,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9058119
5011426002100,vfr,497,"{""message_type"":""VFR_HUD"",""airspeed"":29.77882957458496,""alt"":180.83999633789062}",-4.8969284
5011426088900,position,497,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544031,""lon"":393493568}",-4.8968416
5011426150800,attitude,993,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112210,""roll"":-0.07974588871002197,""pitch"":0.17254424095153809,""yaw"":-2.9596152305603027,""rollspeed"":0.04196607694029808,""pitchspeed"":-0.01047804206609726,""yawspeed"":0.07896242290735245}",-4.8967797
5011438390500,gimbal,2584,"{""imu_roll"":0.0,""imu_pitch"":20.666141510009766,""imu_yaw"":-3.0614211559295654,""frame_roll"":0.0,""frame_pitch"":20.666141510009766,""frame_yaw"":-3.0614211559295654,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.88454
5011438710500,fov,2584,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.88422
5011440978800,range,1015,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94839096069336,""y"":39.34794998168945}",-4.8819517
5011448209200,target_offset,244,"{""x_angle_offset"":-0.4406402260065079,""y_angle_offset"":0.04562558597988552}",-4.8747213
5011451827800,range,1016,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94839096069336,""y"":39.34794998168945}",-4.8711027
5011462949100,gimbal,2585,"{""imu_roll"":0.0,""imu_pitch"":20.674592971801758,""imu_yaw"":-3.17520809173584,""frame_roll"":0.0,""frame_pitch"":20.674592971801758,""frame_yaw"":-3.17520809173584,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8599814
5011465129200,fov,2585,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8578013
5011469669000,target_offset,245,"{""x_angle_offset"":-0.47862645238637924,""y_angle_offset"":0.0380213216499046}",-4.8532615
5011485220400,gimbal,2586,"{""imu_roll"":0.0,""imu_pitch"":20.67993927001953,""imu_yaw"":-3.2819807529449463,""frame_roll"":0.0,""frame_pitch"":20.67993927001953,""frame_yaw"":-3.2819807529449463,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8377101
