event_monotonic_ns,event,value_json,session_time_s
10415239511900,SIM_MISSION_STATE,"{""time"":1788257290.7145875,""from"":""AIM_CAMERA"",""to"":""WAIT_CAMERA_ON_TARGET"",""reason"":""camera_tracking_started""}",-4.9520626
10415290827800,SIM_MISSION_STATE,"{""time"":1788257290.7659113,""from"":""WAIT_CAMERA_ON_TARGET"",""to"":""WAIT_CAPTURE_DISTANCE"",""reason"":""target_visible_prearm_hunter_before_attack_angle""}",-4.9007467
10415342546200,SIM_MISSION_STATE,"{""time"":1788257290.8171618,""from"":""WAIT_CAPTURE_DISTANCE"",""to"":""ENABLE_CAPTURE"",""reason"":""capture_distance_reached_immediate_capture""}",-4.8490283
10415393277900,SIM_MISSION_STATE,"{""time"":1788257290.8683684,""from"":""ENABLE_CAPTURE"",""to"":""WAIT_TRACKER_LOCK"",""reason"":""direct_ra_capture_sent_wait_real_tracking""}",-4.7982966
10416361737800,TRACKER_LATENCY_CALIBRATION_BEGIN,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-3.8298367
10416361770300,TRACKER_ENABLED,"{""state"":true}",-3.8298042
10416364989900,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.5,""expected_dt_s"":0.039919552468049416,""gap_limit_s"":0.13971843363817296}",-3.8265846
10416563983000,SIM_MISSION_STATE,"{""time"":1788257292.0390122,""from"":""WAIT_TRACKER_LOCK"",""to"":""ENTER_HUNTER"",""reason"":""real_tracking_reacquired_wind_already_attempted""}",-3.6275915
10416614595600,ATTACK_STATE_COMMAND,"{""previous"":-1,""new"":4}",-3.5769789
10416615880800,TRACKER_LATENCY_CALIBRATION_HUNTER,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.10740321750042767}",-3.5756937
10416616108000,CHANNELS_RESET,"{""reason"":""hunter_enter_fast_state_only""}",-3.5754665
10416665769900,SIM_MISSION_STATE,"{""time"":1788257292.1405098,""from"":""ENTER_HUNTER"",""to"":""HUNTER"",""reason"":""hunter_confirmed_by_attack_controller""}",-3.5258046
10420190795100,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.025,""fit_score"":0.08669966037934933,""excitation"":0.0,""samples"":34,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9999998572295872}",-0.0007794
10420191554200,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":9.807773426413021,""hold_pitch_pwm"":1990,""uav_pitch_deg"":9.807773426413021,""frame_pitch_deg"":-25.01134490966797}",-2.03e-05
