truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15528,12060770925700,7.7404,True,udp,127.0.0.1:51966,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6575,0.9395859749,7.774190178,185.8474298,0.15005391521441758,0.32292912735861895,0.11879151877108032,-0.44476898660409436,0.30899854212822886,0.21783022868927152,-34.95962002728,-3.4101186763199998,-2.0586480798,35.12554543584,2.0586480798,31.21482400152,3.354170604,185.57126274593162,599.8045299288,47.57536298472,119.04324240072,46.95480028,39.34795899,119.07165994104001,46.949405,39.347334,4.444492046736,31.13815948632,0.27383541539640005,2.1691646425104003,3.984934227,0.502639862,0.02528003264,0.03259973858,590.0112108007337,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327582221,-0.008194813106,1.009862676,-12.199974298991897,-1.0824894719248976,-133.3875247422869,17.535495895514828,-1.0824894719248976,-133.3875247422869,29.73547019450673,0.0,0.0,1.129271248146564,-0.10759631668702573,0.035922813712664974,-0.03312804000848306,0.028059274923854766,0.03575987244714889,-1.1623992881686054,0.13565559159732232,-0.00016294127121051872,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0077404,200.0000000001819,129.19228980414448,0.645961449020135,0.9392811136589813,True,-3.999997997474926,1.4625677729412619e-05,-1.3862162528965882e-09,3.9999979975016644,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9791833676647252,-0.4075336574051501,3.7892559509999995,4.4200195739999995,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.8045299288,47.57536298472,119.04324240072,599.8045299288,47.57536298472,119.04324240072,595.5167037967254,53.2255644671807,597.8905461819637,-174.8926393756028,115.84324634206656,609.0096575070346,-10.96537707111039,609.0096575070346,False,-0.46390212153443144,-0.7400691756027982,-14.31954767511039,-18.73956724911039,35.12439410555192,34.09151635530389,17.863965074474788,-597.8709488574424,4.840839397091152,-0.027253545604556204,-0.8187122731699074,-4.999909
15529,12060778907300,7.9816,True,udp,127.0.0.1:51966,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6625,0.9404166539,7.775799626,185.8480581,0.14784200763561048,0.32447661772292347,0.11988196362429372,-0.43904306968120965,0.310142408592232,0.21844863028814845,-34.959328912800004,-3.4105211891039997,-2.0595502493952003,35.12529476832,2.0595502493952003,31.214638744080002,3.355661051,185.57196232739946,599.6297332248,47.558312838480006,119.05355445528001,46.95479871,39.34795877,119.08195544496,46.949405,39.347334,4.444492046736,31.13797675872,0.27395452706064,2.1691067439216,3.984851516,0.5028614883,0.02757418117,0.03138670597,590.0036222584879,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327598425,-0.008198091456,1.009829174,-12.199933784589426,-1.082920731903541,-133.3831613037756,17.535713351276712,-1.082920731903541,-133.3831613037756,29.735647135866138,0.0,0.0,1.1297001113960001,-0.10748129728142972,0.03600615302184757,-0.03270093178403216,0.02816290555359207,0.0358605061768932,-1.1624010431393579,0.13564420286213816,-0.00014564685146229917,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0079816,200.0000000001819,125.28816277438108,0.6264408138713357,0.9343656479476542,True,-3.9999980090348424,1.4624485479140152e-05,3.936415637895152e-10,3.999998009061577,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.979178898450637,-0.40757729272222243,3.7909481100000004,4.420138575000001,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.6297332248,47.558312838480006,119.05355445528001,599.6297332248,47.558312838480006,119.05355445528001,595.3419070927255,53.20851432094071,597.7149256435255,-174.892775652591,115.85355839662657,608.839206466047,-10.969473491091332,608.839206466047,False,-0.46473797999044564,-0.7408337525910156,-14.325134542091332,-18.745273117091333,35.12413930195443,34.090472271891876,17.859512229991733,-597.6952634128634,4.848136845537255,-0.027310476541546426,-0.8192496404917811,-4.9919274
15530,12060785302500,6.3952,True,udp,127.0.0.1:51966,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6675,0.9412371167,7.777416723,185.8486921,0.14565863662086032,0.3260292215063664,0.12097547299957018,-0.43336155458102493,0.3109968295550939,0.21905380062995822,-34.959036609600005,-3.4109241133680004,-2.0604508827984,35.12504297304,2.0604508827984,31.21445229792,3.357149124,185.572662768304,599.4549383496,47.541260711039996,119.06387105136001,46.95479714,39.34795854,119.09225545992,46.949405,39.347334,4.444492046736,31.13779247664,0.27407079609912,2.1690544557864,3.984779275,0.5030779182,0.02982435681,0.03017100368,589.9959891876013,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327616093,-0.008201289597,1.009798448,-12.19987527713052,-1.0833413904356086,-133.3791631532234,17.535950076734633,-1.0833413904356086,-133.3791631532234,29.73582534941693,0.0,0.0,1.130125713360943,-0.10739252473519187,0.03608727101313634,-0.032277103825525455,0.02824026094670153,0.03595897554665569,-1.162402817227143,0.13563278565477704,-0.0001282954566238568,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0063952,199.99999999961346,156.36727545659244,0.7818363772844732,0.9324393753610555,True,-3.999998005135202,1.4642213470128767e-05,1.0302183550692234e-09,3.999998005162001,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9791743882063635,-0.40762132385354455,3.792637448,4.420267599,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.4549383496,47.541260711039996,119.06387105136001,599.4549383496,47.541260711039996,119.06387105136001,595.1671122175254,53.1914621935007,597.5393067536487,-174.89291221450992,115.86387499270657,608.6687610219179,-10.973572595516192,608.6687610219179,False,-0.4655749828139051,-0.7416043145099138,-14.330721719516191,-18.75098931851619,35.12388334733654,34.08942664892764,17.855060083301957,-597.5195794335921,4.855441188447159,-0.02736750694516207,-0.81978727913587,-4.9855322
15531,12060788876800,3.5743,True,udp,127.0.0.1:51966,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6725,0.942047508,7.779041491,185.8493317,0.14350358203978222,0.3275855062571641,0.12207198043380539,-0.4277235476039712,0.311568915709531,0.21964561463801416,-34.95874311768,-3.4113274430160003,-2.0613501138168,35.12479005,2.0613501138168,31.21426466304,3.358635042,185.57336406864525,599.2801446936,47.52420654144,119.074192128,46.95479557,39.34795832,119.10255995544,46.949405,39.347334,4.444492046736,31.13760664008,0.27418421504424,2.169007654356,3.984717278,0.5032891381,0.03203008401,0.0289527355,589.9883106304686,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327635196,-0.008204407235,1.009770434,-12.199799145817575,-1.0837514092663947,-133.37552183900914,17.536205693789753,-1.0837514092663947,-133.37552183900914,29.73600483960733,0.0,0.0,1.1305481200697274,-0.10732935431620323,0.03616616309030844,-0.031856490267327016,0.02829198658099199,0.03605525997511991,-1.1624046102963799,0.13562134092431158,-0.00011090312274044096,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0035743,200.0000000001819,279.77506085107575,1.3988753042541064,0.9357500723935339,True,-3.9999979960005536,1.4617912380286311e-05,7.971372451009984e-10,3.9999979960272642,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.979169837630274,-0.40766574385280213,3.794324213,4.420406449,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.2801446936,47.52420654144,119.074192128,599.2801446936,47.52420654144,119.074192128,594.9923185615255,53.174408023900696,597.3636888997456,-174.89304906222878,115.87419606934657,608.4983205651675,-10.977674391897661,608.4983205651675,False,-0.4664131308740025,-0.7423807622287768,-14.33630943389766,-18.756715882897662,35.12362624113994,34.08837945916044,17.850608630257078,-597.343896307491,4.8627523171022915,-0.027424636398363303,-0.8203252028833365,-4.9819579
15532,12060799659500,10.7827,True,udp,127.0.0.1:51966,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6775,0.9428479714,7.780673946,185.849977,0.1413766282310621,0.32914407516150795,0.1231714188909374,-0.4221281768801716,0.31186578983766927,0.22022395061608052,-34.95844843704,-3.411731178048,-2.0622480726,35.124535968720004,2.0622480726,31.21407580896,3.360119018,185.5740662284232,599.1053525616001,47.507150360160004,119.0845176852,46.95479399,39.3479581,119.11286896200001,46.949405,39.347334,4.444492046736,31.13741924904,0.27429477679416,2.1689662158816003,3.984665298,0.5034951352,0.03419093307,0.02773200581,589.9805870658925,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327655706,-0.008207444079,1.009745069,-12.199705773197648,-1.0841507505860155,-133.3722289095118,17.5364798376879,-1.0841507505860155,-133.3722289095118,29.736185610885553,0.0,0.0,1.1309673956525417,-0.1072911401941423,0.036242824901188256,-0.031439026816549726,0.02831872905960118,0.03614933940973839,-1.1624064224826496,0.13560986921306895,-9.348548724682415e-05,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0107827,200.0000000001819,92.74115017574448,0.4637057508783007,0.9257851454185163,True,-3.9999980036004303,1.4593042289305549e-05,3.562710126914226e-10,3.99999800362705,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.979165245997757,-0.4077105596636102,3.7960086480000004,4.4205549280000005,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.1053525616001,47.507150360160004,119.0845176852,599.1053525616001,47.507150360160004,119.0845176852,594.8175264295255,53.1573518426207,597.1880723881376,-174.89318619568937,115.88452162654656,608.3278854000308,-10.981778876922496,608.3278854000308,False,-0.4672524241125302,-0.7431631956893625,-14.341897894922496,-18.762452822922498,35.123367983353624,34.08733067818135,17.84615789201147,-597.1682143405443,4.870070223834844,-0.027481864969554043,-0.820863423364208,-4.9711752
15533,12060807551600,7.8921,True,udp,127.0.0.1:51966,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6825,0.9436386493,7.782314095,185.8506281,0.13927756377327352,0.3307035669862681,0.12427372076194636,-0.4165745979271321,0.31189458159712813,0.22078869036296425,-34.958152506720005,-3.4121353062720003,-2.0631448862496002,35.12428069872,2.0631448862496002,31.21388576616,3.361601262,185.57476919034204,598.9305619536001,47.490092167200004,119.09484775344,46.95479242,39.34795787,119.12318241864001,46.949405,39.347334,4.444492046736,31.137230303520003,0.27440247442992005,2.1689300153952003,3.984623108,0.5036958967,0.03630652248,0.02650891962,589.9728170574651,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327677595,-0.008210399847,1.009722287,-12.19959553736958,-1.0845393765845874,-133.36927582414586,17.536772134778463,-1.0845393765845874,-133.36927582414586,29.73636766769982,0.0,0.0,1.1313836024770116,-0.10727723598280221,0.03631725217494924,-0.031024651281824304,0.02832113558222675,0.03624119439452359,-1.1624082537859524,0.1355983716057035,-7.605779030956185e-05,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0078921,199.99999999961346,126.70898746848113,0.63354493734363,0.9212440451609069,True,-3.9999979888262702,1.4621526823520824e-05,-2.712403635030114e-10,3.999997988852994,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.979160612583768,-0.4077557782295379,3.797690987,4.420712833,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.9305619536001,47.490092167200004,119.09484775344,598.9305619536001,47.490092167200004,119.09484775344,594.6427358215255,53.140293649660705,597.012457218843,-174.89332361514286,115.89485169478657,608.1574555358484,-10.985886055583691,608.1574555358484,False,-0.4680928054849005,-0.7439517151428845,-14.347487317583692,-18.76820015058369,35.1231085121618,34.08628022019058,17.84170791319183,-596.9925335332792,4.877394796129472,-0.027539192114747448,-0.8214019516921048,-4.9632831
15534,12060808791200,1.2396,True,udp,127.0.0.1:51966,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6875,0.9444196833,7.783961941,185.8512849,0.1372061814848778,0.3322626561935857,0.12537881780755883,-0.41106196878337253,0.3116624205309356,0.22133971951628933,-34.957855387680006,-3.412539827688,-2.0640406803432,35.12402427048,2.0640406803432,31.213694534640002,3.363081978,185.57547306899335,598.7557725648,47.473031932080005,119.10518227176,46.95479085,39.34795765,119.13350038632001,46.949405,39.347334,4.444492046736,31.137039834000003,0.27450730145928004,2.1688989288432,3.984590479,0.5038914107,0.03837650455,0.02528358253,589.9650015627917,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327700832,-0.008213274271,1.009702025,-12.199468825328648,-1.0849172521211594,-133.36665408680804,17.537082171376824,-1.0849172521211594,-133.36665408680804,29.73655099670547,0.0,0.0,1.131796802368436,-0.10728699517395249,0.03638944093904481,-0.030613301620921428,0.028299853321449974,0.036330806070047836,-1.1624101040707064,0.13558684850896066,-5.8634867790297325e-05,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0012396,200.0000000001819,806.7118425298484,4.0335592126455735,0.9289410145975077,True,-3.999997992328023,1.4640587928109851e-05,1.4979288920358158e-09,3.999997992354816,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9791559380863237,-0.4078013926042355,3.7993714620000003,4.420879963000001,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.7557725648,47.473031932080005,119.10518227176,598.7557725648,47.473031932080005,119.10518227176,594.4679464327255,53.12323341454071,596.8368430855769,-174.89346132115085,115.90518621310656,607.9870306638559,-10.989995929923225,607.9870306638559,False,-0.4689343901442271,-0.7447462211508764,-14.353077907923225,-18.773957870923226,35.12284788826836,34.08522812036751,17.837258665743104,-596.8168535798675,4.884725927276719,-0.027596617445685895,-0.8219408013154319,-4.9620435
15535,12060812116300,3.3251,True,udp,127.0.0.1:51966,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6925,0.9451912135,7.785617478,185.8519474,0.13516227825233657,0.33382005282628063,0.12648664127283948,-0.4055894867923178,0.3111764348643167,0.2218769266930605,-34.95755701896,-3.412944742296,-2.0649355752768,35.12376665352,2.0649355752768,31.213502053440003,3.364561364,185.57617774978556,598.5809850048,47.455969685279996,119.11552127064,46.95478928,39.34795742,119.14382283456001,46.949405,39.347334,4.444492046736,31.136847779520004,0.2746092515424,2.1688728300384,3.984567181,0.5040816657,0.04040058496,0.02405610069,589.9571391454646,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132772539,-0.008216067085,1.009684217,-12.199326010725468,-1.0852843429444252,-133.36435515691284,17.53740959162526,-1.0852843429444252,-133.36435515691284,29.736735602350727,0.0,0.0,1.1322070547116405,-0.10731977147629351,0.03645938731583564,-0.03020491874729491,0.028255529382061224,0.03641815615988519,-1.1624119734724936,0.13557530085835473,-4.123116156353629e-05,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0033251,200.0000000001819,300.74283480196084,1.5037141740084365,0.932738119554835,True,-3.999998028916576,1.4632501339858616e-05,-1.7357135728701678e-09,3.9999980289433394,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.979151222491811,-0.40784740278629983,3.8010502969999997,4.421056114,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.5809850048,47.455969685279996,119.11552127064,598.5809850048,47.455969685279996,119.11552127064,594.2931588727255,53.1061711677407,596.6612305982516,-174.89359931626055,115.91552521198656,607.8166113921128,-10.994108493984488,607.8166113921128,False,-0.46977706604610603,-0.7455467162605487,-14.358669857984488,-18.779725971984487,35.122586050931154,34.08417429684165,17.832810209764567,-596.6411750888328,4.892063740038111,-0.027654141690293645,-0.8224799813477969,-4.9587184
15536,12060815557300,3.441,True,udp,127.0.0.1:51966,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6975,0.9459533791,7.787280696,185.8526156,0.13314565503011178,0.3353745026797395,0.12759712177259921,-0.40015636304837976,0.3104437424519602,0.22240020446369113,-34.95725737008,-3.413350040952,-2.0658296890080003,35.12350781736,2.0658296890080003,31.213308353040002,3.366039614,185.57688323271873,598.406198664,47.438905426800005,119.12586471960002,46.95478771,39.3479572,119.15414976336001,46.949405,39.347334,4.444492046736,31.13665420104,0.27470831861376,2.1688515930984003,3.984552983,0.5042666507,0.04237850782,0.02282658077,589.9492302842863,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132775124,-0.00821877803,1.009668799,-12.199167485003544,-1.0856406139134342,-133.36237044939253,17.537754004080263,-1.0856406139134342,-133.36237044939253,29.73692149353203,0.0,0.0,1.13261441726447,-0.10737491957471458,0.03652708764461326,-0.02979944456414567,0.028188809879103785,0.036503226929936884,-1.162413861855732,0.13556372945381837,-2.386071287313884e-05,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.003441,199.99999999961346,290.6131938390003,1.4530659691978098,0.9362945405269478,True,-3.999998023572987,1.4601331808290633e-05,-9.035010517521869e-10,3.9999980235996366,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9791464657864983,-0.40789380877432097,3.802727713,4.421241082,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.406198664,47.438905426800005,119.12586471960002,598.406198664,47.438905426800005,119.12586471960002,594.1183725319255,53.08910690926071,596.4856191497048,-174.89373759551458,115.92586866094658,607.6461971223071,-10.99822375803888,607.6461971223071,False,-0.4706208282333364,-0.7463531955145868,-14.36426337203888,-18.78550445403888,35.122322968990865,34.083118694745956,17.828362555800332,-596.4654974539832,4.89940806414333,-0.02771176405627636,-0.8230195037592789,-4.9552774
15537,12060820976000,5.4187,True,udp,127.0.0.1:51966,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.7025,0.9467063182,7.788951574,185.8532896,0.13115611655418682,0.3369247869581404,0.12871018946328291,-0.3947618350020289,0.309471447684047,0.22290944849256672,-34.956956410560004,-3.4137557175600004,-2.0667231355320004,35.12324770104,2.0667231355320004,31.213113372480002,3.367516915,185.57758957508855,598.231414152,47.42183912616,119.13621264912001,46.95478613,39.34795698,119.16448114224,46.949405,39.347334,4.444492046736,31.13645906808,0.27480449688216,2.168835091836,3.984547657,0.5044463551,0.04431006185,0.02159512997,589.9412740216515,-3.9999979944,1.4614351844136001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327778353,-0.008221406855,1.009655706,-12.19899362181349,-1.0859860330009905,-133.360691290215,17.53811505733233,-1.0859860330009905,-133.360691290215,29.737108674697602,0.0,0.0,1.1330189462933693,-0.10745179537434117,0.036592538427367365,-0.029396823008401532,0.028100339748059318,0.036586001269780406,-1.1624157692204218,0.1355521351224005,-6.537166509594665e-06,0.55,0.55,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0054187,200.0000000001819,184.54610884529498,0.9227305442256357,0.9361491180747158,True,-3.9999979970517976,1.4593254348396322e-05,-1.0426660645990182e-09,3.999997997078418,-3.9999979944,1.4614351844136001e-05,0.0,jsbsim_total_wind,3.9999979944266975,-3.9791416672445465,-0.4079406175117817,3.8044039170000006,4.421434659000001,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.231414152,47.42183912616,119.13621264912001,598.231414152,47.42183912616,119.13621264912001,593.9435880199254,53.072040608620696,596.3100093444231,-174.89387616729323,115.93621659046657,607.4757884571676,-11.002341716219153,607.4757884571676,False,-0.4714657423817812,-0.7471657672932679,-14.369858631219152,-18.79129329021915,35.122058611492385,34.08206126259574,17.823915747838235,-596.2898212791755,4.906758929774249,-0.027769484771474187,-0.8235593776370584,-4.9498587
