recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
12829161319200,target_offset,234,"{""x_angle_offset"":-0.08356969803571701,""y_angle_offset"":0.16729381525958026}",-5.0010151
12829163167000,range,1003,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.946720123291016,""y"":39.34859085083008}",-4.9991673
12829163396600,attitude,990,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112010,""roll"":-0.030602499842643738,""pitch"":0.17512981593608856,""yaw"":-3.0664360523223877,""rollspeed"":-0.04397285357117653,""pitchspeed"":0.014303579926490784,""yawspeed"":-0.01070553157478571}",-4.9989377
12829163473800,vfr,495,"{""message_type"":""VFR_HUD"",""airspeed"":30.690080642700195,""alt"":158.5699920654297}",-4.9988605
12829163533600,position,495,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543172,""lon"":393492676}",-4.9988007
12829172916100,fov,2553,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9894182
12829173196200,gimbal,2553,"{""imu_roll"":0.0,""imu_pitch"":17.152578353881836,""imu_yaw"":-1.3989055156707764,""frame_roll"":0.0,""frame_pitch"":17.152578353881836,""frame_yaw"":-1.3989055156707764,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9891381
12829192452300,fov,2554,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.969882
12829192790600,gimbal,2554,"{""imu_roll"":0.0,""imu_pitch"":17.173770904541016,""imu_yaw"":-1.4062962532043457,""frame_roll"":0.0,""frame_pitch"":17.173770904541016,""frame_yaw"":-1.4062962532043457,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9695437
12829204268200,target_offset,235,"{""x_angle_offset"":-0.08356969803571701,""y_angle_offset"":0.15968955092959933}",-4.9580661
