recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
12977402630000,vfr,505,"{""message_type"":""VFR_HUD"",""airspeed"":29.283926010131836,""alt"":184.5}",-4.9944032
12977402734300,position,505,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541041,""lon"":393490507}",-4.9942989
12977402930700,attitude,1010,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112610,""roll"":-0.23194381594657898,""pitch"":0.1667092889547348,""yaw"":-2.961057662963867,""rollspeed"":-0.022751998156309128,""pitchspeed"":0.026288948953151703,""yawspeed"":-0.09650560468435287}",-4.9941025
12977411988700,gimbal,2581,"{""imu_roll"":0.0,""imu_pitch"":19.997465133666992,""imu_yaw"":-9.3496732711792,""frame_roll"":0.0,""frame_pitch"":19.997465133666992,""frame_yaw"":-9.3496732711792,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9850445
12977412238700,fov,2581,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9847945
12977419404300,target_offset,295,"{""x_angle_offset"":0.1443476602435112,""y_angle_offset"":0.19010660824952302}",-4.9776289
12977428128900,range,1016,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94806671142578,""y"":39.348079681396484}",-4.9689043
12977434502800,gimbal,2582,"{""imu_roll"":0.0,""imu_pitch"":20.040199279785156,""imu_yaw"":-9.27331829071045,""frame_roll"":0.0,""frame_pitch"":20.040199279785156,""frame_yaw"":-9.27331829071045,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9625304
12977434853600,fov,2582,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9621796
12977443339700,range,1017,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94806671142578,""y"":39.348079681396484}",-4.9536935
12977460445200,gimbal,2583,"{""imu_roll"":0.0,""imu_pitch"":20.072824478149414,""imu_yaw"":-9.179085731506348,""frame_roll"":0.0,""frame_pitch"":20.072824478149414,""frame_yaw"":-9.179085731506348,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.936588
12977460796200,fov,2583,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.936237
