recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
13132745830700,target_offset,210,"{""x_angle_offset"":0.2810980752110481,""y_angle_offset"":-0.4486515954688743}",-5.0019595
13132747192000,vfr,505,"{""message_type"":""VFR_HUD"",""airspeed"":29.95317268371582,""alt"":185.89999389648438}",-5.0005982
13132747300900,position,505,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542219,""lon"":393491621}",-5.0004893
13132747697200,attitude,1009,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112710,""roll"":0.08942615240812302,""pitch"":0.1752110719680786,""yaw"":3.0689282417297363,""rollspeed"":0.30243629217147827,""pitchspeed"":-0.02218480035662651,""yawspeed"":0.13153871893882751}",-5.000093
13132760991600,fov,2621,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9867986
13132761183800,gimbal,2621,"{""imu_roll"":0.0,""imu_pitch"":22.294479370117188,""imu_yaw"":10.169171333312988,""frame_roll"":0.0,""frame_pitch"":22.294479370117188,""frame_yaw"":10.169171333312988,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9866064
13132765953500,range,1009,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948978424072266,""y"":39.348697662353516}",-4.9818367
13132782042000,fov,2622,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9657482
13132784176900,gimbal,2622,"{""imu_roll"":0.0,""imu_pitch"":22.21999168395996,""imu_yaw"":10.166451454162598,""frame_roll"":0.0,""frame_pitch"":22.21999168395996,""frame_yaw"":10.166451454162598,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9636133
13132788072000,range,1010,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948978424072266,""y"":39.348697662353516}",-4.9597182
13132792471100,target_offset,211,"{""x_angle_offset"":0.2051256224513054,""y_angle_offset"":-0.4106302738189697}",-4.9553191
13132809389900,fov,2623,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9384003
13132809678400,gimbal,2623,"{""imu_roll"":0.0,""imu_pitch"":22.110502243041992,""imu_yaw"":10.219407081604004,""frame_roll"":0.0,""frame_pitch"":22.110502243041992,""frame_yaw"":10.219407081604004,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9381118
13132814109200,attitude,1010,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112770,""roll"":0.11285179853439331,""pitch"":0.1736927479505539,""yaw"":3.0757765769958496,""rollspeed"":0.28515663743019104,""pitchspeed"":-0.01894553005695343,""yawspeed"":0.13879400491714478}",-4.933681
13132816210300,target_offset,212,"{""x_angle_offset"":0.15954215079545975,""y_angle_offset"":-0.4106302738189697}",-4.9315799
13132832932800,fov,2624,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9148574
13132833303300,gimbal,2624,"{""imu_roll"":0.0,""imu_pitch"":22.001258850097656,""imu_yaw"":10.258536338806152,""frame_roll"":0.0,""frame_pitch"":22.001258850097656,""frame_yaw"":10.258536338806152,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9144869
13132849183000,position,506,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542219,""lon"":393491621}",-4.8986072
13132849652600,attitude,1011,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112810,""roll"":0.12791211903095245,""pitch"":0.17268028855323792,""yaw"":3.0805447101593018,""rollspeed"":0.2732692062854767,""pitchspeed"":-0.016603441908955574,""yawspeed"":0.14273254573345184}",-4.8981376
13132849777500,vfr,506,"{""message_type"":""VFR_HUD"",""airspeed"":29.8898983001709,""alt"":186.3000030517578}",-4.8980127
13132857012800,fov,2625,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8907774
13132857392400,gimbal,2625,"{""imu_roll"":0.0,""imu_pitch"":21.9282283782959,""imu_yaw"":10.23691463470459,""frame_roll"":0.0,""frame_pitch"":21.9282283782959,""frame_yaw"":10.23691463470459,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8903978
13132865683100,target_offset,213,"{""x_angle_offset"":0.1139586791396141,""y_angle_offset"":-0.38021321649904605}",-4.8821071
13132883676000,fov,2626,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8641142
13132883869900,gimbal,2626,"{""imu_roll"":0.0,""imu_pitch"":21.82571792602539,""imu_yaw"":10.266032218933105,""frame_roll"":0.0,""frame_pitch"":21.82571792602539,""frame_yaw"":10.266032218933105,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8639203
13132907160600,fov,2627,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8406296
13132907481700,gimbal,2627,"{""imu_roll"":0.0,""imu_pitch"":21.75471305847168,""imu_yaw"":10.234972953796387,""frame_roll"":0.0,""frame_pitch"":21.75471305847168,""frame_yaw"":10.234972953796387,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8403085
13132914752400,target_offset,214,"{""x_angle_offset"":0.06077796220779419,""y_angle_offset"":-0.3421918948491414}",-4.8330378
13132920487100,attitude,1012,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112870,""roll"":0.14962927997112274,""pitch"":0.1711607575416565,""yaw"":3.0880370140075684,""rollspeed"":0.25454655289649963,""pitchspeed"":-0.012880520895123482,""yawspeed"":0.14729547500610352}",-4.8273031
13132920847500,range,1011,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94895935058594,""y"":39.348716735839844}",-4.8269427
13132935422500,fov,2628,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8123677
13132935731700,gimbal,2628,"{""imu_roll"":0.0,""imu_pitch"":21.667173385620117,""imu_yaw"":10.24692153930664,""frame_roll"":0.0,""frame_pitch"":21.667173385620117,""frame_yaw"":10.24692153930664,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8120585
13132941794300,target_offset,215,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":-0.3041705731992368}",-4.8059959
13132946446500,range,1012,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94895935058594,""y"":39.348716735839844}",-4.8013437
13132954967800,fov,2629,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7928224
13132955287600,gimbal,2629,"{""imu_roll"":0.0,""imu_pitch"":21.59695816040039,""imu_yaw"":10.250164985656738,""frame_roll"":0.0,""frame_pitch"":21.59695816040039,""frame_yaw"":10.250164985656738,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7925026
13132966034500,position,507,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541641,""lon"":393491597}",-4.7817557
