truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
14153,14155266518700,5.1983,True,udp,127.0.0.1:61343,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,105.0125,0.9581833023,8.257086428,184.1739564,-0.7220320914005367,0.331968422369559,0.21395028615564235,0.8337768689415903,-0.07283056131371882,-0.44819165427162705,-32.3522721,-2.5436184239544,-2.6385109420176005,32.45211095544,2.6385109420176005,32.55919600416,4.648195088,184.4954930607249,860.1053731056,72.67297363776,109.50542339664001,46.95714172,39.34828874,109.56390723192001,46.949405,39.347334,4.444492046736,32.49412452648,0.21636180615792003,2.0460460469904,3.602966431,0.3807437251,0.1129899213,-0.08910239425,642.514972884813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125450725,-0.007303554507,1.004562425,-13.758902178673972,-0.9646941665652947,-132.6882013620321,14.865401477901898,-0.9646941665652947,-132.6882013620321,28.62430365212765,0.0,0.0,1.2080556040912669,-0.1358667931891511,-0.0737461900984194,0.06225499271484286,-0.006427818100000937,-0.07361376453930454,-1.1458006114170984,0.12943897506610125,0.00013242555362379772,0.55,0.55,-6.450000002656562,-5.250000000017057,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,0,0,True,0.005000000000009663,0.0051983,199.99999999961346,192.37058269049496,0.9618529134543338,1.023527190437474,False,1.2701031639242941e-08,1.2630424480394705e-08,6.868858301247402e-10,1.7925279339514638e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,4.654119996999999,3.6088913399999996,-6.450000002656562,-5.250000000017057,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,860.1053731056,72.67297363776,109.50542339664001,860.1053731056,72.67297363776,109.50542339664001,855.8175469735255,78.3231751202207,859.3940850789556,-174.77094017864167,106.30542733798657,865.9440151362022,-7.051559612757273,865.9440151362022,False,0.7335667606334368,1.0551034213583534,-11.699754700757271,-15.30864604075727,32.449451192508924,31.880096060634077,27.162528415511275,-859.323649763694,-11.002655384008591,0.02769991105207326,-0.4368343446526305,-4.9975664
14154,14155275165800,8.6471,True,udp,127.0.0.1:61343,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,105.0175,0.9547403661,8.258728923,184.1750603,-0.7178903284685627,0.3315706047662577,0.2117070955968831,0.8207881678274044,-0.08892987671102431,-0.44925969928254406,-32.35062828312,-2.5439826349607997,-2.6390118399744003,32.45050072752,2.6390118399744003,32.55763167912,4.649303319,184.49636160744654,859.9436175744,72.66025674168,109.51863918936002,46.95714026,39.34828857,109.57710104856001,46.949405,39.347334,4.444492046736,32.492544961440004,0.21609994577232,2.0462660040816,3.603527451,0.3803011804,0.1113402258,-0.08749840952,642.4524182840604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125731615,-0.00729573017,1.004629855,-13.756522126561176,-0.9636606845480916,-132.69710794720788,14.869111610552759,-0.9636606845480916,-132.69710794720788,28.625633741562158,0.0,0.0,1.2071070754815958,-0.13736317827491162,-0.07391476046245155,0.06128752952452158,-0.007892563659488532,-0.07378708099829753,-1.1458195459570741,0.12947061460999984,0.0001276794691163021,0.55,0.55,-6.450000002656562,-5.250000000017057,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,0,0,True,0.0049999999999954525,0.0086471,200.0000000001819,115.64570780955465,0.5782285390472474,1.0159570264309625,False,6.710702548566441e-09,-1.5114659843029208e-08,1.6717937880223789e-09,1.662171367024129e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,4.655201472,3.6094256039999992,-6.450000002656562,-5.250000000017057,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,859.9436175744,72.66025674168,109.51863918936002,859.9436175744,72.66025674168,109.51863918936002,855.6557914423255,78.3104582241407,859.2318437395505,-174.770801608938,106.31864313070658,865.7846240106265,-7.053745664730289,865.7846240106265,False,0.7328367836154257,1.0541380910619864,-11.70304898373029,-15.31247458773029,32.447846406351985,31.878189990512997,27.159152519897948,-859.1615618103424,-10.989631644456452,0.027676198897359262,-0.43701511678619975,-4.9889193
14155,14155281061200,5.8954,True,udp,127.0.0.1:61343,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,105.0225,0.9513163866,8.260369515,184.1761528,-0.7138131946029217,0.3310929338058659,0.20945860191265947,0.8079497420837255,-0.10471966758773708,-0.4503098764900283,-32.34898410048,-2.5443442643111998,-2.6395161181632,32.44888995096,2.6395161181632,32.55606711024,4.650417664,184.49722579968895,859.7818702728001,72.64753804728001,109.53185748144001,46.95713881,39.34828841,109.59029736456,46.949405,39.347334,4.444492046736,32.4909653964,0.21584267116368,2.0464812041592,3.60408017,0.3798666669,0.1096562852,-0.08588971259,642.3898565012689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112601122,-0.00728804147,1.004694662,-13.754158848692091,-0.9626451181882661,-132.70566797143766,14.872804795479267,-0.9626451181882661,-132.70566797143766,28.626963644171358,0.0,0.0,1.206169698881295,-0.13883148491328945,-0.07407950016624337,0.06033121691996188,-0.009329172282962888,-0.07395747343251226,-1.1458384819884495,0.12950231269811743,0.00012202673638851036,0.55,0.55,-6.450000002656562,-5.250000000017057,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,0,0,True,0.0049999999999954525,0.0058954,200.0000000001819,169.62377446822947,0.848118872340376,1.0140011417685884,False,5.485152385491189e-09,-1.3077550437062062e-09,2.467494216311686e-09,6.155131814504895e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,4.656289345000001,3.609951851000001,-6.450000002656562,-5.250000000017057,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,859.7818702728001,72.64753804728001,109.53185748144001,859.7818702728001,72.64753804728001,109.53185748144001,855.4940441407256,78.29773952974071,859.0696104366169,-174.77066315636043,106.33186142278657,865.6252424284746,-7.055932620591574,865.6252424284746,False,0.7321110439506242,1.0531840436395896,-11.706350284591574,-15.316302135591574,32.446241023795636,31.87628273978496,27.155777525717674,-858.9994808784922,-10.976676464286328,0.027652641830178612,-0.43719619216076105,-4.9830239
14156,14155285725300,4.6641,True,udp,127.0.0.1:61343,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,105.0275,0.9479110371,8.262007805,184.1772338,-0.70979994495848,0.33053696518338893,0.20720489488545796,0.7952583928871833,-0.12019612870195656,-0.45134204139412387,-32.347339582560004,-2.54470332054,-2.6400236476536,32.44727865624,2.6400236476536,32.55450226704,4.651537895,184.4980855801563,859.620130896,72.63481755456,109.54507830336001,46.95713735,39.34828824,109.60349621040001,46.949405,39.347334,4.444492046736,32.48938583136,0.21558999492024,2.046691554564,3.60462442,0.3794402079,0.1079404528,-0.08427645122,642.3272880152412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1126289521,-0.007280488762,1.004756798,-13.751812620856457,-0.9616475146369672,-132.71387534065775,14.876480730202351,-0.9616475146369672,-132.71387534065775,28.628293351058808,0.0,0.0,1.205243237022224,-0.14027136723512584,-0.0742404033797777,0.05938581748388279,-0.010737298987970326,-0.07412491831850732,-1.1458574196468065,0.12953406824579972,0.00011548506803591407,0.55,0.55,-6.450000002656562,-5.250000000017057,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,0,0,True,0.005000000000009663,0.0046641,199.99999999961346,214.4036362856714,1.0720181814304288,1.014537334603955,False,-1.4363817898660676e-08,1.5025355347646447e-08,-3.767173318064694e-10,2.0789961132648033e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,4.657383384999999,3.61046991,-6.450000002656562,-5.250000000017057,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,859.620130896,72.63481755456,109.54507830336001,859.620130896,72.63481755456,109.54507830336001,855.3323047639254,78.2850190370207,858.9073848666079,-174.77052481912602,106.34508224470657,865.4658700931127,-7.058120485243146,865.4658700931127,False,0.7313896007176481,1.0522413808739657,-11.709658380243145,-15.320128290243145,32.44463507593698,31.874374354148532,27.152403384522277,-858.8374066692231,-10.963789676873844,0.02762923963493412,-0.4373775630366527,-4.9783598
14157,14155289696800,3.9715,True,udp,127.0.0.1:61343,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,105.0325,0.9445252,8.263642893,184.1783032,-0.7029644215256561,0.3286766766468335,0.20499326284205452,2.50549660816331,-0.8700529635109409,-0.424146519720627,-32.34569122416,-2.5450622966064005,-2.6405663315568004,32.445663551520006,2.6405663315568004,32.55293647896,4.652720446,184.4989458189899,859.4584000536,72.62209526352,109.55830171608001,46.9571359,39.34828807,109.61669764704001,46.949405,39.347334,4.444492046736,32.4878076684,0.21534416320464003,2.0468644560216003,3.605102786,0.3790257659,0.07792376006,-0.0806620214,642.2646855342296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1127214306,-0.007165455684,1.006380875,-13.740924281779508,-0.9464533045984237,-132.92839238493124,14.888695818099373,-0.9464533045984237,-132.92839238493124,28.62962009987888,0.0,0.0,1.3327163063657756,-0.20850614670329085,-0.06993701667113192,0.18683994797595796,-0.07894081512595685,-0.06984288381728627,-1.1458763583898177,0.12956533153665944,9.413286210258088e-05,0.55,0.55,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,0,0,True,0.0049999999999954525,0.0039715,200.0000000001819,251.79403248143018,1.258970162406006,1.0164635645110347,False,1.4476823074970702e-08,-8.113358799889763e-09,2.5107206597039664e-12,1.6595330778971266e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,4.658540107,3.610922447,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,859.4584000536,72.62209526352,109.55830171608001,859.4584000536,72.62209526352,109.55830171608001,855.1705739215255,78.2722967459807,858.7451676365708,-174.770386601011,106.35830565742657,865.306507615354,-7.060309258185455,865.306507615354,False,0.7306675799990785,1.051310198988972,-11.713029704185455,-15.323952151185456,32.44302529939951,31.872457673263597,27.14903621446242,-858.6753407247293,-10.950898156414425,0.027605805283020146,-0.43756129909938696,-4.9743883
14158,14155296779600,7.0828,True,udp,127.0.0.1:61343,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,105.0375,0.9411884832,8.265261639,184.1793614,-0.6905328164430007,0.32430981779123874,0.20286954045800315,2.4596244141870067,-0.8778769926930544,-0.42557580476649987,-32.34403786704,-2.5454221629936002,-2.6411550594624003,32.44404353952,2.6411550594624003,32.55136956312,4.653984595,184.49980840695048,859.2966774408001,72.60937114368001,109.57152796344,46.95713444,39.3482879,109.62990194880001,46.949405,39.347334,4.444492046736,32.486231791440005,0.21510685058808002,2.0469813968088,3.605482637,0.3786262929,0.07328891066,-0.07864209706,642.2020404397874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1127464764,-0.00715881299,1.006388037,-13.738938315412495,-0.9455759008916124,-132.92933834373994,14.892004022789745,-0.9455759008916124,-132.92933834373994,28.630942338202242,0.0,0.0,1.3293165694046842,-0.20924993595622032,-0.07011477653872882,0.18342127362767313,-0.07965436098852004,-0.0700704573311447,-1.1458952957770112,0.1295955749677003,4.431920456063401e-05,0.55,0.55,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,0,0,True,0.0049999999999954525,0.0070828,200.0000000001819,141.18710114643926,0.7059355057315543,1.012126189757398,False,2.735019280568014e-09,1.0100408251158953e-08,-1.0647791439248194e-09,1.0518190525489445e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,4.6597790020000005,3.6112770440000004,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,859.2966774408001,72.60937114368001,109.57152796344,859.2966774408001,72.60937114368001,109.57152796344,855.0088513087255,78.25957262614071,858.5829584401804,-174.77024850225854,106.37153190478656,865.1471547220528,-7.062498958369294,865.1471547220528,False,0.7299430907909823,1.050390097741456,-11.716483553369294,-15.327760597369295,32.441410629225075,31.87053029515887,27.14567805147154,-858.5132830953177,-10.937973888772632,0.02758226721753823,-0.4377481094554551,-4.9673055
14159,14155303810300,7.0307,True,udp,127.0.0.1:61343,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,105.0425,0.9379118679,8.266858709,184.1804084,-0.6783289815644746,0.31990534104782997,0.20073873402377276,2.414513202700674,-0.8849829052226406,-0.42697510738931976,-32.34238447944,-2.5457794660128004,-2.641744118076,32.4424232532,2.641744118076,32.54980243392,4.655249478,184.50066658313602,859.1349627528,72.596645256,109.58475716736001,46.95713299,39.34828774,109.64310917664,46.949405,39.347334,4.444492046736,32.48465652408,0.21487530975576002,2.0470852894128,3.605839535,0.3782369436,0.0687368946,-0.07661380274,642.1393905573194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1127711876,-0.007152326909,1.006388327,-13.736995456761154,-0.9447191831946008,-132.9293767318925,14.895268047743036,-0.9447191831946008,-132.9293767318925,28.632263504504188,0.0,0.0,1.3259734802800374,-0.20992850453581788,-0.07028731603268834,0.1800592490139781,-0.0803026113772751,-0.07029323589992159,-1.1459142312660593,0.1296258930907519,-5.919869547642181e-06,0.55,0.55,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,0,0,True,0.005000000000009663,0.0070307,199.99999999961346,142.2333480307793,0.7111667401552709,1.0079529600055948,False,4.806783916382409e-10,2.8208226478597292e-08,5.161746397839444e-10,2.8217043237071834e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,4.661019174,3.611609230999999,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,859.1349627528,72.596645256,109.58475716736001,859.1349627528,72.596645256,109.58475716736001,854.8471366207255,78.2468467384607,858.4207569794462,-174.77011051703388,106.38476110870657,864.9878111333835,-7.064689596679701,864.9878111333835,False,0.7292228998301198,1.0494810829661105,-11.7199390746797,-15.3315483056797,32.43979569812483,31.868602433150713,27.14232018639124,-858.3512321897257,-10.925118376713456,0.027558885394251918,-0.4379350289891805,-4.9602748
14160,14155308428900,4.6186,True,udp,127.0.0.1:61343,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,105.0475,0.9346942172,8.26843392,184.1814441,-0.6663491428170818,0.3154668053439517,0.1986009939980804,2.3701476058303297,-0.891385861562959,-0.42834414557926,-32.34073109184,-2.546134248336,-2.6423331754704,32.44080281448,2.6423331754704,32.548235152320004,4.656514506,184.50152040484232,858.9732565992001,72.58391760048,109.59798932784,46.95713153,39.34828757,109.65631936104,46.949405,39.347334,4.444492046736,32.483081835840004,0.21464956332384003,2.0471763731016,3.606173896,0.3778577591,0.064268988,-0.07457743099,642.0767373232334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1127955706,-0.007145998573,1.006381879,-13.735094891800932,-0.9438833009676351,-132.9285249864176,14.898488720328462,-0.9438833009676351,-132.9285249864176,28.633583616577617,0.0,0.0,1.3226858959017227,-0.2105432288684647,-0.07045462772312815,0.1767527317226695,-0.08088694458963193,-0.0705111716496852,-1.1459331641790533,0.12965628427883275,-5.654392749257301e-05,0.55,0.55,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,0,0,True,0.0049999999999954525,0.0046186,200.0000000001819,216.51582730697615,1.0825791365338961,1.0086359876603692,False,-1.087258012198772e-08,5.623632662746325e-09,-1.7656676857447104e-09,1.2367531087934766e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,4.662260024,3.611919414,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,858.9732565992001,72.58391760048,109.59798932784,858.9732565992001,72.58391760048,109.59798932784,854.6854304671256,78.23411908294071,858.2585638614155,-174.76997264911475,106.39799326918656,864.8284774527082,-7.0668811686198385,864.8284774527082,False,0.7285069460428986,1.0485832508852582,-11.723395674619837,-15.335315088619838,32.438180540347894,31.866674162478283,27.13896257397983,-858.189188632034,-10.912330482096763,0.02753565708927119,-0.4381220357304292,-4.9556562
14161,14155312238600,3.8097,True,udp,127.0.0.1:61343,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,105.0525,0.9315344133,8.269987109,184.1824686,-0.6545896040500855,0.31099769369004054,0.1964564723293333,2.3265125897363874,-0.8971011522386878,-0.4296826462073395,-32.339077795680005,-2.5464865523304003,-2.6429219070336,32.43918225384,2.6429219070336,32.546667748800004,4.657779101,184.5023699293652,858.81155898,72.57118817712,109.6112244144,46.95713008,39.3482874,109.66953250200001,46.949405,39.347334,4.444492046736,32.48150778768,0.21442963320744,2.047254890496,3.606486143,0.377488779,0.05988635889,-0.07253327354,642.0140821739368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1128196316,-0.007139829081,1.006368826,-13.733235815403713,-0.9430684001123842,-132.92680085571953,14.901666863467025,-0.9430684001123842,-132.92680085571953,28.634902678870738,0.0,0.0,1.3194526983978423,-0.21109549758290339,-0.07061670477672577,0.1735006041530126,-0.08140875070505844,-0.07072421818434534,-1.1459520942448298,0.1296867468371704,-0.00010751340131499922,0.55,0.55,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,0,0,True,0.0049999999999954525,0.0038097,200.0000000001819,262.48785993647795,1.312439299681196,1.0109332826068653,False,-2.9797296567762238e-08,2.0237004919862325e-08,-6.393403192838648e-10,3.6025324522029903e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,4.663500966000001,3.6122080080000005,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,858.81155898,72.57118817712,109.6112244144,858.81155898,72.57118817712,109.6112244144,854.5237328479254,78.22138965958071,858.0963790860725,-174.76983489857164,106.41122835574656,864.6691536771781,-7.069073672629478,864.6691536771781,False,0.7277951720631677,1.0476965014283905,-11.726852773629478,-15.339060781629478,32.436565250795404,31.864745617382738,27.135605099746567,-858.0271524368147,-10.899609249855757,0.027512580127658417,-0.438309109084301,-4.9518465
14162,14155318300400,6.0618,True,udp,127.0.0.1:61343,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,105.0575,0.9284313564,8.271518125,184.1834817,-0.643046743024305,0.30650141243477996,0.1943053221691501,2.283593419090273,-0.9021441714798667,-0.4309903447389444,-32.33742456048,-2.5468364154864003,-2.6435099908968,32.43756160176,2.6435099908968,32.54510022336,4.659042694,184.50321521400033,858.6498692856001,72.55845698592,109.62446242704,46.95712862,39.34828724,109.68274859952,46.949405,39.347334,4.444492046736,32.47993434912,0.21421554028536002,2.0473210869600003,3.606776703,0.3771300414,0.05559008337,-0.07048162127,641.9514246306275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1128433772,-0.007133819493,1.006349302,-13.731417386855618,-0.9422746203030069,-132.9242220882025,14.904803362354826,-0.9422746203030069,-132.9242220882025,28.636220744762223,0.0,0.0,1.3162727918607482,-0.21158670852743872,-0.07077354086181142,0.17030177080410508,-0.08186942932086451,-0.07093233046362973,-1.145971021056643,0.12971727924724874,-0.00015878960222506365,0.55,0.55,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,0,0,True,0.005000000000009663,0.0060618,199.99999999961346,164.96750140222377,0.824837507012713,1.008704156890408,False,-9.751485028027288e-09,-2.2702090479193067e-08,-6.969542376855751e-10,2.4717647897539457e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,4.6647414220000005,3.612475431,-6.450000002656562,-5.099999999901978,1.1999999997747157,1.1999999997747157,11.700000000954747,11.700000000954747,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,858.6498692856001,72.55845698592,109.62446242704,858.6498692856001,72.55845698592,109.62446242704,854.3620431535255,78.2086584683807,857.9342020463401,-174.76969726176398,106.42446636838656,864.5098392052494,-7.071267114104782,864.5098392052494,False,0.7270875242356851,1.0468210382360326,-11.730309808104781,-15.342785239104781,32.43494980248527,31.862816810055747,27.132247734368995,-857.8651230124337,-10.886953648864264,0.027489652074731426,-0.4384962281881502,-4.9457847
