recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
20620527594200,fov,2504,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9956555
20620527894800,gimbal,2504,"{""imu_roll"":0.0,""imu_pitch"":20.028568267822266,""imu_yaw"":-1.9426623582839966,""frame_roll"":0.0,""frame_pitch"":20.028568267822266,""frame_yaw"":-1.9426623582839966,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9953549
20620539601400,attitude,984,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109470,""roll"":-0.059739306569099426,""pitch"":0.16904984414577484,""yaw"":-3.0106546878814697,""rollspeed"":-0.14015714824199677,""pitchspeed"":0.012187933549284935,""yawspeed"":-0.0441962294280529}",-4.9836483
20620552219100,fov,2505,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9710306
20620552528200,gimbal,2505,"{""imu_roll"":0.0,""imu_pitch"":20.047008514404297,""imu_yaw"":-1.9983803033828735,""frame_roll"":0.0,""frame_pitch"":20.047008514404297,""frame_yaw"":-1.9983803033828735,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9707215
20620559337000,target_offset,192,"{""x_angle_offset"":-0.3190843015909195,""y_angle_offset"":0.11406396494971381}",-4.9639127
20620582648200,fov,2506,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9406015
20620583025100,gimbal,2506,"{""imu_roll"":0.0,""imu_pitch"":20.07745361328125,""imu_yaw"":-2.0906121730804443,""frame_roll"":0.0,""frame_pitch"":20.07745361328125,""frame_yaw"":-2.0906121730804443,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9402246
20620584345500,range,1009,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94834518432617,""y"":39.348350524902344}",-4.9389042
20620587016600,target_offset,193,"{""x_angle_offset"":-0.19752837717533112,""y_angle_offset"":0.1064597006197329}",-4.9362331
20620589374600,attitude,985,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109510,""roll"":-0.06590219587087631,""pitch"":0.16936559975147247,""yaw"":-3.012985944747925,""rollspeed"":-0.12071714550256729,""pitchspeed"":0.012993560172617435,""yawspeed"":-0.048404205590486526}",-4.9338751
20620589646000,vfr,495,"{""message_type"":""VFR_HUD"",""airspeed"":29.955209732055664,""alt"":180.51998901367188}",-4.9336037
20620590056500,range,1010,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94834518432617,""y"":39.348350524902344}",-4.9331932
20620590125700,position,495,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543864,""lon"":393493967}",-4.933124
20620601968500,fov,2507,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9212812
20620602299800,gimbal,2507,"{""imu_roll"":0.0,""imu_pitch"":20.09795379638672,""imu_yaw"":-2.133291244506836,""frame_roll"":0.0,""frame_pitch"":20.09795379638672,""frame_yaw"":-2.133291244506836,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9209499
20620631860600,fov,2508,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8913891
20620633416200,target_offset,194,"{""x_angle_offset"":-0.15194490551948547,""y_angle_offset"":0.1064597006197329}",-4.8898335
20620636460100,gimbal,2508,"{""imu_roll"":0.0,""imu_pitch"":20.118101119995117,""imu_yaw"":-2.159104108810425,""frame_roll"":0.0,""frame_pitch"":20.118101119995117,""frame_yaw"":-2.159104108810425,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8867896
20620647975200,attitude,986,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109570,""roll"":-0.07379069924354553,""pitch"":0.16984596848487854,""yaw"":-3.0167763233184814,""rollspeed"":-0.09294310212135315,""pitchspeed"":0.013840221799910069,""yawspeed"":-0.05419766157865524}",-4.8752745
20620661465000,fov,2509,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8617847
20620661775100,gimbal,2509,"{""imu_roll"":0.0,""imu_pitch"":20.140106201171875,""imu_yaw"":-2.1962015628814697,""frame_roll"":0.0,""frame_pitch"":20.140106201171875,""frame_yaw"":-2.1962015628814697,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8614746
20620667401800,target_offset,195,"{""x_angle_offset"":-0.030388981103897095,""y_angle_offset"":0.1064597006197329}",-4.8558479
20620685475800,fov,2510,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8377739
20620685772600,gimbal,2510,"{""imu_roll"":0.0,""imu_pitch"":20.162614822387695,""imu_yaw"":-2.2015631198883057,""frame_roll"":0.0,""frame_pitch"":20.162614822387695,""frame_yaw"":-2.2015631198883057,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8374771
20620692033600,position,496,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543286,""lon"":393493894}",-4.8312161
20620692169000,attitude,987,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109610,""roll"":-0.07877995818853378,""pitch"":0.17007409036159515,""yaw"":-3.019587755203247,""rollspeed"":-0.07723018527030945,""pitchspeed"":0.013883084990084171,""yawspeed"":-0.05782900005578995}",-4.8310807
20620692380900,vfr,496,"{""message_type"":""VFR_HUD"",""airspeed"":29.92049217224121,""alt"":180.7899932861328}",-4.8308688
20620710034300,fov,2511,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8132154
20620710613500,gimbal,2511,"{""imu_roll"":0.0,""imu_pitch"":20.18171501159668,""imu_yaw"":-2.1825690269470215,""frame_roll"":0.0,""frame_pitch"":20.18171501159668,""frame_yaw"":-2.1825690269470215,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8126362
20620715818300,target_offset,196,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":0.11406396494971381}",-4.8074314
20620740235500,fov,2512,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7830142
20620740583700,range,1011,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948299407958984,""y"":39.348392486572266}",-4.782666
20620740899400,gimbal,2512,"{""imu_roll"":0.0,""imu_pitch"":20.210094451904297,""imu_yaw"":-2.1741886138916016,""frame_roll"":0.0,""frame_pitch"":20.210094451904297,""frame_yaw"":-2.1741886138916016,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7823503
20620743043000,target_offset,197,"{""x_angle_offset"":0.09876418858766556,""y_angle_offset"":0.1520852865996184}",-4.7802067
20620758635300,range,1012,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948299407958984,""y"":39.348392486572266}",-4.7646144
20620758762900,attitude,988,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109670,""roll"":-0.08541244268417358,""pitch"":0.17034706473350525,""yaw"":-3.0240495204925537,""rollspeed"":-0.061569344252347946,""pitchspeed"":0.013163470663130283,""yawspeed"":-0.0631076768040657}",-4.7644868
20620761821700,fov,2513,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.761428
20620762774400,gimbal,2513,"{""imu_roll"":0.0,""imu_pitch"":20.24165916442871,""imu_yaw"":-2.149054527282715,""frame_roll"":0.0,""frame_pitch"":20.24165916442871,""frame_yaw"":-2.149054527282715,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7604753
20620786397000,fov,2514,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7368527
20620787173300,gimbal,2514,"{""imu_roll"":0.0,""imu_pitch"":20.269298553466797,""imu_yaw"":-2.1052286624908447,""frame_roll"":0.0,""frame_pitch"":20.269298553466797,""frame_yaw"":-2.1052286624908447,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7360764
20620792098500,target_offset,198,"{""x_angle_offset"":0.13675041496753693,""y_angle_offset"":0.1520852865996184}",-4.7311512
20620798992100,vfr,497,"{""message_type"":""VFR_HUD"",""airspeed"":29.896167755126953,""alt"":181.0699920654297}",-4.7242576
20620799073200,position,497,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543286,""lon"":393493894}",-4.7241765
20620799133600,attitude,989,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109710,""roll"":-0.0895145833492279,""pitch"":0.17044205963611603,""yaw"":-3.027186155319214,""rollspeed"":-0.05599329620599747,""pitchspeed"":0.01165851391851902,""yawspeed"":-0.06654976308345795}",-4.7241161
20620812338700,fov,2515,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.710911
20620812621000,gimbal,2515,"{""imu_roll"":0.0,""imu_pitch"":20.30438995361328,""imu_yaw"":-2.06857967376709,""frame_roll"":0.0,""frame_pitch"":20.30438995361328,""frame_yaw"":-2.06857967376709,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7106287
20620839598800,fov,2516,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6836509
20620841413200,gimbal,2516,"{""imu_roll"":0.0,""imu_pitch"":20.33268165588379,""imu_yaw"":-2.008162021636963,""frame_roll"":0.0,""frame_pitch"":20.33268165588379,""frame_yaw"":-2.008162021636963,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6818365
20620843089200,target_offset,199,"{""x_angle_offset"":0.1747366413474083,""y_angle_offset"":0.15968955092959933}",-4.6801605
20620854795500,attitude,990,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109770,""roll"":-0.09558489918708801,""pitch"":0.17041048407554626,""yaw"":-3.032106876373291,""rollspeed"":-0.055569447576999664,""pitchspeed"":0.009168434888124466,""yawspeed"":-0.0717703253030777}",-4.6684542
20620865645900,fov,2517,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6576038
20620868097200,gimbal,2517,"{""imu_roll"":0.0,""imu_pitch"":20.373451232910156,""imu_yaw"":-1.956602931022644,""frame_roll"":0.0,""frame_pitch"":20.373451232910156,""frame_yaw"":-1.956602931022644,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6551525
20620870958500,target_offset,200,"{""x_angle_offset"":0.18233388662338257,""y_angle_offset"":0.16729381525958026}",-4.6522912
20620892601400,fov,2518,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6306483
20620892832300,gimbal,2518,"{""imu_roll"":0.0,""imu_pitch"":20.411861419677734,""imu_yaw"":-1.905361533164978,""frame_roll"":0.0,""frame_pitch"":20.411861419677734,""frame_yaw"":-1.905361533164978,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6304174
20620896225000,attitude,991,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109810,""roll"":-0.09991087764501572,""pitch"":0.17032241821289062,""yaw"":-3.0355496406555176,""rollspeed"":-0.05962905287742615,""pitchspeed"":0.008317946456372738,""yawspeed"":-0.07514477521181107}",-4.6270247
20620896554800,vfr,498,"{""message_type"":""VFR_HUD"",""airspeed"":29.879127502441406,""alt"":181.33999633789062}",-4.6266949
20620896672700,position,498,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542707,""lon"":393493849}",-4.626577
20620910228100,range,1013,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94823455810547,""y"":39.348411560058594}",-4.6130216
20620917233000,fov,2519,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6060167
20620917641700,gimbal,2519,"{""imu_roll"":0.0,""imu_pitch"":20.440095901489258,""imu_yaw"":-1.8345626592636108,""frame_roll"":0.0,""frame_pitch"":20.440095901489258,""frame_yaw"":-1.8345626592636108,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.605608
20620922973600,target_offset,201,"{""x_angle_offset"":0.2279173582792282,""y_angle_offset"":0.16729381525958026}",-4.6002761
20620925255400,range,1014,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94823455810547,""y"":39.348411560058594}",-4.5979943
20620942945700,fov,2520,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.580304
20620943533600,gimbal,2520,"{""imu_roll"":0.0,""imu_pitch"":20.47747230529785,""imu_yaw"":-1.77644681930542,""frame_roll"":0.0,""frame_pitch"":20.47747230529785,""frame_yaw"":-1.77644681930542,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5797161
20620951071400,target_offset,202,"{""x_angle_offset"":0.2279173582792282,""y_angle_offset"":0.16729381525958026}",-4.5721783
20620966763800,attitude,992,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109870,""roll"":-0.10699351876974106,""pitch"":0.17015588283538818,""yaw"":-3.040947437286377,""rollspeed"":-0.06783638149499893,""pitchspeed"":0.008372989483177662,""yawspeed"":-0.07999210804700851}",-4.5564859
20620970476000,fov,2521,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5527737
20620971156600,gimbal,2521,"{""imu_roll"":0.0,""imu_pitch"":20.519147872924805,""imu_yaw"":-1.712296962738037,""frame_roll"":0.0,""frame_pitch"":20.519147872924805,""frame_yaw"":-1.712296962738037,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5520931
20620996332200,fov,2522,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5269175
20620998376900,gimbal,2522,"{""imu_roll"":0.0,""imu_pitch"":20.550418853759766,""imu_yaw"":-1.6320884227752686,""frame_roll"":0.0,""frame_pitch"":20.550418853759766,""frame_yaw"":-1.6320884227752686,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5248728
20621001081400,target_offset,203,"{""x_angle_offset"":0.2659035846590996,""y_angle_offset"":0.16729381525958026}",-4.5221683
20621010354100,vfr,499,"{""message_type"":""VFR_HUD"",""airspeed"":29.8671932220459,""alt"":181.6199951171875}",-4.5128956
20621010574200,position,499,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542707,""lon"":393493849}",-4.5126755
20621010696400,attitude,993,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109910,""roll"":-0.11204339563846588,""pitch"":0.1700294017791748,""yaw"":-3.044660806655884,""rollspeed"":-0.07441134750843048,""pitchspeed"":0.008928236551582813,""yawspeed"":-0.08304426819086075}",-4.5125533
20621028644100,fov,2523,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.4946056
20621028861500,gimbal,2523,"{""imu_roll"":0.0,""imu_pitch"":20.59246826171875,""imu_yaw"":-1.5553473234176636,""frame_roll"":0.0,""frame_pitch"":20.59246826171875,""frame_yaw"":-1.5553473234176636,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.4943882
20621031036100,target_offset,204,"{""x_angle_offset"":0.2279173582792282,""y_angle_offset"":0.12927249360967566}",-4.4922136
20621049482000,fov,2524,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.4737677
20621049762400,gimbal,2524,"{""imu_roll"":0.0,""imu_pitch"":20.623048782348633,""imu_yaw"":-1.4986166954040527,""frame_roll"":0.0,""frame_pitch"":20.623048782348633,""frame_yaw"":-1.4986166954040527,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.4734873
20621066200300,range,1015,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94823455810547,""y"":39.348384857177734}",-4.4570494
20621069055300,range,1016,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94823455810547,""y"":39.348384857177734}",-4.4541944
20621069250500,attitude,994,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109970,""roll"":-0.12006263434886932,""pitch"":0.16984976828098297,""yaw"":-3.050401449203491,""rollspeed"":-0.08193831145763397,""pitchspeed"":0.010293311439454556,""yawspeed"":-0.0870065912604332}",-4.4539992
20621075366800,fov,2525,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.4478829
20621075681000,gimbal,2525,"{""imu_roll"":0.0,""imu_pitch"":20.6479549407959,""imu_yaw"":-1.4205440282821655,""frame_roll"":0.0,""frame_pitch"":20.6479549407959,""frame_yaw"":-1.4205440282821655,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.4475687
20621084016500,target_offset,205,"{""x_angle_offset"":0.23551460355520248,""y_angle_offset"":0.12927249360967566}",-4.4392332
20621107312500,target_offset,206,"{""x_angle_offset"":0.23551460355520248,""y_angle_offset"":0.12166822927969473}",-4.4159372
20621110382900,fov,2526,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.4128668
20621110535500,gimbal,2526,"{""imu_roll"":0.0,""imu_pitch"":20.686153411865234,""imu_yaw"":-1.3363962173461914,""frame_roll"":0.0,""frame_pitch"":20.686153411865234,""frame_yaw"":-1.3363962173461914,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.4127142
20621117809200,vfr,500,"{""message_type"":""VFR_HUD"",""airspeed"":29.858837127685547,""alt"":181.89999389648438}",-4.4054405
20621117929600,position,500,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542124,""lon"":393493830}",-4.4053201
20621118033000,attitude,995,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110010,""roll"":-0.12558209896087646,""pitch"":0.16972605884075165,""yaw"":-3.0542995929718018,""rollspeed"":-0.08432665467262268,""pitchspeed"":0.010739026591181755,""yawspeed"":-0.0891152173280716}",-4.4052167
