recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
21228309397800,target_offset,209,"{""x_angle_offset"":-0.4254457354545593,""y_angle_offset"":0.015208528659961841}",-4.9996817
21228326647900,fov,2470,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9824316
21228326978800,gimbal,2470,"{""imu_roll"":0.0,""imu_pitch"":19.74860191345215,""imu_yaw"":-3.9734129905700684,""frame_roll"":0.0,""frame_pitch"":19.74860191345215,""frame_yaw"":-3.9734129905700684,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9821007
21228346676600,position,486,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545819,""lon"":393493811}",-4.9624029
21228346928400,attitude,970,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110510,""roll"":-0.0793207585811615,""pitch"":0.17314104735851288,""yaw"":-2.95352840423584,""rollspeed"":-0.2499317228794098,""pitchspeed"":0.00860041193664074,""yawspeed"":-0.06993666291236877}",-4.9621511
21228347417200,vfr,486,"{""message_type"":""VFR_HUD"",""airspeed"":30.104719161987305,""alt"":178.14999389648438}",-4.9616623
21228360046700,target_offset,210,"{""x_angle_offset"":-0.38745950907468796,""y_angle_offset"":0.0076042643299809205}",-4.9490328
21228362640200,fov,2471,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9464393
21228362994900,gimbal,2471,"{""imu_roll"":0.0,""imu_pitch"":19.75006103515625,""imu_yaw"":-4.01453161239624,""frame_roll"":0.0,""frame_pitch"":19.75006103515625,""frame_yaw"":-4.01453161239624,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9460846
21228381126700,range,1005,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947776794433594,""y"":39.347896575927734}",-4.9279528
21228386925200,fov,2472,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9221543
21228387303600,gimbal,2472,"{""imu_roll"":0.0,""imu_pitch"":19.750938415527344,""imu_yaw"":-4.07603645324707,""frame_roll"":0.0,""frame_pitch"":19.750938415527344,""frame_yaw"":-4.07603645324707,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9217759
21228391483000,target_offset,211,"{""x_angle_offset"":-0.3418760374188423,""y_angle_offset"":0.0076042643299809205}",-4.9175965
21228395490300,range,1006,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947776794433594,""y"":39.347896575927734}",-4.9135892
21228408287900,fov,2473,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9007916
21228408561400,gimbal,2473,"{""imu_roll"":0.0,""imu_pitch"":19.75156021118164,""imu_yaw"":-4.13124942779541,""frame_roll"":0.0,""frame_pitch"":19.75156021118164,""frame_yaw"":-4.13124942779541,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9005181
21228414264900,attitude,971,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110570,""roll"":-0.09624717384576797,""pitch"":0.1732158213853836,""yaw"":-2.958916664123535,""rollspeed"":-0.2331673502922058,""pitchspeed"":0.009130696766078472,""yawspeed"":-0.08458032459020615}",-4.8948146
21228439678100,fov,2474,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8694014
21228440136100,gimbal,2474,"{""imu_roll"":0.0,""imu_pitch"":19.752073287963867,""imu_yaw"":-4.133840560913086,""frame_roll"":0.0,""frame_pitch"":19.752073287963867,""frame_yaw"":-4.133840560913086,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8689434
21228441962900,target_offset,212,"{""x_angle_offset"":-0.30388981103897095,""y_angle_offset"":0.0076042643299809205}",-4.8671166
21228451894800,position,487,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545819,""lon"":393493811}",-4.8571847
21228452027800,attitude,972,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110610,""roll"":-0.10688205808401108,""pitch"":0.17319409549236298,""yaw"":-2.9629313945770264,""rollspeed"":-0.21713359653949738,""pitchspeed"":0.009523098357021809,""yawspeed"":-0.09354900568723679}",-4.8570517
21228452304600,vfr,487,"{""message_type"":""VFR_HUD"",""airspeed"":30.054384231567383,""alt"":178.44000244140625}",-4.8567749
21228463591900,fov,2475,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8454876
21228466493500,gimbal,2475,"{""imu_roll"":0.0,""imu_pitch"":19.75242042541504,""imu_yaw"":-4.17840576171875,""frame_roll"":0.0,""frame_pitch"":19.75242042541504,""frame_yaw"":-4.17840576171875,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.842586
21228471277900,target_offset,213,"{""x_angle_offset"":-0.27350082993507385,""y_angle_offset"":0.0076042643299809205}",-4.8378016
21228489172500,fov,2476,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.819907
21228489437500,gimbal,2476,"{""imu_roll"":0.0,""imu_pitch"":19.7526798248291,""imu_yaw"":-4.204730033874512,""frame_roll"":0.0,""frame_pitch"":19.7526798248291,""frame_yaw"":-4.204730033874512,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.819642
21228517053700,fov,2477,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7920258
21228517371000,gimbal,2477,"{""imu_roll"":0.0,""imu_pitch"":19.75286865234375,""imu_yaw"":-4.184878349304199,""frame_roll"":0.0,""frame_pitch"":19.75286865234375,""frame_yaw"":-4.184878349304199,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7917085
21228519012500,attitude,973,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110670,""roll"":-0.12154314666986465,""pitch"":0.17304813861846924,""yaw"":-2.969562530517578,""rollspeed"":-0.18864619731903076,""pitchspeed"":0.010191681794822216,""yawspeed"":-0.105797678232193}",-4.790067
21228522487800,target_offset,214,"{""x_angle_offset"":-0.24311184883117676,""y_angle_offset"":0.0076042643299809205}",-4.7865917
21228535227100,range,1007,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947776794433594,""y"":39.347930908203125}",-4.7738524
21228539353600,range,1008,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947776794433594,""y"":39.347930908203125}",-4.7697259
21228546078000,fov,2478,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7630015
21228546313600,gimbal,2478,"{""imu_roll"":0.0,""imu_pitch"":19.7530460357666,""imu_yaw"":-4.208240032196045,""frame_roll"":0.0,""frame_pitch"":19.7530460357666,""frame_yaw"":-4.208240032196045,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7627659
21228547866000,target_offset,215,"{""x_angle_offset"":-0.21272286772727966,""y_angle_offset"":0.015208528659961841}",-4.7612135
21228560710400,position,488,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545241,""lon"":393493721}",-4.7483691
21228560803500,attitude,974,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110710,""roll"":-0.1315740942955017,""pitch"":0.17276626825332642,""yaw"":-2.9745516777038574,""rollspeed"":-0.16793611645698547,""pitchspeed"":0.010600450448691845,""yawspeed"":-0.11308781057596207}",-4.748276
21228560974700,vfr,488,"{""message_type"":""VFR_HUD"",""airspeed"":30.019100189208984,""alt"":178.72000122070312}",-4.7481048
21228568665100,fov,2479,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7404144
21228568922300,gimbal,2479,"{""imu_roll"":0.0,""imu_pitch"":19.753131866455078,""imu_yaw"":-4.216867923736572,""frame_roll"":0.0,""frame_pitch"":19.753131866455078,""frame_yaw"":-4.216867923736572,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7401572
