recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
21531032175700,fov,2462,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9952646
21531032716700,gimbal,2462,"{""imu_roll"":0.0,""imu_pitch"":20.513029098510742,""imu_yaw"":-3.3794384002685547,""frame_roll"":0.0,""frame_pitch"":20.513029098510742,""frame_yaw"":-3.3794384002685547,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9947236
21531034535000,target_offset,202,"{""x_angle_offset"":-1.1851702630519867,""y_angle_offset"":0.15968955092959933}",-4.9929053
21531036501000,vfr,487,"{""message_type"":""VFR_HUD"",""airspeed"":30.12265396118164,""alt"":179.84999084472656}",-4.9909393
21531037355100,position,487,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545265,""lon"":393494735}",-4.9900852
21531037489500,attitude,973,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110810,""roll"":0.04423626884818077,""pitch"":0.17039883136749268,""yaw"":-2.8909313678741455,""rollspeed"":-0.30270126461982727,""pitchspeed"":0.034559208899736404,""yawspeed"":0.06266659498214722}",-4.9899508
21531055697200,fov,2463,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9717431
21531056007600,gimbal,2463,"{""imu_roll"":0.0,""imu_pitch"":20.547565460205078,""imu_yaw"":-3.6840217113494873,""frame_roll"":0.0,""frame_pitch"":20.547565460205078,""frame_yaw"":-3.6840217113494873,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9714327
21531086352900,fov,2464,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9410874
21531087908100,gimbal,2464,"{""imu_roll"":0.0,""imu_pitch"":20.5775146484375,""imu_yaw"":-3.9681835174560547,""frame_roll"":0.0,""frame_pitch"":20.5775146484375,""frame_yaw"":-3.9681835174560547,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9395322
21531090299300,target_offset,203,"{""x_angle_offset"":-1.1167950555682182,""y_angle_offset"":0.16729381525958026}",-4.937141
21531100580000,attitude,974,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110870,""roll"":0.0305795781314373,""pitch"":0.1723986119031906,""yaw"":-2.8872134685516357,""rollspeed"":-0.28809982538223267,""pitchspeed"":0.02796269580721855,""yawspeed"":0.03912820667028427}",-4.9268603
21531115396900,target_offset,204,"{""x_angle_offset"":-0.9952391311526299,""y_angle_offset"":0.15968955092959933}",-4.9120434
21531119048000,fov,2465,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9083923
