truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15860,22155172367900,3.1209,True,udp,127.0.0.1:55239,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.51,-1.425388904,6.544682732,186.6036207,-0.5629520642464957,0.6725478207958286,-1.4722042136542086,1.8216909969090063,0.3066783252434361,-0.5041990300652218,-38.66436094392,-3.716043245064,-1.2745143801,38.84252547456,1.2745143801,30.914994070320002,1.879334666,185.48985226144129,523.8797637192,37.58896018896,113.51309616360001,46.95411734,39.3478278,113.53475022239999,46.949405,39.347334,4.444492046736,30.83224641768,0.1088895291852,2.2577826703032002,4.188177889,0.2018089778,0.0006968442191,1.274603215,579.0396079390468,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354389516,-0.003815126718,1.037333628,-11.706997527374565,-0.5055281468477593,-137.01369431881673,17.88839454316699,-0.5055281468477593,-137.01369431881673,29.595392074989775,0.0,0.0,1.2855269590896101,-0.1263015211955799,-0.08665694449292168,0.13447673092659512,0.026411092135202725,-0.08293513814387045,-1.1510502282850386,0.15271261331722444,0.0037218063585419594,0.541111,0.541111,-7.800000002546357,-6.450000002656562,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0031209,199.99999999961346,320.4203915537185,1.6021019577716888,0.9693774415859073,False,-7.999996005823426,2.9240238934337415e-05,-5.668769897937409e-10,7.999996005876862,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.946916657137097,-0.9200279703288227,2.3565048429999997,4.665348066,-7.800000002546357,-6.450000002656562,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,523.8797637192,37.58896018896,113.51309616360001,523.8797637192,37.58896018896,113.51309616360001,519.5919375871255,43.2391616714207,521.3879617977294,-175.24294721577024,110.31310010494657,532.9300017472788,-11.946227504641948,532.9300017472788,False,-0.7327994772115289,-1.8465679157702652,-13.825562170641948,-18.490910236641948,38.83934861719486,37.734361200797615,14.123201898433459,-521.3453185641856,6.668247055889495,-0.05459083965576773,-0.9983899964984899,-5.0000789
15861,22155175993500,3.6256,True,udp,127.0.0.1:55239,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.515,-1.429028654,6.547861259,186.5961241,-0.5475454163207395,0.6713115955978985,-1.4745833194849598,3.277391937059326,-0.3459974879295508,-0.4648199383428633,-38.6653157604,-3.7147116744480004,-1.2768037591128,38.84334855648,1.2768037591128,30.915875612880004,1.882668176,185.48776239788353,523.6864397472001,37.5703845492,113.51949047136,46.9541156,39.34782755,113.54112849767999,46.949405,39.347334,4.444492046736,30.8331510336,0.11136611501688,2.2573790151288002,4.187309358,0.20639306,-0.02288786246,1.278226975,579.0722752033414,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354290417,-0.003797680257,1.038610002,-11.700981636808324,-0.503230917952506,-137.18146558040428,17.887091036304856,-0.503230917952506,-137.18146558040428,29.58807267311318,0.0,0.0,1.394061400802002,-0.1856182865866324,-0.08033659644554976,0.24296246367251545,-0.032913617359279904,-0.07662792627764542,-1.151098937671814,0.15270466917311978,0.0037086701692601557,0.541111,0.541111,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0036256,200.0000000001819,275.8164165931156,1.3790820829643238,0.972326904734289,False,-7.99999597688823,2.920786626504218e-05,1.2715161146203968e-09,7.999995976941549,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.947036965898469,-0.918988185078384,2.360551901,4.665193083,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,523.6864397472001,37.5703845492,113.51949047136,523.6864397472001,37.5703845492,113.51949047136,519.3986136151256,43.2205860316607,521.1937632802552,-175.2432197505475,110.31949441270656,532.7413347298198,-11.951223549040687,532.7413347298198,False,-0.7309821484310532,-1.8393438505474933,-13.833891725040687,-18.49908480804069,38.84018735958272,37.733897786392916,14.118375412622484,-521.1513470945551,6.649233321611803,-0.05447690755128779,-0.9993570019193148,-4.9964533
15862,22155182650800,6.6573,True,udp,127.0.0.1:55239,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.52,-1.432588849,6.551030748,186.5886158,-0.5313891796864315,0.6696309791774447,-1.4768851831564755,3.1671519598285856,-0.32229630899570094,-0.45414001713103425,-38.6662655172,-3.713373026376,-1.279089795384,38.84416596912,1.279089795384,30.916751333760004,1.885996882,185.48566296593063,523.4931112032001,37.55181558456,113.52589620912,46.95411386,39.34782731,113.54751823344002,46.949405,39.347334,4.444492046736,30.8340497364,0.11384605562976001,2.2569734043576,4.186438057,0.2109831389,-0.02125198411,1.28030638,579.1047250912602,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353602147,-0.003870944431,1.038432275,-11.703231462785112,-0.5129097237419844,-137.15803172618408,17.878046298262127,-0.5129097237419844,-137.15803172618408,29.58127776104724,0.0,0.0,1.3858913814946057,-0.18341727152425327,-0.07855343046924694,0.23474839560254115,-0.030718925330159137,-0.07486287381220144,-1.1511429852141557,0.15269834618053593,0.003690556650266412,0.541111,0.541111,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0066573,200.0000000001819,150.21104652036112,0.7510552326011225,0.9694194722293351,False,-7.999996000827331,2.9222961205249698e-05,-6.631788451727516e-10,7.999996000880706,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.947157326061072,-0.9179467612581039,2.3645926909999995,4.665033866,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,523.4931112032001,37.55181558456,113.52589620912,523.4931112032001,37.55181558456,113.52589620912,519.2052850711256,43.202017067020705,520.9995607718378,-175.24349171524912,110.32590015046657,532.5526702293948,-11.956224425284631,532.5526702293948,False,-0.7291546811797502,-1.832107515249163,-13.842221307284632,-18.50725517328463,38.84102049025992,37.73342808261669,14.113551227399215,-520.9573721284885,6.630139472696122,-0.05436211980024489,-1.0003245521187027,-4.989796
15863,22155188783300,6.1325,True,udp,127.0.0.1:55239,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.525,-1.436071132,6.554191339,186.581096,-0.5157799805803776,0.6680683628419404,-1.4791335743958456,3.058891371298317,-0.29884519777801477,-0.44342539129259634,-38.66721082392,-3.712027215504,-1.2813667336799999,38.8449782916,1.2813667336799999,30.917621659679998,1.889312277,185.48355367910364,523.2997780872,37.53325332552,113.5323133464,46.95411212,39.34782706,113.55391936872,46.949405,39.347334,4.444492046736,30.834942526080003,0.11632882292736,2.2565716822248,4.185574795,0.2155782353,-0.01952520547,1.282286432,579.136972924486,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1352952187,-0.003944282,1.038256469,-11.705462454991581,-0.5225981043284896,-137.13485395608225,17.869504347156788,-0.5225981043284896,-137.13485395608225,29.574966806596592,0.0,0.0,1.3778643725085815,-0.18124189064065963,-0.07676619623916654,0.2266816334919446,-0.028548173724251922,-0.07309247330930209,-1.151182739016637,0.15269371687573316,0.0036737229271528193,0.541111,0.541111,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0061325,199.99999999961346,163.06563391765187,0.815328169589835,0.9675524415339407,False,-7.999996002849325,2.924285063660159e-05,3.2322455822964e-10,7.999996002902772,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.9472777337842535,-0.9169037265533608,2.368616544,4.664879062,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,523.2997780872,37.53325332552,113.5323133464,523.2997780872,37.53325332552,113.5323133464,519.0119519551255,43.183454807980695,520.8053542749176,-175.24376310590196,110.33231728774656,532.3640082495307,-11.961230135214302,532.3640082495307,False,-0.7273167850055984,-1.8248591059019645,-13.850542412214303,-18.515421474214303,38.84184860974275,37.73295386913518,14.108728675095698,-520.7633936837236,6.610963653928991,-0.054246460217254294,-1.0012920550644364,-4.9836635
15864,22155193057600,4.2743,True,udp,127.0.0.1:55239,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.53,-1.439478189,6.557343635,186.5735649,-0.5007079982194896,0.6666224711873333,-1.4813283224616463,2.9525746755871953,-0.2756554984970613,-0.4326773820109293,-38.66815183296,-3.7106743210800004,-1.283634692568,38.84578573728,1.283634692568,30.91848671256,1.892614529,185.48143476658566,523.1064400944,37.51469783304,113.53874185272001,46.95411038,39.34782682,113.56033187304,46.949405,39.347334,4.444492046736,30.83582952456,0.11881422589152,2.256174067272,4.184719953,0.220177996,-0.01771038018,1.284167179,579.1690239698474,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1352337699,-0.004017687524,1.038082696,-11.707674128571574,-0.5322953408794087,-137.1119472161234,17.861427964718594,-0.5322953408794087,-137.1119472161234,29.569102093290166,0.0,0.0,1.369978073020871,-0.1790929783062169,-0.07497509040314378,0.21875953498712628,-0.026402377032338106,-0.07131693330730599,-1.15121853844049,0.15269060134166967,0.0036581570931261543,0.541111,0.541111,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0042743,200.0000000001819,233.9564373113726,1.1697821865557991,0.9692665693392779,False,-7.999996006408661,2.9235510620367888e-05,-2.579292335269656e-10,7.99999600646208,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.947398185240934,-0.915859108651279,2.3726236819999995,4.664729105999999,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,523.1064400944,37.51469783304,113.53874185272001,523.1064400944,37.51469783304,113.53874185272001,518.8186139623255,43.164899315500705,520.6111434907111,-175.2440339124028,110.33874579406657,532.1753484990764,-11.96624068739678,532.1753484990764,False,-0.7254686789884772,-1.8175988124028208,-13.85885521639678,-18.52358432239678,38.84267187662282,37.73247527628055,14.1039076976117,-520.569411441949,6.591706735640358,-0.05412993439162065,-1.0022595277696817,-4.9793892
15865,22155196719200,3.6616,True,udp,127.0.0.1:55239,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.535,-1.442812654,6.560488231,186.5660228,-0.4861635872603577,0.6652919738056235,-1.4834692629149906,2.8481673479773604,-0.2527379898067698,-0.42189730812028603,-38.66908869672,-3.7093144254,-1.2858937936632,38.84658845856001,1.2858937936632,30.91934670576,1.895903812,185.479306171081,522.9130972248,37.496149107120004,113.54518163664,46.95410864,39.34782658,113.56675571592001,46.949405,39.347334,4.444492046736,30.83671091472,0.12130207304688001,2.2557807695064,4.183873899,0.2247820669,-0.01581038212,1.285948675,579.2008849305809,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1351756071,-0.004091155543,1.037911065,-11.70986600311716,-0.5420007118931957,-137.0893257406168,17.853782868503547,-0.5420007118931957,-137.0893257406168,29.563648871620707,0.0,0.0,1.362230226950408,-0.1769713318774605,-0.07318030875484859,0.21097953054191054,-0.0242824984817209,-0.06953646227678088,-1.1512506964084976,0.15268883335506506,0.003643846472644419,0.541111,0.541111,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0036616,200.0000000001819,273.1046537032991,1.3655232685152536,0.9721473399394244,False,-7.999995981844497,2.922340206425178e-05,1.5134137276717752e-09,7.999995981897872,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.94751867502102,-0.9148129491117525,2.376614332,4.664584419,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,522.9130972248,37.496149107120004,113.54518163664,522.9130972248,37.496149107120004,113.54518163664,518.6252710927255,43.146350589580706,520.4169284191302,-175.2443041341043,110.34518557798656,531.9866909664586,-11.971256077326892,531.9866909664586,False,-0.7236103051852751,-1.810326934104296,-13.867159889326892,-18.531744308326893,38.843490449660926,37.73199243599234,14.099088243720717,-520.3754253820006,6.57236971753273,-0.054012548930185166,-1.003226986149085,-4.9757276
15866,22155199972900,3.2537,True,udp,127.0.0.1:55239,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.54,-1.446077118,6.563625716,186.55847,-0.47213727281451495,0.6640754875766934,-1.4855562387654428,2.7456357890777903,-0.2301028990037834,-0.41108648622038396,-38.6700215676,-3.707947604664,-1.2881441634576003,38.847386577360005,1.2881441634576003,30.9202017612,1.899180307,185.47716812177265,522.7197497832,37.47760720872,113.55163272864,46.95410691,39.34782633,113.57319080591999,46.949405,39.347334,4.444492046736,30.837586788000003,0.12379217249136,2.2553919897912,4.183036983,0.2293900934,-0.0138281007,1.287630979,579.2325610735144,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1351204897,-0.004164680583,1.037741679,-11.712037616013287,-0.5517134931993714,-137.06700309663827,17.846537511723955,-0.5517134931993714,-137.06700309663827,29.558575127737242,0.0,0.0,1.3546186206532287,-0.17487771129035048,-0.07138204624734373,0.2033391193500917,-0.022189451324253942,-0.06775126859338726,-1.1512795014387187,0.1526882599796547,0.0036307776539564684,0.541111,0.541111,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0032537,199.99999999961346,307.3424101791806,1.5367120508988732,0.9757974357063284,False,-7.999995990464709,2.922211265442287e-05,4.349473003983917e-10,7.999995990518079,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.947639197735415,-0.9137652894972415,2.3805887329999997,4.664445409,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,522.7197497832,37.47760720872,113.55163272864,522.7197497832,37.47760720872,113.55163272864,518.4319236511254,43.127808691180704,520.2227093688908,-175.24457376645037,110.35163666998656,531.7980359674659,-11.976276306439413,531.7980359674659,False,-0.7217418882230504,-1.8030437664504007,-13.875456613439413,-18.539902022439414,38.844304487144065,37.73150547772119,14.094270271867881,-520.1814357930596,6.552953485305245,-0.05389430945702903,-1.0041944464514037,-4.9724739
15867,22155207745200,7.7723,True,udp,127.0.0.1:55239,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.545,-1.44927412,6.566756673,186.5509067,-0.4586197460939597,0.6629715795330974,-1.487589098179187,2.6449472841442976,-0.2077599162368122,-0.40024623079099664,-38.67095056752,-3.706573928976,-1.2903859311864,38.84818024608,1.2903859311864,30.921052000800003,1.9024442,185.47502056136497,522.5263977696001,37.45907213784,113.55809503728001,46.95410517,39.34782609,113.57963714304,46.949405,39.347334,4.444492046736,30.8384572968,0.12628433189616,2.2550079210648004,4.182209545,0.2340017199,-0.01176643642,1.28921416,579.2640581442795,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1350681961,-0.00423825715,1.037574639,-11.714188522437796,-0.5614329597378127,-137.0449922285128,17.83966282969979,-0.5614329597378127,-137.0449922285128,29.55385135213758,0.0,0.0,1.3471410859052697,-0.17281284000934405,-0.06958049697952672,0.19583586663379807,-0.020124100097251983,-0.06596156045652926,-1.1513052192714717,0.15268873993920842,0.003618936531132367,0.541111,0.541111,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0077723,200.0000000001819,128.66204341057343,0.6433102170522821,0.9707081655560172,False,-7.999995997011577,2.9203852555670373e-05,4.707013667726301e-10,7.999995997064881,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.947759749609092,-0.9127161575013535,2.3845471280000003,4.664312473000001,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,522.5263977696001,37.45907213784,113.55809503728001,522.5263977696001,37.45907213784,113.55809503728001,518.2385716375255,43.1092736203007,520.0284863399048,-175.24484280878687,110.35809897862657,531.6093834904995,-11.981301370214393,531.6093834904995,False,-0.7198633701518702,-1.795749508786912,-13.883745570214392,-18.548058043214393,38.845114116443575,37.73101450102412,14.08945374304924,-519.9874426556917,6.533458912884981,-0.05377522153766434,-1.0051619247447507,-4.9647016
15868,22155218311300,10.5661,True,udp,127.0.0.1:55239,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.55,-1.452406157,6.569881674,186.5433333,-0.44560185988478856,0.6619787697248506,-1.489567697916775,2.546069964118402,-0.18571820774195855,-0.38937785356170035,-38.67187578792,-3.705193471488,-1.2926192300472001,38.84896955616001,1.2926192300472001,30.92189757696,1.905695684,185.472863719041,522.3330411840001,37.44054398592,113.56456850160001,46.95410343,39.34782585,113.58609466632001,46.949405,39.347334,4.444492046736,30.839322563040003,0.12877835859720002,2.2546287474264,4.181391908,0.2386165903,-0.009628296752,1.29069829,579.2953799732966,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1350185226,-0.004311879736,1.037410037,-11.716318290913188,-0.5711583833346413,-137.02330559126082,17.833132084170913,-0.5711583833346413,-137.02330559126082,29.549450375084096,0.0,0.0,1.3397954962416612,-0.17077740502739566,-0.06777585430459515,0.18846740093185627,-0.018087261857285233,-0.06416754595714558,-1.1513280953098048,0.15269014321078495,0.0036083083515170205,0.541111,0.541111,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0105661,200.0000000001819,94.64229942930693,0.4732114971461043,0.9604125357676588,False,-7.999995979368607,2.9238966187596083e-05,1.3216381322678217e-09,7.999995979422039,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.947880323698533,-0.9116656085627605,2.388489766,4.66418599,-7.800000002546357,-6.300000001395567,1.3499999998897945,1.3499999998897945,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,522.3330411840001,37.44054398592,113.56456850160001,522.3330411840001,37.44054398592,113.56456850160001,518.0452150519255,43.0907454683807,519.8342593396635,-175.24511125041488,110.36457244294657,531.4207335376848,-11.986331267170796,531.4207335376848,False,-0.717974969455895,-1.7884445504148516,-13.892026951170795,-18.556212941170795,38.84591943489208,37.7305195747087,14.084638630152964,-519.7934459582673,6.513886861646441,-0.05365529060803922,-1.0061294370587754,-4.9541355
15869,22155221640600,3.3293,True,udp,127.0.0.1:55239,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.555,-1.455475483,6.573001277,186.5357503,-0.43291003289874086,0.6610829129699068,-1.4912326021156128,2.50638410890177,-0.1673084543024371,-0.31624106928209167,-38.67279381504,-3.70381084992,-1.2948436403304002,38.84975155104,1.2948436403304002,30.92273559408,1.908934289,185.47070481406894,522.1396800264,37.42202272248,113.57105312160002,46.95410169,39.3478256,113.5925633148,46.949405,39.347334,4.444492046736,30.84017959968,0.1312787549172,2.2542549638712,4.180585386,0.2432430717,-0.007161846535,1.29383222,579.3264183511806,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348730684,-0.004276064533,1.037240588,-11.723381906702244,-0.5664309917756292,-137.00097752045195,17.812835889824335,-0.5664309917756292,-137.00097752045195,29.536217796526575,0.0,0.0,1.3298420439025007,-0.16903066897096647,-0.05577326385350614,0.1855025210201867,-0.016384452160189633,-0.052173898928663684,-1.144339522882314,0.15264621674298592,0.0035993649261982677,0.537778,0.537778,-7.800000002546357,-6.300000001395567,1.5000000000048734,1.5000000000048734,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0033293,199.99999999961346,300.3634397621122,1.5018171988134634,0.9639936874007515,False,-7.999995997082554,2.9218969601715883e-05,1.5591092861200195e-09,7.999995997135913,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.948000911499462,-0.9106137119954479,2.3924158910000006,4.664066988,-7.800000002546357,-6.300000001395567,1.5000000000048734,1.5000000000048734,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,522.1396800264,37.42202272248,113.57105312160002,522.1396800264,37.42202272248,113.57105312160002,517.8518538943255,43.072224204940696,519.6400283655508,-175.2453790940162,110.37105706294658,531.2320861139157,-11.991366002483272,531.2320861139157,False,-0.7160839080851247,-1.7811293940161477,-13.900300291483271,-18.56436727948327,38.84671742326106,37.73001783276956,14.079826001368225,-519.5994448655246,6.494303287437489,-0.05353505451100926,-1.0070968717465987,-4.9508062
