recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
22775828430400,target_offset,230,"{""x_angle_offset"":-0.04558347165584564,""y_angle_offset"":0.04562558597988552}",-4.9979838
22775834062200,vfr,503,"{""message_type"":""VFR_HUD"",""airspeed"":26.97022247314453,""alt"":194.1199951171875}",-4.992352
22775834146100,position,503,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541011,""lon"":393492280}",-4.9922681
22775834210100,attitude,1002,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112410,""roll"":-0.0068628317676484585,""pitch"":0.16193664073944092,""yaw"":-3.0537259578704834,""rollspeed"":-0.00519585981965065,""pitchspeed"":-0.0013107458362355828,""yawspeed"":0.00026507419534027576}",-4.9922041
22775841223700,fov,2580,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9851905
22775841551800,gimbal,2580,"{""imu_roll"":0.0,""imu_pitch"":22.362808227539062,""imu_yaw"":-0.47141003608703613,""frame_roll"":0.0,""frame_pitch"":22.362808227539062,""frame_yaw"":-0.47141003608703613,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9848624
22775852701000,range,1029,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9488639831543,""y"":39.34858703613281}",-4.9737132
22775866201500,fov,2581,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9602127
22775866512300,gimbal,2581,"{""imu_roll"":0.0,""imu_pitch"":22.368274688720703,""imu_yaw"":-0.4790997803211212,""frame_roll"":0.0,""frame_pitch"":22.368274688720703,""frame_yaw"":-0.4790997803211212,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9599019
22775873971100,target_offset,231,"{""x_angle_offset"":-0.04558347165584564,""y_angle_offset"":0.06843837896982828}",-4.9524431
22775880610800,range,1030,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9488639831543,""y"":39.34858703613281}",-4.9458034
22775892803100,gimbal,2582,"{""imu_roll"":0.0,""imu_pitch"":22.387155532836914,""imu_yaw"":-0.4871320128440857,""frame_roll"":0.0,""frame_pitch"":22.387155532836914,""frame_yaw"":-0.4871320128440857,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9336111
22775893183900,fov,2582,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9332303
22775897561900,target_offset,232,"{""x_angle_offset"":-0.04558347165584564,""y_angle_offset"":0.06843837896982828}",-4.9288523
22775904753100,attitude,1003,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112470,""roll"":-0.007101302035152912,""pitch"":0.16174347698688507,""yaw"":-3.053907632827759,""rollspeed"":-0.004662574268877506,""pitchspeed"":-0.00013823763583786786,""yawspeed"":1.2358417734503746e-05}",-4.9216611
22775913132000,fov,2583,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9132822
22775913432000,gimbal,2583,"{""imu_roll"":0.0,""imu_pitch"":22.397991180419922,""imu_yaw"":-0.49695953726768494,""frame_roll"":0.0,""frame_pitch"":22.397991180419922,""frame_yaw"":-0.49695953726768494,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9129822
22775938752100,fov,2584,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8876621
22775939430800,gimbal,2584,"{""imu_roll"":0.0,""imu_pitch"":22.40737533569336,""imu_yaw"":-0.5060507655143738,""frame_roll"":0.0,""frame_pitch"":22.40737533569336,""frame_yaw"":-0.5060507655143738,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8869834
22775944050600,target_offset,233,"{""x_angle_offset"":-0.04558347165584564,""y_angle_offset"":0.0760426432998092}",-4.8823636
22775946435100,attitude,1004,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112510,""roll"":-0.007268992252647877,""pitch"":0.1616605818271637,""yaw"":-3.0540382862091064,""rollspeed"":-0.0046476759016513824,""pitchspeed"":0.0004206227313261479,""yawspeed"":-0.0001547450665384531}",-4.8799791
22775946761700,vfr,504,"{""message_type"":""VFR_HUD"",""airspeed"":26.87324333190918,""alt"":194.3699951171875}",-4.8796525
22775946834700,position,504,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540497,""lon"":393492215}",-4.8795795
22775960063100,fov,2585,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8663511
22775960452000,gimbal,2585,"{""imu_roll"":0.0,""imu_pitch"":22.422414779663086,""imu_yaw"":-0.5156207084655762,""frame_roll"":0.0,""frame_pitch"":22.422414779663086,""frame_yaw"":-0.5156207084655762,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8659622
22775986921800,fov,2586,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8394924
22775987314600,gimbal,2586,"{""imu_roll"":0.0,""imu_pitch"":22.435253143310547,""imu_yaw"":-0.5242548584938049,""frame_roll"":0.0,""frame_pitch"":22.435253143310547,""frame_yaw"":-0.5242548584938049,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8390996
22775992547500,target_offset,234,"{""x_angle_offset"":-0.03798622637987137,""y_angle_offset"":0.0760426432998092}",-4.8338667
22776010666000,gimbal,2587,"{""imu_roll"":0.0,""imu_pitch"":22.450040817260742,""imu_yaw"":-0.5303236246109009,""frame_roll"":0.0,""frame_pitch"":22.450040817260742,""frame_yaw"":-0.5303236246109009,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8157482
22776010981400,fov,2587,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8154328
22776011239800,attitude,1005,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112570,""roll"":-0.007481898181140423,""pitch"":0.1615736335515976,""yaw"":-3.0542430877685547,""rollspeed"":-0.0037939795292913914,""pitchspeed"":0.001036191708408296,""yawspeed"":-0.000387825770303607}",-4.8151744
22776018432400,target_offset,235,"{""x_angle_offset"":-0.03798622637987137,""y_angle_offset"":0.0760426432998092}",-4.8079818
22776022175200,range,1031,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94880294799805,""y"":39.34859848022461}",-4.804239
22776029392300,range,1032,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94880294799805,""y"":39.34859848022461}",-4.7970219
22776032745400,fov,2588,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7936688
22776033009100,gimbal,2588,"{""imu_roll"":0.0,""imu_pitch"":22.46852684020996,""imu_yaw"":-0.5356205105781555,""frame_roll"":0.0,""frame_pitch"":22.46852684020996,""frame_yaw"":-0.5356205105781555,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7934051
22776048538200,position,505,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540497,""lon"":393492215}",-4.777876
22776048667200,attitude,1006,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112610,""roll"":-0.007605396676808596,""pitch"":0.16152942180633545,""yaw"":-3.054386615753174,""rollspeed"":-0.003508910071104765,""pitchspeed"":0.0012717240024358034,""yawspeed"":-0.0004899243358522654}",-4.777747
22776048917600,vfr,505,"{""message_type"":""VFR_HUD"",""airspeed"":26.7725887298584,""alt"":194.61000061035156}",-4.7774966
22776060453400,target_offset,236,"{""x_angle_offset"":-0.030388981103897095,""y_angle_offset"":0.08364690762979013}",-4.7659608
22776063730600,fov,2589,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7626836
22776063885500,gimbal,2589,"{""imu_roll"":0.0,""imu_pitch"":22.483367919921875,""imu_yaw"":-0.5403770208358765,""frame_roll"":0.0,""frame_pitch"":22.483367919921875,""frame_yaw"":-0.5403770208358765,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7625287
22776082476800,fov,2590,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7439374
22776082756000,gimbal,2590,"{""imu_roll"":0.0,""imu_pitch"":22.49629783630371,""imu_yaw"":-0.5425814390182495,""frame_roll"":0.0,""frame_pitch"":22.49629783630371,""frame_yaw"":-0.5425814390182495,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7436582
22776102954800,fov,2591,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7234594
22776103351700,gimbal,2591,"{""imu_roll"":0.0,""imu_pitch"":22.505985260009766,""imu_yaw"":-0.5444440841674805,""frame_roll"":0.0,""frame_pitch"":22.505985260009766,""frame_yaw"":-0.5444440841674805,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7230625
22776113678700,target_offset,237,"{""x_angle_offset"":-0.02279173582792282,""y_angle_offset"":0.08364690762979013}",-4.7127355
22776115154900,attitude,1007,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112670,""roll"":-0.007792693562805653,""pitch"":0.16175130009651184,""yaw"":-3.05460786819458,""rollspeed"":-0.0032848345581442118,""pitchspeed"":0.0017803091323003173,""yawspeed"":-0.0006708579603582621}",-4.7112593
22776128226900,fov,2592,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6981873
