recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
37508022133000,gimbal,2590,"{""imu_roll"":0.0,""imu_pitch"":22.53287696838379,""imu_yaw"":-11.05713939666748,""frame_roll"":0.0,""frame_pitch"":22.53287696838379,""frame_yaw"":-11.05713939666748,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9908475
37508022420600,fov,2590,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9905599
37508026492800,range,1037,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948734283447266,""y"":39.34805679321289}",-4.9864877
37508041833800,gimbal,2591,"{""imu_roll"":0.0,""imu_pitch"":22.535072326660156,""imu_yaw"":-11.243653297424316,""frame_roll"":0.0,""frame_pitch"":22.535072326660156,""frame_yaw"":-11.243653297424316,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9711467
37508043650400,fov,2591,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9693301
37508048102000,range,1038,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948734283447266,""y"":39.34805679321289}",-4.9648785
37508048347700,attitude,1020,"{""message_type"":""ATTITUDE"",""time_boot_ms"":113270,""roll"":-0.030510202050209045,""pitch"":0.17000387609004974,""yaw"":-2.818708658218384,""rollspeed"":0.005558932200074196,""pitchspeed"":-0.003034991677850485,""yawspeed"":0.11672189831733704}",-4.9646328
37508051444800,target_offset,130,"{""x_angle_offset"":-1.1016005650162697,""y_angle_offset"":0.0076042643299809205}",-4.9615357
37508065700900,gimbal,2592,"{""imu_roll"":0.0,""imu_pitch"":22.53187370300293,""imu_yaw"":-11.508034706115723,""frame_roll"":0.0,""frame_pitch"":22.53187370300293,""frame_yaw"":-11.508034706115723,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9472796
37508066176300,fov,2592,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9468042
37508088582200,gimbal,2593,"{""imu_roll"":0.0,""imu_pitch"":22.52996253967285,""imu_yaw"":-11.699137687683105,""frame_roll"":0.0,""frame_pitch"":22.52996253967285,""frame_yaw"":-11.699137687683105,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9243983
37508088868900,fov,2593,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9241116
37508095912400,target_offset,131,"{""x_angle_offset"":-1.056017093360424,""y_angle_offset"":0.0076042643299809205}",-4.9170681
37508111589700,gimbal,2594,"{""imu_roll"":0.0,""imu_pitch"":22.52805519104004,""imu_yaw"":-11.948535919189453,""frame_roll"":0.0,""frame_pitch"":22.52805519104004,""frame_yaw"":-11.948535919189453,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9013908
