recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
40277659862800,gimbal,2495,"{""imu_roll"":0.0,""imu_pitch"":20.927490234375,""imu_yaw"":5.059335708618164,""frame_roll"":0.0,""frame_pitch"":20.927490234375,""frame_yaw"":5.059335708618164,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9946541
40277660150700,fov,2495,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9943662
40277660798700,range,995,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94844055175781,""y"":39.34876251220703}",-4.9937182
40277669037200,target_offset,196,"{""x_angle_offset"":0.04558347165584564,""y_angle_offset"":-0.0760426432998092}",-4.9854797
40277674906900,range,996,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94844055175781,""y"":39.34876251220703}",-4.97961
40277675243000,attitude,971,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110770,""roll"":0.12279744446277618,""pitch"":0.1748386025428772,""yaw"":-3.131347417831421,""rollspeed"":0.1710503250360489,""pitchspeed"":-0.0016567541752010584,""yawspeed"":0.11503658443689346}",-4.9792739
40277686192800,gimbal,2496,"{""imu_roll"":0.0,""imu_pitch"":20.90007209777832,""imu_yaw"":5.0701212882995605,""frame_roll"":0.0,""frame_pitch"":20.90007209777832,""frame_yaw"":5.0701212882995605,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9683241
40277686481700,fov,2496,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9680352
40277692076600,target_offset,197,"{""x_angle_offset"":-0.03798622637987137,""y_angle_offset"":-0.06843837896982828}",-4.9624403
40277708182300,gimbal,2497,"{""imu_roll"":0.0,""imu_pitch"":20.88442611694336,""imu_yaw"":5.0615410804748535,""frame_roll"":0.0,""frame_pitch"":20.88442611694336,""frame_yaw"":5.0615410804748535,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9463346
40277708468500,fov,2497,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9460484
40277721166200,position,486,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545087,""lon"":393491970}",-4.9333507
40277721540900,attitude,972,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110810,""roll"":0.13204726576805115,""pitch"":0.17422212660312653,""yaw"":-3.1265552043914795,""rollspeed"":0.15528272092342377,""pitchspeed"":-0.00110011943615973,""yawspeed"":0.12101452797651291}",-4.932976
