truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15257,42553904476600,1.6983,True,udp,127.0.0.1:63280,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.1808333,1.043778113,12.15258557,185.1302903,-1.1342430591465453,-0.7930496062094861,0.43554489843757555,0.738162210670486,-1.0047068442795442,-0.6366560663154519,-26.923863488208003,-2.9581435390224,-4.684691542968,27.08588263788,4.684691542968,31.41627217368,9.812626259,186.269978188079,673.4313589512001,53.17072380312,133.44685510728,46.95546255,39.3480325,133.4826753252,46.949405,39.347334,4.444492046736,31.35455825088,0.21672630388968,1.9562369888136002,3.570103827,0.395260168,0.3484683984,-0.2142610672,596.8225721740205,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1061016635,-0.007290308476,0.9268256352,-12.808235732521034,-0.9623772235966649,-122.42080986873088,14.016477171917533,-0.9623772235966649,-122.42080986873088,26.824712904438567,0.0,0.0,1.1225043720197312,-0.20929644078301168,-0.09205035884301815,0.05468117116573834,-0.09049740284992337,-0.10416572396683339,-1.0678232008946673,0.11879903790597196,-0.01211536512517107,0.495556,0.495556,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,0,0,True,0.005000000000009663,0.0016983,199.99999999961346,588.8241182358829,2.9441205911851047,0.8993590863519964,True,3.9999979858407393,1.1800893944110755e-08,-3.3259448528610847e-09,3.9999979858407393,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9839737259453534,0.357683248393214,8.582481742999999,2.3399593109999994,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,673.4313589512001,53.17072380312,133.44685510728,673.4313589512001,53.17072380312,133.44685510728,669.1435328191255,58.8209252855807,671.7238783645495,-174.9763393725476,130.24685904862656,684.2347645780246,-10.973446906542344,684.2347645780246,False,-1.2463175606266077,-0.10662967254762634,-20.786073165542344,-23.126032476542342,27.079474852106447,25.692590354555605,26.631599038308007,-671.5649666737366,14.610417571546527,-0.05025122804396737,-0.8167476097651586,-4.9998569
15258,42553909690600,5.214,True,udp,127.0.0.1:63280,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.1858333,1.038566369,12.14857222,185.1324367,-1.1305586328455182,-0.7981322626709323,0.432353963951354,0.7353130382324959,-1.0328256390249606,-0.6403280834965522,-26.919360260232,-2.9582270048448,-4.681174934304,27.081415470792003,4.681174934304,31.411323136080004,9.806989379,186.27119429099915,673.2967531752,53.15593426704,133.47028413840002,46.95546134,39.34803231,133.50609000024002,46.949405,39.347334,4.444492046736,31.349584585440002,0.21587615917392,1.9565696112624,3.571274322,0.3937717026,0.3439665529,-0.2125210633,596.6332052709506,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1061556702,-0.007264616866,0.926846171,-12.802191800365732,-0.9589879433950225,-122.42336728478415,14.023618467000658,-0.9589879433950225,-122.42336728478415,26.825810262918164,0.0,0.0,1.122378724574169,-0.21189787796614282,-0.09259590976424463,0.054471638870525745,-0.09305838417448145,-0.10476652507957246,-1.067907085622294,0.11883949373742865,-0.012170615319395287,0.495556,0.495556,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,0,0,True,0.0049999999999954525,0.005214,200.0000000001819,191.79133103183736,0.9589566551583146,0.8999741558547341,True,3.9999979970667883,-1.704393171736429e-10,2.0871704364822108e-09,3.9999979970667883,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9839603237104564,0.35783249475823037,8.577297898000001,2.341582841000001,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,673.2967531752,53.15593426704,133.47028413840002,673.2967531752,53.15593426704,133.47028413840002,669.0089270431255,58.8061357495007,671.5884945896428,-174.9765906800809,130.2702880797466,684.106317776384,-10.977531652794237,684.106317776384,False,-1.2477849710800228,-0.10902738008087454,-20.784521031794235,-23.12610387279424,27.07499364520877,25.68816536161667,26.631186312689252,-671.4292406052447,14.62466838759483,-0.050312225119785337,-0.8166937624553857,-4.9946429
15259,42553914838500,5.1479,True,udp,127.0.0.1:63280,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.1908333,1.0333694,12.14453364,185.1345666,-1.1268885551265546,-0.8033537536816322,0.4291447142389575,0.7324090858726713,-1.0601026246972058,-0.6439783838583436,-26.91486292404,-2.9583079554576,-4.677659983752,27.076953893736,4.677659983752,31.406380164,9.801351871,186.27240409138358,673.1621699544,53.14114430424,133.49369555208,46.95546013,39.34803212,133.52948708832002,46.949405,39.347334,4.444492046736,31.344617778000003,0.21503245716816,1.956888391524,3.572419201,0.3922944464,0.3394676759,-0.2107641779,596.4441007517,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1062108443,-0.007239117101,0.9268596627,-12.796201180146488,-0.9556240331805406,-122.42499426632214,14.03091251846227,-0.9556240331805406,-122.42499426632214,26.827113698608755,0.0,0.0,1.1222469760834213,-0.21442400271620723,-0.09313629641558048,0.054257949705274464,-0.0955429170261139,-0.10536371959454537,-1.0679890263781466,0.1188810856494188,-0.012227423180320713,0.495556,0.495556,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,0,0,True,0.0049999999999954525,0.0051479,200.0000000001819,194.25396763728898,0.9712698381855616,0.9007007213676678,True,3.999998000607413,-1.707646554510115e-08,1.20314003204669e-09,3.999998000607413,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.983947018975715,0.3579805933267059,8.572114439,2.343181769000001,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,673.1621699544,53.14114430424,133.49369555208,673.1621699544,53.14114430424,133.49369555208,668.8743438223255,58.7913457867007,671.4531332588731,-174.97684229374804,130.29369949342657,683.9778931302103,-10.981616126293549,683.9778931302103,False,-1.2492463851316415,-0.11140889374803464,-20.782967997293547,-23.12614976629355,27.070518079375944,25.683746120341716,26.630768343738406,-671.2935382051429,14.638843095627536,-0.05037299627676565,-0.8166400358993782,-4.989495
15260,42553918767300,3.9288,True,udp,127.0.0.1:63280,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.1958333,1.028187113,12.14046916,185.13668,-1.1232331038741847,-0.808709875450243,0.4259172590790996,0.7294485676815645,-1.086540534304963,-0.6476064540306417,-26.910371619840003,-2.9583864015288004,-4.674146365176,27.072498053015998,4.674146365176,31.40144334888,9.795713018,186.27360758923226,673.0276092888,53.12635397568,133.51708940928,46.95545892,39.34803192,133.55286658944001,46.949405,39.347334,4.444492046736,31.339657920000004,0.21419524670136,1.957193308872,3.573538402,0.3908284937,0.3349756566,-0.2089905572,596.2552614890842,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1062670621,-0.007213810535,0.9268661118,-12.790263951931292,-0.9522856713269059,-122.42569112472039,14.038343103638141,-0.9522856713269059,-122.42569112472039,26.828607060017653,0.0,0.0,1.1221091379363584,-0.21687498762882973,-0.09367148579641678,0.05403997507065209,-0.097951248895829,-0.10595722510513719,-1.0680691629470553,0.11892373877367526,-0.012285739311432032,0.495556,0.495556,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,0,0,True,0.005000000000009663,0.0039288,199.99999999961346,254.530645489717,1.2726532274510445,0.9036005893766015,True,3.9999979885578605,1.5446589581198655e-08,3.382756408321086e-09,3.9999979885578605,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.983933811869094,0.35812754410993053,8.566930758,2.3447561419999996,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,673.0276092888,53.12635397568,133.51708940928,673.0276092888,53.12635397568,133.51708940928,668.7397831567255,58.77655545814069,671.3177943776168,-174.9770942085261,130.31709335062658,683.8494906537433,-10.985700331438466,683.8494906537433,False,-1.2507017977583246,-0.11377420852613795,-20.781413349438466,-23.126169491438468,27.06604829529392,25.679332829687343,26.630344923259027,-671.1578594882654,14.652941518948793,-0.05043354102874709,-0.8165864058440385,-4.9855662
15261,42553923010600,4.2433,True,udp,127.0.0.1:63280,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.2008333,1.023019415,12.1363781,185.1387766,-1.1195925667132225,-0.8141964408011979,0.42267171065691667,0.7264298793773493,-1.1121426308428746,-0.6512117869457978,-26.90588648784,-2.9584623537264,-4.670633758536,27.068048085792,4.670633758536,31.39651278216,9.790072103,186.27480484184096,672.8930708736,53.11156322040001,133.54046571,46.95545771,39.34803173,133.57622856456,46.949405,39.347334,4.444492046736,31.33470513336,0.2133645761148,1.9574843544672,3.574631886,0.3893739376,0.3304942601,-0.2072003518,596.0666908347213,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1063242096,-0.00718869851,0.9268655254,-12.784380151305916,-0.9489730348733387,-122.42545892755209,14.045895263158979,-0.9489730348733387,-122.42545892755209,26.830275414464896,0.0,0.0,1.1219652246402327,-0.21925105926118948,-0.09420144520442467,0.05381759978992393,-0.10028367547396308,-0.10654695992331652,-1.0681476248096344,0.1189673838550173,-0.012345514718891866,0.495556,0.495556,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,0,0,True,0.0049999999999954525,0.0042433,200.0000000001819,235.66563759338248,1.1783281879658407,0.9059124725867378,True,3.999998001407176,-7.778290255703972e-09,1.4434841100197104e-09,3.999998001407176,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.983920704393485,0.35827332625935293,8.561746214,2.346305997,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,672.8930708736,53.11156322040001,133.54046571,672.8930708736,53.11156322040001,133.54046571,668.6052447415254,58.7617647028607,671.182477636946,-174.9773464274779,130.34046965134658,683.7211100410775,-10.989784272636445,683.7211100410775,False,-1.2521512693188583,-0.11612302747789727,-20.779856375636445,-23.126162372636443,27.061584433565507,25.67492568744913,26.629915831667088,-671.0222041531475,14.666963568548248,-0.05049385923923409,-0.816532848905515,-4.9813229
15262,42553930680500,7.6699,True,udp,127.0.0.1:63280,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.2058333,1.017866212,12.13225982,185.1408565,-1.1159672375710161,-0.8198092774558327,0.4194081837358549,0.7233515845548332,-1.1369126912487266,-0.6547938795468679,-26.901407668248,-2.9585358211944004,-4.667121828552,27.063604132272,4.667121828552,31.391588555280002,9.78442841,186.27599584920972,672.7585550136,53.09677212984,133.56382442376,46.9554565,39.34803153,133.59957295272002,46.949405,39.347334,4.444492046736,31.32975947904,0.21254049320112,1.957761530748,3.575699635,0.3879308706,0.3260271287,-0.2053937167,595.8783921402293,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1063821814,-0.007163782358,0.926857916,-12.778549764925696,-0.9456862995245929,-122.42429945410585,14.053555203089555,-0.9456862995245929,-122.42429945410585,26.83210496801525,0.0,0.0,1.1218152530071868,-0.2215524958271295,-0.09472614227622968,0.05359072118699674,-0.10254053914522267,-0.10713284310675192,-1.0682245318201902,0.11901195672258136,-0.01240670082781058,0.495556,0.495556,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,0,0,True,0.0049999999999954525,0.0076699,200.0000000001819,130.3797963467581,0.6518989817331976,0.9020748251833807,True,3.999997998668004,1.931186988926234e-08,1.4579009111059804e-09,3.999997998668004,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9839076960515833,0.35841794673954364,8.556560185,2.3478314099999995,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,672.7585550136,53.09677212984,133.56382442376,672.7585550136,53.09677212984,133.56382442376,668.4707288815255,58.74697361230069,671.047183348535,-174.9775989452634,130.36382836510657,683.5927515897234,-10.993867941878083,683.5927515897234,False,-1.2535947944730879,-0.11845544526340746,-20.778296351878083,-23.12612776187808,27.057126634746933,25.67052489647692,26.629480867512033,-670.8865725217437,14.680909032804458,-0.05055395025673841,-0.8164793392452505,-4.973653
15263,42553937578800,6.8983,True,udp,127.0.0.1:63280,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.2108333,1.012727406,12.1281137,185.1429194,-1.112357418396324,-0.8255442343349214,0.4161267954857836,0.7202124015074285,-1.1608549920795015,-0.6583522345064856,-26.896935286032004,-2.9586068133816,-4.663610252136,27.059166320472002,4.663610252136,31.38667075968,9.778781222,186.2771804967469,672.624061404,53.08198067352001,133.58716558104,46.95545529,39.34803134,133.6228997844,46.949405,39.347334,4.444492046736,31.324821048480004,0.21172304517384002,1.9580248505160003,3.57674165,0.3864993842,0.3215777829,-0.2035708107,595.6903682784238,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1064408808,-0.007139063399,0.9268433014,-12.77277275720486,-0.9424256396509558,-122.42221515090358,14.06131021041249,-0.9424256396509558,-122.42221515090358,26.834082967617352,0.0,0.0,1.1216592424254173,-0.22377962557017503,-0.09524554501452828,0.05335924809667168,-0.10472222763286644,-0.10771479449948619,-1.0682999943423037,0.11905739793730861,-0.012469249487669557,0.495556,0.495556,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,0,0,True,0.005000000000009663,0.0068983,199.99999999961346,144.96325181566473,0.7248162590797246,0.8996625409706444,True,3.999998005888016,-1.1143735837099503e-08,4.605846370964173e-09,3.999998005888016,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9838947888472864,0.35856138470205584,8.55137205,2.349332478000001,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,672.624061404,53.08198067352001,133.58716558104,672.624061404,53.08198067352001,133.58716558104,668.3362352719255,58.73218215598071,670.9119112061238,-174.97785176235234,130.38716952238659,683.4644150022101,-10.997951346039915,683.4644150022101,False,-1.2550322590992664,-0.12077116235235508,-20.776732568039915,-23.126065046039916,27.052675024179877,25.66613063991396,26.629039826491795,-670.7509642956658,14.694777803297285,-0.050613813850293655,-0.8164258530400887,-4.9667547
15264,42553943549000,5.9702,True,udp,127.0.0.1:63280,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.2158333,1.007602901,12.12393913,185.1449654,-1.1087634162945246,-0.8313971832775506,0.41282766571217755,0.7170111934868698,-1.1839742940415199,-0.6618863585079895,-26.892469469208002,-2.9586753391272,-4.6600987062,27.054734778408,4.6600987062,31.381759425840002,9.773129826,186.2783587844526,672.4895903496,53.06718885144001,133.61048918184002,46.95545408,39.34803114,133.64620902912,46.949405,39.347334,4.444492046736,31.31988990264,0.21091227875880003,1.9582743378504002,3.577757954,0.3850795689,0.317149623,-0.2017317967,595.5026216433179,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1065002186,-0.007114542941,0.9268217046,-12.76704904807542,-0.9391912273986038,-122.41920913170043,14.06914858630494,-0.9391912273986038,-122.41920913170043,26.83619762993214,0.0,0.0,1.121497214588011,-0.2259328250009704,-0.0957596217745295,0.05312310005115352,-0.10682917256153822,-0.10829273475905307,-1.0683741146046486,0.11910365245299034,-0.012533112987235197,0.495556,0.495556,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,0,0,True,0.0049999999999954525,0.0059702,200.0000000001819,167.49857626210178,0.8374928813097472,0.8989289695031795,True,3.999997996714821,6.107323803801468e-09,2.1243307113394394e-10,3.999997996714821,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9838819822822336,0.35870364711137975,8.546181176000001,2.350809304,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,672.4895903496,53.06718885144001,133.61048918184002,672.4895903496,53.06718885144001,133.61048918184002,668.2017642175255,58.71739033390071,670.7766615133812,-174.97810488117983,130.4104931231866,683.3361005739928,-11.002034479742182,683.3361005739928,False,-1.2564636656323955,-0.123070281179821,-20.77516430574218,-23.125973609742182,27.0482297301687,25.661743105979067,26.62859252202469,-670.6153797863058,14.708569784518751,-0.050673449747606514,-0.8163723653318757,-4.9607845
15265,42553948512800,4.9638,True,udp,127.0.0.1:63280,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.2208333,1.002492599,12.11973553,185.1469943,-1.1051855441005736,-0.8373640201870336,0.40951091656963884,0.7137469560981422,-1.2062758242287457,-0.6653957628183803,-26.888010339696,-2.9587414069656,-4.656586858512,27.050309624952,4.656586858512,31.376854706160003,9.767473506,186.27953082691832,672.3551415456001,53.05239669408,133.63379519568002,46.95545287,39.34803095,133.66950074784,46.949405,39.347334,4.444492046736,31.314966132960002,0.21010824001128,1.958510026584,3.578748587,0.3836715145,0.31274593,-0.1998768414,595.3151555865296,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1065601124,-0.00709022228,0.9267931536,-12.761378517435388,-0.9359832340240692,-122.41528531093138,14.077059543829488,-0.9359832340240692,-122.41528531093138,26.838438061264874,0.0,0.0,1.1213291937641099,-0.2280125172702972,-0.09626834127751331,0.05288220650723441,-0.10886184800654186,-0.10886658534291876,-1.0684469872433173,0.11915066925019717,-0.012598244066761273,0.495556,0.495556,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,0,0,True,0.0049999999999954525,0.0049638,200.0000000001819,201.4585599742133,1.0072927998701504,0.8999941872102222,True,3.999997995604405,1.6753637203893376e-08,3.184963404123664e-11,3.999997995604405,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.983869277734929,0.358844720072343,8.540986943,2.352262024,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,672.3551415456001,53.05239669408,133.63379519568002,672.3551415456001,53.05239669408,133.63379519568002,668.0673154135255,58.702598176540704,670.6414339693838,-174.97835829702956,130.4337991370266,683.2078080012183,-11.006117344764798,683.2078080012183,False,-1.257889123947848,-0.12535259702951862,-20.773590850764798,-23.125852874764796,27.043790874992663,25.6573624775885,26.628138749569246,-670.47981870224,14.722284792881076,-0.050732857453251165,-0.8163188512841494,-4.9558207
15266,42553952862800,4.35,True,udp,127.0.0.1:63280,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.2258333,0.9973963985,12.11550234,185.149006,-1.1016241192330893,-0.8434406673227423,0.40617667261919194,0.71041880985103,-1.2277652606529292,-0.6688799655801523,-26.883558019416004,-2.9588050254312,-4.653074389032,27.045890982024,4.653074389032,31.37195660064,9.761811554,186.28069645225673,672.220714992,53.03760420144,133.65708368352,46.95545166,39.34803076,133.69277491008,46.949405,39.347334,4.444492046736,31.3100498004,0.20931097455984,1.9587319599984,3.579713608,0.3822753098,0.3083698671,-0.1980061151,595.1279720232692,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1066204866,-0.007066102701,0.9267576813,-12.755761018493454,-0.9328018285597733,-122.41044800337144,14.085033176796594,-0.9328018285597733,-122.41044800337144,26.840794190841827,0.0,0.0,1.1211552054430907,-0.23001917013534767,-0.09677167265150502,0.05263650604636128,-0.11082076907023226,-0.10943626857627303,-1.0685186994374039,0.11919840103799904,-0.012664595926123842,0.495556,0.495556,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,0,0,True,0.005000000000009663,0.00435,199.99999999961346,229.8850574712644,1.1494252873585433,0.9021455211760102,True,3.9999979924343934,1.736658641828155e-08,-1.0243975667734162e-09,3.9999979924343934,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.983856675958246,0.35898459664300053,8.535788732,2.3536907860000014,-6.150000000134573,-5.099999999901978,0.9000000001175156,0.9000000001175156,11.399999998432756,11.399999998432756,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,672.220714992,53.03760420144,133.65708368352,672.220714992,53.03760420144,133.65708368352,667.9328888599255,58.68780568390069,670.5062285741698,-174.97861201005617,130.45708762486657,683.0795372929267,-11.010199945603745,683.0795372929267,False,-1.2593084623129016,-0.12761801005615325,-20.772011499603742,-23.125702285603744,27.03935858088081,25.652988934905817,26.627678319521895,-670.344281051679,14.735922708281407,-0.05079203664550893,-0.8162652867771403,-4.9514707
