event_monotonic_ns,event,value_json,session_time_s
43318344700700,TRACKER_LATENCY_CALIBRATION_BEGIN,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-4.5886068
43318344743000,TRACKER_ENABLED,"{""state"":true}",-4.5885645
43318346787000,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.5,""expected_dt_s"":0.028924290175045088,""gap_limit_s"":0.10123501561265781}",-4.5865205
43318453286800,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.10649700000067241,""expected_dt_s"":0.028924290175045088,""gap_limit_s"":0.10123501561265781}",-4.4800207
43319107908600,SIM_MISSION_STATE,"{""time"":1788290195.7242534,""from"":""WAIT_TRACKER_LOCK"",""to"":""SET_WIND"",""reason"":""real_tracking_stream_confirmed_apply_wind_best_effort""}",-3.8253989
43319123933300,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.9513980322260255,""allowed_low"":0.95,""allowed_high"":1.05}",-3.8093742
43320841562900,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.8671359039375417,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":199.99999999961346,""receive_rate_hz"":177.421357983074}",-2.0917446
43322223433900,SIM_MISSION_STATE,"{""time"":1788290198.8398197,""from"":""SET_WIND"",""to"":""ENTER_HUNTER"",""reason"":""wind_smooth_ramp_complete_hunter""}",-0.7098736
43322223862400,ATTACK_STATE_COMMAND,"{""previous"":-1,""new"":4}",-0.7094451
43322224856900,TRACKER_LATENCY_CALIBRATION_HUNTER,"{""estimate_s"":0.05832644958741371,""effective_s"":0.0,""confidence"":0.33160437816081173,""candidate_s"":0.025,""fit_score"":0.6980531163950401,""excitation"":0.46830381370173324,""samples"":37,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9999997386359007}",-0.7084506
43322225167400,CHANNELS_RESET,"{""reason"":""hunter_enter_fast_state_only""}",-0.7081401
43322274477900,SIM_MISSION_STATE,"{""time"":1788290198.8907967,""from"":""ENTER_HUNTER"",""to"":""HUNTER"",""reason"":""hunter_confirmed_by_attack_controller""}",-0.6588296
43322932160700,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.1263653363059284,""effective_s"":0.0,""confidence"":0.5088691932790406,""candidate_s"":0.425,""fit_score"":0.7331430771408785,""excitation"":0.4908867692043775,""samples"":112,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9999999908040682}",-0.0011468
43322933285200,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":9.748379808937882,""hold_pitch_pwm"":1987,""uav_pitch_deg"":9.816754271397942,""frame_pitch_deg"":-25.00284194946289}",-2.23e-05
