recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
43317935320100,attitude,809,"{""message_type"":""ATTITUDE"",""time_boot_ms"":102870,""roll"":-0.012460406869649887,""pitch"":0.17043927311897278,""yaw"":-3.0540435314178467,""rollspeed"":-0.011794309131801128,""pitchspeed"":0.006537194829434156,""yawspeed"":0.009159745648503304}",-4.9979874
43317943546700,range,895,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94491195678711,""y"":39.34752655029297}",-4.9897608
43317947317900,gimbal,2109,"{""imu_roll"":0.0,""imu_pitch"":14.516668319702148,""imu_yaw"":1.682098627090454,""frame_roll"":0.0,""frame_pitch"":14.516668319702148,""frame_yaw"":1.682098627090454,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9859896
43317947591700,fov,2109,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9857158
43317959507600,range,896,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94491195678711,""y"":39.34752655029297}",-4.9737999
43317973575100,gimbal,2110,"{""imu_roll"":0.0,""imu_pitch"":14.530522346496582,""imu_yaw"":1.672858715057373,""frame_roll"":0.0,""frame_pitch"":14.530522346496582,""frame_yaw"":1.672858715057373,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9597324
43317974062200,fov,2110,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9592453
43317981754600,vfr,405,"{""message_type"":""VFR_HUD"",""airspeed"":32.07146072387695,""alt"":156.5399932861328}",-4.9515529
43317981857200,position,405,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469565874,""lon"":393495580}",-4.9514503
43317982086600,attitude,810,"{""message_type"":""ATTITUDE"",""time_boot_ms"":102910,""roll"":-0.012561805546283722,""pitch"":0.1705099195241928,""yaw"":-3.0537633895874023,""rollspeed"":-0.01297853048890829,""pitchspeed"":0.006668060086667538,""yawspeed"":0.009131154045462608}",-4.9512209
43318003681000,gimbal,2111,"{""imu_roll"":0.0,""imu_pitch"":14.547764778137207,""imu_yaw"":1.6528456211090088,""frame_roll"":0.0,""frame_pitch"":14.547764778137207,""frame_yaw"":1.6528456211090088,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9296265
43318004547200,fov,2111,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9287603
43318029879000,gimbal,2112,"{""imu_roll"":0.0,""imu_pitch"":14.558341979980469,""imu_yaw"":1.6405689716339111,""frame_roll"":0.0,""frame_pitch"":14.558341979980469,""frame_yaw"":1.6405689716339111,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9034285
43318030206500,fov,2112,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.903101
43318047314900,attitude,811,"{""message_type"":""ATTITUDE"",""time_boot_ms"":102970,""roll"":-0.012758591212332249,""pitch"":0.17061549425125122,""yaw"":-3.0533416271209717,""rollspeed"":-0.013431650586426258,""pitchspeed"":0.0064817252568900585,""yawspeed"":0.009105047211050987}",-4.8859926
43318055349400,gimbal,2113,"{""imu_roll"":0.0,""imu_pitch"":14.57252025604248,""imu_yaw"":1.6250485181808472,""frame_roll"":0.0,""frame_pitch"":14.57252025604248,""frame_yaw"":1.6250485181808472,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8779581
43318055665900,fov,2113,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8776416
43318083114300,gimbal,2114,"{""imu_roll"":0.0,""imu_pitch"":14.58355712890625,""imu_yaw"":1.6129660606384277,""frame_roll"":0.0,""frame_pitch"":14.58355712890625,""frame_yaw"":1.6129660606384277,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8501932
43318084199200,fov,2114,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8491083
