recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
48965936444500,gimbal,2511,"{""imu_roll"":0.0,""imu_pitch"":16.311355590820312,""imu_yaw"":-6.9302849769592285,""frame_roll"":0.0,""frame_pitch"":16.311355590820312,""frame_yaw"":-6.9302849769592285,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9952536
48965936720600,fov,2511,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9949775
48965964997300,gimbal,2512,"{""imu_roll"":0.0,""imu_pitch"":17.174631118774414,""imu_yaw"":-7.344097137451172,""frame_roll"":0.0,""frame_pitch"":17.174631118774414,""frame_yaw"":-7.344097137451172,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9667008
48965965570900,fov,2512,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9661272
48965983547900,attitude,982,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111370,""roll"":-0.2904791831970215,""pitch"":0.16779710352420807,""yaw"":-2.948729991912842,""rollspeed"":0.0222651194781065,""pitchspeed"":0.03129192069172859,""yawspeed"":-0.18737301230430603}",-4.9481502
48965986767500,gimbal,2513,"{""imu_roll"":0.0,""imu_pitch"":17.625755310058594,""imu_yaw"":-7.499528408050537,""frame_roll"":0.0,""frame_pitch"":17.625755310058594,""frame_yaw"":-7.499528408050537,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9449306
48965987021800,fov,2513,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9446763
48966014262400,gimbal,2514,"{""imu_roll"":0.0,""imu_pitch"":18.029111862182617,""imu_yaw"":-7.568907737731934,""frame_roll"":0.0,""frame_pitch"":18.029111862182617,""frame_yaw"":-7.568907737731934,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9174357
48966014573000,fov,2514,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9171251
48966016719800,target_offset,218,"{""x_angle_offset"":0.4026539996266365,""y_angle_offset"":-1.9466916684751157}",-4.9149783
48966024947600,position,493,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543749,""lon"":393493712}",-4.9067505
48966025138700,attitude,983,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111410,""roll"":-0.29268860816955566,""pitch"":0.16695615649223328,""yaw"":-2.956378936767578,""rollspeed"":0.0664113238453865,""pitchspeed"":0.0334763377904892,""yawspeed"":-0.1854339838027954}",-4.9065594
48966025262300,vfr,493,"{""message_type"":""VFR_HUD"",""airspeed"":29.588279724121094,""alt"":181.95999145507812}",-4.9064358
48966034757800,gimbal,2515,"{""imu_roll"":0.0,""imu_pitch"":17.610225677490234,""imu_yaw"":-7.436346530914307,""frame_roll"":0.0,""frame_pitch"":17.610225677490234,""frame_yaw"":-7.436346530914307,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8969403
48966035037400,fov,2515,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8966607
48966058767900,gimbal,2516,"{""imu_roll"":0.0,""imu_pitch"":17.214948654174805,""imu_yaw"":-7.249395370483398,""frame_roll"":0.0,""frame_pitch"":17.214948654174805,""frame_yaw"":-7.249395370483398,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8729302
48966059956600,fov,2516,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8717415
48966082839300,range,1025,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9467658996582,""y"":39.34762191772461}",-4.8488588
48966084890400,gimbal,2517,"{""imu_roll"":0.0,""imu_pitch"":16.916837692260742,""imu_yaw"":-7.039324760437012,""frame_roll"":0.0,""frame_pitch"":16.916837692260742,""frame_yaw"":-7.039324760437012,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8468077
48966085362400,fov,2517,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8463357
48966091226800,target_offset,219,"{""x_angle_offset"":0.5621961504220963,""y_angle_offset"":-1.9695044614650583}",-4.8404713
48966093681900,range,1026,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9467658996582,""y"":39.34762191772461}",-4.8380162
48966093956100,attitude,984,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111470,""roll"":-0.2931469976902008,""pitch"":0.16584181785583496,""yaw"":-2.9677653312683105,""rollspeed"":0.11990043520927429,""pitchspeed"":0.03587934374809265,""yawspeed"":-0.18148615956306458}",-4.837742
48966109654300,gimbal,2518,"{""imu_roll"":0.0,""imu_pitch"":17.59134292602539,""imu_yaw"":-6.992842674255371,""frame_roll"":0.0,""frame_pitch"":17.59134292602539,""frame_yaw"":-6.992842674255371,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8220438
48966109890600,fov,2518,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8218075
48966126641100,position,494,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543749,""lon"":393493712}",-4.805057
48966126883500,attitude,985,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111510,""roll"":-0.29193103313446045,""pitch"":0.16520941257476807,""yaw"":-2.975270986557007,""rollspeed"":0.14737176895141602,""pitchspeed"":0.037382420152425766,""yawspeed"":-0.17843128740787506}",-4.8048146
48966126987200,vfr,494,"{""message_type"":""VFR_HUD"",""airspeed"":29.545738220214844,""alt"":182.239990234375}",-4.8047109
48966135274900,gimbal,2519,"{""imu_roll"":0.0,""imu_pitch"":18.11029624938965,""imu_yaw"":-6.889370441436768,""frame_roll"":0.0,""frame_pitch"":18.11029624938965,""frame_yaw"":-6.889370441436768,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7964232
48966135576200,fov,2519,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7961219
48966140756600,target_offset,220,"{""x_angle_offset"":0.7521272823214531,""y_angle_offset"":-1.9619001971350776}",-4.7909415
48966158214400,gimbal,2520,"{""imu_roll"":0.0,""imu_pitch"":17.650285720825195,""imu_yaw"":-6.6531171798706055,""frame_roll"":0.0,""frame_pitch"":17.650285720825195,""frame_yaw"":-6.6531171798706055,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7734837
48966158612200,fov,2520,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7730859
