truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15475,49425841747100,4.2439,True,udp,127.0.0.1:61331,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1266667,-2.997302424,9.237698122,184.4950973,-8.045583670791316,0.26634869264284255,-7.108112853677368,-3.0390361050438823,1.4190828035282632,-7.321640656282037,-30.527381800080004,-9.615091546512,-2.7641221276248005,32.00579673504,2.7641221276248005,30.69473934192,4.935997697,197.48266225765397,637.2431733648,33.08420425056,129.2544517776,46.95513704,39.34776863,129.286413258,46.949405,39.347334,4.444492046736,30.607403473919998,-0.8952064684608,2.1336544549584002,3.987660874,-1.67125793,2.478742889,5.868663932,569.9533486886269,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1194322909,0.01849927341,0.9753411193,-11.813576761588449,2.4434870900859074,-128.82848858532486,15.773824991593791,2.4434870900859074,-128.82848858532486,27.58740175318224,0.0,0.0,0.8496096992152353,-0.16482662541607634,-1.1997768950957153,-0.22810689846931645,0.03976371418834143,-1.2003758729587102,-1.0777165976845517,0.20459033960441778,-0.000598977840081547,0.496667,0.496667,-4.800000000244778,-8.549999997392172,-3.7500000000121836,-3.7500000000121836,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0042439,200.0000000001819,235.63231932891915,1.1781615966435242,0.9180816875958635,True,-4.784213598554854e-05,-7.99999598894949,-1.204289334921782e-09,7.999995989092544,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.6270377092122755,7.975384601029024,5.250037248,4.301700424999999,-4.800000000244778,-8.549999997392172,-3.7500000000121836,-3.7500000000121836,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,637.2431733648,33.08420425056,129.2544517776,637.2431733648,33.08420425056,129.2544517776,632.9553472327254,38.734405733020694,634.139437172922,-176.49808826698546,126.05445571894656,646.5466352743553,-11.242723357986922,646.5466352743553,False,-13.980750524639461,-0.9931855669854599,-16.178721054986923,-20.480421479986923,31.057687394906175,29.922782733144135,21.60716939465006,-615.3542923482416,153.205485106066,-0.6986442095162877,-0.7768503042962787,-5.0051956
15476,49425845849400,4.1023,True,udp,127.0.0.1:61331,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1316667,-3.043358995,9.237167456,184.4589904,-8.061388556871394,0.273594285980346,-7.144513802052813,-3.3461901221941903,1.6407832795604254,-7.183897534332242,-30.52561155216,-9.613341183744,-2.7632113263984004,32.003582424,2.7632113263984004,30.692804684880002,4.934718999,197.48062550728383,637.0905420216001,33.03613409016,129.26828561328,46.95513567,39.34776799,129.30023157936,46.949405,39.347334,4.444492046736,30.6058817904,-0.8793156631584,2.1342592766088,3.988985276,-1.641686749,2.488803143,5.881218462,569.8807449791194,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1193065176,0.01813494873,0.9756429616,-11.816450406164563,2.3953650561008017,-128.86835755084027,15.757310105892143,2.3953650561008017,-128.86835755084027,27.573760512056705,0.0,0.0,0.8267716677130686,-0.1456331341097887,-1.1772674638345417,-0.2510958940632673,0.05928033606773876,-1.1777861174834239,-1.077867561776336,0.20491347020464387,-0.0005186537615506015,0.496667,0.496667,-4.800000000244778,-8.549999997392172,-3.5999999998971046,-3.5999999998971046,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0041023,200.0000000001819,243.76569241644933,1.218828462081138,0.9205291144236541,True,-4.7850078029640364e-05,-7.999995996239983,8.978355836575247e-10,7.999995996383086,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.6220116229726611,7.9757781666738925,5.24818218,4.302448457,-4.800000000244778,-8.549999997392172,-3.5999999998971046,-3.5999999998971046,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,637.0905420216001,33.03613409016,129.26828561328,637.0905420216001,33.03613409016,129.26828561328,632.8027158895255,38.68633557262069,633.9841557935001,-176.50158189650426,126.06828955462656,646.3970323480966,-11.246609536277024,646.3970323480966,False,-13.982207403788095,-0.9605722965042673,-16.181328535277025,-20.483776992277022,31.05534208936424,29.920065445770565,21.604131632655566,-615.1997161851531,153.1836120572434,-0.6988383427214179,-0.7770902691438267,-5.0010933
15477,49425849347100,3.4977,True,udp,127.0.0.1:61331,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1366667,-3.089527027,9.236636928,184.4226993,-8.078697382679179,0.2817377589575847,-7.180278658413683,-3.6226724875980834,1.611652763961776,-7.109651898529181,-30.52383795144,-9.611533244256,-2.7623115208320006,32.00134769136,2.7623115208320006,30.6908647548,4.933462792,197.47849186975054,636.9379195176001,32.98807276896,129.28211493792,46.95513429,39.34776736,129.31404538968002,46.949405,39.347334,4.444492046736,30.60434660424,-0.8633908818,2.1348782345784,3.990337896,-1.612049098,2.500844576,5.891110467,569.8079516637865,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1192359529,0.01766871279,0.9759018834,-11.813193182542122,2.3337820153680338,-128.9025573913537,15.748079921490273,2.3337820153680338,-128.9025573913537,27.561273104032395,0.0,0.0,0.8062234936848178,-0.14922531058277635,-1.1651812232258894,-0.27178500265561134,0.056010291377452844,-1.1656099062871197,-1.078008496340429,0.2052356019737874,-0.0004286831221068273,0.496667,0.496667,-4.800000000244778,-8.549999997392172,-3.5999999998971046,-3.5999999998971046,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0034977,199.99999999961346,285.9021642793836,1.4295108213996808,0.9240649107470337,True,-4.784233928530057e-05,-7.999995966487179,6.360502124991285e-10,7.999995966630236,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.616959647152734,7.976170548382866,5.246299032,4.303174135999999,-4.800000000244778,-8.549999997392172,-3.5999999998971046,-3.5999999998971046,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,636.9379195176001,32.98807276896,129.28211493792,636.9379195176001,32.98807276896,129.28211493792,632.6500933855256,38.6382742514207,633.8288861339803,-176.50507648897891,126.08211887926656,646.2474430115199,-11.25049691882703,646.2474430115199,False,-13.983568358729485,-0.92777578897892,-16.183959710827033,-20.487133846827028,31.052989881832065,29.917339105101306,21.601100309797474,-615.0454091085816,153.16070524876727,-0.699027405478666,-0.7773311921390162,-4.9975956
15478,49425858057200,8.7101,True,udp,127.0.0.1:61331,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1416667,-3.135813329,9.236108185,184.3862263,-8.097379049741566,0.2897343438908012,-7.215672054776811,-3.8945743115420406,1.5819368848858155,-7.035295366744872,-30.5220636192,-9.609664146648,-2.7614213442024003,31.999093908720003,2.7614213442024003,30.68892186816,4.932226439,197.47625389660277,636.7853058528,32.9400206832,129.29593975152002,46.95513292,39.34776673,129.32785471944,46.949405,39.347334,4.444492046736,30.6027998052,-0.8474376184056,2.1355137133176,3.991722938,-1.582355089,2.512903748,5.900439568,569.7350530118838,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1191738618,0.01720177406,0.9761688176,-11.809886952862149,2.2721061464776655,-128.93781555275382,15.739962023799741,2.2721061464776655,-128.93781555275382,27.549848976661888,0.0,0.0,0.7860080745304993,-0.15288502116126118,-1.1530754197912236,-0.29213209179881855,0.052674137831055214,-1.1534158643222316,-1.0781401664648995,0.2055591589787582,-0.0003404444723011491,0.496667,0.496667,-4.800000000244778,-8.549999997392172,-3.5999999998971046,-3.5999999998971046,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0087101,200.0000000001819,114.80924444036233,0.5740462222012895,0.9180719143840712,True,-4.7863815121340636e-05,-7.999995967722326,-8.002446483246217e-10,7.99999596786551,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.6118821001947138,7.9765616727112665,5.244385247,4.303881746000001,-4.800000000244778,-8.549999997392172,-3.5999999998971046,-3.5999999998971046,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,636.7853058528,32.9400206832,129.29593975152002,636.7853058528,32.9400206832,129.29593975152002,632.4974797207254,38.59022216566069,633.6736282187105,-176.50857200917542,126.09594369286658,646.0978672892049,-11.254385505824612,646.0978672892049,False,-13.984825905778166,-0.8947983091754281,-16.186611944824612,-20.490493690824614,31.05063318586626,29.91460634305715,21.598073525682782,-614.8913913020654,153.13668405210723,-0.6992110545164194,-0.7775729966378796,-4.9888855
15479,49425870171800,12.1146,True,udp,127.0.0.1:61331,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1466667,-3.182224413,9.235580224,184.3495733,-8.117410788715773,0.2975811954715851,-7.2506934468322966,-4.161958015486009,1.551674614348811,-6.960834894686949,-30.520288768800004,-9.607733747664,-2.7605411637936004,31.996821319920002,2.7605411637936004,30.68697629928,4.93101056,197.47391118677004,636.6327010272,32.89197807672,129.309760176,46.95513155,39.3477661,129.3416596296,46.949405,39.347334,4.444492046736,30.601241698080003,-0.831457284504,2.1361648654824004,3.99313879,-1.552607319,2.524982317,5.909204362,569.6620600358708,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1191196094,0.01673417353,0.9764433536,-11.806534470573817,2.2103428646946917,-128.97407781121913,15.732873070940364,2.2103428646946917,-128.97407781121913,27.53940753706596,0.0,0.0,0.7661215229844733,-0.1566082363543007,-1.1409511654368447,-0.31214175581758863,0.049275487354676614,-1.1412051232900013,-1.0782632789376436,0.20588372362762825,-0.0002539578741717483,0.496667,0.496667,-4.800000000244778,-8.549999997392172,-3.5999999998971046,-3.5999999998971046,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0121146,200.0000000001819,82.54502831294471,0.4127251415643482,0.9061174143288065,True,-4.7832461897767686e-05,-7.999995994163194,-6.755385140166936e-11,7.9999959943061905,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.6067792449567894,7.976951471019159,5.242441434,4.304569664,-4.800000000244778,-8.549999997392172,-3.5999999998971046,-3.5999999998971046,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,636.6327010272,32.89197807672,129.309760176,636.6327010272,32.89197807672,129.309760176,632.3448748951255,38.542179559180695,633.5183820626708,-176.5120684355823,126.10976411734656,645.9483052203457,-11.258275308225327,645.9483052203457,False,-13.985979622352374,-0.8616417355823387,-16.189285868225326,-20.493855532225325,31.048272219800232,29.911867298631623,21.595051180569254,-614.7376637376185,153.1115449393635,-0.6993892705843001,-0.7778157193018885,-4.9767709
15480,49425877097000,6.9252,True,udp,127.0.0.1:61331,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1516667,-3.228766672,9.235052025,184.3127423,-8.13747530660544,0.30583619176156124,-7.285268722489338,-2.617169604978832,2.192180990852052,-6.797779528672305,-30.518515991040005,-9.605745403152,-2.7596547127344,31.994533338720004,2.7596547127344,30.68502929784,4.929785718,197.4714680374358,636.4801053456001,32.843945254320005,129.32357618088,46.95513017,39.34776547,129.35546015064,46.949405,39.347334,4.444492046736,30.599672343840002,-0.8154489205848001,2.1368478216984,3.994615505,-1.52280391,2.562487723,5.921018935,569.5890187007963,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1190598442,0.01645942601,0.9753505281,-11.804824614218907,2.17405268073888,-128.82973132947973,15.72195725964672,2.17405268073888,-128.82973132947973,27.526781873865627,0.0,0.0,0.8618958387749722,-0.09953422466423585,-1.1144931797347286,-0.19720986623639838,0.10665759430182953,-1.1146560070979787,-1.0591057050113708,0.2061918190202981,-0.00016282738033355018,0.487778,0.487778,-4.9499999997868995,-8.549999997392172,-3.449999999782026,-3.449999999782026,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0069252,199.99999999961346,144.40016172818113,0.7220008086423011,0.9036021629313613,True,-4.784760240011954e-05,-7.999995995025739,-2.1169782593588593e-09,7.999995995168826,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.6016513583152368,7.9773398740521575,5.240436519999999,4.305266307,-4.9499999997868995,-8.549999997392172,-3.449999999782026,-3.449999999782026,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,636.4801053456001,32.843945254320005,129.32357618088,636.4801053456001,32.843945254320005,129.32357618088,632.1922792135256,38.494146736780706,633.3631479887231,-176.51556574283794,126.12358012222656,645.798757116358,-11.262166318398448,645.798757116358,False,-13.987033780273748,-0.8283080428379321,-16.191952036398447,-20.497218343398448,31.045909788242366,29.909127898652322,21.59202900548154,-614.5842151360031,153.0853348163962,-0.6995623367718419,-0.7780579930758759,-4.9698457
15481,49425883677500,6.5805,True,udp,127.0.0.1:61331,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1566667,-3.275421054,9.234532396,184.2757359,-8.151179018940903,0.31671347435927577,-7.319102080827042,-2.912708291682558,2.1519118325143403,-6.723100708128235,-30.5167422684,-9.603705327984,-2.7587292478848005,31.992228959280002,2.7587292478848005,30.683075286,4.928493853,197.46893665260114,636.3275181984001,32.7959225208,129.33738761376,46.9551288,39.34776484,129.36925609968,46.949405,39.347334,4.444492046736,30.598083604320003,-0.7994089870056,2.1375998678448003,3.996223637,-1.492938502,2.575556324,5.928834054,569.5157212063363,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1187506629,0.01599008877,0.9756783655,-11.801116443233775,2.112060003722385,-128.87303392174218,15.681418934639082,2.112060003722385,-128.87303392174218,27.482535377872857,0.0,0.0,0.8401802021798804,-0.10388983182649052,-1.1023732096294845,-0.21934558065178458,0.1024352168885476,-1.1024132537125884,-1.0595257828316649,0.2063250487421545,-4.004412181257034e-05,0.487778,0.487778,-4.9499999997868995,-8.549999997392172,-3.449999999782026,-3.449999999782026,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0065805,200.0000000001819,151.96413646379455,0.7598206823182816,0.9017344360189073,True,-4.786178176804934e-05,-7.999995996448445,-1.747538003193938e-09,7.9999959965916165,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.5964988007869014,7.977726806789316,5.238308759000001,4.3060385430000006,-4.9499999997868995,-8.549999997392172,-3.449999999782026,-3.449999999782026,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,636.3275181984001,32.7959225208,129.33738761376,636.3275181984001,32.7959225208,129.33738761376,632.0396920663255,38.44612400326069,633.207925406947,-176.519063900525,126.13739155510656,645.6492223696207,-11.266058533912547,645.6492223696207,False,-13.988000553126142,-0.7947998005249701,-16.194552386912548,-20.500590929912548,31.043543271326442,29.90639197227812,21.589004215824783,-614.4310122406686,153.0581849986374,-0.699730826302353,-0.778296923133463,-4.9632652
15482,49425888645100,4.9676,True,udp,127.0.0.1:61331,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1616667,-3.322174451,9.23402718,184.2385566,-8.166349377181188,0.3273880472392704,-7.352561847764007,-3.2029639098824676,2.11099728477591,-6.648332723892087,-30.51495589656,-9.601602494496001,-2.7578146750632,31.98989379504,2.7578146750632,30.681106552320003,4.927225883,197.4663045417861,636.1749401952,32.74791012,129.35119447464,46.95512743,39.34776421,129.38304744624,46.949405,39.347334,4.444492046736,30.596470877040005,-0.7833457910904,2.138372633076,3.997873662,-1.463026941,2.588552023,5.936096447,569.4418831437523,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184686868,0.01552019358,0.9760158294,-11.797336282230026,2.0499936290149905,-128.91760803815336,15.644450876850053,2.0499936290149905,-128.91760803815336,27.441787159080082,0.0,0.0,0.8188293711815287,-0.10833189871293587,-1.090236294647104,-0.2410865611450392,0.09814041807992653,-1.0901561992950608,-1.0599159323265679,0.20647231673862967,8.009531389034491e-05,0.487778,0.487778,-4.9499999997868995,-8.549999997392172,-3.449999999782026,-3.449999999782026,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0049676,200.0000000001819,201.30445285449716,1.0065222642715703,0.9027652823853434,True,-4.78510149613115e-05,-7.999995964274165,-2.1480751621894e-09,7.999995964417272,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.591321919078584,7.978112195947252,5.236153518,4.306801297,-4.9499999997868995,-8.549999997392172,-3.449999999782026,-3.449999999782026,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,636.1749401952,32.74791012,129.35119447464,636.1749401952,32.74791012,129.35119447464,631.8871140631254,38.3981116024607,633.0527149405966,-176.52256289040952,126.15119841598657,645.4997015920688,-11.26995194457011,645.4997015920688,False,-13.988867432195605,-0.7611194904095555,-16.19717782757011,-20.503979124570108,31.04116032932727,29.903637674052995,21.585992601567693,-614.2780891578556,153.02996136127723,-0.6998938021503975,-0.7785366362383674,-4.9582976
15483,49425894067600,5.4225,True,udp,127.0.0.1:61331,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1666667,-3.369033842,9.233535123,184.2012061,-8.182960168507163,0.3378567768953636,-7.385647610770624,-3.488031251435061,2.069481210420769,-6.573482921282794,-30.5131581252,-9.59943685392,-2.7569116032600003,31.987528912800002,2.7569116032600003,30.67912437696,4.925982719,197.46357078825818,636.0223707264,32.69990841768,129.36499676352003,46.95512606,39.34776358,129.39683428176002,46.949405,39.347334,4.444492046736,30.59483544216,-0.7672607544264001,2.1391650161496,3.999563377,-1.433071766,2.601479,5.942803869,569.3675509568957,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1182118355,0.01504978263,0.9763624122,-11.79348855718816,1.9878591311280243,-128.9633865995313,15.610780103367334,1.9878591311280243,-128.9633865995313,27.404268660555495,0.0,0.0,0.7978385914686993,-0.11285495173737452,-1.078083633601817,-0.26243980061839445,0.09377729077851418,-1.077886038185427,-1.0602783920870937,0.2066322425158887,0.0001975953594457213,0.487778,0.487778,-4.9499999997868995,-8.549999997392172,-3.449999999782026,-3.449999999782026,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0054225,200.0000000001819,184.41678192715537,0.9220839096349381,0.902972545133363,True,-4.7842228171626755e-05,-7.999996003282816,1.4018664007409143e-10,7.9999960034258715,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.5861209486079955,7.978495977106708,5.233971746,4.307552403999999,-4.9499999997868995,-8.549999997392172,-3.449999999782026,-3.449999999782026,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,636.0223707264,32.69990841768,129.36499676352003,636.0223707264,32.69990841768,129.36499676352003,631.7345445943255,38.350109900140694,632.8975160033042,-176.5260626765207,126.16500070486659,645.3501942093236,-11.273846561144486,645.3501942093236,False,-13.989633464778876,-0.7272687765207024,-16.199829280144485,-20.507381684144484,31.03876222289139,29.900866118059376,21.582993337425375,-614.1254473625128,153.0006557663924,-0.70005124759198,-0.7787772086722746,-4.9528751
15484,49425900287700,6.2201,True,udp,127.0.0.1:61331,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1716667,-3.416006075,9.233054955,184.1636865,-8.199718530842853,0.3475669595904824,-7.418333649771468,-2.2519413603530034,1.3681145985902252,-6.468322270482795,-30.51134782656,-9.597208195944,-2.7560378977176,31.985133306719998,2.7560378977176,30.6771292476,4.924796297,197.4607357357921,635.8698107064,32.651917688160005,129.37879457184002,46.95512468,39.34776295,129.41061660624,46.949405,39.347334,4.444492046736,30.593179037040002,-0.7511542488696,2.1399585461856,4.001258133,-1.403073593,2.58765421,5.950585654,569.2927442766727,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1180343452,0.01466406228,0.978126842,-11.782159034594969,1.9369110374175356,-129.19644231910186,15.587572089806745,1.9369110374175356,-129.19644231910186,27.36973112884993,0.0,0.0,0.8901918389431622,-0.17740134364028046,-1.061109568009829,-0.17042339675805068,0.02940192736469705,-1.0608030902435532,-1.0606152357012129,0.2068032710863266,0.00030647774024399445,0.487778,0.487778,-4.9499999997868995,-8.400000001860755,-3.449999999782026,-3.449999999782026,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0062201,199.99999999961346,160.76911946753268,0.8038455973392169,0.901754538325703,True,-4.783406655799183e-05,-7.999996012346037,-1.3875948168262653e-09,7.999996012489044,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.5808961805863528,7.978878082192085,5.231796822,4.308258658,-4.9499999997868995,-8.400000001860755,-3.449999999782026,-3.449999999782026,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,635.8698107064,32.651917688160005,129.37879457184002,635.8698107064,32.651917688160005,129.37879457184002,631.5819845743255,38.3021191706207,632.7423295242731,-176.5295632394838,126.17879851318658,645.2007011512272,-11.277742376075496,645.2007011512272,False,-13.990298975275891,-0.6932497394838038,-16.202538673075495,-20.510797331075494,31.03634782760216,29.898072707224763,21.580009770841073,-613.9730870749407,152.97027135842822,-0.7002031434833452,-0.7790201755460782,-4.946655
