recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
49582097975500,fov,2545,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9996634
49582098169600,gimbal,2545,"{""imu_roll"":0.0,""imu_pitch"":20.7967529296875,""imu_yaw"":5.555909633636475,""frame_roll"":0.0,""frame_pitch"":20.7967529296875,""frame_yaw"":5.555909633636475,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9994693
49582101396000,range,1057,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94833755493164,""y"":39.348567962646484}",-4.9962429
49582108120600,range,1058,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94833755493164,""y"":39.348567962646484}",-4.9895183
49582124357600,target_offset,378,"{""x_angle_offset"":0.06077796220779419,""y_angle_offset"":0.13687675793965656}",-4.9732813
49582129417500,gimbal,2546,"{""imu_roll"":0.0,""imu_pitch"":20.82159996032715,""imu_yaw"":5.556929588317871,""frame_roll"":0.0,""frame_pitch"":20.82159996032715,""frame_yaw"":5.556929588317871,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9682214
49582129598000,fov,2546,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9680409
49582147104400,attitude,988,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111370,""roll"":-0.08788768202066422,""pitch"":0.16762804985046387,""yaw"":3.127361536026001,""rollspeed"":-0.06875597685575485,""pitchspeed"":0.0014352421276271343,""yawspeed"":-0.053625233471393585}",-4.9505345
49582157298600,gimbal,2547,"{""imu_roll"":0.0,""imu_pitch"":20.84808349609375,""imu_yaw"":5.569598197937012,""frame_roll"":0.0,""frame_pitch"":20.84808349609375,""frame_yaw"":5.569598197937012,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9403403
49582157625500,fov,2547,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9400134
49582160395800,target_offset,379,"{""x_angle_offset"":0.08356969803571701,""y_angle_offset"":0.12927249360967566}",-4.9372431
49582183401900,gimbal,2548,"{""imu_roll"":0.0,""imu_pitch"":20.877086639404297,""imu_yaw"":5.5893120765686035,""frame_roll"":0.0,""frame_pitch"":20.877086639404297,""frame_yaw"":5.5893120765686035,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.914237
49582183700700,fov,2548,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9139382
49582191076200,position,494,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543186,""lon"":393495720}",-4.9065627
49582191386500,attitude,989,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111410,""roll"":-0.0922175869345665,""pitch"":0.16737081110477448,""yaw"":3.12446928024292,""rollspeed"":-0.06307008862495422,""pitchspeed"":0.002910768613219261,""yawspeed"":-0.05556412413716316}",-4.9062524
49582191506200,vfr,494,"{""message_type"":""VFR_HUD"",""airspeed"":29.123294830322266,""alt"":183.01998901367188}",-4.9061327
49582210198600,gimbal,2549,"{""imu_roll"":0.0,""imu_pitch"":20.9003963470459,""imu_yaw"":5.62980842590332,""frame_roll"":0.0,""frame_pitch"":20.9003963470459,""frame_yaw"":5.62980842590332,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8874403
49582210535200,fov,2549,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8871037
49582213158700,target_offset,380,"{""x_angle_offset"":0.08356969803571701,""y_angle_offset"":0.13687675793965656}",-4.8844802
49582242129900,target_offset,381,"{""x_angle_offset"":0.13675041496753693,""y_angle_offset"":0.13687675793965656}",-4.855509
49582245258400,gimbal,2550,"{""imu_roll"":0.0,""imu_pitch"":20.939985275268555,""imu_yaw"":5.655618667602539,""frame_roll"":0.0,""frame_pitch"":20.939985275268555,""frame_yaw"":5.655618667602539,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8523805
49582245403300,fov,2550,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8522356
49582256393200,range,1059,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948280334472656,""y"":39.34859848022461}",-4.8412457
49582256898700,attitude,990,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111470,""roll"":-0.09825874865055084,""pitch"":0.1670759618282318,""yaw"":3.1200449466705322,""rollspeed"":-0.05355175957083702,""pitchspeed"":0.0054703932255506516,""yawspeed"":-0.05788720026612282}",-4.8407402
49582264527900,gimbal,2551,"{""imu_roll"":0.0,""imu_pitch"":20.963031768798828,""imu_yaw"":5.6821722984313965,""frame_roll"":0.0,""frame_pitch"":20.963031768798828,""frame_yaw"":5.6821722984313965,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.833111
49582264935200,fov,2551,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8327037
