recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
49740527421700,target_offset,342,"{""x_angle_offset"":0.09876418858766556,""y_angle_offset"":0.09125117195977105}",-5.003341
49740538486600,fov,2723,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9922761
49740538740900,gimbal,2723,"{""imu_roll"":0.0,""imu_pitch"":21.86642074584961,""imu_yaw"":-1.1513593196868896,""frame_roll"":0.0,""frame_pitch"":21.86642074584961,""frame_yaw"":-1.1513593196868896,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9920218
49740556950900,fov,2724,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9738118
49740557321700,gimbal,2724,"{""imu_roll"":0.0,""imu_pitch"":21.87645149230957,""imu_yaw"":-1.1592974662780762,""frame_roll"":0.0,""frame_pitch"":21.87645149230957,""frame_yaw"":-1.1592974662780762,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.973441
49740567129700,attitude,989,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111770,""roll"":0.1119890809059143,""pitch"":0.16763494908809662,""yaw"":-3.0028324127197266,""rollspeed"":0.11120554804801941,""pitchspeed"":0.0035704730544239283,""yawspeed"":0.07740594446659088}",-4.963633
49740568220100,target_offset,343,"{""x_angle_offset"":0.07597245275974274,""y_angle_offset"":0.09885543628975196}",-4.9625426
49740579307200,fov,2725,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9514555
49740579563200,gimbal,2725,"{""imu_roll"":0.0,""imu_pitch"":21.898115158081055,""imu_yaw"":-1.1590304374694824,""frame_roll"":0.0,""frame_pitch"":21.898115158081055,""frame_yaw"":-1.1590304374694824,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9511995
49740593872600,fov,2726,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9368901
49740594100500,gimbal,2726,"{""imu_roll"":0.0,""imu_pitch"":21.909812927246094,""imu_yaw"":-1.168198585510254,""frame_roll"":0.0,""frame_pitch"":21.909812927246094,""frame_yaw"":-1.168198585510254,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9366622
49740605210300,target_offset,344,"{""x_angle_offset"":0.06077796220779419,""y_angle_offset"":0.09125117195977105}",-4.9255524
49740608341900,vfr,495,"{""message_type"":""VFR_HUD"",""airspeed"":28.1466064453125,""alt"":189.72999572753906}",-4.9224208
49740608414500,position,495,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542796,""lon"":393489259}",-4.9223482
49740608553600,attitude,990,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111810,""roll"":0.1184474527835846,""pitch"":0.1673409789800644,""yaw"":-2.999068021774292,""rollspeed"":0.10742820799350739,""pitchspeed"":0.0035872147418558598,""yawspeed"":0.08181075751781464}",-4.9222091
49740615945500,fov,2727,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9148172
49740616209700,gimbal,2727,"{""imu_roll"":0.0,""imu_pitch"":21.92836570739746,""imu_yaw"":-1.176872968673706,""frame_roll"":0.0,""frame_pitch"":21.92836570739746,""frame_yaw"":-1.176872968673706,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.914553
49740631098600,fov,2728,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8996641
49740631388500,gimbal,2728,"{""imu_roll"":0.0,""imu_pitch"":21.938589096069336,""imu_yaw"":-1.1912145614624023,""frame_roll"":0.0,""frame_pitch"":21.938589096069336,""frame_yaw"":-1.1912145614624023,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8993742
49740642836800,target_offset,345,"{""x_angle_offset"":0.03798622637987137,""y_angle_offset"":0.09125117195977105}",-4.8879259
49740653658700,fov,2729,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.877104
49740653854300,gimbal,2729,"{""imu_roll"":0.0,""imu_pitch"":21.95563316345215,""imu_yaw"":-1.2026578187942505,""frame_roll"":0.0,""frame_pitch"":21.95563316345215,""frame_yaw"":-1.2026578187942505,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8769084
49740659472100,range,1081,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948246002197266,""y"":39.34823989868164}",-4.8712906
49740667606200,fov,2730,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8631565
49740667810200,gimbal,2730,"{""imu_roll"":0.0,""imu_pitch"":21.963979721069336,""imu_yaw"":-1.217056155204773,""frame_roll"":0.0,""frame_pitch"":21.963979721069336,""frame_yaw"":-1.217056155204773,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8629525
49740678783000,range,1082,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948246002197266,""y"":39.34823989868164}",-4.8519797
49740678966200,attitude,991,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111870,""roll"":0.12782461941242218,""pitch"":0.1668197065591812,""yaw"":-2.993151903152466,""rollspeed"":0.09996877610683441,""pitchspeed"":0.0034742674324661493,""yawspeed"":0.08781693130731583}",-4.8517965
49740680423200,target_offset,346,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":0.09125117195977105}",-4.8503395
49740690417000,fov,2731,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8403457
49740690719200,gimbal,2731,"{""imu_roll"":0.0,""imu_pitch"":21.981491088867188,""imu_yaw"":-1.2344334125518799,""frame_roll"":0.0,""frame_pitch"":21.981491088867188,""frame_yaw"":-1.2344334125518799,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8400435
49740703936000,fov,2732,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8268267
49740704882400,gimbal,2732,"{""imu_roll"":0.0,""imu_pitch"":21.98944854736328,""imu_yaw"":-1.2515839338302612,""frame_roll"":0.0,""frame_pitch"":21.98944854736328,""frame_yaw"":-1.2515839338302612,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8258803
49740720371300,fov,2733,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8103914
