recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
52031063828000,fov,2627,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-5.0000992
52031064343200,gimbal,2627,"{""imu_roll"":0.0,""imu_pitch"":22.475048065185547,""imu_yaw"":-0.31777676939964294,""frame_roll"":0.0,""frame_pitch"":22.475048065185547,""frame_yaw"":-0.31777676939964294,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.999584
52031070058200,target_offset,374,"{""x_angle_offset"":-0.02279173582792282,""y_angle_offset"":0.06843837896982828}",-4.993869
52031088466400,fov,2628,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9754608
52031088899500,gimbal,2628,"{""imu_roll"":0.0,""imu_pitch"":22.48555564880371,""imu_yaw"":-0.32042205333709717,""frame_roll"":0.0,""frame_pitch"":22.48555564880371,""frame_yaw"":-0.32042205333709717,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9750277
52031111414900,range,1071,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94878387451172,""y"":39.34855651855469}",-4.9525123
52031113855300,fov,2629,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9500719
52031114168500,gimbal,2629,"{""imu_roll"":0.0,""imu_pitch"":22.49559211730957,""imu_yaw"":-0.32288992404937744,""frame_roll"":0.0,""frame_pitch"":22.49559211730957,""frame_yaw"":-0.32288992404937744,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9497587
52031119197100,target_offset,375,"{""x_angle_offset"":-0.015194490551948547,""y_angle_offset"":0.060834114639847364}",-4.9447301
52031121918100,range,1072,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94878387451172,""y"":39.34855651855469}",-4.9420091
52031122248900,attitude,1006,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112570,""roll"":-0.007739088498055935,""pitch"":0.16256707906723022,""yaw"":-3.0569522380828857,""rollspeed"":-0.0007109397556632757,""pitchspeed"":0.0005798266502097249,""yawspeed"":-0.001993560930714011}",-4.9416783
52031144735700,fov,2630,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9191915
52031145136300,gimbal,2630,"{""imu_roll"":0.0,""imu_pitch"":22.509685516357422,""imu_yaw"":-0.3248427212238312,""frame_roll"":0.0,""frame_pitch"":22.509685516357422,""frame_yaw"":-0.3248427212238312,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9187909
52031148013800,target_offset,376,"{""x_angle_offset"":-0.015194490551948547,""y_angle_offset"":0.06843837896982828}",-4.9159134
52031165452500,position,504,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540180,""lon"":393491983}",-4.8984747
52031165678200,attitude,1007,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112610,""roll"":-0.007785223424434662,""pitch"":0.16257791221141815,""yaw"":-3.057166576385498,""rollspeed"":-0.00044025154784321785,""pitchspeed"":0.000373439776012674,""yawspeed"":-0.002060860162600875}",-4.898249
52031165754100,vfr,504,"{""message_type"":""VFR_HUD"",""airspeed"":26.781126022338867,""alt"":194.97999572753906}",-4.8981731
52031167085500,fov,2631,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8968417
52031167272600,gimbal,2631,"{""imu_roll"":0.0,""imu_pitch"":22.5235652923584,""imu_yaw"":-0.3260144293308258,""frame_roll"":0.0,""frame_pitch"":22.5235652923584,""frame_yaw"":-0.3260144293308258,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8966546
52031190253100,fov,2632,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8736741
52031190603300,gimbal,2632,"{""imu_roll"":0.0,""imu_pitch"":22.53289031982422,""imu_yaw"":-0.32668739557266235,""frame_roll"":0.0,""frame_pitch"":22.53289031982422,""frame_yaw"":-0.32668739557266235,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8733239
52031198320500,target_offset,377,"{""x_angle_offset"":-0.015194490551948547,""y_angle_offset"":0.06843837896982828}",-4.8656067
52031220150800,fov,2633,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8437764
52031220886400,gimbal,2633,"{""imu_roll"":0.0,""imu_pitch"":22.548828125,""imu_yaw"":-0.3275284469127655,""frame_roll"":0.0,""frame_pitch"":22.548828125,""frame_yaw"":-0.3275284469127655,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8430408
52031223248800,target_offset,378,"{""x_angle_offset"":-0.007597245275974274,""y_angle_offset"":0.0760426432998092}",-4.8406784
52031230962800,attitude,1008,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112670,""roll"":-0.00785146001726389,""pitch"":0.16272006928920746,""yaw"":-3.057490825653076,""rollspeed"":-0.0001566377468407154,""pitchspeed"":-0.00036722022923640907,""yawspeed"":-0.0022042503114789724}",-4.8329644
52031239495900,fov,2634,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8244313
