recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
53935180996800,range,1005,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.949127197265625,""y"":39.348793029785156}",-5.0017557
53935188468100,range,1006,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.949127197265625,""y"":39.348793029785156}",-4.9942844
53935207670400,fov,2457,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9750821
53935207954800,gimbal,2457,"{""imu_roll"":0.0,""imu_pitch"":20.09455108642578,""imu_yaw"":-7.593678951263428,""frame_roll"":0.0,""frame_pitch"":20.09455108642578,""frame_yaw"":-7.593678951263428,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9747977
53935209434900,attitude,977,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111370,""roll"":-0.22483474016189575,""pitch"":0.1512071043252945,""yaw"":-3.0481131076812744,""rollspeed"":-0.04864531010389328,""pitchspeed"":0.016811424866318703,""yawspeed"":-0.2057463824748993}",-4.9733176
53935210620300,target_offset,193,"{""x_angle_offset"":-1.663796715438366,""y_angle_offset"":-0.2965663088692559}",-4.9721322
53935231392200,fov,2458,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9513603
53935231798400,gimbal,2458,"{""imu_roll"":0.0,""imu_pitch"":20.02496910095215,""imu_yaw"":-7.981594562530518,""frame_roll"":0.0,""frame_pitch"":20.02496910095215,""frame_yaw"":-7.981594562530518,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9509541
53935249251100,position,489,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469551485,""lon"":393491815}",-4.9335014
53935249707600,attitude,978,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111410,""roll"":-0.23194248974323273,""pitch"":0.15006709098815918,""yaw"":-3.056508779525757,""rollspeed"":-0.06041865050792694,""pitchspeed"":0.02155340276658535,""yawspeed"":-0.2074725329875946}",-4.9330449
