event_monotonic_ns,event,value_json,session_time_s
54284973791400,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""predictive_correlator_drift_125.8px"",""count"":9,""operator_like"":true,""tracker_state_preserved"":true}",-4.7587761
54284973966300,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":1256,""pixel_y"":643,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-4.7586012
54284973999100,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":9,""operator_like"":true,""control_interruption"":false}",-4.7585684
54285175730200,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.9508961872292835,""allowed_low"":0.95,""allowed_high"":1.05}",-4.5568373
54286100768500,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""predictive_correlator_drift_421.8px"",""count"":10,""operator_like"":true,""tracker_state_preserved"":true}",-3.631799
54286101272900,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":737,""pixel_y"":377,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-3.6312946
54286101551300,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":10,""operator_like"":true,""control_interruption"":false}",-3.6310162
54287041514700,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9245617250866238,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":199.99999999961346,""receive_rate_hz"":307.7964849641417}",-2.6910528
54287173804900,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""predictive_correlator_drift_611.2px"",""count"":11,""operator_like"":true,""tracker_state_preserved"":true}",-2.5587626
54287174088500,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":1111,""pixel_y"":796,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-2.558479
54287174128500,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":11,""operator_like"":true,""control_interruption"":false}",-2.558439
