recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
1356220012200,gimbal,2494,"{""imu_roll"":0.0,""imu_pitch"":11.325470924377441,""imu_yaw"":25.140045166015625,""frame_roll"":0.0,""frame_pitch"":11.325470924377441,""frame_yaw"":25.140045166015625,""pitch_speed"":0.0,""yaw_speed"":0.0}",-5.0017868
1356220259500,fov,2494,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-5.0015395
1356229455600,target_offset,104,"{""x_angle_offset"":0.8432942256331444,""y_angle_offset"":-0.5931326177385118}",-4.9923434
1356241112400,gimbal,2495,"{""imu_roll"":0.0,""imu_pitch"":11.194215774536133,""imu_yaw"":25.321123123168945,""frame_roll"":0.0,""frame_pitch"":11.194215774536133,""frame_yaw"":25.321123123168945,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9806866
1356241292300,fov,2495,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9805067
1356252995400,position,471,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469548937,""lon"":393495472}",-4.9688036
1356253122700,attitude,939,"{""message_type"":""ATTITUDE"",""time_boot_ms"":109310,""roll"":0.2306855469942093,""pitch"":0.16645972430706024,""yaw"":2.9047701358795166,""rollspeed"":0.25211817026138306,""pitchspeed"":0.02257678657770157,""yawspeed"":-0.051469363272190094}",-4.9686763
1356253392300,vfr,471,"{""message_type"":""VFR_HUD"",""airspeed"":30.699323654174805,""alt"":174.8199920654297}",-4.9684067
1356263551300,gimbal,2496,"{""imu_roll"":0.0,""imu_pitch"":11.081367492675781,""imu_yaw"":25.490245819091797,""frame_roll"":0.0,""frame_pitch"":11.081367492675781,""frame_yaw"":25.490245819091797,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9582477
1356264247100,fov,2496,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9575519
1356270457100,target_offset,105,"{""x_angle_offset"":0.7369327917695045,""y_angle_offset"":-0.5551112960886072}",-4.9513419
1356285386700,gimbal,2497,"{""imu_roll"":0.0,""imu_pitch"":10.961114883422852,""imu_yaw"":25.646514892578125,""frame_roll"":0.0,""frame_pitch"":10.961114883422852,""frame_yaw"":25.646514892578125,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9364123
1356285659200,fov,2497,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9361398
1356309576500,gimbal,2498,"{""imu_roll"":0.0,""imu_pitch"":10.869680404663086,""imu_yaw"":25.771869659423828,""frame_roll"":0.0,""frame_pitch"":10.869680404663086,""frame_yaw"":25.771869659423828,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9122225
