recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
2287136502600,range,1042,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.946449279785156,""y"":39.348636627197266}",-4.9944307
2287141447900,gimbal,2589,"{""imu_roll"":0.0,""imu_pitch"":15.839996337890625,""imu_yaw"":-0.958264172077179,""frame_roll"":0.0,""frame_pitch"":15.839996337890625,""frame_yaw"":-0.958264172077179,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9894854
2287142253300,fov,2589,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.98868
2287150634400,range,1043,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.946449279785156,""y"":39.348636627197266}",-4.9802989
2287167055700,gimbal,2590,"{""imu_roll"":0.0,""imu_pitch"":15.87968921661377,""imu_yaw"":-0.9705570340156555,""frame_roll"":0.0,""frame_pitch"":15.87968921661377,""frame_yaw"":-0.9705570340156555,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9638776
2287170204300,fov,2590,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.960729
2287174892900,target_offset,319,"{""x_angle_offset"":-0.053180716931819916,""y_angle_offset"":0.22812792989942762}",-4.9560404
2287177555200,attitude,997,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112170,""roll"":-0.007333531975746155,""pitch"":0.1582268327474594,""yaw"":-3.072873592376709,""rollspeed"":-0.00900772400200367,""pitchspeed"":0.024025578051805496,""yawspeed"":0.004052664153277874}",-4.9533781
2287198295200,gimbal,2591,"{""imu_roll"":0.0,""imu_pitch"":15.947249412536621,""imu_yaw"":-0.9851389527320862,""frame_roll"":0.0,""frame_pitch"":15.947249412536621,""frame_yaw"":-0.9851389527320862,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9326381
2287198737100,fov,2591,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9321962
