recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
2435997195400,target_offset,308,"{""x_angle_offset"":-0.03798622637987137,""y_angle_offset"":0.1444810222696375}",-5.00272
2436004767600,vfr,497,"{""message_type"":""VFR_HUD"",""airspeed"":30.418704986572266,""alt"":168.5699920654297}",-4.9951478
2436004917800,position,497,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542559,""lon"":393492536}",-4.9949976
2436005018900,attitude,990,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111810,""roll"":-0.003618671791628003,""pitch"":0.17218321561813354,""yaw"":-3.053328275680542,""rollspeed"":-0.003927482292056084,""pitchspeed"":0.007761335000395775,""yawspeed"":0.004848006181418896}",-4.9948965
2436017720900,fov,2594,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9821945
2436018160100,gimbal,2594,"{""imu_roll"":0.0,""imu_pitch"":18.934154510498047,""imu_yaw"":-0.48748084902763367,""frame_roll"":0.0,""frame_pitch"":18.934154510498047,""frame_yaw"":-0.48748084902763367,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9817553
2436022882900,target_offset,309,"{""x_angle_offset"":-0.03798622637987137,""y_angle_offset"":0.13687675793965656}",-4.9770325
2436042288700,fov,2595,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9576267
2436042589500,gimbal,2595,"{""imu_roll"":0.0,""imu_pitch"":18.962495803833008,""imu_yaw"":-0.49416640400886536,""frame_roll"":0.0,""frame_pitch"":18.962495803833008,""frame_yaw"":-0.49416640400886536,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9573259
2436065834800,range,1040,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94740676879883,""y"":39.34844207763672}",-4.9340806
2436066853100,fov,2596,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9330623
2436067087200,gimbal,2596,"{""imu_roll"":0.0,""imu_pitch"":18.982561111450195,""imu_yaw"":-0.5008558034896851,""frame_roll"":0.0,""frame_pitch"":18.982561111450195,""frame_yaw"":-0.5008558034896851,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9328282
2436071626900,range,1041,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94740676879883,""y"":39.34844207763672}",-4.9282885
2436071726600,attitude,991,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111870,""roll"":-0.0035494465846568346,""pitch"":0.1721324771642685,""yaw"":-3.053104877471924,""rollspeed"":-0.004267304670065641,""pitchspeed"":0.007625539321452379,""yawspeed"":0.004823800176382065}",-4.9281888
2436076234300,target_offset,310,"{""x_angle_offset"":-0.03798622637987137,""y_angle_offset"":0.13687675793965656}",-4.9236811
2436094500600,fov,2597,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9054148
2436097421200,gimbal,2597,"{""imu_roll"":0.0,""imu_pitch"":19.021379470825195,""imu_yaw"":-0.5107516646385193,""frame_roll"":0.0,""frame_pitch"":19.021379470825195,""frame_yaw"":-0.5107516646385193,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9024942
2436099727400,target_offset,311,"{""x_angle_offset"":-0.04558347165584564,""y_angle_offset"":0.12927249360967566}",-4.900188
2436112550500,position,498,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542559,""lon"":393492536}",-4.8873649
2436112637200,attitude,992,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111910,""roll"":-0.0035174740478396416,""pitch"":0.17209789156913757,""yaw"":-3.0529606342315674,""rollspeed"":-0.004659650381654501,""pitchspeed"":0.0077310954220592976,""yawspeed"":0.004808296449482441}",-4.8872782
2436112801400,vfr,498,"{""message_type"":""VFR_HUD"",""airspeed"":30.418704986572266,""alt"":168.80999755859375}",-4.887114
