recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
2891630453200,gimbal,2578,"{""imu_roll"":0.0,""imu_pitch"":19.639968872070312,""imu_yaw"":-3.5817325115203857,""frame_roll"":0.0,""frame_pitch"":19.639968872070312,""frame_yaw"":-3.5817325115203857,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9915949
2891630690500,fov,2578,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9913576
2891641404200,attitude,985,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111570,""roll"":-0.16073277592658997,""pitch"":0.16976945102214813,""yaw"":-2.992560625076294,""rollspeed"":-0.13050295412540436,""pitchspeed"":0.017082195729017258,""yawspeed"":-0.1343151330947876}",-4.9806439
2891652045300,range,991,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94780349731445,""y"":39.34794235229492}",-4.9700028
2891654532800,gimbal,2579,"{""imu_roll"":0.0,""imu_pitch"":19.656702041625977,""imu_yaw"":-3.4973607063293457,""frame_roll"":0.0,""frame_pitch"":19.656702041625977,""frame_yaw"":-3.4973607063293457,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9675153
2891654998000,fov,2579,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9670501
2891660546800,target_offset,196,"{""x_angle_offset"":0.27350082993507385,""y_angle_offset"":0.09885543628975196}",-4.9615013
2891665539500,range,992,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94780349731445,""y"":39.34794235229492}",-4.9565086
2891683495900,vfr,493,"{""message_type"":""VFR_HUD"",""airspeed"":30.077611923217773,""alt"":178.47999572753906}",-4.9385522
2891684300100,position,493,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545473,""lon"":393493886}",-4.937748
2891684429300,attitude,986,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111610,""roll"":-0.16930265724658966,""pitch"":0.16955485939979553,""yaw"":-2.998516798019409,""rollspeed"":-0.11860135942697525,""pitchspeed"":0.018135981634259224,""yawspeed"":-0.13818234205245972}",-4.9376188
2891688057600,target_offset,197,"{""x_angle_offset"":0.3418760374188423,""y_angle_offset"":0.12927249360967566}",-4.9339905
2891690199400,gimbal,2580,"{""imu_roll"":0.0,""imu_pitch"":19.685802459716797,""imu_yaw"":-3.4103004932403564,""frame_roll"":0.0,""frame_pitch"":19.685802459716797,""frame_yaw"":-3.4103004932403564,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9318487
