recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
3196470564600,gimbal,2537,"{""imu_roll"":0.0,""imu_pitch"":15.245649337768555,""imu_yaw"":-20.77562713623047,""frame_roll"":0.0,""frame_pitch"":15.245649337768555,""frame_yaw"":-20.77562713623047,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9885397
3196470839600,fov,2537,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9882647
3196484075800,gimbal,2538,"{""imu_roll"":0.0,""imu_pitch"":15.194350242614746,""imu_yaw"":-20.94900131225586,""frame_roll"":0.0,""frame_pitch"":15.194350242614746,""frame_yaw"":-20.94900131225586,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9750285
3196484360300,fov,2538,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.974744
3196497390600,attitude,957,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110270,""roll"":-0.19693417847156525,""pitch"":0.1637885868549347,""yaw"":-2.7563838958740234,""rollspeed"":-0.31766074895858765,""pitchspeed"":0.026265772059559822,""yawspeed"":0.14447671175003052}",-4.9617137
3196499312500,target_offset,111,"{""x_angle_offset"":-1.3675041496753693,""y_angle_offset"":-0.5399027674286454}",-4.9597918
3196505067700,gimbal,2539,"{""imu_roll"":0.0,""imu_pitch"":15.078575134277344,""imu_yaw"":-21.259305953979492,""frame_roll"":0.0,""frame_pitch"":15.078575134277344,""frame_yaw"":-21.259305953979492,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9540366
3196505584600,fov,2539,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9535197
3196518806200,gimbal,2540,"{""imu_roll"":0.0,""imu_pitch"":15.018413543701172,""imu_yaw"":-21.435009002685547,""frame_roll"":0.0,""frame_pitch"":15.018413543701172,""frame_yaw"":-21.435009002685547,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9402981
3196518982800,fov,2540,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9401215
3196532218400,target_offset,112,"{""x_angle_offset"":-1.2079619988799095,""y_angle_offset"":-0.5018814457787407}",-4.9268859
3196536034200,range,979,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94806671142578,""y"":39.34839630126953}",-4.9230701
3196537759900,vfr,479,"{""message_type"":""VFR_HUD"",""airspeed"":31.902374267578125,""alt"":175.5}",-4.9213444
3196537837800,position,479,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469548711,""lon"":393491645}",-4.9212665
3196537900400,attitude,958,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110310,""roll"":-0.20411959290504456,""pitch"":0.16481409966945648,""yaw"":-2.7516002655029297,""rollspeed"":-0.3136114180088043,""pitchspeed"":0.02877703309059143,""yawspeed"":0.13228343427181244}",-4.9212039
3196540910000,gimbal,2541,"{""imu_roll"":0.0,""imu_pitch"":14.90255069732666,""imu_yaw"":-21.733964920043945,""frame_roll"":0.0,""frame_pitch"":14.90255069732666,""frame_yaw"":-21.733964920043945,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9181943
3196541194600,fov,2541,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9179097
3196556435600,gimbal,2542,"{""imu_roll"":0.0,""imu_pitch"":14.84469985961914,""imu_yaw"":-21.897188186645508,""frame_roll"":0.0,""frame_pitch"":14.84469985961914,""frame_yaw"":-21.897188186645508,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9026687
3196556647500,fov,2542,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9024568
3196559622100,range,980,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94806671142578,""y"":39.34839630126953}",-4.8994822
3196570306600,target_offset,113,"{""x_angle_offset"":-1.2003647536039352,""y_angle_offset"":-0.5094857101087217}",-4.8887977
3196576808500,gimbal,2543,"{""imu_roll"":0.0,""imu_pitch"":14.728922843933105,""imu_yaw"":-22.19468879699707,""frame_roll"":0.0,""frame_pitch"":14.728922843933105,""frame_yaw"":-22.19468879699707,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8822958
