recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
3353685909200,fov,2621,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9982971
3353686303300,gimbal,2621,"{""imu_roll"":0.0,""imu_pitch"":21.457992553710938,""imu_yaw"":-2.46871018409729,""frame_roll"":0.0,""frame_pitch"":21.457992553710938,""frame_yaw"":-2.46871018409729,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.997903
3353699103200,attitude,968,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110190,""roll"":0.06194278597831726,""pitch"":0.17293907701969147,""yaw"":-3.0046019554138184,""rollspeed"":-0.033398617058992386,""pitchspeed"":-0.015587201341986656,""yawspeed"":-0.05287568271160126}",-4.9851031
3353701201500,fov,2622,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9830048
3353701514400,gimbal,2622,"{""imu_roll"":0.0,""imu_pitch"":21.44932746887207,""imu_yaw"":-2.4297804832458496,""frame_roll"":0.0,""frame_pitch"":21.44932746887207,""frame_yaw"":-2.4297804832458496,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9826919
3353713735500,target_offset,255,"{""x_angle_offset"":0.23551460355520248,""y_angle_offset"":-0.02281279298994276}",-4.9704708
3353718287400,position,485,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544704,""lon"":393490295}",-4.9659189
3353718407700,vfr,485,"{""message_type"":""VFR_HUD"",""airspeed"":29.630502700805664,""alt"":185.9499969482422}",-4.9657986
3353722100400,fov,2623,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9621059
3353722363100,gimbal,2623,"{""imu_roll"":0.0,""imu_pitch"":21.44354248046875,""imu_yaw"":-2.373128652572632,""frame_roll"":0.0,""frame_pitch"":21.44354248046875,""frame_yaw"":-2.373128652572632,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9618432
3353736338400,fov,2624,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9478679
3353736836200,gimbal,2624,"{""imu_roll"":0.0,""imu_pitch"":21.440656661987305,""imu_yaw"":-2.3353004455566406,""frame_roll"":0.0,""frame_pitch"":21.440656661987305,""frame_yaw"":-2.3353004455566406,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9473701
