recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
3665511305200,fov,2643,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9958121
3665511747900,gimbal,2643,"{""imu_roll"":0.0,""imu_pitch"":10.55773639678955,""imu_yaw"":-0.1626673936843872,""frame_roll"":0.0,""frame_pitch"":10.55773639678955,""frame_yaw"":-0.1626673936843872,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9953694
3665534600100,fov,2644,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9725172
3665534954100,gimbal,2644,"{""imu_roll"":0.0,""imu_pitch"":10.606431007385254,""imu_yaw"":-0.1445084512233734,""frame_roll"":0.0,""frame_pitch"":10.606431007385254,""frame_yaw"":-0.1445084512233734,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9721632
3665542945800,target_offset,284,"{""x_angle_offset"":0.06837520748376846,""y_angle_offset"":0.288962044539275}",-4.9641715
3665558700900,fov,2645,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9484164
3665558975300,gimbal,2645,"{""imu_roll"":0.0,""imu_pitch"":10.670110702514648,""imu_yaw"":-0.1259750872850418,""frame_roll"":0.0,""frame_pitch"":10.670110702514648,""frame_yaw"":-0.1259750872850418,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.948142
3665566648000,attitude,1025,"{""message_type"":""ATTITUDE"",""time_boot_ms"":113670,""roll"":-0.011604023166000843,""pitch"":0.1192437931895256,""yaw"":-3.079515218734741,""rollspeed"":0.031086375936865807,""pitchspeed"":0.03762821853160858,""yawspeed"":-0.002688935026526451}",-4.9404693
3665568085700,target_offset,285,"{""x_angle_offset"":0.06077796220779419,""y_angle_offset"":0.288962044539275}",-4.9390316
3665579825100,fov,2646,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9272922
3665580123900,gimbal,2646,"{""imu_roll"":0.0,""imu_pitch"":10.736186027526855,""imu_yaw"":-0.10606810450553894,""frame_roll"":0.0,""frame_pitch"":10.736186027526855,""frame_yaw"":-0.10606810450553894,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9269934
3665603137600,fov,2647,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9039797
3665603450900,gimbal,2647,"{""imu_roll"":0.0,""imu_pitch"":10.778388977050781,""imu_yaw"":-0.0934751108288765,""frame_roll"":0.0,""frame_pitch"":10.778388977050781,""frame_yaw"":-0.0934751108288765,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9036664
3665607579100,vfr,515,"{""message_type"":""VFR_HUD"",""airspeed"":35.1219367980957,""alt"":132.58999633789062}",-4.8995382
3665607694700,position,515,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469538534,""lon"":393493110}",-4.8994226
3665607770600,attitude,1026,"{""message_type"":""ATTITUDE"",""time_boot_ms"":113710,""roll"":-0.010382327251136303,""pitch"":0.12007521092891693,""yaw"":-3.079477071762085,""rollspeed"":0.03024960123002529,""pitchspeed"":0.037604980170726776,""yawspeed"":-0.0011197542771697044}",-4.8993467
3665612149400,target_offset,286,"{""x_angle_offset"":0.04558347165584564,""y_angle_offset"":0.2965663088692559}",-4.8949679
3665614808600,range,1034,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94296646118164,""y"":39.348304748535156}",-4.8923087
