event_monotonic_ns,event,value_json,session_time_s
10698841950000,TRACKER_LATENCY_CALIBRATION_BEGIN,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":NaN,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-3.9078434
10698841994900,TRACKER_ENABLED,"{""state"":true}",-3.9077985
10698844196500,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.5,""expected_dt_s"":0.035120112426251786,""gap_limit_s"":0.12292039349188125}",-3.9055969
10699012719300,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.16852389999985462,""expected_dt_s"":0.035120112426251786,""gap_limit_s"":0.12292039349188125}",-3.7370741
10699043731800,SIM_MISSION_STATE,"{""time"":1788343621.4719667,""from"":""WAIT_TRACKER_LOCK"",""to"":""SET_WIND"",""reason"":""real_tracking_stream_confirmed_apply_wind_best_effort""}",-3.7060616
10701022692700,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9143854687507496,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":296.4368293116737}",-1.7271007
10702158312800,SIM_MISSION_STATE,"{""time"":1788343624.5865805,""from"":""SET_WIND"",""to"":""ENTER_HUNTER"",""reason"":""wind_smooth_ramp_complete_hunter""}",-0.5914806
10702158830700,ATTACK_STATE_COMMAND,"{""previous"":-1,""new"":4}",-0.5909627
10702159678000,TRACKER_LATENCY_CALIBRATION_HUNTER,"{""estimate_s"":0.13196900514367577,""effective_s"":0.0,""confidence"":0.48763577908741806,""candidate_s"":0.375,""fit_score"":0.7348841292362068,""excitation"":0.4872008583055262,""samples"":78,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9999976857605742}",-0.5901154
10702159986100,CHANNELS_RESET,"{""reason"":""hunter_enter_fast_state_only""}",-0.5898073
10702174030800,HUNTER_ATTACK_READINESS_WAIT_BEGIN,"{""los_rate_deg_s"":0.03734113905074045,""roll_rate_deg_s"":0.5376563231249779,""crab_lock_confidence"":0.0,""crab_latched"":false}",-0.5757626
10702213020500,SIM_MISSION_STATE,"{""time"":1788343624.640938,""from"":""ENTER_HUNTER"",""to"":""HUNTER"",""reason"":""hunter_confirmed_by_attack_controller""}",-0.5367729
10702748429800,HUNTER_ATTACK_READINESS_READY,"{""ready"":true,""timeout"":false,""line_good"":true,""elapsed_s"":0.5880813999992824,""ready_hold_s"":0.2959244999983639,""los_rate_deg_s"":0.03190984653706619,""roll_rate_deg_s"":0.642645508734771,""crab_lock_confidence"":0.8117516948120312,""crab_latched"":false}",-0.0013636
10702748533800,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.170498032022468,""effective_s"":0.0,""confidence"":0.555503794316469,""candidate_s"":0.025,""fit_score"":0.7791950085430095,""excitation"":0.4646554373610017,""samples"":43,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9999998012083471}",-0.0012596
10702749763100,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":10.207733082509689,""hold_pitch_pwm"":2000,""uav_pitch_deg"":10.207733082509689,""frame_pitch_deg"":-27.17548179626465}",-3.03e-05
