truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15785,10858892964700,6.8695,True,udp,127.0.0.1:60832,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.7833333,-0.8004201684,6.166810871,185.6791275,-0.6027445055412489,0.8494423801732149,-0.9026617884274816,-0.8539974708478917,0.1437645730244228,-1.6678727418759023,-38.2207222884,-2.9582185271376003,-0.9360971700168,38.3350318896,0.9360971700168,30.379595225448004,1.398818727,184.42577188928348,625.1167203,4.723591722216001,135.41248830072,46.95502796,39.34739605,135.44316425664,46.949405,39.347334,4.444492046736,30.289980151440002,-0.07939406479296,2.3303658821088002,4.399396248,-0.1497370184,0.04467329413,0.8417855257,557.9790834084225,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1465295245,0.0009135915454,1.045888232,-11.055440529773126,0.1206722608360278,-138.1467442166005,19.354630229590732,0.1206722608360278,-138.1467442166005,30.410070759363858,0.0,0.0,1.108275263041886,-0.13785755695250146,-0.2789907058024008,-0.06443811401733623,0.012249014617754973,-0.2734282254012303,-1.1727133770998965,0.15010657150517717,0.005562480285926002,0.55,0.55,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0068695,200.0000000001819,145.57100225635054,0.7278550112810908,0.9509189446141815,False,-7.999995982550557,2.9226403197708112e-05,2.923733477544488e-10,7.999995982603943,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.960726600154791,-0.7916866926116343,1.7674146229999996,4.767992144,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,625.1167203,4.723591722216001,135.41248830072,625.1167203,4.723591722216001,135.41248830072,620.8288941679255,10.373793204676698,620.9155590088096,-179.04270038889806,132.2124922420666,634.8356279574116,-12.020553152267178,634.8356279574116,False,-3.4684722781815367,-4.721827888898019,-13.419371879267178,-18.18736402326718,38.26481130186081,37.23082309680712,17.051345502266226,-619.7781907515069,37.56495292172239,-0.2140110633238502,-0.8018701584324159,-4.9977686
15786,10858898360500,5.3958,True,udp,127.0.0.1:60832,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.7883333,-0.8039388751,6.170997506,185.6745109,-0.6070551615343248,0.8502042175162151,-0.9109848730164788,-0.8735141482662512,0.16434127954496225,-1.6600436804054741,-38.22241188624,-2.9577297202920003,-0.9388107294360001,38.336678724,0.9388107294360001,30.381312105936,1.402811767,184.4248486823882,624.9256131384,4.708802003256,135.41719435176,46.95502624,39.34739586,135.44785153200002,46.949405,39.347334,4.444492046736,30.291728578728,-0.07773984499752,2.3300775885528,4.398601224,-0.1466088714,0.04717130519,0.8497511491,558.041900871797,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464996641,0.0008658326382,1.045802049,-11.057913153825957,0.11436399831565734,-138.13536072818266,19.35068562673031,0.11436399831565734,-138.13536072818266,30.408598780556265,0.0,0.0,1.106787683180209,-0.13608775124693606,-0.27771547794408186,-0.06590413890901424,0.014104578658481685,-0.27214418431950177,-1.1726918221705722,0.15019232997320864,0.005571293663898786,0.55,0.55,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,0,0,True,0.005000000000009663,0.0053958,199.99999999961346,185.3293302198006,0.9266466511007938,0.950659804270436,False,-7.999996002521609,2.9212494732901162e-05,4.714187928911429e-10,7.999996002574945,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.960790364365505,-0.7910452555295076,1.7723962819999999,4.768185739,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,624.9256131384,4.708802003256,135.41719435176,624.9256131384,4.708802003256,135.41719435176,620.6377870063254,10.359003485716698,620.7242315338801,-179.04377064178672,132.21719829310658,634.649477379289,-12.024566000729939,634.649477379289,False,-3.468619324174938,-4.718281541786723,-13.427377767729938,-18.19556350672994,38.266449178093836,37.23123736397193,17.046155924794192,-619.5871173743509,37.55496767497366,-0.2140952890691042,-0.802611171578668,-4.9923728
15787,10858901829200,3.4687,True,udp,127.0.0.1:60832,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.7933333,-0.8074842038,6.175187295,185.6698522,-0.6114633532787813,0.8510681822943663,-0.9192686521277721,-0.8930073647817734,0.18455400076056624,-1.6521380431257269,-38.2240971864,-2.9572348781016,-0.9415200472584,38.338320834,0.9415200472584,30.383024280312,1.406798288,184.42391699571755,624.7344971376001,4.694014744032,135.42191393592,46.95502452,39.34739566,135.45255234048,46.949405,39.347334,4.444492046736,30.293471763456,-0.07606974823104001,2.3297953376568,4.397818409,-0.14345116,0.04974147249,0.8576398873,558.104548360252,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464700182,0.0008176189598,1.045718799,-11.060362833951698,0.10799566709955884,-138.12436459090307,19.346769341248688,0.10799566709955884,-138.12436459090307,30.407132175200385,0.0,0.0,1.1053018304950164,-0.1343507996405455,-0.27642887978970276,-0.06736849168397475,0.015926880184281293,-0.2708476402913991,-1.1726703221518748,0.15027767979771042,0.005581239427801108,0.55,0.55,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0034687,200.0000000001819,288.29244385504654,1.441462219273922,0.9540412385818888,False,-7.99999598370316,2.9211425561479626e-05,-9.97396609747625e-11,7.999995983756492,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.960854657665924,-0.7903979638063209,1.7773688859999996,4.768389007,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,624.7344971376001,4.694014744032,135.42191393592,624.7344971376001,4.694014744032,135.42191393592,620.4466710055256,10.344216226492698,620.5328954787001,-179.04484131396342,132.22191787726658,634.4633243445377,-12.028582560665523,634.4633243445377,False,-3.468758309680993,-4.714693513963425,-13.435380848665524,-18.203769855665524,38.26808264562063,37.231647024736546,17.040968505180633,-619.3960407294621,37.54489445777986,-0.21417905072576415,-0.8033523920298339,-4.9889041
15788,10858905021900,3.1927,True,udp,127.0.0.1:60832,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.7983333,-0.8110566279,6.179380743,185.6651516,-0.6159689575886927,0.8520324444804707,-0.927512744744428,-0.9124740946043424,0.20439796943319613,-1.6441567078080022,-38.225778249840005,-2.9567339517984004,-0.9442252679592,38.33995825008,0.9442252679592,30.384731742480003,1.410778507,184.42297688656728,624.5433729072,4.679229971976,135.4266470532,46.9550228,39.34739547,135.45726671256,46.949405,39.347334,4.444492046736,30.295209690384002,-0.07438394161536,2.3295192519504,4.397048034,-0.1402642028,0.05238044288,0.8654512122,558.1670253949851,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464405892,0.0007689552195,1.04563854,-11.062789232085503,0.10156788913807853,-138.11376350018517,19.342881688969605,0.10156788913807853,-138.11376350018517,30.40567092105511,0.0,0.0,1.103817930594415,-0.13264713314785564,-0.27513103498986047,-0.068830947100182,0.017715483736256792,-0.26953873771153386,-1.1726488777217132,0.1503626169112288,0.005592297332559361,0.55,0.55,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0031927,200.0000000001819,313.2145206251762,1.5660726031244565,0.9579245074321227,False,-7.99999598978715,2.9229605407406906e-05,3.343273435874039e-10,7.999995989840548,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.9609194758720365,-0.7897448450934726,1.7823327090000003,4.768602236,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,624.5433729072,4.679229971976,135.4266470532,624.5433729072,4.679229971976,135.4266470532,620.2555467751255,10.329431454436698,620.3415514532956,-179.045912404265,132.2266509945466,634.2771694556847,-12.032602823920449,634.2771694556847,False,-3.468889290832294,-4.71106400426504,-13.443381330920449,-18.21198356692045,38.26971176495612,37.232052109399774,17.035783243748526,-619.204961474021,37.53473252119683,-0.21426234296857974,-0.8040938325751606,-4.9857114
15789,10858909854300,4.8324,True,udp,127.0.0.1:60832,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.8033333,-0.8146566203,6.183578341,185.6604092,-0.6205718346623569,0.8530951505560611,-0.9357167750061328,-0.9319113417376474,0.2238687870804502,-1.636100557380263,-38.22745504608,-2.9562268920048003,-0.9469265384520001,38.34159094176,0.9469265384520001,30.386434489392002,1.414752648,184.42202818305012,624.3522404472,4.664447720616001,135.43139367312,46.95502108,39.34739528,135.46199458728,46.949405,39.347334,4.444492046736,30.296942341224003,-0.07268259343056001,2.3292494469528,4.396290317,-0.1370483207,0.05508490426,0.8731846039,558.2293314971937,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464113792,0.0007198461626,1.045561326,-11.065192023507196,0.09508129136357088,-138.1035646176657,19.339022967923906,0.09508129136357088,-138.1035646176657,30.404214995879325,0.0,0.0,1.1023362073239475,-0.13097714938959615,-0.2738220685509698,-0.07029128196288535,0.019469987422851935,-0.2682176216524264,-1.172627489286833,0.15044713683956443,0.005604446871427076,0.55,0.55,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,0,0,True,0.005000000000009663,0.0048324,199.99999999961346,206.93651187815578,1.0346825593927786,0.9586592574408279,False,-7.999995991361658,2.9219749711904136e-05,4.14172141027791e-10,7.9999959914150205,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.960984816173327,-0.7890859131477062,1.7872880239999995,4.768825693,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,624.3522404472,4.664447720616001,135.43139367312,624.3522404472,4.664447720616001,135.43139367312,620.0644143151254,10.314649203076698,620.150199458278,-179.04698391002304,132.23139761446657,634.0910127128575,-12.036626791106253,634.0910127128575,False,-3.469012093073161,-4.707393110023077,-13.451379439106253,-18.22020513210625,38.27133650524266,37.23245255698711,17.03060016640947,-619.013879651488,37.52448116836962,-0.21434516066767598,-0.804835505789689,-4.980879
15790,10858916430600,6.5763,True,udp,127.0.0.1:60832,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.8083333,-0.8182846526,6.187780573,185.6556253,-0.6252718315200424,0.8542544263761896,-0.9438803699173617,-0.9513161411250984,0.24296241698547874,-1.6279704827918804,-38.22912757512,-2.9557136493432,-0.9496240077840001,38.34321893952,0.9496240077840001,30.388132511904004,1.418720935,184.42107082787024,624.1610994528,4.649668020432,135.43615379568,46.95501936,39.34739508,135.46673596464,46.949405,39.347334,4.444492046736,30.298669697688002,-0.07096587323688,2.328986030868,4.395545461,-0.1338038367,0.05785158668,0.8808395506,558.2914671456801,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463823904,0.0006702965701,1.045487207,-11.067570919082375,0.08853650511212974,-138.09377452671265,19.335193462797776,0.08853650511212974,-138.09377452671265,30.40276438188015,0.0,0.0,1.1008568820886855,-0.12934121308079513,-0.2725021060217728,-0.07174927520596831,0.021190022244653908,-0.266884438677997,-1.1726061572539792,0.15053123537968174,0.005617667305812917,0.55,0.55,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0065763,200.0000000001819,152.06118942262367,0.7603059471124268,0.9560842635559725,False,-7.999996000428535,2.9238660869145006e-05,3.077212928914719e-10,7.999996000481966,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.961050672999019,-0.7884212095144856,1.7922351120000002,4.769059638,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,624.1610994528,4.649668020432,135.43615379568,624.1610994528,4.649668020432,135.43615379568,619.8732733207255,10.299869502892697,619.9588391894478,-179.04805582837935,132.2361577370266,633.9048538244358,-12.040654471276866,633.9048538244358,False,-3.469126656249614,-4.703681128379344,-13.459375406276866,-18.228435044276868,38.272956866110064,37.23284833454511,17.0254192783927,-618.8227950034012,37.514139645019064,-0.2144274987334681,-0.8055774258916256,-4.9743027
15791,10858921779500,5.3489,True,udp,127.0.0.1:60832,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.8133333,-0.8219411958,6.191987914,185.6508,-0.6300687802851154,0.8555083783153433,-0.9520031616392104,-0.9706855540661645,0.26167517749337754,-1.619767380148846,-38.23079580648,-2.955194174436,-0.9523178280504,38.3448421824,0.9523178280504,30.389825800872003,1.422683597,184.42010476373184,623.969949924,4.634890898856001,135.44092739040002,46.95501764,39.34739489,135.47149081416,46.949405,39.347334,4.444492046736,30.300391741488,-0.06923395160040001,2.3287291039752,4.394813654,-0.1305310758,0.06067726341,0.8884155484,558.3534318616422,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463536248,0.0006203112577,1.04541623,-11.069925638573071,0.08193416661289273,-138.08439949931858,19.331393431588072,0.08193416661289273,-138.08439949931858,30.401319070161144,0.0,0.0,1.0993801745311362,-0.12773965672224621,-0.27117127349333864,-0.07320470781059953,0.022875251538507956,-0.2655393358944931,-1.1725848823010612,0.15061490832854507,0.005631937672059766,0.55,0.55,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0053489,200.0000000001819,186.95432705789975,0.9347716352886486,0.9558586785842054,False,-7.999995988866848,2.923649484136079e-05,3.43276296277395e-10,7.999995988920271,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.961117043529408,-0.7877507479501198,1.7971742600000002,4.7693043170000005,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,623.969949924,4.634890898856001,135.44092739040002,623.969949924,4.634890898856001,135.44092739040002,619.6821237919255,10.285092381316698,619.7674706473094,-179.04912815722378,132.2409313317466,633.7186927904614,-12.04468586506058,633.7186927904614,False,-3.469232920955619,-4.6999281572237805,-13.467369462060581,-18.23667377906058,38.27457281668604,37.2332393799221,17.020240606091132,-618.6317075725616,37.50370726235132,-0.21450935205764818,-0.8063196059442341,-4.9689538
15792,10858926520700,4.7412,True,udp,127.0.0.1:60832,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.8183333,-0.8256267197,6.196200828,185.6459335,-0.6349624976110815,0.8568550949863176,-0.9600847874893947,-0.9900166733729929,0.2800037351356945,-1.6114921501408135,-38.23245977064,-2.9546684169912,-0.9550081528704,38.346460670400006,0.9550081528704,30.391514356296003,1.426640868,184.4191299333392,623.7787921656001,4.620116392464,135.4457144268,46.95501592,39.34739469,135.47625913584,46.949405,39.347334,4.444492046736,30.302108460432,-0.06748700030640001,2.3284787601528003,4.394095072,-0.1272303651,0.063558752,0.8959121019,558.4152246874745,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463250842,0.000569895076,1.045348438,-11.072255923982436,0.07527491645425467,-138.07544522920705,19.327623118946978,0.07527491645425467,-138.07544522920705,30.39987904737763,0.0,0.0,1.097906301988917,-0.12617278118351036,-0.2698296982769727,-0.07465736277811634,0.024525370326724784,-0.2641824613572345,-1.172563664834824,0.15069815148311877,0.005647236816695994,0.55,0.55,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,0,0,True,0.005000000000009663,0.0047412,199.99999999961346,210.91706740909473,1.0545853370475118,0.9567860505385974,False,-7.999995989104896,2.9216342736296252e-05,6.115727924083103e-10,7.999995989158245,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.961183923563261,-0.7870745561052638,1.8021057560000004,4.7695599600000005,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,623.7787921656001,4.620116392464,135.4457144268,623.7787921656001,4.620116392464,135.4457144268,619.4909660335255,10.270317874924698,619.576094137276,-179.05020089406528,132.24571836814658,633.5325299091671,-12.04872096733039,633.5325299091671,False,-3.4693308274045194,-4.696134394065325,-13.47536183533039,-18.24492179533039,38.276184387054116,37.2336256911187,17.015064156383865,-618.440617711759,37.49318325643416,-0.21459071521817652,-0.8070620595918486,-4.9642126
15793,10858930344200,3.8235,True,udp,127.0.0.1:60832,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.8233333,-0.8293416927,6.20041977,185.6410261,-0.6399527852545434,0.85829264895909,-0.9681248887963345,-1.0093066193597053,0.2979450974684572,-1.6031457014788466,-38.23411943712,-2.9541363270216,-0.9576951386064,38.34807440352,0.9576951386064,30.393198165984003,1.430592982,184.41814622210075,623.5876261776,4.605344528688001,135.45051493536002,46.9550142,39.3473945,135.4810408992,46.949405,39.347334,4.444492046736,30.303819830136003,-0.06572519220696,2.3282350853544003,4.393389878,-0.1239020335,0.06649291518,0.9033287235,558.4768461019796,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1462967703,0.0005190529093,1.045283872,-11.074561544002945,0.06855939985076087,-138.0669169652796,19.32388275618202,0.06855939985076087,-138.0669169652796,30.398444300184963,0.0,0.0,1.0964354799014997,-0.12464085629947558,-0.26847750795514386,-0.07610702522493214,0.026140104652729753,-0.2628139644773593,-1.1725425051264318,0.15078096091153081,0.005663543399147094,0.55,0.55,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0038235,200.0000000001819,261.5404733882568,1.307702366940095,0.959449142942507,False,-7.999995990498709,2.923133766215974e-05,3.4888336664096187e-10,7.999995990552113,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.961251307523849,-0.7863926755255342,1.807029892,4.769826788,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,623.5876261776,4.605344528688001,135.45051493536002,623.5876261776,4.605344528688001,135.45051493536002,619.2998000455254,10.255546011148699,619.3847096598483,-179.05127403678662,132.2505188767066,633.3463651933062,-12.052759784098868,633.3463651933062,False,-3.4694202588873395,-4.692300136786628,-13.483352766098868,-18.253179554098867,38.27779154634022,37.23400720417204,17.009889956790367,-618.2495254641931,37.482566930702355,-0.21467158303661357,-0.8078048006034215,-4.9603891
15794,10858935883800,5.5396,True,udp,127.0.0.1:60832,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.8283333,-0.8330865824,6.204645185,185.6360779,-0.6450394323670327,0.8598190984796923,-0.9761231108991549,-1.0285525409883134,0.3154966062539752,-1.5947289463117547,-38.23577480592,-2.9535978539304,-0.9603789428400001,38.34968338176,0.9603789428400001,30.394877223840002,1.434540178,184.4171535727207,623.39645196,4.590575341056001,135.45532882464,46.95501248,39.34739431,135.48583607376,46.949405,39.347334,4.444492046736,30.305525841456003,-0.06394870134288,2.3279981594376,4.39269822,-0.1205464121,0.0694766618,0.9106649343,558.538295626355,-7.9999959888,2.9228703688272002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1462686848,0.0004677896755,1.045222568,-11.076842285119959,0.06178826633173157,-138.05881955609783,19.320172539014944,0.06178826633173157,-138.05881955609783,30.397014824134903,0.0,0.0,1.0949679215390475,-0.12314412161605705,-0.2671148310593936,-0.07755348224695449,0.02771921099806116,-0.2614339952083325,-1.1725214037182112,0.1508633326819091,0.00568083592563113,0.55,0.55,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0055396,200.0000000001819,180.51844898548632,0.9025922449266106,0.9588261166311185,False,-7.999995987943852,2.922990191956895e-05,6.909084415696043e-11,7.999995987997251,-7.9999959888,2.9228703688272002e-05,0.0,jsbsim_total_wind,7.999995988853395,-7.961319192579108,-0.7857051199667526,1.8119469650000006,4.770105007000001,-7.949999998077773,-7.199999997502378,0.7500000000024367,0.7500000000024367,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,623.39645196,4.590575341056001,135.45532882464,623.39645196,4.590575341056001,135.45532882464,619.1086258279255,10.240776823516699,619.1933172156264,-179.052347582704,132.25533276598657,633.160198630278,-12.056802310594222,633.160198630278,False,-3.469501155424723,-4.6884254827040195,-13.491342488594222,-18.261447495594222,38.279394294162934,37.23438388632398,17.00471801986322,-618.0584308763247,37.47185753584458,-0.21475195018971532,-0.8085478428447547,-4.9548495
