recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
11004929980100,fov,2712,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9917052
11004930280700,gimbal,2712,"{""imu_roll"":0.0,""imu_pitch"":21.333358764648438,""imu_yaw"":4.153203010559082,""frame_roll"":0.0,""frame_pitch"":21.333358764648438,""frame_yaw"":4.153203010559082,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9914046
11004938140600,target_offset,190,"{""x_angle_offset"":-0.2659035846590996,""y_angle_offset"":-0.02281279298994276}",-4.9835447
11004958406000,fov,2713,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9632793
11004958698200,gimbal,2713,"{""imu_roll"":0.0,""imu_pitch"":21.320987701416016,""imu_yaw"":4.068671226501465,""frame_roll"":0.0,""frame_pitch"":21.320987701416016,""frame_yaw"":4.068671226501465,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9629871
11004959361800,attitude,994,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111570,""roll"":0.11501357704401016,""pitch"":0.16579177975654602,""yaw"":-3.1135003566741943,""rollspeed"":0.11076295375823975,""pitchspeed"":0.0013873009011149406,""yawspeed"":0.13323889672756195}",-4.9623235
11004959813700,range,1022,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9482421875,""y"":39.34873962402344}",-4.9618716
11004962969500,target_offset,191,"{""x_angle_offset"":-0.30388981103897095,""y_angle_offset"":0.015208528659961841}",-4.9587158
11004978607200,fov,2714,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9430781
11004978870000,gimbal,2714,"{""imu_roll"":0.0,""imu_pitch"":21.32390594482422,""imu_yaw"":4.005825996398926,""frame_roll"":0.0,""frame_pitch"":21.32390594482422,""frame_yaw"":4.005825996398926,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9428153
