recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
11465807547500,target_offset,252,"{""x_angle_offset"":0.10636143386363983,""y_angle_offset"":0.2661492515493322}",-5.001003
11465809031000,attitude,1045,"{""message_type"":""ATTITUDE"",""time_boot_ms"":114470,""roll"":-0.012274816632270813,""pitch"":0.17982041835784912,""yaw"":-3.1011600494384766,""rollspeed"":0.043998684734106064,""pitchspeed"":0.01692984439432621,""yawspeed"":0.0013098404742777348}",-4.9995195
11465822483200,gimbal,2759,"{""imu_roll"":0.0,""imu_pitch"":17.276756286621094,""imu_yaw"":-0.8840135335922241,""frame_roll"":0.0,""frame_pitch"":17.276756286621094,""frame_yaw"":-0.8840135335922241,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9860673
11465822749800,fov,2759,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9858007
11465848742200,gimbal,2760,"{""imu_roll"":0.0,""imu_pitch"":17.32705307006836,""imu_yaw"":-0.8627786040306091,""frame_roll"":0.0,""frame_pitch"":17.32705307006836,""frame_yaw"":-0.8627786040306091,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9598083
11465849002600,fov,2760,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9595479
11465850916000,attitude,1046,"{""message_type"":""ATTITUDE"",""time_boot_ms"":114510,""roll"":-0.010295379906892776,""pitch"":0.17973195016384125,""yaw"":-3.1010682582855225,""rollspeed"":0.03672626242041588,""pitchspeed"":0.016527095809578896,""yawspeed"":0.001850290223956108}",-4.9576345
11465851260800,vfr,523,"{""message_type"":""VFR_HUD"",""airspeed"":33.96500015258789,""alt"":134.6999969482422}",-4.9572897
11465851362700,position,523,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469535444,""lon"":393492103}",-4.9571878
11465854263200,target_offset,253,"{""x_angle_offset"":0.08356969803571701,""y_angle_offset"":0.2661492515493322}",-4.9542873
11465867575200,gimbal,2761,"{""imu_roll"":0.0,""imu_pitch"":17.377519607543945,""imu_yaw"":-0.8439375758171082,""frame_roll"":0.0,""frame_pitch"":17.377519607543945,""frame_yaw"":-0.8439375758171082,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9409753
11465867832800,fov,2761,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9407177
11465887802000,range,1047,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94746398925781,""y"":39.34895324707031}",-4.9207485
11465890037900,gimbal,2762,"{""imu_roll"":0.0,""imu_pitch"":17.41971206665039,""imu_yaw"":-0.8290325999259949,""frame_roll"":0.0,""frame_pitch"":17.41971206665039,""frame_yaw"":-0.8290325999259949,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9185126
