truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15614,11613626509400,4.073,True,udp,127.0.0.1:53342,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1433333,8.856278766,9.402122721,193.2167235,5.574882792964048,0.19150011925720356,4.744939140014429,-4.313065458221322,2.0898749762155773,5.503700696028447,-27.050409011088,4.750050206256001,-2.1100241525112002,27.464296906704003,2.1100241525112002,28.084481784696003,4.393283942,170.04040524782553,609.9150348792,106.48286188272,137.30874791688,46.95489121,39.34873285,137.33883563928,46.949405,39.347334,4.444492046736,27.960151615272,1.2463492230192001,2.3269405308696003,4.757389713,2.543540296,2.96396954,-0.9405066249,476.7684451202391,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08956139739,-0.02933375374,0.9512736809,-9.579407906583292,-3.8718714962951175,-125.65757207207999,11.830956746326278,-3.8718714962951175,-125.65757207207999,21.41036465290957,0.0,0.0,0.5295128558084187,0.09669211162731538,0.903607931417127,-0.3208210974924195,0.14883422272627148,0.9027636059584382,-0.8503339533008382,0.05214211109895608,-0.0008443255237680286,0.352222,0.352222,-11.249999997171761,-6.150000000134573,5.099999999901978,5.099999999901978,17.399999997306335,17.399999997306335,0,0,True,0.0049999999999954525,0.004073,200.0000000001819,245.51927326295112,1.227596366313639,0.9240298761846394,True,-8.086294361830948e-06,11.999996747683387,-2.1096524527308702e-10,11.999996747686112,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,2.7436117317444952,-11.682145183959578,4.644733007999999,5.0088387789999995,-11.249999997171761,-6.150000000134573,5.099999999901978,5.099999999901978,17.399999997306335,17.399999997306335,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,609.9150348792,106.48286188272,137.30874791688,609.9150348792,106.48286188272,137.30874791688,605.6272087471255,112.1330633651807,615.9205629579953,-169.51036366744128,134.10875185822658,630.3517249912665,-12.283690453733277,630.3517249912665,False,20.449231084733185,-2.7270871674412547,-16.676974395733275,-21.685813174733276,25.733555554579446,24.695503639367544,25.52495928799004,-577.1065641115428,-215.18864638698682,0.8926085950889148,-0.6850378307506698,-5.0002094
15615,11613630073800,3.5644,True,udp,127.0.0.1:53342,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1483333,8.888024404,9.399423349,193.2406941,5.553641223811615,0.20181016596010412,4.772416485016927,-4.157796585777716,2.0230618142481416,5.483907927437348,-27.045942502368,4.745149077120001,-2.1074035077144,27.459050341632,2.1074035077144,28.081248777192002,4.388683922,170.0488659436989,609.779795424,106.5066024804,137.31930405528,46.95488999,39.34873316,137.34937918944,46.949405,39.347334,4.444492046736,27.957017064264004,1.2419161371432,2.3279548979544,4.759985224,2.534779358,2.958354602,-0.9521585639,476.6581989566068,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08958256869,-0.02921097672,0.9516404391,-9.573738185519593,-3.8556335110545525,-125.70608326496061,11.833784445221326,-3.8556335110545525,-125.70608326496061,21.407522635189142,0.0,0.0,0.5412337068695409,0.09081170763119116,0.9002621675348317,-0.3091780648226779,0.1426757419739024,0.8995190481915505,-0.8504117715566369,0.05186403434271123,-0.0007431193211813785,0.352222,0.352222,-11.249999997171761,-6.150000000134573,5.099999999901978,5.099999999901978,17.399999997306335,17.399999997306335,0,0,True,0.005000000000009663,0.0035644,199.99999999961346,280.5521265851195,1.4027606329283087,0.9274184952159632,True,-8.075175462141093e-06,11.999996714738096,1.8432433357418176e-10,11.999996714740814,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,2.748498902604687,-11.680996328055961,4.639438124999999,5.010739426999999,-11.249999997171761,-6.150000000134573,5.099999999901978,5.099999999901978,17.399999997306335,17.399999997306335,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,609.779795424,106.5066024804,137.31930405528,609.779795424,106.5066024804,137.31930405528,605.4919692919254,112.1568039628607,615.7919076702597,-169.50590078845386,134.1193079966266,630.2282620842004,-12.287116606864329,630.2282620842004,False,20.445233267847243,-2.746594888453842,-16.67580052886433,-21.686539955864326,25.72930893528708,24.6914612821577,25.524137874318914,-577.0010264664501,-215.10343792891962,0.8924574977875075,-0.6849913308664876,-4.996645
15616,11613633656400,3.5826,True,udp,127.0.0.1:53342,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1533333,8.919685175,9.396741148,193.2648085,5.530089382832024,0.2132707444596301,4.799605276441683,-5.207129974252862,2.548222230228483,5.388384821519369,-27.041469120408003,4.740226093824,-2.1047634361848,27.453793827888003,2.1047634361848,28.078014779088,4.384043363,170.05737224701275,609.644578524,106.53031851120001,137.32984702632,46.95488877,39.34873348,137.3599096332,46.949405,39.347334,4.444492046736,27.953879157408004,1.2374411955216003,2.3290112457528003,4.762667319,2.525931057,2.976750693,-0.9671845556,476.5479326832657,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08939777934,-0.02926186485,0.9508269262,-9.593306966633646,-3.862330560910493,-125.59936629156441,11.808687658936014,-3.862330560910493,-125.59936629156441,21.401994625569664,0.0,0.0,0.4578489220615554,0.13879037854682294,0.8846187523849274,-0.38729901484222634,0.1903681580427977,0.8839883764898849,-0.8451479369037819,0.051577779455300204,-0.0006303759376150125,0.35,0.35,-11.249999997171761,-6.300000001395567,4.9499999997868995,4.9499999997868995,17.549999998567326,17.549999998567326,0,0,True,0.0049999999999954525,0.0035826,200.0000000001819,279.1268910846871,1.3956344554221662,0.9307494889775323,True,-8.081646629021222e-06,11.999996738155268,1.7648238426204443e-10,11.99999673815799,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,2.7534149062693065,-11.679838517188925,4.634073829,5.012697785,-11.249999997171761,-6.300000001395567,4.9499999997868995,4.9499999997868995,17.549999998567326,17.549999998567326,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,609.644578524,106.53031851120001,137.32984702632,609.644578524,106.53031851120001,137.32984702632,605.3567523919255,112.18051999366071,615.6632738214512,-169.5014386747549,134.12985096766658,630.1048195762,-12.29054251777369,630.1048195762,False,20.441189078232355,-2.7662471747548807,-16.67458588077369,-21.68728366577369,25.72506038932121,24.687421535656398,25.523314318837656,-576.8956741329591,-215.01778507655047,0.8923041018133725,-0.6849429762964422,-4.9930624
15617,11613640290000,6.6336,True,udp,127.0.0.1:53342,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1583333,8.9512422,9.394085612,193.2890661,5.50440793851498,0.22586037044274598,4.826506040263954,-5.037092431674068,2.4756172567799477,5.368589721563001,-27.036985664808,4.7352788362560005,-2.10211441146,27.448523811504003,2.10211441146,28.074778147512,4.379384535,170.06592811117588,609.5093835696,106.55400988368001,137.34037676904,46.95488756,39.34873379,137.37042681816,46.949405,39.347334,4.444492046736,27.950736651120003,1.2329260059744,2.3301034599768,4.765423791,2.516998796,2.970907559,-0.9788662804,476.4375904239536,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08935955699,-0.02913702828,0.9512309427,-9.587415292656013,-3.845820805342834,-125.65283716258162,11.803720365444025,-3.845820805342834,-125.65283716258162,21.391135662548262,0.0,0.0,0.4707558655772013,0.1324523546601841,0.8812510464872834,-0.37454006373658555,0.18372483760559608,0.8807450024876478,-0.8452959293137868,0.05127248297252835,-0.0005060440188880836,0.35,0.35,-11.249999997171761,-6.300000001395567,4.9499999997868995,4.9499999997868995,17.549999998567326,17.549999998567326,0,0,True,0.0049999999999954525,0.0066336,200.0000000001819,150.74770863482874,0.7537385431734582,0.9284317986188867,True,-8.078787395449094e-06,11.999996726506813,-2.6571189692958797e-11,11.999996726509533,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,2.7583596108511954,-11.678671743434732,4.628661821,5.014701077,-11.249999997171761,-6.300000001395567,4.9499999997868995,4.9499999997868995,17.549999998567326,17.549999998567326,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,609.5093835696,106.55400988368001,137.34037676904,609.5093835696,106.55400988368001,137.34037676904,605.2215574375255,112.20421136614071,615.5346607912519,-169.49697732528853,134.14038071038658,629.9813968463902,-12.293968192594079,629.9813968463902,False,20.437094563535595,-2.7860434252885398,-16.67335272759408,-21.688053804594077,25.72080721611782,24.6833795338116,25.522493627075413,-576.7905207976053,-214.9316490269148,0.8921481308478117,-0.6848936453242824,-4.9864288
15618,11613644368600,4.0786,True,udp,127.0.0.1:53342,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1633333,8.982694755,9.391457415,193.3134663,5.479572668636549,0.23808653617944983,4.853307440599477,-4.868998666176948,2.402805558440056,5.348608770140713,-27.032490175704,4.730300239152,-2.0994806029608,27.443237153040002,2.0994806029608,28.071540644208,4.374758087,170.07454740176692,609.3742114752,106.57767644544,137.35089328344,46.95488634,39.3487341,137.38093080528,46.949405,39.347334,4.444492046736,27.947593163376002,1.2283744830480001,2.3312071133448,4.768204317,2.507990385,2.964935617,-0.9903796151,476.32723207687445,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08932828415,-0.02901125833,0.9516395531,-9.581499455938566,-3.829188000399921,-125.70690293875765,11.799665148656695,-3.829188000399921,-125.70690293875765,21.381164609043484,0.0,0.0,0.4835089053165874,0.12608759173871364,0.8778560649220638,-0.3619272942104979,0.17705949624444126,0.8774706586206714,-0.8454361995270853,0.05097190450572763,-0.0003854063359657847,0.35,0.35,-11.249999997171761,-6.300000001395567,4.9499999997868995,4.9499999997868995,17.549999998567326,17.549999998567326,0,0,True,0.005000000000009663,0.0040786,199.99999999961346,245.18217035257197,1.225910851765229,0.9308387606802848,True,-8.074076254749318e-06,11.999996706327138,-9.469647288540273e-11,11.999996706329856,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,2.763332884429123,-11.677495998865023,4.623253097999999,5.016699328,-11.249999997171761,-6.300000001395567,4.9499999997868995,4.9499999997868995,17.549999998567326,17.549999998567326,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,609.3742114752,106.57767644544,137.35089328344,609.3742114752,106.57767644544,137.35089328344,605.0863853431255,112.2278779279007,615.4060694466777,-169.49251677043569,134.15089722478658,629.8579947401037,-12.297393614078254,629.8579947401037,False,20.432935827797394,-2.8059830704356727,-16.672151701078256,-21.688851029078254,25.71654878813261,24.679329519758266,25.521681787823265,-576.6856191576352,-214.84489048749577,0.8919889006329905,-0.6848454717459199,-4.9823502
15619,11613648049100,3.6805,True,udp,127.0.0.1:53342,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1683333,9.01404693,9.388854728,193.3380085,5.4555738844804145,0.2499483178898885,4.880008552121415,-4.702833221652019,2.3298401802144384,5.3284442098093105,-27.027982872552002,4.725290250696,-2.0968622450784,27.437934071952,2.0968622450784,28.068302531304003,4.37016448,170.08323029067324,609.2390616312,106.6013180136,137.36139669144,46.95488512,39.34873441,137.39142165552002,46.949405,39.347334,4.444492046736,27.944449020312,1.2237870135336002,2.3323210067736,4.771006407,2.498906565,2.958841883,-1.001722808,476.21686659563676,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08930347378,-0.02888456576,0.9520522229,-9.575562676993753,-3.8124335672885588,-125.76149324922655,11.79645805649186,-3.8124335672885588,-125.76149324922655,21.372020737933834,0.0,0.0,0.49610965755029,0.11970111715536398,0.8744341863692217,-0.3494596069667709,0.17037691240411035,0.8741657257382172,-0.8455692645170608,0.05067579530297908,-0.00026846066110364507,0.35,0.35,-11.249999997171761,-6.300000001395567,4.9499999997868995,4.9499999997868995,17.549999998567326,17.549999998567326,0,0,True,0.0049999999999954525,0.0036805,200.0000000001819,271.7022143730471,1.358511071864,0.9339638527601085,True,-8.085645451461065e-06,11.999996748209453,1.171798214016917e-10,11.999996748212178,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,2.768334595048341,-11.676311275549935,4.617848321,5.018690248,-11.249999997171761,-6.300000001395567,4.9499999997868995,4.9499999997868995,17.549999998567326,17.549999998567326,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,609.2390616312,106.6013180136,137.36139669144,609.2390616312,106.6013180136,137.36139669144,604.9512354991255,112.2515194960607,615.2774991506619,-169.48805701752676,134.16140063278658,629.7346126590501,-12.300818804939775,629.7346126590501,False,20.4287126918,-2.8260655175267857,-16.670983284939773,-21.689673532939775,25.71228533944019,24.675271666825612,25.520878601133685,-576.5809692475472,-214.75750711593744,0.8918264086354434,-0.6847984830317178,-4.9786697
15620,11613656203000,8.1539,True,udp,127.0.0.1:53342,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1733333,9.045300094,9.386276961,193.3626917,5.429201792826415,0.2629277292955673,4.906419378587154,-5.811773296304643,2.848042611054656,5.232587773661901,-27.023466269952003,4.720258825656001,-2.0942262981024,27.432618768384,2.0942262981024,28.065061199712,4.365534454,170.09195729732977,609.1039343424001,106.62493449672,137.37188696256,46.95488391,39.34873472,137.40189942984,46.949405,39.347334,4.444492046736,27.941298988512,1.2191589705672001,2.333478621324,4.773899139,2.489738086,2.976698446,-1.016465896,476.1064054017614,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08909312128,-0.02893143992,0.9512848693,-9.59488511114653,-3.818601289003193,-125.66088697579211,11.768772636533992,-3.818601289003193,-125.66088697579211,21.3636577432323,0.0,0.0,0.4136875171793811,0.16709208318344865,0.8587286584874684,-0.432008089911104,0.21747790617669144,0.8585879710889872,-0.8456956070904852,0.05038582300680095,-0.00014068734804474392,0.35,0.35,-11.249999997171761,-6.450000002656562,4.800000000244778,4.800000000244778,17.69999999982832,17.69999999982832,0,0,True,0.0049999999999954525,0.0081539,200.0000000001819,122.64069954255018,0.6132034977121932,0.928816892638332,True,-8.077768628544924e-06,11.999996718214476,9.893441621500187e-11,11.999996718217195,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,2.773364529213311,-11.675117584922964,4.612377822,5.0207425070000005,-11.249999997171761,-6.450000002656562,4.800000000244778,4.800000000244778,17.69999999982832,17.69999999982832,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,609.1039343424001,106.62493449672,137.37188696256,609.1039343424001,106.62493449672,137.37188696256,604.8161082103255,112.2751359791807,615.1489501818463,-169.48359808105067,134.1718909039066,629.6112508671978,-12.304243756614845,629.6112508671978,False,20.424444621619557,-2.8462897810507,-16.669778210614844,-21.690520717614845,25.708017535530228,24.67121366469549,25.520076126946748,-576.4764979370893,-214.66969566293398,0.8916616060879692,-0.6847497544289735,-4.9705158
15621,11613661375400,5.1724,True,udp,127.0.0.1:53342,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1783333,9.076434424,9.383733455,193.3875157,5.400523873778874,0.2770042983279872,4.9325404018542,-5.62902280402043,2.769561318860944,5.212430877786925,-27.018939712584,4.7152029282240004,-2.0915836988664,27.427290093240003,2.0915836988664,28.061817649176003,4.360890879,170.10073455238492,608.9688299136,106.64852574240001,137.38236400536,46.95488269,39.34873503,137.41236394536,46.949405,39.347334,4.444492046736,27.938144491392002,1.2144919101528,2.3346737351136,4.77686963,2.48048801,2.970075913,-1.027950682,475.9958823465913,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08908150417,-0.02880276112,0.9517360992,-9.58871929327075,-3.8015848035945,-125.72060911057412,11.767300893482144,-3.8015848035945,-125.72060911057412,21.356020186752893,0.0,0.0,0.42752652167547944,0.16023652788555987,0.8552876355140322,-0.41828916071996386,0.21033827434341465,0.855285352452189,-0.8458156823954432,0.05010174637650572,-2.2830880891190887e-06,0.35,0.35,-11.249999997171761,-6.450000002656562,4.800000000244778,4.800000000244778,17.69999999982832,17.69999999982832,0,0,True,0.005000000000009663,0.0051724,199.99999999961346,193.3338488902637,0.9666692444531868,0.9292044583575343,True,-8.07616990189386e-06,11.999996715886047,-4.509170814515073e-11,11.999996715888765,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,2.7784226364281217,-11.673914899769478,4.606863825,5.0228425759999995,-11.249999997171761,-6.450000002656562,4.800000000244778,4.800000000244778,17.69999999982832,17.69999999982832,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,608.9688299136,106.64852574240001,137.38236400536,608.9688299136,106.64852574240001,137.38236400536,604.6810037815254,112.29872722486071,615.0204228076957,-169.47913998110005,134.18236794670656,629.4879096045786,-12.307668455323055,629.4879096045786,False,20.42012546651506,-2.866655681100042,-16.668559334323056,-21.691401910323055,25.70374529499854,24.667153107599184,25.51927686420582,-576.3722280056887,-214.58139540583494,0.8914942010323182,-0.6847002551264612,-4.9653434
15622,11613665932800,4.5574,True,udp,127.0.0.1:53342,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1833333,9.107449017,9.381224752,193.4124798,5.372755170570227,0.29068791181965953,4.958560256244486,-5.448461588628032,2.690821832404181,5.192090025790413,-27.014401667304,4.7101153468320005,-2.0889587210328,27.421945300272,2.0889587210328,28.058574092544,4.356284598,170.10957626519206,608.83374804,106.67209162872001,137.3928278808,46.95488148,39.34873534,137.42281529352,46.949405,39.347334,4.444492046736,27.934989619368,1.2097897242816,2.3358818065608,4.779867222,2.471164068,2.963310146,-1.039262579,475.8853727936544,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907518903,-0.02867318401,0.9521925864,-9.582526959545916,-3.7844498971851426,-125.78101262394314,11.766524901221363,-3.7844498971851426,-125.78101262394314,21.349051860767283,0.0,0.0,0.4411950441313548,0.15335004285514295,0.8518198659131839,-0.4047348666041443,0.20317152045673584,0.8519520363344772,-0.8459299107354991,0.049821477615151086,0.00013217049975452805,0.35,0.35,-11.249999997171761,-6.450000002656562,4.800000000244778,4.800000000244778,17.69999999982832,17.69999999982832,0,0,True,0.0049999999999954525,0.0045574,200.0000000001819,219.42335542195113,1.0971167771087578,0.9307211214794642,True,-8.079776651459536e-06,11.999996730433924,-3.8453085160483624e-10,11.999996730436644,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,2.7835087642677565,-11.672703217032486,4.60135753,5.024940153999999,-11.249999997171761,-6.450000002656562,4.800000000244778,4.800000000244778,17.69999999982832,17.69999999982832,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,608.83374804,106.67209162872001,137.3928278808,608.83374804,106.67209162872001,137.3928278808,604.5459219079255,112.32229311118071,614.891916701836,-169.47468272462336,134.1928318221466,629.3645885635007,-12.311092912350077,629.3645885635007,False,20.415741010184547,-2.8871625246233634,-16.66737751035008,-21.692317664350078,25.699468434937355,24.663084641083014,25.518486341936494,-576.2682126098704,-214.492462246772,0.8913235051820525,-0.6846521408600572,-4.960786
15623,11613669887100,3.9543,True,udp,127.0.0.1:53342,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1883333,9.138348273,9.378748891,193.4375832,5.34588477809476,0.303977400478316,4.984478027317372,-5.270068884418081,2.611882721722016,5.171567459656217,-27.009852271272003,4.704996051,-2.0863516166712,27.416584535784,2.0863516166712,28.055330709648,4.351716127,170.11848260763847,608.6986887216001,106.69563200328001,137.40327864984002,46.95488026,39.34873565,137.43325356576,46.949405,39.347334,4.444492046736,27.931834622375998,1.205052802488,2.3371015256352,4.782889212,2.461767016,2.956408386,-1.050399971,475.774882584342,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907380184,-0.02854271924,0.9526537435,-9.576311517309795,-3.767197979861374,-125.84202025028972,11.766395529143903,-3.767197979861374,-125.84202025028972,21.3427070464537,0.0,0.0,0.4546949665579013,0.14643809705505614,0.84832573541513,-0.3913437172485568,0.19598292922385407,0.8485884061611678,-0.8460386838064581,0.04954483226370518,0.0002626707376318609,0.35,0.35,-11.249999997171761,-6.450000002656562,4.800000000244778,4.800000000244778,17.69999999982832,17.69999999982832,0,0,True,0.0049999999999954525,0.0039543,200.0000000001819,252.88925979313657,1.2644462989645329,0.9333397110407184,True,-8.085659247925037e-06,11.999996748186732,-4.187747926209795e-10,11.999996748189455,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,2.7886227399135386,-11.671482538568657,4.595859679000001,5.027032764,-11.249999997171761,-6.450000002656562,4.800000000244778,4.800000000244778,17.69999999982832,17.69999999982832,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,608.6986887216001,106.69563200328001,137.40327864984002,608.6986887216001,106.69563200328001,137.40327864984002,604.4108625895255,112.34583348574071,614.7634318319691,-169.4702263265496,134.2032825911866,629.2412877236125,-12.31451713328616,629.2412877236125,False,20.41129106581195,-2.907809526549613,-16.66623326028616,-21.69326602428616,25.69518710591758,24.659008354863694,25.51770447003811,-576.1644520938272,-214.4028947128279,0.8911495153638055,-0.6846054379108168,-4.9568317
