recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
11767060506600,gimbal,2595,"{""imu_roll"":0.0,""imu_pitch"":20.29902458190918,""imu_yaw"":-4.604486465454102,""frame_roll"":0.0,""frame_pitch"":20.29902458190918,""frame_yaw"":-4.604486465454102,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9957497
11767060701700,fov,2595,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9955546
11767081419200,gimbal,2596,"{""imu_roll"":0.0,""imu_pitch"":20.351791381835938,""imu_yaw"":-4.411813259124756,""frame_roll"":0.0,""frame_pitch"":20.351791381835938,""frame_yaw"":-4.411813259124756,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9748371
11767081743200,fov,2596,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9745131
11767092466600,target_offset,210,"{""x_angle_offset"":0.9876418858766556,""y_angle_offset"":0.3650046878390842}",-4.9637897
11767097223000,vfr,497,"{""message_type"":""VFR_HUD"",""airspeed"":29.51289176940918,""alt"":182.64999389648438}",-4.9590333
11767097294900,position,497,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542351,""lon"":393493737}",-4.9589614
11767097360300,attitude,994,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111910,""roll"":-0.3103410303592682,""pitch"":0.16012465953826904,""yaw"":-3.041579008102417,""rollspeed"":-0.0052524772472679615,""pitchspeed"":0.05201827362179756,""yawspeed"":-0.19862547516822815}",-4.958896
11767104801900,gimbal,2597,"{""imu_roll"":0.0,""imu_pitch"":20.433786392211914,""imu_yaw"":-4.173710823059082,""frame_roll"":0.0,""frame_pitch"":20.433786392211914,""frame_yaw"":-4.173710823059082,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9514544
11767105002500,fov,2597,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9512538
