recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
13131002810600,fov,2375,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9991895
13131003230700,gimbal,2375,"{""imu_roll"":0.0,""imu_pitch"":21.159605026245117,""imu_yaw"":-12.248209953308105,""frame_roll"":0.0,""frame_pitch"":21.159605026245117,""frame_yaw"":-12.248209953308105,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9987694
13131018757800,attitude,985,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111870,""roll"":-0.012397166341543198,""pitch"":0.17378093302249908,""yaw"":-2.8970093727111816,""rollspeed"":-0.11785989254713058,""pitchspeed"":0.015642467886209488,""yawspeed"":0.009478178806602955}",-4.9832423
13131031573800,target_offset,212,"{""x_angle_offset"":-1.40625,""y_angle_offset"":-0.10873242130985966}",-4.9704263
13131040360600,fov,2376,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9616395
13131040615600,gimbal,2376,"{""imu_roll"":0.0,""imu_pitch"":21.119930267333984,""imu_yaw"":-12.760004043579102,""frame_roll"":0.0,""frame_pitch"":21.119930267333984,""frame_yaw"":-12.760004043579102,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9613845
13131067094700,attitude,986,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111910,""roll"":-0.014713350683450699,""pitch"":0.17437082529067993,""yaw"":-2.897209405899048,""rollspeed"":-0.01663169264793396,""pitchspeed"":0.010830420069396496,""yawspeed"":0.006117390468716621}",-4.9349054
13131067333700,vfr,493,"{""message_type"":""VFR_HUD"",""airspeed"":29.97719383239746,""alt"":181.8199920654297}",-4.9346664
13131067403900,position,493,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544681,""lon"":393490723}",-4.9345962
13131069453100,target_offset,213,"{""x_angle_offset"":-1.3125,""y_angle_offset"":-0.10873242130985966}",-4.932547
13131077661400,fov,2377,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9243387
13131078164400,gimbal,2377,"{""imu_roll"":0.0,""imu_pitch"":21.07680320739746,""imu_yaw"":-13.257772445678711,""frame_roll"":0.0,""frame_pitch"":21.07680320739746,""frame_yaw"":-13.257772445678711,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9238357
13131079765200,range,1005,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94839096069336,""y"":39.34881591796875}",-4.9222349
13131087124600,range,1006,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94839096069336,""y"":39.34881591796875}",-4.9148755
13131106558700,target_offset,214,"{""x_angle_offset"":-1.03125,""y_angle_offset"":0.0}",-4.8954414
13131116045600,fov,2378,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8859545
13131116332300,gimbal,2378,"{""imu_roll"":0.0,""imu_pitch"":21.07489585876465,""imu_yaw"":-13.649678230285645,""frame_roll"":0.0,""frame_pitch"":21.07489585876465,""frame_yaw"":-13.649678230285645,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8856678
13131127442200,attitude,987,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111970,""roll"":-0.011685622856020927,""pitch"":0.1748638153076172,""yaw"":-2.897871494293213,""rollspeed"":0.10720906406641006,""pitchspeed"":0.002989725209772587,""yawspeed"":0.0006204445380717516}",-4.8745579
13131143143900,target_offset,215,"{""x_angle_offset"":-0.75,""y_angle_offset"":0.0}",-4.8588562
13131155840200,fov,2379,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8461599
13131156101800,gimbal,2379,"{""imu_roll"":0.0,""imu_pitch"":21.073659896850586,""imu_yaw"":-13.944453239440918,""frame_roll"":0.0,""frame_pitch"":21.073659896850586,""frame_yaw"":-13.944453239440918,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8458983
13131164923900,position,494,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544122,""lon"":393490521}",-4.8370762
13131165003900,attitude,988,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112010,""roll"":-0.006463164929300547,""pitch"":0.17491447925567627,""yaw"":-2.898677110671997,""rollspeed"":0.16699804365634918,""pitchspeed"":-0.00211645127274096,""yawspeed"":-0.0036780487280339003}",-4.8369962
13131165177700,vfr,494,"{""message_type"":""VFR_HUD"",""airspeed"":29.935901641845703,""alt"":182.14999389648438}",-4.8368224
13131183142700,target_offset,216,"{""x_angle_offset"":-0.375,""y_angle_offset"":0.10873242130985966}",-4.8188574
13131193041300,fov,2380,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8089588
