truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15883,13290295930300,3.2815,True,udp,127.0.0.1:49618,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.6083333,-12.89305244,9.391274499,180.1786646,-2.0867673975201515,1.627709132104336,-4.752885589077923,109.881810942468,-0.11404943220458137,-0.7830266177217776,-29.899035603384004,-7.440292541280001,-2.4789150236688,30.8108792976,2.4789150236688,30.006795177552004,4.599871656,193.97406364051471,590.3846222256,10.548934872623999,132.63112194576001,46.95471554,39.34747258,132.65849097408002,46.949405,39.347334,4.444492046736,29.900885711952,-1.17930565002,2.2257647330184,4.257136834,-2.252377926,1.747797059,1.059442586,544.5147289276498,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131608051,0.04251228425,0.9881850961,-11.13227218407408,5.612827900001923,-130.553239365493,17.38676898750579,5.612827900001923,-130.553239365493,28.51904117157987,0.0,0.0,9.290256445120441,-0.2163706828724584,-0.15451707522094896,8.176049614136401,-0.03340861621511566,-0.1404697185200221,-1.1142068308484592,0.18296206663022635,0.014047356714485024,0.511111,0.511111,-11.999999997747157,-2.400000000122389,9.600000000489556,9.600000000489556,14.550000001995329,14.550000001995329,0,0,True,0.0049999999999954525,0.0032815,200.0000000001819,304.7386865762608,1.5236934328799185,0.9985422501110408,False,-4.7841478153898276e-05,-7.999995981199267,6.223976889430105e-11,7.999995981342318,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.02499407409857423,7.999956944844454,5.134137665,4.791402842999999,-11.999999997747157,-2.400000000122389,9.600000000489556,9.600000000489556,14.550000001995329,14.550000001995329,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,590.3846222256,10.548934872623999,132.63112194576001,590.3846222256,10.548934872623999,132.63112194576001,586.0967960935254,16.199136355084697,586.3206174182741,-178.41680432516932,129.4311258871066,600.436743344501,-12.448479250458663,600.436743344501,False,-12.390867965684038,1.404531074830686,-17.048350906458662,-21.839753749458662,30.093185814477888,28.851343153722173,20.811396549038562,-572.6631530443533,125.81247773987221,-0.646070793182433,-0.8499918164427598,-5.0015186
15884,13290302009800,6.0795,True,udp,127.0.0.1:49618,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.6133333,-12.90648024,9.393900201,180.1533354,-1.5415142065176026,1.6267734966085496,-4.756806667001862,107.89325887068316,-0.28924535861823747,-0.7857655421937865,-29.897639860176,-7.431507086664,-2.4780246760464,30.8074044252,2.4780246760464,30.005496068136,4.598743041,193.9588347660948,590.2351318464,10.511755645992,132.64352818968,46.9547142,39.34747209,132.67088328864,46.949405,39.347334,4.444492046736,29.899510545792,-1.1759650365336,2.2284904646256,4.262526352,-2.246091643,1.601594532,1.128927768,544.46693198032,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318074069,0.04240093408,0.9894656066,-11.123204350864723,5.598072379361765,-130.72223308734485,17.412984550457775,5.598072379361765,-130.72223308734485,28.5361889013225,0.0,0.0,9.141988920672288,-0.22823832237724745,-0.15450081991282102,8.027914286005663,-0.045148596077809106,-0.14046370587416665,-1.1140746339887158,0.18308972624520561,0.014037114147119818,0.511111,0.511111,-11.999999997747157,-2.400000000122389,9.600000000489556,9.600000000489556,14.550000001995329,14.550000001995329,0,0,True,0.0049999999999954525,0.0060795,200.0000000001819,164.48721111933548,0.8224360555959294,0.9964266978913705,False,-4.784253986123144e-05,-7.999996002341994,1.2913581315388e-10,7.99999600248505,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.02145746731000594,7.999967212445417,5.131373848999999,4.79515716,-11.999999997747157,-2.400000000122389,9.600000000489556,9.600000000489556,14.550000001995329,14.550000001995329,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,590.2351318464,10.511755645992,132.64352818968,590.2351318464,10.511755645992,132.64352818968,585.9473057143255,16.1619571284527,586.1701578314091,-178.42003334861434,129.4435321310266,600.2924969901383,-12.452731187855425,600.2924969901383,False,-12.378868114709121,1.4266312513856292,-17.051474228855426,-21.846631388855425,30.091175721871025,28.848911226240126,20.808150861656426,-572.5425285632647,125.66028377527437,-0.6455477460773664,-0.8502760667748968,-4.9954391
15885,13290311120700,9.1109,True,udp,127.0.0.1:49618,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.6183333,-12.91720661,9.396509916,180.1279876,-1.0061333258429255,1.624965669233632,-4.7607402056119295,105.93843098012816,-0.4625879390822375,-0.7879119945011199,-29.896237975248003,-7.42269281016,-2.4771929237856,30.80391879336,2.4771929237856,30.004198842384,4.59772405,193.94355323685355,590.0856481728,10.474620417239999,132.65593010544,46.95471285,39.3474716,132.68327130552,46.949405,39.347334,4.444492046736,29.898141478680003,-1.172525279532,2.2312034126160003,4.26789106,-2.239615233,1.456921768,1.198086316,544.4192058957736,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1319969671,0.04228740289,0.9907390568,-11.114189237977952,5.583028195828106,-130.8902651926479,17.437913260689353,5.583028195828106,-130.8902651926479,28.552102498667303,0.0,0.0,8.99625027599627,-0.23999953071541968,-0.15438668322605845,7.8822964718251995,-0.056788209171312276,-0.14036930610044152,-1.1139538034931604,0.18321132155766556,0.014017377071384214,0.511111,0.511111,-11.999999997747157,-2.400000000122389,9.600000000489556,9.600000000489556,14.550000001995329,14.550000001995329,0,0,True,0.005000000000009663,0.0091109,199.99999999961346,109.75864074899296,0.5487932037460255,0.9884159795944163,False,-4.784430731014089e-05,-7.999995981007855,1.4056689146002554e-10,7.999995981150922,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.017918259285828336,7.999975922406843,5.128618855999999,4.798785865999999,-11.999999997747157,-2.400000000122389,9.600000000489556,9.600000000489556,14.550000001995329,14.550000001995329,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,590.0856481728,10.474620417239999,132.65593010544,590.0856481728,10.474620417239999,132.65593010544,585.7978220407255,16.1248218997007,586.0197080209458,-178.42325974809017,129.45593404678658,600.1482625559125,-12.456984564337084,600.1482625559125,False,-12.36681298494375,1.4487526519097855,-17.054708614337084,-21.853494480337083,30.089159888904767,28.846460864853196,20.80491833530743,-572.4219962211188,125.5075951135394,-0.645021464447766,-0.8505658204030123,-4.9863282
15886,13290315197900,4.0772,True,udp,127.0.0.1:49618,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.6233333,-12.92528036,9.399100561,180.1026221,-0.4804574357771232,1.6222951496198261,-4.764683239278578,104.0167025176232,-0.6339671937175524,-0.7894640277331905,-29.894829473112,-7.413851915472,-2.47641969282,30.800422554480004,2.47641969282,30.002902994328,4.59681457,193.92822312079122,589.9361715096,10.437529326576001,132.66832802832002,46.95471151,39.34747112,132.69565532952,46.949405,39.347334,4.444492046736,29.896778202768004,-1.1689859041368,2.2339008923112,4.273225881,-2.232947806,1.313765516,1.266898064,544.3715320007095,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1321773937,0.04217166433,0.9920041459,-11.105233975913011,5.567691870891643,-131.05716486969214,17.46164199196867,5.567691870891643,-131.05716486969214,28.566875963433457,0.0,0.0,8.852993047973468,-0.25164368044356883,-0.15417465363620864,7.739149585690306,-0.06831638794015477,-0.14018640558130263,-1.113843461876417,0.18332729253053043,0.013988248000673286,0.511111,0.511111,-11.999999997747157,-2.400000000122389,9.600000000489556,9.600000000489556,14.550000001995329,14.550000001995329,0,0,True,0.0049999999999954525,0.0040772,200.0000000001819,245.26635926616308,1.2263317963297,0.9903403482585675,False,-4.784232719939885e-05,-7.999996007794974,4.0041103765986463e-10,7.999996007938029,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.014376576373697932,7.99998307105439,5.125874679999999,4.802285990999999,-11.999999997747157,-2.400000000122389,9.600000000489556,9.600000000489556,14.550000001995329,14.550000001995329,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.9361715096,10.437529326576001,132.66832802832002,589.9361715096,10.437529326576001,132.66832802832002,585.6483453775254,16.0877308090367,585.8692682894515,-178.42648350853602,129.4683319696666,600.0040404105835,-12.461239405739342,600.0040404105835,False,-12.354706629327211,1.4708943914639576,-17.05805397573934,-21.86033996673934,30.087137906398482,28.84399166948341,20.801699268460833,-572.3015468291875,125.35445354249129,-0.6444921613514863,-0.8508610662555283,-4.982251
15887,13290318042200,2.8443,True,udp,127.0.0.1:49618,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.6283333,-12.93074952,9.401669086,180.0772401,0.03567768130789474,1.6187719771336184,-4.768632791486062,102.12745875674987,-0.8032777554137706,-0.7904196743529295,-29.893413927048,-7.404986572776001,-2.4757048502568004,30.7969158,2.4757048502568004,30.001608066768004,4.596014374,193.91284854320403,589.7867018568,10.400482502016,132.68072220216,46.95471016,39.34747063,132.70803560448,46.949405,39.347334,4.444492046736,29.895420428496003,-1.1653464619872,2.236580310168,4.278525905,-2.226088518,1.172113219,1.335343775,544.3238940158396,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323492963,0.04205369247,0.9932596199,-11.096345441620521,5.552059997214619,-131.22276748979561,17.4842507099757,5.552059997214619,-131.22276748979561,28.58059615159622,0.0,0.0,8.71217058561992,-0.2631605546599635,-0.1538647072808757,7.5984277860403315,-0.07972251173357826,-0.13991487158217286,-1.1137427997151705,0.1834380429263853,0.013949835630911957,0.511111,0.511111,-11.999999997747157,-2.400000000122389,9.600000000489556,9.600000000489556,14.550000001995329,14.550000001995329,0,0,True,0.0049999999999954525,0.0028443,200.0000000001819,351.5803536898358,1.7579017684475802,0.9946820002320385,False,-4.78447180513597e-05,-7.999996001374304,-2.1559865004405765e-10,7.999996001517373,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.01083258681251086,7.9999886548774555,5.123143181,4.805654712,-11.999999997747157,-2.400000000122389,9.600000000489556,9.600000000489556,14.550000001995329,14.550000001995329,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.7867018568,10.400482502016,132.68072220216,589.7867018568,10.400482502016,132.68072220216,585.4988757247255,16.0506839844767,585.7188386344485,-178.4297046152442,129.4807261435066,599.8598306053981,-12.465495735673265,599.8598306053981,False,-12.342553158448254,1.4930552847557692,-17.061510109673264,-21.867164821673263,30.085109412448034,28.841503299296658,20.798493905830025,-572.181171118918,125.20089994992315,-0.6439600470022473,-0.8511617890689788,-4.9794067
15888,13290321674300,3.6321,True,udp,127.0.0.1:49618,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.6333333,-12.93367021,9.404213614,180.0518418,0.531860804566986,1.6159574096275808,-4.7732410721246925,96.06588424987032,-0.3510709144419879,-1.0525644985900737,-29.891997908544,-7.3960909542960005,-2.4750136010424,30.793403528640003,2.4750136010424,30.000317869704002,4.59525843,193.89741603958373,589.6372395192,10.363480071576001,132.69311293176,46.95470882,39.34747014,132.7204124352,46.949405,39.347334,4.444492046736,29.894069073312004,-1.1616222765984001,2.2392722510376,4.28384929,-2.219066352,1.055701036,1.39272059,544.2764298363098,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325555448,0.04138518982,0.9933699501,-11.081909485669426,5.463733466578367,-131.23778446355763,17.511431118885366,5.463733466578367,-131.23778446355763,28.593340604554793,0.0,0.0,8.260510908769053,-0.21810642216067225,-0.1959562365579963,7.146859839764395,-0.034555377177332605,-0.18203714430243545,-1.1136510694114037,0.1835510449291069,0.01391909224200267,0.511111,0.511111,-11.850000002215738,-2.699999999779589,9.150000002436151,9.150000002436151,14.550000001995329,14.550000001995329,0,0,True,0.005000000000009663,0.0036321,199.99999999961346,275.3228160017621,1.3766140800114708,0.997436422571216,False,-4.784361366233503e-05,-7.999995977731446,1.4986190066679228e-10,7.99999597787451,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.007286319218180968,7.999992670787725,5.120364324,4.808955183999999,-11.850000002215738,-2.699999999779589,9.150000002436151,9.150000002436151,14.550000001995329,14.550000001995329,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.6372395192,10.363480071576001,132.69311293176,589.6372395192,10.363480071576001,132.69311293176,585.3494133871254,16.0136815540367,585.5684193581191,-178.43292305430785,129.49311687310657,599.7156335023109,-12.469753577172803,599.7156335023109,False,-12.330339093891553,1.5152351456921451,-17.065012007172804,-21.873967191172802,30.083080821421266,28.83900951442054,20.795292334933748,-572.0608985092114,125.04679982470458,-0.6434245305244151,-0.851464879430612,-4.9757746
15889,13290326821100,5.1468,True,udp,127.0.0.1:49618,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.6383333,-12.93416889,9.406741367,180.0264207,1.0085270999661895,1.6138522160110746,-4.778501837100417,94.31315633534962,-0.5186904188224429,-1.0514681776536008,-29.890578921288004,-7.387169190072,-2.474356853664,30.78988433832,2.474356853664,29.999030763312003,4.594567131,193.88193403240993,589.487784192,10.326522193752,132.70550021712,46.95470747,39.34746966,132.73278582168,46.949405,39.347334,4.444492046736,29.892723259392003,-1.1578089835392,2.24196814242,4.289179818,-2.211873071,0.9241627467,1.458859704,544.229080090599,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327134274,0.04126374743,0.99463514,-11.072984520441908,5.447643025735025,-131.40466425705125,17.5322004794616,5.447643025735025,-131.40466425705125,28.605184995455286,0.0,0.0,8.12986433058656,-0.22976122807556815,-0.1953598765082961,7.016296750139525,-0.046094616112437675,-0.18146384644487273,-1.113567580447036,0.183666612003805,0.01389603009053968,0.511111,0.511111,-11.850000002215738,-2.699999999779589,9.150000002436151,9.150000002436151,14.550000001995329,14.550000001995329,0,0,True,0.0049999999999954525,0.0051468,200.0000000001819,194.29548457293853,0.9714774228638091,0.9971719335559553,False,-4.784287617970451e-05,-7.9999959745520846,6.5212280020432445e-12,7.9999959746951435,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.003736866713473513,7.999995116181773,5.117561549,4.812174236000001,-11.850000002215738,-2.699999999779589,9.150000002436151,9.150000002436151,14.550000001995329,14.550000001995329,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.487784192,10.326522193752,132.70550021712,589.487784192,10.326522193752,132.70550021712,585.1999580599255,15.976723676212698,585.4180101540818,-178.4361388071891,129.50550415846658,599.5714488033125,-12.474012937405446,599.5714488033125,False,-12.31807283959904,1.5374404928109016,-17.068580068405446,-21.880754304405446,30.081049756888934,28.83650563203171,20.792097921091592,-571.940709643163,124.89223861249225,-0.6428860194525263,-0.8517713084378623,-4.9706278
15890,13290332602800,5.7817,True,udp,127.0.0.1:49618,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.6433333,-12.93230735,9.409251579,180.0009762,1.4764913554593724,1.6109132891615194,-4.783755925398955,92.58988996795031,-0.6841883613853965,-1.0497937457395878,-29.889151643472,-7.3782289458240005,-2.4737593563576006,30.786354906720003,2.4737593563576006,29.997743339928004,4.593986755,193.86641879368406,589.3383358752001,10.289608969128,132.71788436304,46.95470613,39.34746917,132.74515609920002,46.949405,39.347334,4.444492046736,29.891381855928003,-1.1538951473232002,2.2446430129656,4.294470055,-2.204487052,0.7939606352,1.524591861,544.181721247639,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1328644374,0.04114001755,0.9958892489,-11.064133409037868,5.43124909607554,-131.57005549766356,17.552066633087076,5.43124909607554,-131.57005549766356,28.616200037676723,0.0,0.0,8.001425146047566,-0.2412775758278535,-0.19466806023152536,6.88793344937528,-0.05749963441258065,-0.18080416508720443,-1.1134916968078676,0.18377794133392375,0.013863895144320947,0.511111,0.511111,-11.850000002215738,-2.699999999779589,9.150000002436151,9.150000002436151,14.550000001995329,14.550000001995329,0,0,True,0.0049999999999954525,0.0057817,200.0000000001819,172.9595101786672,0.8647975508925494,0.9956587333586271,False,-4.784455894979445e-05,-7.9999959993720795,-1.354161227595796e-10,7.999995999515148,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.00018414621843232265,7.999995986823695,5.114781524,4.815264823999999,-11.850000002215738,-2.699999999779589,9.150000002436151,9.150000002436151,14.550000001995329,14.550000001995329,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.3383358752001,10.289608969128,132.71788436304,589.3383358752001,10.289608969128,132.71788436304,585.0505097431255,15.939810451588698,585.2676110190308,-178.43935186181798,129.5178883043866,599.4272765721887,-12.47827384574038,599.4272765721887,False,-12.305770655502045,1.5596719381820208,-17.072260600740382,-21.88752542474038,30.079011112568306,28.83398130711789,20.78891812363822,-571.8205688827774,124.73737816108041,-0.6423452752235065,-0.8520832837767418,-4.9648461
15891,13290335800500,3.1977,True,udp,127.0.0.1:49618,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.6483333,-12.9281286,9.411741244,179.9755095,1.935899647667727,1.6071514316251851,-4.789000424102876,90.89551316390555,-0.8474715061985368,-1.047534514138734,-29.887715776392003,-7.369272211896001,-2.473220835108,30.7828154472,2.473220835108,29.996455261224003,4.593516802,193.85087410492747,589.1888948736,10.252740486096,132.73026567432,46.95470479,39.34746869,132.7575235116,46.949405,39.347334,4.444492046736,29.890044673944,-1.1498804533968001,2.2472945218104,4.299715558,-2.196907694,0.6650862263,1.589902363,544.1343408585624,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330090109,0.04101396191,0.997131155,-11.05536227221025,5.414547487375148,-131.73381068236577,17.571086690479117,5.414547487375148,-131.73381068236577,28.626448967137584,0.0,0.0,7.875150109982791,-0.2526464344497563,-0.19387996000082672,6.761727278015737,-0.0687611156967532,-0.18005715535990227,-1.1134228316958905,0.18388531872588676,0.013822804668040813,0.511111,0.511111,-11.850000002215738,-2.699999999779589,9.150000002436151,9.150000002436151,14.550000001995329,14.550000001995329,0,0,True,0.005000000000009663,0.0031977,199.99999999961346,312.7247709291053,1.5636238546485486,0.9992680146974503,False,-4.784217633113652e-05,-7.999995993708685,2.2862889359487326e-10,7.99999599385174,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,0.0033716740158522855,7.999995278431069,5.112025686,4.818224442,-11.850000002215738,-2.699999999779589,9.150000002436151,9.150000002436151,14.550000001995329,14.550000001995329,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.1888948736,10.252740486096,132.73026567432,589.1888948736,10.252740486096,132.73026567432,584.9010687415255,15.902941968556698,585.1172222539976,-178.44256220811693,129.53026961566658,599.2831171699578,-12.482536325284029,599.2831171699578,False,-12.293436313044367,1.5819282918830595,-17.076053127284027,-21.89427756928403,30.076964647182166,28.83143634713835,20.78575309098117,-571.7004682238023,124.58225560214885,-0.6418024908073068,-0.852400779014399,-4.9616484
15892,13290338998600,3.1981,True,udp,127.0.0.1:49618,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.6533333,-12.92167779,9.414209104,179.9500209,2.383706119201351,1.6047610459743213,-4.794588056344104,87.99332700378012,-0.13708009347039654,-1.1867594814177385,-29.886274453392,-7.360301030448,-2.472705078456,30.77926952592,2.472705078456,29.995166627784,4.593089808,193.83530208608406,589.0394608824,10.215916823904,132.7426443948,46.95470344,39.3474682,132.76988833320002,46.949405,39.347334,4.444492046736,29.888708948904,-1.1457725302944002,2.2499563716048,4.30498096,-2.189149552,0.5624262565,1.649499867,544.08694275379,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330467561,0.04060699871,0.9971397161,-11.05647043542015,5.360748777976672,-131.7354339273976,17.574883505624594,5.360748777976672,-131.7354339273976,28.631353936596522,0.0,0.0,7.651631712026028,-0.1846635989027674,-0.21617570038841835,6.545488991986169,-0.0006940898815125516,-0.2023791908875292,-1.1061427189552062,0.18396950905487913,0.013796509487330954,0.507778,0.507778,-11.850000002215738,-2.849999999894668,8.84999999991416,8.84999999991416,14.699999997526746,14.699999997526746,0,0,True,0.0049999999999954525,0.0031981,200.0000000001819,312.6856571089084,1.56342828554312,1.0028535627394473,False,-4.7844001576813344e-05,-7.999995993907884,-3.10980352580259e-10,7.99999599405095,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,0.006930551398191444,7.999992986907074,5.109228143999999,4.821119295999999,-11.850000002215738,-2.849999999894668,8.84999999991416,8.84999999991416,14.699999997526746,14.699999997526746,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,589.0394608824,10.215916823904,132.7426443948,589.0394608824,10.215916823904,132.7426443948,584.7516347503255,15.866118306364697,584.9668435503756,-178.44576983526747,129.54264833614658,599.1389703493107,-12.48680040606816,599.1389703493107,False,-12.281071921351554,1.6042092647325035,-17.079890214068158,-21.901009510068157,30.07491355127099,28.828881679403597,20.782594934209932,-571.5804022175346,124.42689361279997,-0.6412578559545751,-0.8527204844301016,-4.9584503
