truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15398,13758580780800,8.5917,True,udp,127.0.0.1:50476,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1666667,0.03034227142,10.54632652,198.7639374,-29.27438934608884,1.8499084572785756,0.9905219740198434,143.28836127294366,-7.489075413744608,-11.247177521129277,-29.806301184840002,4.307318922048,-3.499330993704,30.115919155392003,3.499330993704,30.981247836720005,6.627784077,171.77709200566017,664.5807371807999,93.38098730928002,130.26143014464,46.95538293,39.34856075,130.29678191544,46.949405,39.347334,4.444492046736,30.818580801120003,-2.3028038224248,2.1794242391616003,4.04510097,-4.262666722,-11.82604854,-1.24089767,580.5865539895493,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184955987,0.06563933955,1.018676117,-11.701153431575326,8.670009636295958,-134.5524164338236,15.654384729877465,8.670009636295958,-134.5524164338236,27.35553816145279,0.0,0.0,11.778367602665938,-0.7582374014827149,-1.8910638464388896,10.678557140869772,-0.643032167207525,-1.8743255146086872,-1.0998104615249997,0.11520523428874815,0.01673833134210774,0.507778,0.507778,-6.300000001395567,-6.450000002656562,0.0,0.0,12.74999999832255,12.74999999832255,0,0,True,0.0049999999999954525,0.0085917,200.0000000001819,116.39140100329386,0.58195700501594,0.9668317546131815,False,-8.077536892900361e-06,11.999996729167593,1.1244064568316503e-09,11.999996729170313,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,3.860028896403093,-11.362222421366743,6.501225549999999,3.918542442999999,-6.300000001395567,-6.450000002656562,0.0,0.0,12.74999999832255,12.74999999832255,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,664.5807371807999,93.38098730928002,130.26143014464,664.5807371807999,93.38098730928002,130.26143014464,660.2929110487254,99.03118879174072,667.6779947959236,-171.47031622594417,127.06143408598656,679.6605864449497,-10.774747455972488,679.6605864449497,False,16.752591768395632,-10.234253625944177,-17.40253153297249,-21.32107397597249,28.837749055160355,27.67513789134433,24.558525746587883,-639.3406212763134,-192.4512268620881,0.7449125873433299,-0.7442735118287663,-4.9961113
15399,13758584979500,4.1987,True,udp,127.0.0.1:50476,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1716667,-0.113642888,10.55550317,198.7688494,-28.550648184610782,1.8113989268142237,0.9349001141965053,155.76358947135967,-9.046985794776159,-10.443321418679355,-29.802028702656003,4.305365870328,-3.500452188312,30.111411291408004,3.500452188312,30.977749159440002,6.630872426,171.77960734767657,664.431718632,93.40252161216,130.27894480608,46.95538159,39.34856103,130.31428136736,46.949405,39.347334,4.444492046736,30.814883577120003,-2.3076875416896,2.1768031533192,4.0407354,-4.272206984,-11.55028131,-1.13426566,580.4544533126278,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1186992673,0.06762008766,1.018836552,-11.71465234740206,8.931637880212897,-134.57360767263427,15.6810427529853,8.931637880212897,-134.57360767263427,27.39569510038736,0.0,0.0,12.707281119542255,-0.9049961309078455,-1.759420946792883,11.607765961674327,-0.7890011604720205,-1.7431029388639327,-1.099515157867927,0.11599497044938324,0.016318008850906448,0.507778,0.507778,-6.900000000709967,-5.5500000002472145,1.3499999998897945,1.3499999998897945,12.450000001530139,12.450000001530139,0,0,True,0.005000000000009663,0.0041987,199.99999999961346,238.16895705813707,1.1908447852929869,0.9686972166064697,False,-8.062283092247213e-06,11.999996715353841,2.3905077917163453e-09,11.99999671535655,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,3.8610029720539316,-11.361891457123972,6.51476777,3.924630744,-6.900000000709967,-5.5500000002472145,1.3499999998897945,1.3499999998897945,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,664.431718632,93.40252161216,130.27894480608,664.431718632,93.40252161216,130.27894480608,660.1438924999254,99.0527230946207,667.5338199352993,-171.4665912180508,127.07894874742657,679.5222291964875,-10.77847085387336,679.5222291964875,False,16.753801434272646,-10.235440618050802,-17.40934327987336,-21.33397402387336,28.833249258676865,27.669934001707382,24.558144199207607,-639.1985028979769,-192.42316557628314,0.7450142008420766,-0.7445986095511008,-4.9919126
15400,13758588439000,3.4595,True,udp,127.0.0.1:50476,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1766667,-0.2539335545,10.56448214,198.7734647,-27.777538498597004,1.7665592182546066,0.8825853914038476,153.03221881762616,-8.858576553583275,-10.490086210999623,-29.797774645632003,4.30345948044,-3.501570603144,30.106928393592,3.501570603144,30.97425663912,6.633950999,171.78204052754518,664.2827211144,93.42404622240001,130.29646510632,46.95538025,39.34856131,130.33178645808002,46.949405,39.347334,4.444492046736,30.811207567200004,-2.3123225545176003,2.1742188528744,4.036434028,-4.281287323,-11.2285287,-1.062952993,580.3225987402374,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1189403491,0.0677283083,1.017381798,-11.720345862003178,8.945932267062867,-134.38145566389127,15.712660916844767,8.945932267062867,-134.38145566389127,27.433006778847943,0.0,0.0,12.503351979269278,-0.8919168290355182,-1.7655147247943765,11.404106254967315,-0.7751808175897448,-1.7496865386388918,-1.0992457247087082,0.116736011500006,0.015828187267255482,0.507778,0.507778,-6.900000000709967,-5.5500000002472145,1.3499999998897945,1.3499999998897945,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0034595,200.0000000001819,289.0591125885244,1.4452955629413073,0.971972141360388,False,-8.069383068798341e-06,11.999996709721493,3.1802556144100436e-09,11.999996709724206,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,3.8619181846633754,-11.361580408052497,6.5280481120000005,3.9305311410000012,-6.900000000709967,-5.5500000002472145,1.3499999998897945,1.3499999998897945,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,664.2827211144,93.42404622240001,130.29646510632,664.2827211144,93.42404622240001,130.29646510632,659.9948949823255,99.07424770486071,667.3896672567047,-171.4628656916929,127.09646904766656,679.3838976641995,-10.782195885491642,679.3838976641995,False,16.75509378076191,-10.236330391692945,-17.416146884491642,-21.34667802549164,28.828760889397277,27.664741455069155,24.557753368763635,-639.0561297220834,-192.3960265328957,0.7451200051724038,-0.7449237741130368,-4.9884531
15401,13758591695700,3.2567,True,udp,127.0.0.1:50476,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1816667,-0.3904390055,10.57324832,198.7777928,-27.017994012371716,1.7226477528893032,0.8300403613499435,150.34471037494106,-8.676765626139407,-10.535168421081238,-29.793571511544002,4.3016575790400005,-3.5026289937120003,30.102510881472003,3.5026289937120003,30.97078069992,6.636903434,171.78429144953913,664.1337449328,93.44556156672,130.31399086248,46.95537891,39.34856159,130.34929697424002,46.949405,39.347334,4.444492046736,30.80755444776,-2.3167758437568002,2.171726561796,4.032298872,-4.290030385,-10.91248116,-0.9933126898,580.1913800176862,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1191636161,0.06783084697,1.015974745,-11.72573720001353,8.959476145513687,-134.19560416072633,15.741943070433647,8.959476145513687,-134.19560416072633,27.467680270447175,0.0,0.0,12.302721144098301,-0.879292959021142,-1.7713828485914573,11.20372098554314,-0.76182506348868,-1.7560346504618587,-1.0990001586907427,0.11746789553246206,0.015348198061807638,0.507778,0.507778,-6.900000000709967,-5.5500000002472145,1.3499999998897945,1.3499999998897945,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0032567,200.0000000001819,307.0592931495072,1.5352964657461394,0.9756175539842579,False,-8.077604411294015e-06,11.999996727765586,1.7911132577097533e-09,11.999996727768306,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,3.862776422830678,-11.361288647899913,6.540949447999999,3.9363448859999997,-6.900000000709967,-5.5500000002472145,1.3499999998897945,1.3499999998897945,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,664.1337449328,93.44556156672,130.31399086248,664.1337449328,93.44556156672,130.31399086248,659.8459188007255,99.0957630491807,667.245537124283,-171.45913961454156,127.11399480382657,679.2455921735968,-10.785922530516109,679.2455921735968,False,16.75656893591929,-10.23693241454157,-17.422825964516107,-21.359170850516108,28.824307482233845,27.659594086420743,24.557323222146163,-638.9131658899977,-192.37092624586828,0.7452353291057818,-0.7452446326184009,-4.9851964
15402,13758595290100,3.5944,True,udp,127.0.0.1:50476,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1866667,-0.5232266341,10.5818047,198.7818341,-26.271796835815007,1.679631832589903,0.7772733789053617,147.70037808364054,-8.501411749700168,-10.578595860295584,-29.789417361864,4.299957334536,-3.50362903032,30.098156417232,3.50362903032,30.967320336000004,6.639733323,171.78636481191236,663.9847897824001,93.46706813280001,130.33152173928002,46.95537757,39.34856188,130.36681264152,46.949405,39.347334,4.444492046736,30.803923456800003,-2.3210470540104,2.1693245500392,4.028326902,-4.298435513,-10.60207251,-0.9252445355,580.0607588407671,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1193705348,0.06792772994,1.01461443,-11.73083181050459,8.972272989626441,-134.01592621089458,15.7690816393708,8.972272989626441,-134.01592621089458,27.499913449875386,0.0,0.0,12.10533547410065,-0.8671149867529048,-1.7770279416918555,11.006558862808811,-0.748923593816837,-1.762150215101964,-1.098776611427422,0.11819139300385874,0.01487772692884613,0.507778,0.507778,-6.900000000709967,-5.5500000002472145,1.3499999998897945,1.3499999998897945,12.450000001530139,12.450000001530139,0,0,True,0.005000000000009663,0.0035944,199.99999999961346,278.21054974404626,1.3910527487229198,0.9785827185372565,False,-8.080553288408732e-06,11.999996751735026,3.5343745707905327e-09,11.999996751737745,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,3.863577770253207,-11.361016162601006,6.553477797999999,3.9420713769999995,-6.900000000709967,-5.5500000002472145,1.3499999998897945,1.3499999998897945,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,663.9847897824001,93.46706813280001,130.33152173928002,663.9847897824001,93.46706813280001,130.33152173928002,659.6969636503255,99.11726961526071,667.1014293084996,-171.4554129412914,127.13152568062658,679.107312438415,-10.789650765357639,679.107312438415,False,16.75822224679621,-10.237247041291425,-17.429384088357637,-21.371455465357638,28.819887512460607,27.65449009906257,24.556855324605507,-638.7696270915409,-192.3478112450904,0.7453599163520789,-0.7455612968148759,-4.981602
15403,13758605863900,10.5738,True,udp,127.0.0.1:50476,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1916667,-0.6523627542,10.59015417,198.7855889,-25.530031189865582,1.6367786494930536,0.7248228083924362,155.50771385391403,-9.172754803545809,-9.984582444881076,-29.785302485664,4.298340797256,-3.5045777233680004,30.093852824112002,3.5045777233680004,30.963871402080002,6.642456417,171.78829172627317,663.8358550536,93.48856646928,130.34905749288,46.95537623,39.34856216,130.38433315512,46.949405,39.347334,4.444492046736,30.80031236928,-2.3251188692856,2.1670055392848,4.024505006,-4.30647101,-10.30190373,-0.8339194982,579.9305815138489,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1194371041,0.06940210446,1.013745454,-11.752196156307637,9.167016590109373,-133.9011470582318,15.777696692550162,9.167016590109373,-133.9011470582318,27.529892848857802,0.0,0.0,12.686584249434484,-0.9323676652521478,-1.6792849486835482,11.588010871185645,-0.8134662343884107,-1.6648761507125382,-1.0985733777065119,0.11890143087729513,0.014408798337080796,0.507778,0.507778,-7.349999998763373,-4.9499999997868995,2.400000000122389,2.400000000122389,12.300000000269145,12.300000000269145,0,0,True,0.0049999999999954525,0.0105738,200.0000000001819,94.57337948514252,0.47286689742528254,0.9681095255350426,False,-8.066357250674505e-06,11.999996731648533,1.8753775199442657e-09,11.999996731651244,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,3.8643222905036043,-11.360762943957285,6.565649164,3.947697753,-7.349999998763373,-4.9499999997868995,2.400000000122389,2.400000000122389,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,663.8358550536,93.48856646928,130.34905749288,663.8358550536,93.48856646928,130.34905749288,659.5480289215254,99.1387679517407,666.9573432876036,-171.45168561752217,127.14906143422657,678.9690579023929,-10.793380578611481,678.9690579023929,False,16.760022656204683,-10.237274517522167,-17.43583699561148,-21.38353474861148,28.815494015914897,27.649421350838168,24.55635686863337,-638.625617231278,-192.3263340814967,0.7454921275257312,-0.7458742359979572,-4.9710282
15404,13758609103300,3.2394,True,udp,127.0.0.1:50476,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1966667,-0.7777593637,10.59828738,198.7890673,-24.758243798769715,1.5912629830884328,0.6748107302127693,152.75589107061285,-9.00686040873798,-10.02705844183998,-29.781209497152002,4.296774963456,-3.5054867832720005,30.089578165656004,3.5054867832720005,30.960426704880003,6.645099472,171.7901296029926,663.6869410512,93.51005682,130.36659787944,46.95537489,39.34856244,130.40185836264,46.949405,39.347334,4.444492046736,30.796717527600002,-2.3289563150016,2.1647570665656004,4.020810649,-4.314072832,-9.982915446,-0.7693211356,579.8005765558629,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119614151,0.06948445811,1.012456208,-11.756876695193197,9.177894315729548,-133.73085623495695,15.800917721607199,9.177894315729548,-133.73085623495695,27.557794416800398,0.0,0.0,12.481245307965747,-0.9206655534932165,-1.684743953058902,11.382856418576774,-0.801089987032246,-1.670833410048996,-1.098388888575483,0.11957556652876154,0.013910541993042388,0.507778,0.507778,-7.349999998763373,-4.9499999997868995,2.400000000122389,2.400000000122389,12.300000000269145,12.300000000269145,0,0,True,0.0049999999999954525,0.0032394,200.0000000001819,308.69914181638575,1.543495709080525,0.9718133412596803,False,-8.07857442858273e-06,11.999996732242812,1.2158296591735507e-09,11.999996732245531,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,3.8650119899913755,-11.36052832182108,6.577476731,3.9531879080000003,-7.349999998763373,-4.9499999997868995,2.400000000122389,2.400000000122389,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,663.6869410512,93.51005682,130.36659787944,663.6869410512,93.51005682,130.36659787944,659.3991149191255,99.1602583024607,666.813279398916,-171.44795762633754,127.16660182078657,678.8308288530975,-10.7971119452923,678.8308288530975,False,16.761912770669824,-10.23702492633754,-17.4422114172923,-21.395399325292303,28.81111468823347,27.644373574117516,24.555840523319496,-638.4813293990384,-192.3058542831534,0.7456289418822784,-0.7461842234275374,-4.9677888
15405,13758614480600,5.3773,True,udp,127.0.0.1:50476,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.2016667,-0.8993746508,10.60619843,198.7922765,-24.000122310524418,1.5465640559886575,0.6245897132328254,150.0486708171272,-8.847048728688911,-10.06788826229854,-29.777160284016002,4.2953025600000005,-3.5063416771680003,30.085360206096,3.5063416771680003,30.956994961680003,6.647629065,171.7918037283742,663.5380471656,93.53153955072,130.38414265512,46.95537355,39.34856272,130.41938795928002,46.949405,39.347334,4.444492046736,30.79314304656,-2.3326093747008003,2.16259376472,4.017270445,-4.321332369,-9.669767744,-0.7061016512,579.6710724253858,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1197786158,0.06956117925,1.011210982,-11.761274932142168,9.188028076284569,-133.56637986008425,15.822489376778625,9.188028076284569,-133.56637986008425,27.583764313369013,0.0,0.0,12.279252799068717,-0.9093832186985772,-1.68998021959425,11.181031106437494,-0.7891398366501571,-1.6765591892313176,-1.0982216933091304,0.1202433821162109,0.0134210298951754,0.507778,0.507778,-7.349999998763373,-4.9499999997868995,2.400000000122389,2.400000000122389,12.300000000269145,12.300000000269145,0,0,True,0.005000000000009663,0.0053773,199.99999999961346,185.96693507894298,0.9298346753965119,0.9713666811505974,False,-8.092064598758109e-06,11.999996736163844,5.932051516666093e-10,11.999996736166572,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,3.865648299688385,-11.360311820403183,6.588927984999999,3.958569364999999,-7.349999998763373,-4.9499999997868995,2.400000000122389,2.400000000122389,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,663.5380471656,93.53153955072,130.38414265512,663.5380471656,93.53153955072,130.38414265512,659.2502210335255,99.1817410331807,666.6692370937218,-171.4442289287812,127.18414659646656,678.6926247076776,-10.80084485440494,678.6926247076776,False,16.76396734284458,-10.236505428781243,-17.44847391940494,-21.40704328440494,28.806764800703355,27.63936450173826,24.555290504779663,-638.3365125759699,-192.2872029009568,0.7457742759943103,-0.7464902942270469,-4.9624115
15406,13758621694500,7.2139,True,udp,127.0.0.1:50476,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.2066667,-1.017276498,10.61389003,198.7952168,-23.25544519672777,1.5026517644182134,0.5741679324144254,147.3853393026359,-8.69317161943109,-10.107098187830815,-29.773153185096003,4.293920773584,-3.507144035736,30.081196888032004,3.507144035736,30.95357547144,6.650048641,171.79331902985498,663.3891737016,93.55301514912001,130.40169160656,46.95537222,39.34856301,130.4369217012,46.949405,39.347334,4.444492046736,30.789588438480003,-2.3360776740888,2.1605136751032,4.013880897,-4.328248896,-9.362385447,-0.6441681795,579.5420413518674,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1199315555,0.06963229075,1.010008716,-11.76539732597233,9.197420878772249,-133.40757790359729,15.842550322476857,9.197420878772249,-133.40757790359729,27.607947648449187,0.0,0.0,12.080552056163718,-0.8985102096811562,-1.6949962511295251,10.982481603668814,-0.7776047855248562,-1.6820562907352015,-1.0980704522237394,0.1209054241969745,0.012939961217305089,0.507778,0.507778,-7.349999998763373,-4.9499999997868995,2.400000000122389,2.400000000122389,12.300000000269145,12.300000000269145,0,0,True,0.0049999999999954525,0.0072139,200.0000000001819,138.62127282052705,0.6931063641020049,0.9674090961925416,False,-8.090804043847655e-06,11.999996713617843,-5.1413272528222365e-09,11.99999671362057,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,3.866231282125672,-11.360113428429704,6.600009133,3.9638413890000006,-7.349999998763373,-4.9499999997868995,2.400000000122389,2.400000000122389,12.300000000269145,12.300000000269145,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,663.3891737016,93.55301514912001,130.40169160656,663.3891737016,93.55301514912001,130.40169160656,659.1013475695255,99.20321663158072,666.5252167457859,-171.44049948718637,127.20169554790657,678.5544457950881,-10.80457928288414,678.5544457950881,False,16.766181482958643,-10.235716287186392,-17.45462792388414,-21.41846931288414,28.802443104432424,27.63439261405452,24.55470815920823,-638.1911831732182,-192.27032604638893,0.7459278766650329,-0.7467925607602115,-4.9551976
15407,13758625575900,3.8814,True,udp,127.0.0.1:50476,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.2116667,-1.131531692,10.62136481,198.7978887,-22.515304092392345,1.4587973392932465,0.5240822976265408,155.16131812410592,-9.383780929177489,-9.510424449159425,-29.769178727208004,4.2926117094,-3.5079008328,30.077076278544002,3.5079008328,30.95016433272,6.652373877,171.7947064471559,663.2403200496001,93.57448407240001,130.41924439848,46.95537088,39.34856329,130.45445931408,46.949405,39.347334,4.444492046736,30.78605172216,-2.3393438764464,2.1585093980856,4.010628621,-4.334790642,-9.065242522,-0.5587142346,579.4133368217153,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1199474811,0.07108129238,1.009287152,-11.785957673511309,9.388813082332923,-133.31226964003548,15.844524398747492,9.388813082332923,-133.31226964003548,27.630482072258804,0.0,0.0,12.65955927395339,-0.964876571957156,-1.5968764193690224,11.561625344190977,-0.8433201492369107,-1.5844170327139389,-1.097933928948923,0.12155642272024537,0.012459386937093815,0.507778,0.507778,-7.800000002546357,-4.349999999899541,3.449999999782026,3.449999999782026,12.14999999900815,12.14999999900815,0,0,True,0.0049999999999954525,0.0038814,200.0000000001819,257.63899623847067,1.2881949811911817,0.9698801108678873,False,-8.081489262290464e-06,11.999996742073428,6.901761384625615e-10,11.99999674207615,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,3.866761039229077,-11.359933120365456,6.610736188999999,3.9689909329999997,-7.800000002546357,-4.349999999899541,3.449999999782026,3.449999999782026,12.14999999900815,12.14999999900815,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,663.2403200496001,93.57448407240001,130.41924439848,663.2403200496001,93.57448407240001,130.41924439848,658.9524939175255,99.22468555486071,666.381217820241,-171.43676925474693,127.21924833982656,678.4162915288355,-10.808315211914534,678.4162915288355,False,16.76852429809719,-10.234657954746922,-17.460689088914535,-21.429680021914535,28.79814287063634,27.629450005770916,24.554100475656803,-638.0454449852821,-192.25487665367797,0.746088109587324,-0.7470914930952613,-4.9513162
